cnic,canonical_name,father_name,declared_income,tax_paid,ntn,filing_status,phone
42101-8353822-9,Saira Mirza,S/O صنا ملک,14571130.0,0.0,NTN-905734,Filer,0331-1545746
54000-7388675-8,Mirza Raja,S/O Sidra Raja,2117250.0,0.0,NTN-933251,Filer,
35202-9190921-1,Hina Karim,S/O Asma Gondal,2568780.0,0.0,NTN-873271,Non-Filer,0331-1256807
,Aamir Tarar,S/O Iqra Butt,1818760.0,0.0,NTN-255673,Filer,0300-2698935
21301-7364768-8,Mohammad Tarar,S/O Ibrahim Nawaz,10379070.0,1145520.0,NTN-515110,Filer,0333-7079798
42101-9660305-5,Salman Rafiq,,36161160.0,1878770.0,NTN-802381,Filer,0313-5205572
44000-9468212-3,Asif Karim,S/O Saira Gondal,3478140.0,0.0,NTN-867772,Filer,0312-7765712
35202-3845383-1,Imran Karim,,6691720.0,1486360.0,NTN-904943,Filer,0313-1364540
,Sidra Hameed,S/O Amna Tarar,26335190.0,5687420.0,NTN-865944,Filer,
21301-5595595-8,Ayesha Raja,S/O Aamir Akhtar,23522810.0,5010180.0,NTN-780053,Filer,0346-2388945
44000-5162620-3,Bushra Bhatti,S/O Ahmed Cheema,13762780.0,0.0,NTN-473154,Filer,0322-4760289
21301-2855501-3,Mirza Baig,S/O Syed Sandhu,8678830.0,2042510.0,NTN-782022,Filer,0322-9737359
54000-8945032-9,Muhammad Qureshi,S/O Waseem Malik,5370540.0,0.0,NTN-727487,Filer,0322-9273129
21301-9735785-6,Saira Bhatti,S/O Mohammad Baig,4151800.0,0.0,NTN-984738,Filer,0345-3610403
54000-3762900-3,Bilal Rivi,S/O Faisal Tarar,2850750.0,0.0,NTN-110279,Filer,0302-6130054
42101-1689543-9,Sajid Zaidi,S/O S/O Malik Karim,10348500.0,1646610.0,NTN-310224,Filer,0331-6821657
44000-4069064-1,Baig Syed,S/O Chaudhry Mirza,47410270.0,10049090.0,NTN-643131,Filer,0346-3365227
44000-7008264-7,Faisal Gondal,S/O Hamid Rizvi,6238300.0,1499750.0,NTN-598442,Non-Filer,0321-5730365
44000-4352595-1,,S/O Asif Jafri,7861160.0,820970.0,NTN-319166,Non-Filer,0303-1690258
13302-6712992-5,Ali Sheikh,S/O Hashmi Sheikh,8905310.0,1037280.0,NTN-551584,Filer,0313-1851003
35202-7432459-4,Rukhsar Sandhu,S/O Hassan Gujjar,12178000.0,2750940.0,NTN-187107,Filer,0301-8248488
61101-2589046-1,,S/O Sidra Syed,9052200.0,766810.0,NTN-859070,Non-Filer,0301-6879622
35202-8398616-4,Hussain Nawaz,S/O Tariq Sheikh,25349830.0,2607640.0,NTN-517946,,0322-1714943
42101-5287192-6,Baig Nawaz,S/O Amna Gondal,0.0,606960.0,NTN-766577,Non-Filer,
13302-7046175-4,Zainab Gondal,S/O Ibrahim Chaudhry,6231400.0,537910.0,NTN-101921,Filer,0311-2045711
54000-9694039-8,Muhammad Khan,S/O Bilal Gilani,18165900.0,1763480.0,NTN-559663,Filer,0332-4535838
54000-5033945-4,Sana Gujjar,S/O Muhammad Malik,9751750.0,1814030.0,NTN-209930,Non-Filer,0346-4644223
42101-5849642-6,Noor Qureshi,S/O Tahir Naqvi,3368900.0,0.0,,Non-Filer,0300-8217146
,Muhammad Syed,S/O Ali Akhtar,12630640.0,3042710.0,NTN-981534,Filer,0321-9888027
42101-3264143-4,Imran Hashmi,S/O Faisal Jafri,8960510.0,1688740.0,,Filer,0346-3039130
54000-6318713-9,Ali Tarar,S/O Ali Jafri,63440770.0,4373670.0,NTN-485083,Filer,0313-1600628
44000-3068650-2,Asif Latif,S/O Sheikh Rizvi,8118950.0,649700.0,NTN-178740,Filer,0300-5197783
61101-3304991-7,Hamid Mirza,S/O Sheikh Gondal,1719790.0,0.0,,Filer,0321-8676822
42101-5212123-9,Kashif Abbasi,S/O Faisal Bhatti,6582530.0,1035930.0,NTN-346664,Non-Filer,0333-2182736
35202-9022880-7,Hassan Naqvi,S/O Iqra Rafiq,25724830.0,3911900.0,NTN-873984,Filer,0312-9167350
35202-6103316-8,Bushra Nawaz,S/O Chaudhry Hussain,12489420.0,1776190.0,NTN-789712,Filer,0333-5782489
35202-9749335-7,Ibrahim Ansari,S/O Sidra Syed,13005680.0,873860.0,NTN-152500,Filer,0313-1939470
35202-3330870-6,Mehwish Malik,S/O Qureshi Malik,2932030.0,0.0,NTN-829053,Filer,0333-8827320
44000-9918107-2,Zainab Karim,S/O Rukhsar Ahmed,244390.0,0.0,NTN-953468,Filer,0322-1360516
54000-9915844-4,Ibrahim Gondal,S/O Qureshi Sheikh,9042030.0,1540330.0,NTN-829475,Non-Filer,0331-1496862
54000-4198590-1,Hina Hussain,S/O Bilal Rafiq,2468510.0,0.0,NTN-781444,Non-Filer,0332-7965359
42101-2245765-2,Arif Bhatti,S/O Zubair Sandhu,20425110.0,1221030.0,NTN-717785,Filer,0345-2736358
61101-6853208-2,Uzma Qureshi,S/O Faisal Hameed,211403430.0,33823470.0,NTN-524108,Filer,0300-4163608
61101-8767916-9,Naeem Rizvi,S/O Salman Nawaz,58777370.0,7752580.0,NTN-722870,Filer,0303-8728009
13302-4798902-3,Omar Qureshi,S/O Adnan Ahmed,47497020.0,5357370.0,NTN-332393,Filer,0311-9556101
21301-8663806-1,Bushra Zaidi,S/O Asma Zaidi,9919650.0,1876930.0,NTN-487630,Filer,0333-1365247
42101-1872177-7,Mohammad Malik,S/O Baig Hashmi,10785210.0,778850.0,NTN-381514,Filer,0332-5688198
21301-2856383-4,Baig Hussain,S/O Sajid Abbasi,18421140.0,2633170.0,NTN-383294,Filer,0303-5722003
13302-8579433-8,Hamid Naqvi,S/O Omar Iqbal,2390240.0,0.0,NTN-948946,Filer,0333-7711989
42101-3335484-6,Raja Zaidi,S/O Zainab Syed,10139070.0,2441410.0,NTN-478489,Filer,0322-6385396
35202-8627990-1,Muhammad Hashmi,S/O Mirza Abbasi,12448390.0,2417840.0,NTN-904234,Filer,0312-7893107
,Hamid Ansari,S/O Nadia Hameed,19046700.0,1131390.0,NTN-975188,Filer,0345-6452440
21301-1274196-9,Mehwish Zaidi,S/O Qureshi Gondal,10994740.0,1434290.0,NTN-310635,Filer,0345-1858921
54000-6404707-5,Hassan Qureshi,S/O Shoaib Sandhu,8684920.0,1128880.0,NTN-845303,Non-Filer,0311-7846972
42101-3655793-2,Syed Bukhari,S/O Hina Iqbal,0.0,8139640.0,NTN-257618,Filer,0301-7090624
21301-9226619-5,Aamir Khan,S/O Naveed Jafri,2263160.0,0.0,NTN-458925,Non-Filer,0302-9528624
61101-9419411-1,Waseem Chattha,S/O Imran Ali,0.0,8531630.0,NTN-282038,Filer,0346-9336696
44000-2363526-9,Hamid Syed,S/O Amna Gujjar,8082250.0,1515200.0,NTN-764978,Non-Filer,0321-3507771
21301-5234273-6,Aamir Nawaz,S/O Ali Raja,2032140.0,0.0,NTN-905257,Non-Filer,
35202-8683125-9,Qureshi Butt,S/O Sobia Jafri,11840490.0,1411170.0,NTN-385410,Filer,0331-4755594
61101-3760560-6,Bilal Ansari,S/O Muhammad Hashmi,1682740.0,0.0,NTN-284645,Filer,0303-3422611
35202-2203302-8,Faisal Khan,S/O Zubair Gujjar,22068270.0,3266830.0,NTN-148161,Filer,0300-4362310
42101-4329866-1,Sheikh Ansari,S/O Bilal Ali,17212510.0,3873390.0,NTN-452763,Filer,0303-4724852
54000-2106581-8,Asif Latif,S/O Sana Raza,2380820.0,0.0,NTN-138965,,0333-2797731
44000-6238726-9,Sobia Hashmi,S/O Nadia Zaidi,648460.0,0.0,NTN-411344,Non-Filer,0300-1467937
13302-9350925-2,Aamir Rizvi,S/O Hina Tarar,4226920.0,0.0,NTN-254534,Filer,0300-8319190
,Omar Gujjar,S/O Noor Naqvi,18286920.0,2620110.0,NTN-474186,Filer,0302-2147606
54000-1590299-7,Kashif Bhatti,S/O عمر شیخ,7615080.0,0.0,NTN-107815,Filer,0322-3689591
44000-5400534-6,Naveed Karim,S/O Ibrahim Ahmed,4768440.0,0.0,NTN-474551,Filer,0345-7224807
54000-9744886-9,Usman Ansari,S/O Hashmi Sandhu,11170670.0,2546010.0,NTN-672875,Filer,0301-3149873
42101-3499028-1,Zubair Tarar,S/O Zainab Virk,19967070.0,4740670.0,NTN-700605,Filer,0321-5391265
54000-2393146-1,محمد حسن,S/O Rizwan Tarar,1823390.0,0.0,NTN-418880,Filer,0332-3710352
35202-9172494-9,Kamarn Akhtar,S/O Hina Virk,4100570.0,0.0,,Non-Filer,0301-8551975
21301-7597943-9,Rukhsar Nawaz,S/O Chaudhry Gujjar,35947260.0,3593740.0,NTN-640674,Filer,0312-7853980
44000-4674948-4,Zainab Nawaz,S/O Rabia Hashmi,1699200.0,0.0,NTN-693385,Non-Filer,0333-4637043
42101-6842624-1,Naveed Butt,S/O Uzma Gujjar,11662050.0,1543660.0,NTN-255830,Filer,0311-9579549
13302-5277208-3,Waseem Latif,S/O Kashif Abbasi,15898110.0,2803710.0,NTN-809966,Filer,0345-8807275
35202-7666403-4,Ayesha Gujjar,S/O Chaudhry Nawaz,15155300.0,2517430.0,NTN-932307,Filer,0301-6211168
21301-9721525-1,Hussain Hussain,S/O Mohammad Malik,2581120.0,0.0,NTN-473876,Filer,0346-4635438
44000-8249042-8,Shazia Baig,S/O Rabia Abbasi,2958840.0,0.0,NTN-441123,Filer,0333-2602797
13302-7284551-7,Shazia Gilani,S/O Raja Mirza,2707040.0,0.0,NTN-578722,Filer,0331-1480221
54000-2325893-6,Uzma  Gilani,S/O Asma Sandhu,225449920.0,17525060.0,NTN-636756,Filer,0333-9037616
35202-8422984-5,Ali Zaidi,S/O Kashif Hashmi,22230630.0,1494250.0,NTN-819482,Filer,0333-5983850
61101-9513036-2,Sana Godnal,S/O Asma Mirza,16830710.0,2503120.0,NTN-507772,Filer,0346-2332904
44000-2208201-7,Sobia Gilani,S/O Fatima Baig,18413840.0,1204550.0,NTN-780994,Filer,0302-8273871
21301-1858900-3,Mehwish Malik,S/O Uzma Rizvi,48656630.0,8432060.0,NTN-584430,Filer,0313-9206838
13302-6200234-4,Tariq Virk,,6943790.0,490780.0,NTN-110542,Filer,0311-6819330
35202-9388090-1,Chaudhry Hashmi,S/O Usman Qureshi,8932340.0,614610.0,NTN-804102,Non-Filer,0331-4524729
13302-1488804-5,Amna Chaudhry,S/O Sobia Virk,28377950.0,2028600.0,NTN-626266,Filer,0302-7250732
61101-1642255-9,Naveed Hussain,S/O Naeem Gujjar,1858640.0,0.0,NTN-473035,Filer,0311-6078724
44000-1258768-4,Asif Hussain,S/O Hussain Gujjar,6740450.0,499190.0,NTN-203468,Non-Filer,0301-5300855
21301-1211709-1,Hina Ansari,S/O Tariq Mirza,3059570.0,0.0,NTN-142427,,0302-5450972
44000-2335002-2,Asif Ahmed,S/O Arif Gujjar,4181400.0,0.0,NTN-125466,Filer,0321-4842066
61101-8098339-3,Syed Gujjar,S/O Iqra Tarar,61023840.0,14299690.0,NTN-280881,Filer,0332-2712355
35202-7087100-6,Khalid Rizvi,S/O Kashif Karim,60489770.0,3272330.0,NTN-930423,Filer,0311-1165479
42101-3294753-7,Uzma Jafri,S/O Ibrahim Nawaz,2050050.0,0.0,NTN-901981,Filer,0301-9831475
54000-5711201-4,Tariq Raza,S/O Hassan Gilani,14038630.0,2025250.0,NTN-435821,Filer,0331-2985251
54000-5196564-4,Hamid Zaidi,S/O Raja Gondal,668160.0,0.0,NTN-650748,Non-Filer,0312-8186377
35202-6103052-8,Ahmed Zaidi,S/O Hamid Syed,0.0,7598630.0,NTN-436766,Filer,0322-4277979
44000-8150182-8,Mirza Sheikh,S/O Salman Syed,2128570.0,0.0,NTN-174855,Filer,0311-2494395
54000-5929391-5,Sobia Sheikh,S/O Khalid Butt,3581830.0,0.0,NTN-882259,Filer,
13302-5069072-2,Noor Raza,S/O Hashmi Rafiq,23866230.0,4133880.0,NTN-620458,Filer,0345-9400848
21301-8345974-7,Shoaib Abbasi,,6053170.0,1250370.0,NTN-184655,Non-Filer,0302-9999365
21301-5547933-4,Asif Iqbal,S/O Sidra Qureshi,4462470.0,0.0,NTN-763366,Filer,0300-3303715
21301-8697738-9,Waseem Raza,S/O Ahmed Gujjar,1856520.0,0.0,NTN-731108,Filer,0346-7532363
13302-8525486-5,Muhammad Naqvi,S/O Waseem Naqvi,5276570.0,0.0,NTN-888803,Filer,0321-8235206
42101-5027876-7,Mirza Ansari,S/O Rizwan Baig,14980070.0,2389560.0,NTN-739884,Filer,0302-7517997
54000-4948271-2,Sana Ahmed,S/O Sana Rizvi,57549100.0,10619300.0,NTN-672653,Filer,0301-7627705
13302-2926425-7,Hassan Butt,S/O Sheikh Hussain,47343770.0,11465740.0,NTN-735007,Filer,0312-2210480
61101-2021141-2,Bushra Virk,S/O Waseem Chaudhry,903310.0,0.0,NTN-691751,Filer,0333-1889532
21301-1097123-1,Mohammad Rana,S/O Rabia Rizvi,38495540.0,7328290.0,NTN-728996,Filer,0302-8741067
44000-3289941-3,Omar  Rizvi,S/O Baig Mirza,9947290.0,1657210.0,NTN-610339,Non-Filer,0332-3769345
13302-2866934-5,Mohammad Hussain,,2418420.0,0.0,NTN-767168,Filer,0303-4554677
44000-4003006-4,عمر شیخ,S/O Khalid Iqbal,17324900.0,1042650.0,NTN-922381,Filer,0301-2942882
42101-9142618-6,Iqra Sheikh,S/O Shoaib Jafri,35009490.0,3299310.0,NTN-329064,Filer,0300-2670586
13302-4420763-9,Iqra Qureshi,S/O Arif Aslam,7149020.0,1611010.0,NTN-193607,Non-Filer,0345-7656175
42101-1524686-4,Ahmed Syed,S/O S/O مریم چودھری,955100.0,0.0,NTN-688396,Non-Filer,0346-7519606
35202-7927055-9,Zubair Rafiq,,35542220.0,5622330.0,NTN-397112,Filer,0313-5088328
44000-3376537-2,Syed Raza,S/O Sajid Gondal,167310370.0,24431170.0,NTN-798194,Filer,0301-7267813
61101-2831874-2,Shoai Rizvi,S/O Tahir Karim,4386010.0,0.0,NTN-589061,Filer,0331-1342811
44000-6014103-7,Faisal Gondal,S/O Sajid Virk,25803920.0,4436760.0,NTN-184048,Filer,0302-3864291
54000-8460359-6,Kamran Jafri,S/O S/O Hina Ali,4945620.0,0.0,NTN-581141,Filer,0345-3349162
21301-1898747-4,زینب علی,S/O Mehwish Rafiq,5310690.0,0.0,NTN-632206,Filer,0322-1972828
35202-5586300-3,Kashif Gilani,S/O Ayesha Iqbal,50571440.0,11315960.0,NTN-928392,Filer,0345-1954560
35202-4387157-8,Assma Khan,S/O Sobia Mirza,19413050.0,4794920.0,NTN-104653,Filer,0303-8946752
61101-3443510-3,Mehwish Chaudhry,S/O Asma Virk,18762360.0,3954930.0,NTN-635022,Filer,0321-3618291
35202-1288318-9,محمد علی,S/O Shoaib Rafiq,8253930.0,489030.0,NTN-563147,Non-Filer,0300-4579217
54000-1437625-6,Asma Butt,S/O Naveed Syed,2110700.0,0.0,NTN-204483,Filer,0302-9427608
42101-4603654-8,Amna Tarar,S/O Sajid Ahmed,18213180.0,3612150.0,NTN-405387,Filer,0331-9812447
54000-2915297-8,Shoaib Khan,S/O Sidra Bhatti,2163980.0,0.0,NTN-282977,Filer,0313-1666699
44000-4665598-4,Waseem Gilani,S/O Sajid Gujjar,17518610.0,2173330.0,NTN-731363,Filer,0301-6238838
21301-3057197-9,Waseem Ansari,S/O Ayesha Hameed,15820910.0,1254530.0,NTN-241769,Filer,0321-1567676
42101-2960855-5,Qureshi Ali,S/O S/O Adnan Chaudhry,4219050.0,0.0,NTN-302058,Filer,0312-1923311
,Faisal Malik,S/O Qureshi Gilani,0.0,2267370.0,NTN-922644,Filer,0303-8965027
44000-1976246-1,Ahmed Gujjar,S/O Asif Sheikh,9586380.0,660060.0,NTN-469163,Filer,0346-5660093
44000-2426438-4,Sidra Butt,S/O Rukhsar Naqvi,10115530.0,2396710.0,NTN-247071,Filer,0333-9870853
13302-7640518-5,,S/O Maryam Rafiq,444010.0,0.0,NTN-988052,Filer,0345-1822825
21301-3655504-9,Ayesha Naqvi,S/O Sana Sandhu,97105560.0,14549490.0,NTN-361603,Filer,0333-5184066
61101-8022366-7,Ahmed Tarar,S/O Mohammad Khan,39589400.0,7083180.0,NTN-314200,Filer,0333-4186247
42101-4083390-1,Ibrahim Gondal,S/O Adnan Akhtar,2591420.0,0.0,NTN-569594,Non-Filer,0312-2224168
13302-2783932-7,Hina Gilani,S/O S/O Tariq Butt,989340.0,0.0,NTN-860732,Non-Filer,0321-7796309
54000-5406317-5,Aamir Karim,S/O Zainab Raja,17284800.0,0.0,NTN-691978,Filer,0311-3162462
54000-6262932-6,Nadia Zaidi,S/O S/O Khalid Aslam,10070790.0,1257720.0,NTN-493054,Filer,0321-4441570
54000-5510178-3,Bushra Nawaz,S/O Raja Gilani,12543730.0,2578440.0,NTN-324337,Filer,0301-4518167
13302-3441467-1,Baig Rafiq,S/O Naveed Syed,1656980.0,0.0,NTN-725265,Filer,0313-6089336
21301-8611954-8,Noor Ansari,S/O Shoaib Latif,6462210.0,1306940.0,,Non-Filer,0303-5466142
35202-1749647-7,Waseem Gujjar,S/O Raja Rafiq,13047090.0,1866670.0,NTN-694585,Filer,0321-6667733
44000-5770101-7,Ibrahim Hameed,S/O Kamran Hashmi,1705920.0,0.0,NTN-751398,Non-Filer,0333-3811508
35202-8675769-4,Tahir Abbasi,S/O Rukhsar Nawaz,13756130.0,2076740.0,NTN-532967,Filer,0301-5394082
35202-3363821-4,Bushra Hussain,S/O Hashmi Nawaz,23657200.0,4027790.0,NTN-827127,Filer,0345-9743967
35202-5793722-4,Shoaib Gondal,S/O Rukhsar Rana,18987910.0,3301230.0,NTN-972324,Filer,0301-3321531
61101-3988644-3,محمد احمد,S/O Sajid Ansari,11619450.0,1911780.0,NTN-502075,Filer,0311-4640461
21301-3231294-3,محمد احمد,S/O Adnan Tarar,2415740.0,0.0,NTN-629364,Filer,0301-2439838
61101-4786284-5,Shoaib Bukhari,S/O Fatima Raza,11374420.0,1605120.0,NTN-465768,Filer,0313-5927097
35202-5156449-8,Mayam Rana,,4666700.0,0.0,NTN-702191,Non-Filer,0331-3663319
61101-7167441-2,ابراہیم ملک,S/O Sheikh Gujjar,36645640.0,6097990.0,NTN-765372,Filer,0332-3316762
,Rukhsar Ali,S/O Amna Butt,1548990.0,0.0,NTN-427869,Non-Filer,0312-2816485
35202-5235884-8,Hassan Aslam,S/O Mehwish Tarar,76463220.0,7182000.0,NTN-864056,Filer,0321-2242892
35202-5404222-4,Aamir Hameed,S/O Amna Rizvi,9382170.0,618010.0,NTN-666745,Non-Filer,0301-5067493
35202-7264587-9,Rabia Akhtar,S/O Iqra Rafiq,24259690.0,2326420.0,NTN-906142,Filer,0331-3623726
54000-7929467-5,Mohammad Gilani,S/O Sajid Qureshi,24802250.0,3606980.0,NTN-441943,Filer,0321-4256866
54000-5542460-8,Mirza Gujjar,S/O Shoaib Syed,8537020.0,571560.0,NTN-878351,Filer,0313-1326358
44000-3058301-2,Faisal Baig,S/O Mehwish Baig,183641600.0,27275430.0,,Filer,0301-2298244
35202-5156449-8,Maryam Rana,S/O Sidra Ali,4600400.0,0.0,NTN-933494,Filer,0331-3663319
21301-6794047-6,Mehwish Rana,S/O Baig Bukhari,22249700.0,4919730.0,NTN-761578,Filer,0311-9892515
54000-6100571-3,Chaudhry Tarar,S/O Kamran Baig,17264880.0,2632640.0,NTN-168387,Filer,0346-2948559
61101-2925245-1,Muhammad Tarar,S/O Fatima Ansari,0.0,12874340.0,NTN-223113,Filer,0303-4530062
,Mohammad Tarar,S/O Arif Ahmed,6057820.0,396180.0,NTN-674751,Non-Filer,0333-9207919
61101-5673634-8,Sheikh Malik,S/O Rizwan Aslam,32805450.0,3251800.0,NTN-217417,Filer,0313-2547571
54000-9374137-4,,S/O Usman Karim,2681510.0,0.0,NTN-118906,Filer,0300-8113716
42101-9575042-2,Mehwish Nwaz,S/O Amna Hussain,20653860.0,4826740.0,NTN-697831,Filer,0346-3249784
13302-1857027-6,Hassan Abbasi,S/O Asma Mirza,12045520.0,1192340.0,NTN-544728,Filer,0321-2952975
44000-1996308-8,Bilal Rizvi,S/O Syed Hameed,11015660.0,2586380.0,NTN-903709,Filer,0322-3453452
13302-1916788-1,Rukhsar Abbasi,S/O Rabia Malik,5219380.0,0.0,NTN-670201,Non-Filer,0333-2197664
54000-5748621-5,Naveed Bhatti,S/O Mirza Nawaz,23675060.0,5540820.0,NTN-863702,Filer,0313-2632751
21301-6497756-8,Nadia Malik,S/O Omar Qureshi,3549870.0,0.0,NTN-693512,Non-Filer,0322-3408715
54000-9797239-1,Qureshi Bhatti,S/O Zubair Akhtar,1840040.0,0.0,NTN-553579,Non-Filer,0302-9907653
61101-7646550-3,,S/O Kashif Ahmed,9139980.0,969720.0,NTN-313969,Non-Filer,0300-7147324
35202-8202898-6,Hussain Hashmi,S/O Raja Raza,238352110.0,29178670.0,NTN-871881,Filer,0301-2977692
35202-2274860-9,Chaudhry Naqvi,S/O Ayesha Gujjar,31811930.0,6273840.0,NTN-445999,Filer,0313-8481226
61101-1912429-9,Usman Hashmi,S/O Raja Karim,4568700.0,0.0,NTN-523065,Filer,0332-1753948
61101-7061280-8,Waseem Rizvi,S/O Salman Hussain,4885380.0,0.0,,Non-Filer,0301-4178256
21301-9021674-9,Bushra Ahmed,S/O Rizwan Bukhari,10175200.0,1180280.0,NTN-391072,Filer,0346-7229533
54000-8077313-9,Rukhsar Rizvi,S/O Sheikh Malik,17378250.0,3342690.0,NTN-144385,Filer,0333-2463815
21301-6825310-3,Ali Khan,S/O محمد علی,8100600.0,734510.0,,Filer,0301-8621774
44000-5527803-2,Mehwish Ahmed,S/O Imran Ansari,32209110.0,3507790.0,NTN-942498,Filer,0331-5556644
21301-5620307-5,Bilal Latif,S/O Chaudhry Raja,12224870.0,2929940.0,NTN-276341,Filer,0303-5196416
21301-8192211-7,Omar Karim,S/O Sidra Ahmed,6627480.0,1577130.0,NTN-577780,Filer,0321-2024902
54000-2493623-1,Kamran Baig,S/O Rabia Iqbal,8798120.0,1237820.0,NTN-617507,Non-Filer,0311-3460150
35202-7830591-7,Raja Sheikh,S/O Kashif Latif,9660980.0,682590.0,NTN-640260,Filer,0345-2169844
54000-3566765-7,Sobia Karim,S/O S/O Amna Gondal,478010.0,0.0,NTN-512484,Non-Filer,0345-9111742
61101-1603622-6,Faisal Syed,S/O Kashif Qureshi,20147310.0,1211820.0,NTN-636772,Filer,0345-8626061
35202-1761639-9,Asma Virk,S/O Saira Latif,5958510.0,0.0,NTN-149719,Filer,0313-4301874
54000-7502214-5,ابراہیم ملک,S/O Fatima Khan,37960570.0,9457670.0,NTN-405730,Filer,0311-2482006
13302-4488036-4,Saira Iqbal,S/O Tariq Raja,17513220.0,4161470.0,NTN-656462,Filer,0322-3970974
13302-1451391-6,Zainab Latif,S/O Ayesha Mirza,29096060.0,6024010.0,NTN-561876,Filer,0321-1016421
42101-7496043-2,Hashmi Rana,S/O Hassan Jafri,3311850.0,0.0,NTN-104776,Non-Filer,0331-2334419
44000-5875114-6,Ibrahim Baig,S/O Sajid Aslam,19392680.0,3802040.0,NTN-681577,Filer,0322-6408662
54000-6916056-7,Salman Cheema,S/O Ahmed Akhtar,7652130.0,531690.0,NTN-819885,Non-Filer,0331-2480812
35202-7093251-2,Kamran Raja,S/O Fatima Bukhari,1705460.0,0.0,NTN-899416,Non-Filer,0303-4713450
42101-5593203-9,Hashmi Malik,S/O Rabia Abbasi,165977240.0,16073390.0,NTN-602067,Filer,0333-4644931
35202-1051325-4,Sheikh Khan,S/O Mirza Khan,13915030.0,1842220.0,NTN-983081,Filer,0322-3553925
44000-4698345-9,Adnan Gujjar,S/O Kashif Hameed,93896920.0,19001760.0,NTN-139231,Filer,0332-1681517
61101-8119368-1,عمر یشخ,S/O Rukhsar Bhatti,35014030.0,2692040.0,NTN-498378,Filer,0333-2865954
13302-6627064-7,Rizwan Rafiq,S/O Maryam Sandhu,16730370.0,2434570.0,NTN-767771,Filer,0332-8291789
21301-6443321-1,علی حسین,S/O Arif Bukhari,3749520.0,0.0,NTN-570305,Non-Filer,0302-1266744
54000-8459558-3,Sheikh Ali,S/O Hussain Sheikh,4624900.0,0.0,,Non-Filer,0300-3142127
42101-8957610-5,Syed Akhtar,S/O Mirza Gondal,13241760.0,2284590.0,NTN-779591,Filer,0312-3034448
13302-1293064-6,Mohammad Bhatti,S/O Sidra Nawaz,5509640.0,0.0,NTN-421462,Non-Filer,0345-6669364
35202-4353806-5,Tariq Jafri,S/O Sajid Aslam,1176950.0,0.0,NTN-568292,Filer,0332-5203716
21301-9444584-5,Ibrahim Raja,S/O S/O Rizwan Karim,5395960.0,0.0,NTN-279471,,0333-9728991
54000-6371348-3,Omar Malik,S/O Waseem Latif,11991790.0,770590.0,NTN-217355,Filer,0302-8402708
13302-3277672-7,Fatima Chattha,,18782110.0,2038400.0,NTN-277393,Filer,0303-1139015
35202-5148717-7,Amna Bhatti,S/O Muhammad Butt,6402840.0,1566470.0,NTN-497901,Filer,0346-9449101
21301-2496053-3,Hashmi Chattha,S/O Rabia Ali,21092090.0,1985260.0,NTN-419834,Filer,0313-2612275
54000-1571205-4,Hina Latif,S/O Zubair Akhtar,70729560.0,3572830.0,NTN-321955,Filer,0322-6257967
44000-9536450-2,صنا ملک,S/O Rukhsar Gilani,8063330.0,969660.0,NTN-624333,Non-Filer,0300-5163789
54000-1731815-6,Chaudhry Latif,S/O Tahir Chaudhry,11982070.0,2082100.0,NTN-827862,Filer,0300-3284457
35202-3776934-8,Naeem Bhatti,S/O Faisal Bhatti,114185080.0,20746160.0,NTN-923090,Filer,0345-7547256
61101-2809688-2,Ayesha Rana,S/O Fatima Ansari,73623610.0,14962770.0,NTN-837258,Filer,0313-5035441
42101-1348529-8,Aamir Bhatti,S/O Fatima Iqbal,207640.0,0.0,NTN-795007,,0322-4225237
35202-7428774-7,Sajid Ansari,S/O Fatima Jafri,18402170.0,2832390.0,NTN-374150,Filer,0300-7338242
21301-9506567-5,Ali Latif,S/O Muhammad Malik,7180310.0,924760.0,NTN-537635,Non-Filer,0301-3153482
54000-9735513-6,Asma Qureshi,S/O Amna Bhatti,7075890.0,946900.0,NTN-220091,Filer,0312-9586060
61101-6980635-8,Mohammad Iqbal,S/O Fatima Malik,6132200.0,1469420.0,NTN-141806,Non-Filer,0302-1072165
42101-2480480-2,Bilal Sandhu,S/O Rukhsar Baig,15159900.0,2590830.0,NTN-375590,Filer,0333-1222888
42101-8935169-7,Usman Hameed,S/O Usman Zaidi,67372170.0,5474470.0,NTN-930218,Filer,0312-8106470
13302-5031599-1,Sheikh Chattha,S/O Mohammad Khan,1106670.0,0.0,NTN-274441,Filer,0313-6361758
61101-2139884-2,Fatima Gondal,S/O Sheikh Tarar,16296040.0,2499250.0,NTN-294669,Filer,0321-3153907
42101-9900502-9,Muhammad Ahmed,S/O Hamid Sandhu,1860270.0,0.0,NTN-781091,Filer,0312-3276975
13302-4325969-7,Maryam Chattha,S/O Hashmi Ahmed,23556250.0,2625840.0,NTN-784570,Filer,0302-7705326
13302-8095702-1,Hina Zaidi,S/O Rabia Bhatti,103120020.0,14091260.0,NTN-386822,Filer,0312-2738129
54000-2987959-2,Shazia Abbasi,S/O Zubair Jafri,13354550.0,2014360.0,NTN-250636,Filer,0333-6362226
44000-4230948-1,Omar Latif,S/O Ayesha Mirza,40528420.0,9398110.0,NTN-672841,Filer,0333-7718915
54000-5069835-1,Muhammad Syed,S/O Ali Akhtar,12140480.0,2611150.0,NTN-566920,Filer,0321-9888027
21301-9863748-6,Bushra Hussain,S/O Kashif Gilani,5448270.0,0.0,NTN-766853,Filer,0333-2851681
