canonical_name,father_name,cnic,consumer_id,meter_no,address,city,province
Saira Baig,S/O Zainab Bukhari,42101-3030225-1,CON-70576836,MTR-5951012,"House 192, Block E, Clifton, Hub",Hub,Balochistan
Hassan Bhatti,S/O Syed Khan,35202-5855738-3,CON-99112925,MTR-1283551,"House 487, Block E, DHA, Muzaffarabad",Muzaffarabad,Azad Kashmir
Fatima Baig,S/O Rizwan Qureshi,44000-7607124-2,CON-27695330,MTR-8176250,"House 465, Block C, Clifton, Mirpur",Mirpur,Azad Kashmir
Naeem Ahmed,,21301-5552826-4,CON-86085535,MTR-3241507,"House 386, Block B, PAF Colony, Sargodha",Sargodha,Punjab
Muhammad Chaudhry,S/O Ayesha Jafri,54000-2027878-8,CON-14869627,MTR-7598115,"House 450, Block D, Model Town, Abbottabad",Abbottabad,KPK
Aamir Hussain,S/O Noor Bukhari,35202-7045114-6,CON-25683846,MTR-3406597,"House 280, Block A, Defence, Khuzdar",Khuzdar,Balochistan
Sidra Gilani,S/O S/O Rabia Gondal,42101-8433377-4,CON-56871700,MTR-7347015,"House 398, Block D, F-10, Chilas",Chilas,Gilgit-Baltistan
Saira Syed,S/O Naveed Syed,13302-7920776-8,CON-13489592,MTR-1692838,"House 141, Block C, Gulshan-e-Iqbal, Quetta",Quetta,Balochistan
Bushra Ahmed,S/O Rukhsar Rizvi,35202-2596150-3,CON-34783719,MTR-3717869,"House 500, Block C, Saddar, Kohat",Kohat,KPK
Asif Cheema,S/O S/O Rizwan Bukhari,54000-6988766-4,CON-65804388,MTR-3700038,"House 164, Block B, Bahria Town, Turbat",Turbat,Balochistan
Naveed Cheema,S/O Sajid Gondal,54000-6900247-3,CON-96940470,MTR-4311778,"House 29, Block D, Scheme 33, Rawalpindi",Rawalpindi,Punjab
Muhammad Hussain,S/O Qureshi Sheikh,35202-3260300-6,CON-16226544,MTR-7682793,"House 176, Block A, Bahria Town, Islamabad",Islamabad,ICT
Hassan Rafiq,S/O Nadia Hashmi,42101-6327664-1,CON-32103135,MTR-9470556,"House 371, Block F, I-8, Faisalabad",Faisalabad,Punjab
Qureshi Shheikh,S/O Kamran Hussain,42101-8062979-8,CON-76834566,MTR-6847620,"House 383, Block A, Johar Town, Khuzdar",Khuzdar,Balochistan
Baig Tarar,S/O Hina Virk,42101-4605337-2,CON-53895790,MTR-2117513,"House 464, Block E, Cavalry Ground, Islamabad",Islamabad,ICT
Hussain Virk,S/O S/O Mohammad Abbasi,42101-7669918-9,CON-97350488,MTR-5520604,"House 270, Block C, Gulshan-e-Iqbal, Hyderabad",Hyderabad,Sindh
Syed Ansari,S/O Mirza Abbasi,54000-2153651-7,CON-42006810,MTR-5330096,"House 419, Block H, Cavalry Ground, Khuzdar",Khuzdar,Balochistan
Mehwish Ahmed,S/O Aamir Iqbal,13302-7086861-2,CON-78341230,MTR-6311366,"House 224, Block G, Defence, Bahawalpur",Bahawalpur,Punjab
Muhamad Sheikh,S/O Kashif Chattha,42101-4797091-5,CON-64117589,MTR-6184774,"House 436, Block E, Clifton, Gwadar",Gwadar,Balochistan
Salman Baig,S/O Sidra Rana,13302-6182478-7,CON-24837694,MTR-6253926,"House 174, Block C, DHA, Muzaffarabad",Muzaffarabad,Azad Kashmir
Rizwan Abbasi,S/O Uzma Hashmi,,CON-36907661,MTR-5141553,"House 276, Block H, Cavalry Ground, Mingora",Mingora,KPK
Khalid Latif,S/O Shazia Bukhari,42101-2301665-1,CON-56301914,MTR-4891747,"House 227, Block A, Defence, Gujranwala",Gujranwala,Punjab
Ibrahim Ansari,S/O Asma Bukhari,21301-9404610-5,CON-51750169,MTR-2888383,"House 158, Block F, PAF Colony, Islamabad",Islamabad,ICT
Mehwish Mirza,S/O Naeem Butt,54000-1568626-6,CON-40377056,MTR-2294934,"House 275, Block D, Bahria Town, Rawalakot",Rawalakot,Azad Kashmir
,S/O S/O Sobia Malik,35202-9578269-4,CON-90968914,MTR-7318331,"House 374, Block D, Bahria Town, Muzaffarabad",Muzaffarabad,Azad Kashmir
Muhammad Baig,S/O Omar Khan,13302-2546177-5,CON-92745718,MTR-2618470,"House 460, Block B, Model Town, Mirpur",Mirpur,Azad Kashmir
Muhammad Syed,S/O Hashmi Khan,35202-3147673-4,CON-20288711,MTR-3836537,"House 167, Block D, Bahria Town, Faisalabad",Faisalabad,Punjab
Sidra Rafiq,S/O Hina Virk,61101-7379126-9,CON-80772723,MTR-1667154,"House 374, Block C, Cantt, Hub",Hub,Balochistan
Naveed Bhatti,S/O Bilal Nawaz,35202-3684740-4,CON-87990444,MTR-3968927,"House 144, Block H, I-8, Bannu",Bannu,KPK
Muhammad Sandhu,S/O محمد احمد,13302-5431397-9,CON-29342613,MTR-2829574,"House 85, Block C, G-9, Mirpur",Mirpur,Azad Kashmir
Muhammad Abbasi,S/O Khalid Malik,42101-7815319-5,CON-63084341,MTR-9580860,"House 332, Block H, Scheme 33, Hub",Hub,Balochistan
Sana Chattha,S/O Malik Bukhari,54000-2764731-1,CON-24659430,MTR-2565165,"House 275, Block G, Gulshan-e-Iqbal, Skardu",Skardu,Gilgit-Baltistan
Bilal Chattha,S/O Syed Gilani,42101-9037659-1,CON-79108425,MTR-9687130,"House 424, Block E, Askari, Bannu",Bannu,KPK
Baig Rafiq,S/O Ahmed Syed,35202-7055334-9,CON-83886478,MTR-1995380,"House 30, Block E, Defence, Sargodha",Sargodha,Punjab
Ayesha Syed,S/O Raja Gondal,42101-6379429-7,CON-60743149,MTR-7697357,"House 204, Block H, Johar Town, Multan",Multan,Punjab
Mirza Ansari,S/O Ahmed Hashmi,35202-6996458-6,CON-34884368,MTR-2619023,"House 345, Block H, Township, Muzaffarabad",Muzaffarabad,Azad Kashmir
Hashmi Gondal,S/O Asma Hashmi,13302-1669504-4,CON-64933075,MTR-8732358,"House 322, Block A, Township, Skardu",Skardu,Gilgit-Baltistan
Iqra Hashmi,S/O Sana Bhatti,13302-8722075-2,CON-47782498,MTR-1584311,"House 445, Block G, E-11, Gujranwala",Gujranwala,Punjab
Tahir Khan,S/O Ali Aslam,,CON-44755353,MTR-6903312,"House 272, Block B, Cantt, Mirpurkhas",Mirpurkhas,Sindh
Adnan Zaidi,S/O Chaudhry Ahmed,,CON-24554833,MTR-1831324,"House 22, Block F, G-9, Sialkot",Sialkot,Punjab
Muhammad Karim,S/O Zubair Malik,21301-6669621-6,CON-20545777,MTR-6977638,"House 333, Block G, Askari, Khuzdar",Khuzdar,Balochistan
Asif Hussain,S/O Kamran Ahmed,54000-4103640-9,CON-27227013,MTR-5567667,"House 306, Block E, PAF Colony, Larkana",Larkana,Sindh
,S/O Usman Bukhari,35202-5340909-4,CON-44885187,MTR-5717476,"House 201, Block H, Gulshan-e-Iqbal, Chilas",Chilas,Gilgit-Baltistan
Zainab Virk,S/O Shazia Tarar,35202-9353325-1,CON-82536800,MTR-2459314,"House 142, Block C, Bahria Town, Muzaffarabad",Muzaffarabad,Azad Kashmir
Muhammad Tarar,S/O Shazia Chattha,54000-2358013-5,CON-49597835,MTR-5970052,"House 454, Block F, Gulshan-e-Iqbal, Abbottabad",Abbottabad,KPK
Waseem Khan,S/O Fatima Virk,35202-1548033-6,CON-71152622,MTR-9286570,"House 198, Block B, G-9, Mirpur",Mirpur,Azad Kashmir
Hussain Malik,S/O Adnan Iqbal,42101-3601944-5,CON-39456369,MTR-5506705,"House 21, Block F, PAF Colony, Multan",Multan,Punjab
Raja Butt,S/O محمد احمد,35202-1341202-3,CON-71367999,MTR-8278112,"House 159, Block E, G-9, Islamabad",Islamabad,ICT
Muhammad Iqbal,S/O Shoaib Hussain,35202-7094266-1,CON-14122172,MTR-3757857,,Mingora,KPK
Ali Rizvi,S/O Iqra Gujjar,42101-1458360-1,CON-42620352,MTR-2863774,"House 366, Block G, DHA, Rawalakot",Rawalakot,Azad Kashmir
Muhammad Bhatti,S/O Sidra Ali,13302-6400239-5,CON-68595347,MTR-5880017,"House 411, Block D, Bahria Town, Khuzdar",Khuzdar,Balochistan
Hashmi Sandhu,S/O Zainab Latif,54000-7390726-6,CON-76596365,MTR-4682167,"House 200, Block A, Cantt, Gujranwala",Gujranwala,Punjab
Fatima Zaidi,S/O Asif Gondal,44000-1003987-9,CON-51396625,MTR-5868947,"House 85, Block F, DHA, Nawabshah",Nawabshah,Sindh
Bushra Hussain,S/O Kashif Gilani,21301-9863748-6,CON-86075638,MTR-3206505,"House 74, Block A, F-10, Islamabad",Islamabad,ICT
Zubair Gujjar,S/O Tariq Mirza,21301-6973542-9,CON-71501592,MTR-7719078,"House 478, Block A, North Nazimabad, Mingora",Mingora,KPK
Noor Mirza,S/O Fatima Naqvi,61101-4018551-6,CON-34662604,MTR-1464658,"House 76, Block E, Gulshan-e-Iqbal, Islamabad",Islamabad,ICT
Arif Gujjar,,42101-4639503-1,CON-39027252,MTR-6266885,"House 270, Block F, Saddar, Hub",Hub,Balochistan
Kashif Ansari,S/O Nadia Rafiq,,CON-35356697,MTR-8889790,"House 214, Block H, Clifton, Islamabad",Islamabad,ICT
Arif Jafri,S/O Muhammad Raja,54000-7332193-8,CON-43543153,MTR-1826774,"House 425, Block E, North Nazimabad, Quetta",Quetta,Balochistan
Maryam Rizvi,S/O Shazia Syed,44000-5812035-5,CON-58508751,MTR-2789435,"House 209, Block F, Gulberg, Sialkot",Sialkot,Punjab
Tariq Ansari,S/O Amna Sandhu,13302-1907396-2,CON-26236627,MTR-2342832,"House 486, Block G, E-11, Nawabshah",Nawabshah,Sindh
Arif Gondal,S/O Malik Jafri,54000-3277572-8,CON-33233228,MTR-4483083,"House 212, Block A, Defence, Islamabad",Islamabad,ICT
Usman Gilani,S/O Hashmi Rizvi,42101-8833150-1,CON-42581715,MTR-7673081,"House 410, Block E, Cavalry Ground, Sukkur",Sukkur,Sindh
Sana Sheikh,S/O Asma Zaidi,35202-8108462-6,CON-12647793,MTR-3289134,"House 394, Block C, Cantt, Gwadar",Gwadar,Balochistan
Mohammad Mirza,S/O Naeem Nawaz,54000-6567970-8,CON-59444943,MTR-9072317,"House 399, Block F, I-8, Islamabad",Islamabad,ICT
Raja Jafri,,42101-1493600-7,CON-32191656,MTR-3784093,"House 67, Block A, Cavalry Ground, Hub",Hub,Balochistan
Rizwan Syed,,21301-2462708-3,CON-32786531,MTR-9739496,"House 396, Block C, Scheme 33, Karachi",Karachi,Sindh
Hina Sheikh,S/O Uzma Syed,35202-9634692-5,CON-40301427,MTR-3986326,"House 13, Block E, Johar Town, Lahore",Lahore,Punjab
Baig Gondal,S/O Ayesha Butt,21301-4900918-2,CON-64411295,MTR-8552572,"House 405, Block A, Gulshan-e-Iqbal, Chilas",Chilas,Gilgit-Baltistan
Ayesha Bukhari,S/O Syed Tarar,54000-4134515-5,CON-36438136,MTR-4589921,"House 274, Block F, Johar Town, Mirpurkhas",Mirpurkhas,Sindh
Usman Karim,S/O Bilal Hussain,54000-3242474-8,CON-84132761,MTR-4243419,"House 114, Block C, Saddar, Islamabad",Islamabad,ICT
Shoaib Jafri,S/O Hina Jafri,35202-4373270-9,CON-42259368,MTR-1206039,"House 102, Block B, Clifton, Turbat",Turbat,Balochistan
Kashif Nawaz,S/O زینب علی,21301-2061726-3,CON-75554926,MTR-6209923,"House 426, Block H, Cantt, Khuzdar",Khuzdar,Balochistan
علی حسین,S/O Rabia Naqvi,42101-6978769-9,CON-84823255,MTR-9293959,"House 421, Block B, F-10, Turbat",Turbat,Balochistan
Salman Bhatti,S/O Qureshi Ali,61101-6786800-6,CON-88570186,MTR-3874430,"House 228, Block G, Township, Bahawalpur",Bahawalpur,Punjab
Muhammad Mirza,S/O Rabia Sandhu,54000-8662433-5,CON-93283070,MTR-8458430,"House 299, Block A, PAF Colony, Sialkot",Sialkot,Punjab
Tariq Hssain,S/O Hussain Abbasi,44000-7756586-6,CON-90746339,MTR-3986292,"House 398, Block G, G-9, Sargodha",Sargodha,Punjab
Iqra Naqvi,S/O Tariq Butt,13302-8632670-5,CON-24459735,MTR-4468801,"House 149, Block F, Township, Bannu",Bannu,KPK
Sajid Khan,S/O Usman Khan,13302-1523448-1,CON-20868452,MTR-2472377,"House 493, Block C, Model Town, Hub",Hub,Balochistan
Bushra Hameed,S/O Mohammad Virk,13302-2381560-3,CON-33357674,MTR-4332268,"House 156, Block H, Saddar, Kohat",Kohat,KPK
Waseem Hashmi,S/O Raja Baig,61101-9271666-1,CON-31276202,MTR-9656832,"House 364, Block E, Clifton, Bannu",Sargodha,Punjab
Hina Ansari,S/O Tariq Mirza,21301-1211709-1,CON-51547305,MTR-5851925,"House 280, Block D, Johar Town, Gilgit",Gilgit,Gilgit-Baltistan
Rizwan Syed,,54000-3906397-9,CON-70235689,MTR-5007190,"House 318, Block A, I-8, Gujranwala",Gujranwala,Punjab
Khalid Iqbal,S/O Hina Bhatti,44000-7217994-4,CON-91564443,MTR-6909738,"House 63, Block D, G-9, Quetta",Quetta,Balochistan
Sidra Rana,S/O Shazia Syed,54000-9964482-6,CON-58248360,MTR-7406865,"House 494, Block C, Defence, Sialkot",Sialkot,Punjab
Zubair Raza,S/O Iqra Tarar,13302-9464296-2,CON-60078152,MTR-3812075,"House 263, Block D, E-11, Gilgit",Gilgit,Gilgit-Baltistan
Maryam Rizvi,S/O Tariq Chattha,42101-3780888-3,CON-13273376,MTR-2632671,"House 101, Block F, Cavalry Ground, Gilgit",Gilgit,Gilgit-Baltistan
Muhammad Nawaz,S/O Uzma Gujjar,42101-9410136-5,CON-50636305,MTR-8570925,"House 222, Block F, PAF Colony, Peshawar",Peshawar,KPK
,S/O Ali Baig,42101-1909825-3,CON-45035201,MTR-7929629,"House 346, Block F, Johar Town, Gilgit",Gilgit,Gilgit-Baltistan
Khalid Mirza,S/O Asif Jafri,13302-5686507-1,CON-99080993,MTR-2622318,"House 222, Block G, Scheme 33, Gwadar",Gwadar,Balochistan
محمد احمد,S/O Malik Jafri,54000-5873580-4,CON-20148014,MTR-5699300,"House 107, Block G, Cantt, Islamabad",Islamabad,ICT
Waseem Bukhari,S/O Ahmed Syed,54000-3190036-8,CON-24945736,MTR-7704953,"House 492, Block C, Clifton, Larkana",Larkana,Sindh
Arif Sandhu,S/O Sobia Akhtar,21301-6884980-7,CON-14164448,MTR-4971537,,Mirpur,Azad Kashmir
Naveed Hashmi,S/O Ayesha Mirza,54000-2446060-8,CON-62072779,MTR-8688838,"House 156, Block D, Askari, Khuzdar",Khuzdar,Balochistan
Bushra Zaidi,S/O Hassan Gondal,21301-3478727-4,CON-20484887,MTR-6022203,"House 441, Block B, Askari, Multan",Multan,Punjab
Sobia Raza,S/O Ayesha Cheema,21301-2593364-1,CON-42097349,MTR-9990039,,Rawalpindi,Punjab
Iqra Virk,S/O Salman Naqvi,,CON-65184617,MTR-8227566,"House 61, Block H, Gulberg, Skardu",Skardu,Gilgit-Baltistan
Zubair Abbasi,S/O Rabia Gilani,21301-4112254-3,CON-95267731,MTR-3019195,"House 307, Block F, Model Town, Gilgit",Gilgit,Gilgit-Baltistan
Sobia Hussain,S/O Waseem Raza,44000-7291774-1,CON-84803899,MTR-9361235,"House 146, Block B, Clifton, Skardu",Skardu,Gilgit-Baltistan
Zubair Tarar,S/O Shoaib Bukhari,44000-8920589-3,CON-94828252,MTR-8168529,"House 204, Block F, Defence, Islamabad",Islamabad,ICT
Fatima Mirza,S/O Nadia Karim,35202-9580718-3,CON-48870441,MTR-4344987,"House 425, Block D, E-11, Muzaffarabad",Muzaffarabad,Azad Kashmir
Arif Rafiq,S/O Ayesha Gondal,13302-3092879-8,CON-10730109,MTR-2587072,"House 278, Block G, Defence, Bannu",Bannu,KPK
Uzma Hussain,S/O Amna Gondal,42101-9724378-4,CON-49543607,MTR-9079173,"House 228, Block G, I-8, Mingora",Mingora,KPK
Aamir Naqvi,S/O S/O Imran Nawaz,21301-3934217-9,CON-56753926,MTR-8632590,"House 22, Block E, Gulshan-e-Iqbal, Hub",Hub,Balochistan
Kamran Sandhu,S/O Sidra Naqvi,21301-2031591-2,CON-88411261,MTR-1553320,"House 472, Block H, Gulberg, Muzaffarabad",Muzaffarabad,Azad Kashmir
Mirza Sheikh,S/O صنا ملک,44000-2663726-3,CON-30933880,MTR-7323108,"House 316, Block C, Johar Town, Mirpurkhas",Mirpurkhas,Sindh
,S/O Faisal Malik,42101-1506662-8,CON-42675058,MTR-9362754,"House 292, Block C, DHA, Islamabad",Sukkur,Sindh
Muhammad Baig,S/O Asif Hashmi,42101-3032166-1,CON-66238950,MTR-9549767,"House 33, Block G, Township, Lahore",Lahore,Punjab
Usman Naqvi,S/O Adnan Baig,35202-2616879-6,CON-56210136,MTR-8781037,"House 40, Block F, Clifton, Turbat",Turbat,Balochistan
Sajid Sandhu,S/O Noor Sheikh,44000-1110277-4,CON-27545432,MTR-2549533,"House 335, Block F, Bahria Town, Karachi",Karachi,Sindh
Nadia Virk,S/O Khalid Rizvi,35202-5772932-6,CON-87796584,MTR-9955349,"House 452, Block G, Model Town, Muzaffarabad",Muzaffarabad,Azad Kashmir
Noor Syed,S/O Imran Butt,13302-5915693-7,CON-10022832,MTR-6446347,"House 102, Block A, I-8, Rawalakot",Rawalakot,Azad Kashmir
Rukhsar Rizvi,S/O Iqra Chaudhry,54000-1929242-8,CON-69248724,MTR-6401214,"House 431, Block G, Saddar, Mirpur",Mirpur,Azad Kashmir
Bilal Chattha,S/O Asif Butt,35202-1871707-7,CON-41069376,MTR-1542168,"House 116, Block F, Cavalry Ground, Gwadar",Gwadar,Balochistan
,S/O Sheikh Malik,54000-6752446-4,CON-65663841,MTR-7517425,"House 85, Block E, F-10, Rawalakot",Rawalakot,Azad Kashmir
Syed Gilani,S/O Salman Butt,35202-7636635-8,CON-72033316,MTR-2775437,"House 208, Block E, North Nazimabad, Quetta",Quetta,Balochistan
Imran Chaudhry,S/O Imran Raza,54000-9453252-9,CON-56348008,MTR-2382719,"House 209, Block A, PAF Colony, Quetta",Quetta,Balochistan
Mirza Hashmi,S/O Khalid Jafri,54000-3386832-5,CON-50502706,MTR-5753223,"House 416, Block H, I-8, Sukkur",Sukkur,Sindh
Chaudhry Abbasi,S/O Rabia Hussain,61101-2691506-4,CON-51546602,MTR-9028130,"House 314, Block B, I-8, Skardu",Skardu,Gilgit-Baltistan
Ahmed Latif,S/O Shoaib Gujjar,61101-4309652-4,CON-95278217,MTR-2729748,"House 227, Block B, Gulshan-e-Iqbal, Rawalpindi",Rawalpindi,Punjab
,S/O Muhammad Ansari,44000-4005993-3,CON-81293746,MTR-3531785,"House 49, Block E, Cavalry Ground, Islamabad",Islamabad,ICT
Muhammad Zaidi,S/O Sobia Tarar,61101-3460948-6,CON-92037281,MTR-7450927,"House 477, Block B, Gulshan-e-Iqbal, Muzaffarabad",Muzaffarabad,Azad Kashmir
Zubair Chaudhry,S/O Amna Gujjar,13302-9949005-9,CON-66640508,MTR-2860876,"House 151, Block B, Model Town, Chilas",Chilas,Gilgit-Baltistan
Muhammad Chattha,S/O Kamran Gilani,54000-2885894-7,CON-85132065,MTR-7949906,"House 388, Block F, Saddar, Quetta",Quetta,Balochistan
Tariq Gilani,S/O Usman Akhtar,13302-2901290-2,CON-90526472,MTR-8460910,"House 413, Block E, I-8, Bannu",Bannu,KPK
Mohammad Syed,S/O Asma Gujjar,54000-7502921-1,CON-92022232,MTR-1812386,"House 255, Block B, F-10, Mirpur",Mirpur,Azad Kashmir
Hamid Ansari,S/O عمر شیخ,13302-4303493-2,CON-72521594,MTR-7682487,"House 146, Block A, Bahria Town, Larkana",Larkana,Sindh
,S/O Imran Syed,54000-8377556-7,CON-93244356,MTR-8879184,"House 409, Block E, Gulberg, Abbottabad",Abbottabad,KPK
Bilal Zaidi,S/O Ibrahim Chattha,54000-4372867-3,CON-25213206,MTR-1408315,"House 299, Block F, Model Town, Faisalabad",Faisalabad,Punjab
Zubair Virk,S/O Ibrahim Gondal,21301-7729218-1,CON-59584820,MTR-3785397,"House 393, Block A, Cavalry Ground, Gilgit",Gilgit,Gilgit-Baltistan
Waseem Tarar,S/O Faisal Hussain,54000-5336203-1,CON-12040395,MTR-9395060,"House 127, Block H, I-8, Rawalakot",Rawalakot,Azad Kashmir
Sobia Baig,S/O Zubair Zaidi,54000-4025884-2,CON-33326866,MTR-3260821,"House 390, Block C, Gulshan-e-Iqbal, Abbottabad",Abbottabad,KPK
Bilal Virk,S/O Asif Sheikh,35202-9191498-4,CON-13745667,MTR-5718982,"House 435, Block E, PAF Colony, Mingora",Mingora,KPK
Tahir Rana,S/O Tahir Chaudhry,35202-7137334-9,CON-88164269,MTR-4731208,"House 424, Block G, Township, Sargodha",Sargodha,Punjab
Mirza Gujjar,S/O Shoaib Syed,54000-5542460-8,CON-63110599,MTR-4288635,"House 454, Block E, Township, Skardu",Skardu,Gilgit-Baltistan
Naeem Sandhu,S/O Saira Tarar,,CON-30991266,MTR-9309015,"House 111, Block F, North Nazimabad, Islamabad",Islamabad,ICT
Ahmed Tarar,S/O Naeem Karim,54000-4878329-7,CON-36418291,MTR-9507567,"House 411, Block C, Askari, Lahore",Lahore,Punjab
Bushra Jafri,S/O Ali Gilani,42101-7660850-9,CON-84272340,MTR-2469079,"House 323, Block G, Defence, Muzaffarabad",Islamabad,ICT
Hussain Hashmi,S/O Raja Raza,35202-8202898-6,CON-99820033,MTR-3068254,"House 25, Block B, North Nazimabad, Islamabad",Islamabad,ICT
Saira Aslam,S/O Aamir Baig,44000-2897507-8,CON-18924273,MTR-2592804,"House 5, Block D, Askari, Bahawalpur",Bahawalpur,Punjab
,S/O Asif Raza,21301-5534911-9,CON-85208752,MTR-3583688,"House 386, Block G, Clifton, Sukkur",Sukkur,Sindh
Kashif Akhtar,S/O Bilal Tarar,35202-4321723-8,CON-50646663,MTR-8783543,"House 371, Block B, Gulberg, Quetta",Quetta,Balochistan
Zubair Raza,S/O Qureshi Chaudhry,21301-3008349-3,CON-30410221,MTR-6980842,"House 401, Block A, Askari, Islamabad",Islamabad,ICT
Sobia Naqvi,S/O Tahir Butt,44000-2311972-4,CON-91623447,MTR-7927203,"House 287, Block H, Clifton, Muzaffarabad",Muzaffarabad,Azad Kashmir
Sobia Zaidi,S/O Bilal Naqvi,13302-3283248-1,CON-82450879,MTR-9314380,"House 366, Block C, Scheme 33, Nawabshah",Nawabshah,Sindh
Muhammad Zaidi,S/O Tariq Syed,61101-1979480-7,CON-62273231,MTR-4275709,"House 462, Block C, PAF Colony, Gwadar",Gwadar,Balochistan
Bilal Hashmi,,42101-7273543-1,CON-50093548,MTR-4872074,"House 100, Block C, Bahria Town, Hub",Hub,Balochistan
Rabia Gujjar,S/O Rabia Rafiq,13302-2619844-3,CON-54376096,MTR-1018009,"House 351, Block D, E-11, Muzaffarabad",Muzaffarabad,Azad Kashmir
Tahir Hameed,S/O Malik Baig,42101-6854419-2,CON-72389228,MTR-3608098,"House 61, Block C, Clifton, Islamabad",Islamabad,ICT
Mehwish Gujjar,S/O Rizwan Nawaz,21301-1356549-7,CON-13597498,MTR-1739690,"House 241, Block B, I-8, Skardu",Skardu,Gilgit-Baltistan
Malik Syed,S/O Shoaib Mirza,13302-1113537-5,CON-46169827,MTR-1739642,"House 266, Block D, Askari, Turbat",Turbat,Balochistan
Muhammad Sheikh,S/O Salman Rana,44000-8159977-4,CON-61094618,MTR-3428216,"House 259, Block C, Bahria Town, Bannu",Bannu,KPK
Chaudhry Qureshi,S/O Noor Nawaz,54000-3751054-1,CON-10165812,MTR-5319873,"House 348, Block C, E-11, Gilgit",Gilgit,Gilgit-Baltistan
Aamir Gujjar,S/O نادیہ رضا,,CON-95039232,MTR-1023368,"House 298, Block E, DHA, Islamabad",Islamabad,ICT
Qureshi Cheema,S/O Hashmi Butt,61101-1869210-9,CON-63018026,MTR-1872120,"House 230, Block F, Cavalry Ground, Lahore",Lahore,Punjab
Muhammad Jafri,S/O Muhammad Bhatti,42101-1249619-7,CON-98662934,MTR-4787095,"House 350, Block E, Cavalry Ground, Lahore",Lahore,Punjab
Muhammad Ali,S/O Ali Virk,13302-9905434-4,CON-58312940,MTR-8267395,"House 160, Block D, G-9, Quetta",Quetta,Balochistan
Khalid Akhtar,S/O احمد خان,44000-3542507-3,CON-60214280,MTR-5162925,"House 3, Block C, Gulshan-e-Iqbal, Islamabad",Islamabad,ICT
Naeem Hameed,S/O Hassan Ahmed,44000-8267158-7,CON-76592674,MTR-7503417,"House 144, Block H, Johar Town, Sukkur",Sukkur,Sindh
Arif Hussain,S/O S/O Hina Butt,61101-1910586-4,CON-17507274,MTR-5667283,"House 367, Block H, Model Town, Mirpur",Mirpur,Azad Kashmir
Hamid Hashmi,S/O Hussain Baig,13302-2485573-9,CON-30391238,MTR-9325707,"House 299, Block A, DHA, Islamabad",Islamabad,ICT
Ayesha Aslam,S/O Sajid Hussain,21301-6312708-8,CON-75564959,MTR-4804342,"House 258, Block B, Township, Faisalabad",Faisalabad,Punjab
محمد احمد,S/O Chaudhry Virk,42101-9328853-3,CON-34933327,MTR-2424662,"House 317, Block F, Cantt, Hyderabad",Hyderabad,Sindh
Baig Mirza,S/O Waseem Aslam,44000-4603881-7,CON-79607596,MTR-3255587,"House 366, Block H, Saddar, Sukkur",Sukkur,Sindh
Kammran Ahmed,,42101-7437737-3,CON-50472097,MTR-2990464,"House 421, Block A, Gulshan-e-Iqbal, Sukkur",Sukkur,Sindh
Muhammad Bukhari,S/O Adnan Sheikh,44000-6849505-1,CON-40388897,MTR-5320567,"House 367, Block C, Scheme 33, Turbat",Turbat,Balochistan
Muhammad Sheikh,S/O Zubair Cheema,35202-4032684-2,CON-64156737,MTR-1484898,"House 312, Block F, Defence, Gilgit",Gilgit,Gilgit-Baltistan
Ali Rizvi,S/O Iqra Gujjar,42101-1458360-1,CON-13921276,MTR-7013154,"House 366, Block G, DHA, Rawalakot",Rawalakot,Azad Kashmir
Salman Rizvi,S/O عمر شیخ,44000-5452921-5,CON-29083251,MTR-4992529,"House 215, Block E, F-10, Quetta",Quetta,Balochistan
Maryam Rizvi,S/O Tariq Chattha,42101-3780888-3,CON-25498268,MTR-3741622,"House 101, Block F, Cavalry Ground, Gilgit",Gilgit,Gilgit-Baltistan
Amna Ali,S/O Mehwish Iqbal,54000-1729297-9,CON-28431323,MTR-4693687,"House 213, Block D, Saddar, Gujranwala",Gujranwala,Punjab
Hamid Bhatti,S/O Maryam Sandhu,44000-3873429-4,CON-92812323,MTR-2264193,"House 14, Block B, DHA, Gilgit",Gilgit,Gilgit-Baltistan
Hussain Rana,S/O Hussain Mirza,35202-9272134-4,CON-32661976,MTR-6279442,"House 439, Block G, PAF Colony, Karachi",Karachi,Sindh
Ibrahim Gondal,S/O Adnan Akhtar,42101-4083390-1,CON-30857497,MTR-1211466,"House 460, Block A, Model Town, Mardan",Mardan,KPK
Uzma Hameed,S/O صنا ملک,44000-1236755-5,CON-69478908,MTR-9511058,"House 303, Block D, Gulberg, Mardan",Mardan,KPK
Khalid Naqvi,S/O Aamir Chattha,54000-4306809-3,CON-59972040,MTR-6189967,"House 89, Block A, Gulberg, Bahawalpur",Bahawalpur,Punjab
Asma Khan,S/O Hina Cheema,61101-4393282-3,CON-64769775,MTR-4943280,"House 410, Block F, G-9, Skardu",Skardu,Gilgit-Baltistan
Muhammad Hussain,S/O Rukhsar Butt,54000-5502839-2,CON-44637379,MTR-8734416,"House 370, Block C, Askari, Rawalakot",Rawalakot,Azad Kashmir
Imran Gondal,S/O Syed Rizvi,13302-5077356-2,CON-44156060,MTR-2457810,"House 174, Block D, Gulshan-e-Iqbal, Quetta",Quetta,Balochistan
Shoib Karim,S/O Chaudhry Latif,54000-8002077-6,CON-12616332,MTR-5473388,"House 287, Block F, Johar Town, Mirpur",Mirpur,Azad Kashmir
