canonical_name,father_name,cnic,passport_no,nationality,city,travelling_from,destination,travel_date,visa_type,reason_to_travel
Sana Gondal,S/O Asma Mirza,61101-9513036-2,AB1035704,Pakistani,Khuzdar,Pakistan,UK,2016-04-04,Tourist,Education
Rukhsar Syed,S/O Qureshi Latif,13302-4341962-1,AB5416175,Pakistani,Gujranwala,Pakistan,China,2023-10-13,Business,Education
Sobia Gilani,S/O Bilal Raza,54000-9587835-9,AB8663566,Pakistani,Multan,Pakistan,Saudi Arabia,2021-10-25,Tourist,Tourism
Asma Qureshi,S/O Amna Bhatti,54000-9735513-6,AB2236271,Pakistani,Multan,Pakistan,Germany,2020-03-03,Tourist,Business Meeting
Ibrahim Sheikh,S/O Qureshi Chaudhry,13302-6798183-3,AB7297241,Pakistani,Mirpur,Pakistan,France,2016-01-06,Student,Medical Treatment
Usman Gilani,S/O Hashmi Rizvi,42101-8833150-1,AB5615939,Pakistani,Sukkur,Pakistan,UK,2019-04-26,Work,Education
Mohd Karim,S/O Hina Jafri,44000-2577439-9,AB5646954,Pakistani,Bahawalpur,Pakistan,Malaysia,2015-05-26,Student,Business Meeting
Mohd Mallik,S/O Sheikh Bhatti,44000-4407669-2,AB3441146,Pakistani,Rawalpindi,Pakistan,Turkey,2023-04-23,Work,Family Visit
Iqra Raza,S/O Rabia Raja,13302-9090434-9,AB2269690,Pakistani,Quetta,Pakistan,Germany,2022-09-24,Work,Tourism
Aif Chaudhry,S/O نادیہ رضا,61101-5885366-2,AB3421157,Pakistani,Mirpur,Pakistan,China,2023-03-08,Tourist,Employment
,S/O Shoaib Raja,42101-3533709-1,AB7177401,Pakistani,Mingora,Pakistan,Saudi Arabia,2017-03-03,Visit,Employment
Rukhsar Rafiq,S/O Imran Zaidi,61101-7508485-7,AB8624493,Pakistani,Turbat,Pakistan,Saudi Arabia,2016-08-23,Business,Tourism
Adnan Chaudhry,,44000-2419895-5,AB3144045,Pakistani,Islamabad,Pakistan,Malaysia,2021-12-08,Tourist,Education
نادیہ رضا,S/O Syed Abbasi,13302-7884809-2,AB6681101,Pakistani,Bannu,Pakistan,UAE,2015-03-18,Visit,Business Meeting
Qureshi Akhtar,S/O Hussain Virk,21301-4961940-8,AB9763873,Pakistani,Quetta,Pakistan,Saudi Arabia,2023-06-07,Business,Family Visit
محمد حسن,S/O Rizwan Tarar,54000-2393146-1,AB8678397,Pakistani,Faisalabad,Pakistan,UAE,2023-02-20,Visit,Employment
Rabia Ali,,44000-3024725-1,AB4452917,Pakistani,Karachi,Pakistan,UAE,2018-10-17,Tourist,Tourism
Fatima Raja,S/O Raja Ahmed,54000-3307012-1,AB3588226,Pakistani,Chilas,Pakistan,Saudi Arabia,2019-02-15,Business,Employment
Usman Qureshi,S/O Adnan Malik,21301-7419206-6,AB5876158,Pakistani,Mirpur,Pakistan,Turkey,2021-07-17,Tourist,Employment
Mirza Hussain,S/O Usman Qureshi,21301-1926012-2,AB7789484,Pakistani,Islamabad,Pakistan,Malaysia,2019-05-14,Visit,Education
مریم چودھری,S/O Hamid Rana,44000-5866006-8,AB8968116,Pakistani,Hub,Pakistan,USA,2023-05-06,Work,Medical Treatment
علی حسین,S/O Asif Karim,21301-7730232-5,AB3408772,Pakistani,Turbat,Pakistan,Saudi Arabia,2023-07-12,Tourist,Business Meeting
Asif Qureshi,S/O صنا ملک,13302-7599278-5,AB2307780,Pakistani,Chilas,Pakistan,USA,2022-02-09,Tourist,Employment
,S/O Arif Aslam,44000-9148679-4,AB2367103,Pakistani,Karachi,Pakistan,Germany,2019-09-08,Student,Tourism
عائشہ احمد,S/O Shazia Gondal,35202-8367521-1,AB2039318,Pakistani,Larkana,Pakistan,UK,2016-01-22,Work,Family Visit
Mohd Latif,S/O Hashmi Jafri,44000-8117210-6,AB5737483,Pakistani,Islamabad,Pakistan,UAE,2017-08-17,Visit,Education
Sobia Tarar,S/O Bushra Rizvi,42101-2353245-2,AB1479496,Pakistani,Khuzdar,Pakistan,USA,2016-02-16,Work,Tourism
Bushra Hussain,S/O Kashif Gilani,21301-9863748-6,AB1739551,Pakistani,Islamabad,Pakistan,China,2020-12-26,Student,Medical Treatment
Ayesha Mirza,S/O S/O Naveed Butt,21301-6817736-8,AB4220396,Pakistani,Skardu,Pakistan,Saudi Arabia,2019-08-17,Student,Tourism
Imran Hashmi,S/O Faisal Jafri,42101-3264143-4,AB2167786,Pakistani,Hub,Pakistan,Germany,2022-09-15,Business,Employment
Ahmed Gondl,S/O Kashif Tarar,21301-9374201-8,AB8549547,Pakistani,Nawabshah,Pakistan,China,2022-10-08,Student,Family Visit
Ibrahim Chattha,S/O Zainab Hameed,42101-7443279-2,AB5829610,Pakistani,Multan,Pakistan,UK,2016-08-31,Tourist,Business Meeting
Mohd Bhatti,S/O Sidra Ali,13302-6400239-5,AB8926537,Pakistani,Khuzdar,Pakistan,UK,2018-11-16,Student,Education
Asif Bukhari,S/O Fatima Ansari,35202-2471018-5,,Pakistani,Islamabad,Pakistan,China,2016-01-27,Business,Employment
Syed Raa,S/O Sajid Gondal,44000-3376537-2,AB5545164,Pakistani,Islamabad,Pakistan,USA,2020-09-09,Business,Tourism
Usman Sandhu,S/O Hussain Butt,54000-3814446-7,AB8520566,Pakistani,Islamabad,Pakistan,Turkey,2022-01-06,Visit,Family Visit
Sajid Akhtar,S/O Shoaib Iqbal,13302-9095897-9,AB2794870,Pakistani,Islamabad,Pakistan,Germany,2017-05-17,Student,Employment
Malik Gilani,S/O نادیہ رضا,21301-2508997-6,AB8952277,Pakistani,Khuzdar,Pakistan,Turkey,2019-06-10,Student,Tourism
Baig Qureshi,S/O Ibrahim Abbasi,21301-4249147-7,AB6699996,Pakistani,Karachi,Pakistan,UK,2015-12-28,Business,Family Visit
,S/O Mirza Nawaz,61101-3427676-5,AB7612607,Pakistani,Chilas,Pakistan,France,2015-02-08,Student,Employment
Uzma Gujjar,S/O Sobia Naqvi,21301-2329821-7,AB6502768,Pakistani,Quetta,Pakistan,France,2015-04-19,Work,Employment
Asif Nawaz,S/O Qureshi Raja,35202-4096807-8,AB6482244,Pakistani,Sargodha,Pakistan,Germany,2018-06-06,Student,Education
Rukhsar Akhtar,S/O Tahir Gilani,61101-1101997-4,AB7707124,Pakistani,Quetta,Pakistan,UK,2023-04-21,Work,Medical Treatment
Kashif Zaidi,S/O Adnan Sheikh,44000-1824058-9,AB4305811,Pakistani,Muzaffarabad,Pakistan,UAE,2023-03-28,Business,Education
Kashif Baig,S/O Kamran Naqvi,42101-9182891-7,AB4906013,Pakistani,Rawalpindi,Pakistan,China,2017-02-02,Work,Tourism
Hashmi Mirza,S/O Sana Chaudhry,42101-9744546-2,AB3247175,Pakistani,Mirpur,Pakistan,Germany,2019-05-21,Work,Business Meeting
مریم چودھری,S/O Ahmed Latif,42101-1062440-6,,Pakistani,Quetta,Pakistan,Germany,2022-07-13,Tourist,Employment
Asma Sheikh,S/O Ali Raja,21301-8115666-4,AB8597383,Pakistani,Gilgit,Pakistan,Malaysia,2016-10-18,Student,Business Meeting
Omar Butt,S/O Salman Hussain,35202-9396377-9,AB3601799,Pakistani,Muzaffarabad,Pakistan,Turkey,2022-10-13,Visit,Tourism
Mohd Akhtar,S/O مریم چودھری,21301-3330688-5,AB4035148,Pakistani,Islamabad,Pakistan,UAE,2021-09-09,Student,Business Meeting
Sidra Virk,S/O Bilal Ansari,44000-2514792-5,AB9841191,Pakistani,Mingora,Pakistan,France,2016-06-29,Work,Employment
Hamid Ansari,S/O عمر شیخ,13302-4303493-2,AB8372853,Pakistani,Larkana,Pakistan,USA,2018-06-06,Tourist,Tourism
Zubair Gujjar,S/O Chaudhry Zaidi,61101-8780933-1,AB8344718,Pakistani,Nawabshah,Pakistan,Germany,2022-05-17,Work,Employment
Syed Rafiq,S/O Asif Tarar,61101-7096643-2,AB9634579,Pakistani,Hyderabad,Pakistan,Malaysia,2019-06-03,Tourist,Family Visit
Mohd Malik,S/O Raja Bukhari,,AB5622040,Pakistani,Mingora,Pakistan,China,2021-07-07,Tourist,Employment
Asma Chaudhry,S/O Raja Rafiq,,AB8264598,Pakistani,Mirpur,Pakistan,Germany,2020-07-16,Work,Employment
Hina Abbasi,S/O Shoaib Ansari,35202-4609586-7,AB7749103,Pakistani,Rawalakot,Pakistan,Canada,2020-05-16,Student,Medical Treatment
Mohd Raza,S/O Shoaib Aslam,35202-2663361-6,AB9333114,Pakistani,Sargodha,Pakistan,China,2023-12-10,Tourist,Family Visit
Hassan Iqbal,S/O محمد احمد,42101-5892423-6,AB9427348,Pakistani,Larkana,Pakistan,Malaysia,2018-01-06,Business,Business Meeting
Hamid Hashmi,S/O عمر شیخ,42101-3523183-4,AB3344921,Pakistani,Khuzdar,Pakistan,UAE,2017-02-26,Work,Employment
Ahmed Bhatti,,13302-5222957-8,AB5411545,Pakistani,Sialkot,Pakistan,Saudi Arabia,2022-11-19,Student,Tourism
Tariq Hussain,,44000-7756586-6,AB9753431,Pakistani,Sargodha,Pakistan,France,2016-06-19,Business,Tourism
Sajid Aslam,S/O نادیہ رضا,54000-6949694-8,AB4762445,Pakistani,Skardu,Pakistan,China,2016-01-29,Student,Business Meeting
Mohd Chaudhry,S/O Imran Raza,54000-6872665-1,AB8229634,Pakistani,Abbottabad,Pakistan,France,2020-03-01,Visit,Business Meeting
Omar Ansari,S/O Syed Rafiq,21301-1907969-9,AB2235790,Pakistani,Chilas,Pakistan,Malaysia,2019-06-30,Tourist,Family Visit
Asma Bukhari,S/O Salman Gondal,61101-5529124-9,AB3003708,Pakistani,Larkana,Pakistan,Malaysia,2015-01-08,Student,Tourism
Mohd Zaidi,S/O Saira Bhatti,13302-9512372-9,AB4262474,Pakistani,Hyderabad,Pakistan,Malaysia,2017-07-30,Student,Business Meeting
Syed Sheikh,S/O علی حسین,21301-3357609-5,AB1609982,Pakistani,Sialkot,Pakistan,USA,2017-04-29,Business,Family Visit
علی حسین,S/O S/O Kamran Chattha,44000-1121835-7,AB6708544,Pakistani,Islamabad,Pakistan,France,2017-06-23,Tourist,Education
Hamid Raza,S/O Malik Bukhari,35202-5132505-5,AB6966302,Pakistani,Gwadar,Pakistan,UAE,2022-12-30,Student,Employment
علی حسین,S/O Asif Karim,21301-7730232-5,AB9342802,Pakistani,Turbat,Pakistan,France,2017-11-27,Business,Tourism
Raja ondal,S/O Bushra Khan,13302-4222974-2,AB3457554,Pakistani,Mirpur,Pakistan,France,2020-02-12,Business,Tourism
Mohd Malik,S/O Zubair Naqvi,35202-1092950-8,AB7806689,Pakistani,Gilgit,Pakistan,Canada,2022-01-01,Tourist,Medical Treatment
Sheikh Rizvi,S/O Mirza Nawaz,61101-3561918-4,AB2952326,Pakistani,Rawalakot,Pakistan,Germany,2018-07-17,Visit,Family Visit
Sidra Iqbal,S/O Bushra Gondal,42101-9713948-7,AB1830107,Pakistani,Gilgit,Pakistan,Turkey,2019-08-18,Work,Business Meeting
Hashmi Jafri,S/O Nadia Gilani,42101-6771143-2,AB9084642,Pakistani,Larkana,Pakistan,Canada,2018-08-07,Student,Employment
Raja Karim,S/O Baig Akhtar,61101-8471824-6,AB4885821,Pakistani,Skardu,Pakistan,Saudi Arabia,2020-12-12,Work,Business Meeting
Muhammad Rana,S/O Rabia Sheikh,35202-7502047-1,AB3140682,Pakistani,Gwadar,Pakistan,UK,2022-11-30,Work,Medical Treatment
Hashmi Gondal,S/O Syed Raza,,AB2642826,Pakistani,Nawabshah,Pakistan,Turkey,2020-12-22,Business,Education
Mohammad Tarar,S/O Raja Rizvi,44000-5075991-5,AB4176991,Pakistani,Sialkot,Pakistan,UK,2017-04-07,Business,Education
Hussain Rana,S/O Omar Butt,21301-7048166-9,AB5673929,Pakistani,Muzaffarabad,Pakistan,Canada,2017-06-19,Business,Family Visit
Naveed Raza,S/O Fatima Bukhari,61101-7136272-8,AB8023996,Pakistani,Karachi,Pakistan,Germany,2017-05-09,Business,Tourism
Salman Hussain,S/O Ayesha Hashmi,44000-2171198-4,AB1785484,Pakistani,Skardu,Pakistan,Saudi Arabia,2020-01-06,Business,Employment
Chaudhry Rizvi,S/O Sajid Zaidi,13302-7074358-8,AB7284516,Pakistani,Kohat,Pakistan,Germany,2016-02-03,Student,Medical Treatment
Omar Hussain,,42101-1361489-3,AB5986961,Pakistani,Kohat,Pakistan,Saudi Arabia,2023-05-16,Visit,Tourism
Shazia Khan,S/O فاطمہ خان,13302-8408190-8,AB1137050,Pakistani,Turbat,Pakistan,Canada,2017-06-19,Business,Business Meeting
Mohd Chattha,S/O Naveed Nawaz,13302-1326187-6,AB5126560,Pakistani,Lahore,Pakistan,USA,2022-02-03,Student,Employment
Shazia Sheikh,S/O Ibrahim Virk,35202-7357071-6,AB7604814,Pakistani,Kohat,Pakistan,USA,2019-12-05,Visit,Tourism
Amna Iqbal,S/O Bilal Nawaz,54000-3408819-5,AB3608783,Pakistani,Gilgit,Pakistan,France,2016-06-01,Visit,Tourism
Ahmed Hashmi,S/O Imran Raza,21301-2151309-7,AB5578566,Pakistani,Nawabshah,Pakistan,Saudi Arabia,2023-03-03,Work,Business Meeting
Khalid Virk,S/O Hussain Gilani,21301-8432917-4,AB6476165,Pakistani,Muzaffarabad,Pakistan,UK,2018-11-18,Tourist,Education
Sheikh Raza,S/O Saira Virk,42101-5916819-4,AB1559636,Pakistani,Gilgit,Pakistan,UK,2017-07-16,Work,Business Meeting
Zainab Virk,,61101-4858531-8,AB6573851,Pakistani,Larkana,Pakistan,Turkey,2015-02-18,Tourist,Tourism
Hussain Butt,,42101-3448611-4,AB5353788,Pakistani,Islamabad,Pakistan,USA,2018-04-18,Business,Family Visit
Naeem Raja,S/O Zubair Raja,35202-2679685-8,AB1084023,Pakistani,Sukkur,Pakistan,USA,2018-03-03,Student,Employment
Hashmi Ali,S/O Sana Jafri,13302-1271225-3,AB3010737,Pakistani,Muzaffarabad,Pakistan,Malaysia,2022-01-20,Tourist,Employment
Zainab Gondal,S/O Rizwan Malik,54000-6020319-6,AB9019306,Pakistani,Rawalakot,Pakistan,Germany,2023-10-27,Business,Medical Treatment
Hassan Nawaz,S/O Salman Virk,54000-6522326-1,AB5569912,Pakistani,Faisalabad,Pakistan,Turkey,2021-10-26,Tourist,Employment
Hussain Rizvi,S/O Sidra Sandhu,,AB7647889,Pakistani,Chilas,Pakistan,UK,2021-08-28,Work,Family Visit
Tahir Haameed,S/O Adnan Mirza,54000-2723554-8,AB2603647,Pakistani,Mingora,Pakistan,UK,2021-05-14,Business,Employment
Aamir Bhatti,S/O Syed Ahmed,13302-5026970-8,AB1986884,Pakistani,Multan,Pakistan,Turkey,2016-05-25,Work,Medical Treatment
Khalid Malik,S/O Shoaib Hashmi,42101-5294434-4,AB7569201,Pakistani,Bahawalpur,Pakistan,Turkey,2015-08-15,Visit,Tourism
Sajid Butt,S/O Bilal Gilani,61101-4139896-9,AB5042439,Pakistani,Muzaffarabad,Pakistan,UAE,2022-11-24,Student,Tourism
Faisal Baig,S/O Mehwish Baig,44000-3058301-2,AB4473970,Pakistani,Larkana,Pakistan,Turkey,2021-05-09,Tourist,Tourism
Malik Ansari,S/O Arif Khan,13302-9321956-9,AB2515150,Pakistani,Hyderabad,Pakistan,China,2021-09-11,Business,Education
محمد علی,S/O Sobia Rana,44000-4133513-7,AB5028806,Pakistani,Rawalakot,Pakistan,Saudi Arabia,2019-10-11,Visit,Employment
Mohammad Karim,S/O Mehwish Rizvi,44000-1227408-5,AB8356400,Pakistani,Gilgit,Pakistan,Malaysia,2015-02-18,Work,Business Meeting
,S/O Shoaib Baig,13302-6319606-1,AB9544039,Pakistani,Larkana,Pakistan,France,2018-07-25,Work,Business Meeting
Usman Gondal,S/O Rizwan Gilani,35202-8120323-8,AB2120165,Pakistani,Karachi,Pakistan,Canada,2021-12-02,Visit,Business Meeting
Mohammad Virk,S/O Asif Zaidi,54000-3099471-2,AB5730919,Pakistani,Bahawalpur,Pakistan,France,2017-08-23,Student,Family Visit
Baig Gujjar,S/O Sheikh Raja,54000-4946066-7,AB3902870,Pakistani,Islamabad,Pakistan,China,2017-08-25,Work,Business Meeting
Raja Raza,S/O Khalid Butt,35202-2785378-2,AB6675995,Pakistani,Hub,Pakistan,UAE,2023-06-18,Student,Employment
Tariq Malik,S/O Omar Iqbal,54000-6227664-8,AB8011051,Pakistani,Larkana,Pakistan,UK,2021-12-08,Student,Family Visit
Khalid Iqbal,S/O Sheikh Abbasi,13302-9999150-9,AB9366119,Pakistani,Hub,Pakistan,Turkey,2016-09-28,Student,Employment
Sheikh Abbasi,S/O Baig Syed,,AB5320991,Pakistani,Multan,Pakistan,UAE,2017-07-17,Visit,Employment
Hamid Karim,S/O Hashmi Qureshi,42101-9720112-7,AB6281564,Pakistani,Rawalakot,Pakistan,UK,2018-04-19,Visit,Tourism
Shazia Chattha,S/O علی حسین,54000-9243243-1,AB2640873,Pakistani,Muzaffarabad,Pakistan,China,2015-11-10,Visit,Education
Faisal Aslam,S/O Ayesha Hussain,42101-7257158-1,AB7154302,Pakistani,Islamabad,Pakistan,Germany,2023-02-05,Work,Employment
Mohd Hameed,S/O Sidra Iqbal,44000-6752140-9,AB7529977,Pakistani,Mirpur,Pakistan,China,2021-11-30,Work,Employment
Mehwish Virk,S/O Waseem Chattha,54000-6944909-6,AB1377552,Pakistani,Gwadar,Pakistan,Germany,2020-02-14,Visit,Family Visit
Waseem Rafiq,S/O Ibrahim Bukhari,61101-5561309-4,AB6734484,Pakistani,Islamabad,Pakistan,USA,2019-02-04,Tourist,Education
Mehwish Raja,,21301-7342344-4,AB1685298,Pakistani,Islamabad,Pakistan,Germany,2020-05-28,Visit,Business Meeting
Mohd Akhtar,S/O مریم چودھری,21301-3330688-5,AB1084189,Pakistani,Islamabad,Pakistan,Canada,2015-08-25,Work,Tourism
Kashif Rjaa,S/O Tariq Tarar,61101-7923927-9,AB9938981,Pakistani,Muzaffarabad,Pakistan,France,2023-02-13,Student,Education
Nadia Mirza,S/O Nadia Cheema,21301-1079387-1,AB4455877,Pakistani,Abbottabad,Pakistan,Germany,2023-07-30,Tourist,Medical Treatment
Ibrahim Rizvi,,61101-5632933-5,AB7680156,Pakistani,Islamabad,Pakistan,Canada,2019-09-05,Tourist,Business Meeting
Imran Baig,S/O Malik Hashmi,42101-4848164-3,AB5163746,Pakistani,Peshawar,Pakistan,UK,2023-11-04,Student,Employment
Ali Raza,S/O Sobia Gilani,54000-2733144-2,AB7500186,Pakistani,Mirpurkhas,Pakistan,Saudi Arabia,2015-07-10,Business,Employment
Qureshi Rafiq,S/O Faisal Gondal,13302-9890911-2,AB6277055,Pakistani,Karachi,Pakistan,France,2018-06-08,Tourist,Medical Treatment
Amna Nawaz,S/O Hassan Ahmed,54000-8993139-7,AB6064112,Pakistani,Skardu,Pakistan,UK,2015-06-19,Business,Medical Treatment
Sidra Naqvi,S/O Tariq Syed,21301-6668862-9,AB7777876,Pakistani,Chilas,Pakistan,Germany,2018-06-28,Tourist,Employment
Sajid Jafri,S/O Baig Iqbal,44000-1764201-3,AB3857453,Pakistani,Nawabshah,Pakistan,China,2022-07-28,Visit,Education
Sobia Butt,S/O Ali Iqbal,61101-2125815-3,AB2187257,Pakistani,Bannu,Pakistan,Turkey,2017-04-29,Tourist,Employment
Iqra Aslam,S/O Mirza Abbasi,61101-4783105-7,AB5642147,Pakistani,Khuzdar,Pakistan,Malaysia,2015-10-26,Business,Education
Rukhsar Gilani,S/O Tariq Chaudhry,21301-6923972-9,AB4003471,Pakistani,Chilas,Pakistan,France,2021-09-18,Business,Tourism
Mohd Baig,S/O Sana Hameed,54000-4288660-6,AB1268570,Pakistani,Gilgit,Pakistan,UAE,2015-11-22,Student,Medical Treatment
Bilal Bukhari,S/O Tariq Hameed,61101-9033944-3,AB7895697,Pakistani,Gilgit,Pakistan,Canada,2023-01-03,Student,Business Meeting
Mohd Bhatti,S/O Sidra Rana,35202-4667366-8,AB8098210,Pakistani,Islamabad,Pakistan,USA,2016-11-27,Visit,Medical Treatment
Rukhsar Karim,S/O Malik Qureshi,61101-5418691-9,AB8702188,Pakistani,Faisalabad,Pakistan,China,2020-10-02,Visit,Business Meeting
,S/O Mehwish Baig,42101-5766182-4,AB2198995,Pakistani,Islamabad,Pakistan,Canada,2021-08-30,Business,Family Visit
Uzma Ahmed,S/O Ahmed Chattha,35202-6622871-7,AB3353056,Pakistani,Mirpurkhas,Pakistan,Malaysia,2018-01-31,Work,Family Visit
Rizwan Latif,S/O Hamid Hashmi,54000-7741951-5,AB7273481,Pakistani,Bahawalpur,Pakistan,UAE,2018-06-11,Business,Business Meeting
Chaudhry Butt,S/O Shoaib Bukhari,61101-8844678-1,AB2891202,Pakistani,Khuzdar,Pakistan,Turkey,2016-07-10,Work,Medical Treatment
Raja Iqbal,S/O Sajid Virk,42101-1178342-4,AB6711655,Pakistani,Turbat,Pakistan,France,2015-07-23,Business,Tourism
Mohd Raza,S/O Noor Mirza,35202-7791789-9,AB2680403,Pakistani,Sargodha,Pakistan,France,2022-04-22,Visit,Family Visit
Fatima Abbasi,S/O Imran Abbasi,42101-9698799-3,AB7349523,Pakistani,Islamabad,Pakistan,Malaysia,2022-09-13,Visit,Family Visit
Tariq Hashmi,S/O Sheikh Tarar,,AB9909056,Pakistani,Peshawar,Pakistan,Germany,2021-07-13,Visit,Business Meeting
Ayesha Syed,S/O Mehwish Latif,21301-6047028-2,AB2541058,Pakistani,Rawalpindi,Pakistan,Germany,2017-08-02,Work,Education
Amna Akhtar,S/O Chaudhry Ahmed,35202-8247864-4,AB9610913,Pakistani,Mirpur,Pakistan,UK,2022-09-21,Student,Tourism
Shoai bAhmed,S/O Amna Bhatti,42101-8076875-5,AB2534724,Pakistani,Gwadar,Pakistan,Turkey,2019-03-20,Student,Tourism
Ahmed Aslam,S/O Iqra Iqbal,13302-2449914-2,AB1103048,Pakistani,Gilgit,Pakistan,USA,2022-07-14,Business,Medical Treatment
Mohd Cheema,S/O Faisal Jafri,21301-6473913-2,AB8729406,Pakistani,Quetta,Pakistan,France,2019-08-27,Tourist,Employment
Kashif Akhtar,S/O Hina Abbasi,13302-4226808-8,AB1273554,Pakistani,Abbottabad,Pakistan,Canada,2020-11-03,Student,Family Visit
Nadia Butt,,42101-4827675-3,AB3965286,Pakistani,Islamabad,Pakistan,Germany,2022-08-28,Business,Education
Amna Butt,S/O Adnan Ali,35202-7512867-2,AB7640644,Pakistani,Hub,Pakistan,Saudi Arabia,2015-10-18,Student,Medical Treatment
Kamran Virk,S/O فاطمہ خان,13302-9406675-4,AB4512779,Pakistani,Hub,Pakistan,Malaysia,2021-11-03,Business,Medical Treatment
Mohd Iqbal,S/O Chaudhry Ansari,42101-4661954-4,AB7938362,Pakistani,Larkana,Pakistan,USA,2019-07-31,Work,Medical Treatment
Mohd Hashmi,S/O Fatima Sandhu,13302-3262204-2,AB1950986,Pakistani,Skardu,Pakistan,UAE,2015-08-02,Visit,Tourism
Bushra Chaudhry,S/O Muhammad Baig,13302-8525469-8,AB5394391,Pakistani,Muzaffarabad,Pakistan,UAE,2023-03-04,Visit,Tourism
Waseem ana,S/O احمد خان,42101-5539341-2,AB7272354,Pakistani,Bahawalpur,Pakistan,Malaysia,2020-06-25,Visit,Family Visit
Imra nAli,S/O Hussain Gilani,61101-6571308-9,AB8894701,Pakistani,Muzaffarabad,Pakistan,UAE,2021-05-02,Work,Medical Treatment
Asma Bhatti,S/O Uzma Tarar,42101-8766085-9,AB2480830,Pakistani,Hub,Pakistan,China,2023-11-18,Work,Tourism
Usman Cheema,S/O Syed Ansari,42101-9487745-3,AB5895356,Pakistani,Islamabad,Pakistan,China,2020-12-21,Work,Employment
,,54000-1929242-8,AB1452926,Pakistani,Mirpur,Pakistan,Germany,2020-11-29,Visit,Medical Treatment
Nadia Virk,S/O Tariq Gilani,21301-2352590-2,AB3408994,Pakistani,Sialkot,Pakistan,USA,2022-09-02,Visit,Education
Rukhsar Abbasi,S/O Hussain Gilani,42101-1932976-4,AB6106382,Pakistani,Karachi,Pakistan,Canada,2016-11-04,Student,Education
Mohd Rizvi,,42101-9644296-9,AB7385904,Pakistani,Kohat,Pakistan,France,2018-01-01,Tourist,Employment
زینب علی,S/O Faisal Latif,13302-7696447-6,AB5752388,Pakistani,Muzaffarabad,Pakistan,Germany,2018-09-24,Tourist,Medical Treatment
Kamran Sheikh,S/O Noor Abbasi,35202-3191822-9,AB4363023,Pakistani,Gwadar,Pakistan,Malaysia,2023-06-25,Student,Tourism
علی حسین,S/O S/O Kamran Chattha,44000-1121835-7,AB7125094,Pakistani,Islamabad,Pakistan,UAE,2023-07-04,Tourist,Business Meeting
Iqra Raja,S/O Hina Rizvi,21301-7848323-6,AB2322787,Pakistani,Khuzdar,Pakistan,France,2017-08-21,Visit,Education
Mehwish Iqbal,S/O Ahmed Hashmi,13302-9693823-7,AB4608476,Pakistani,Chilas,Pakistan,Canada,2015-09-23,Tourist,Employment
Rukhsar Latif,S/O محمد احمد,44000-8004579-7,AB1166255,Pakistani,Khuzdar,Pakistan,UAE,2018-01-29,Student,Family Visit
Hassan Virk,S/O Bushra Qureshi,44000-8078650-1,AB7868382,Pakistani,Hub,Pakistan,Malaysia,2021-05-24,Visit,Employment
Adnan Karim,,35202-4732925-3,AB6096711,Pakistani,Peshawar,Pakistan,Canada,2019-09-02,Student,Family Visit
,S/O Rabia Gondal,13302-9380362-6,AB8915936,Pakistani,Gilgit,Pakistan,Canada,2015-04-24,Work,Medical Treatment
Faisal Bukhari,S/O Syed Sheikh,61101-1025783-9,AB5257798,Pakistani,Rawalakot,Pakistan,Turkey,2023-04-09,Visit,Employment
Ahmed Chattha,S/O Arif Tarar,13302-7679985-3,AB5426816,Pakistani,Rawalakot,Pakistan,UK,2019-05-11,Tourist,Employment
Sidra Ali,S/O Ibrahim Ahmed,13302-8554718-3,AB2766148,Pakistani,Hub,Pakistan,UAE,2019-05-04,Business,Medical Treatment
Tahir Sandhu,S/O Ibrahim Bukhari,61101-9087816-8,AB5521320,Pakistani,Islamabad,Pakistan,Germany,2019-03-11,Visit,Medical Treatment
Ibrahim Gujjar,S/O Sheikh Rana,35202-8503322-6,AB8992727,Pakistani,Peshawar,Pakistan,Germany,2017-10-28,Tourist,Tourism
Iqra Qureshi,S/O Arif Aslam,13302-4420763-9,AB2107396,Pakistani,Chilas,Pakistan,Turkey,2015-03-26,Student,Medical Treatment
Rukhsar Ansari,S/O Muhammad Hameed,35202-6428745-5,AB2249845,Pakistani,Mirpurkhas,Pakistan,UK,2022-11-11,Business,Tourism
Mohd Aslam,S/O Naveed Gujjar,35202-7579467-7,AB4418556,Pakistani,Chilas,Pakistan,USA,2015-12-17,Tourist,Medical Treatment
,S/O Hashmi Hussain,61101-3044243-4,AB7582379,Pakistani,Gilgit,Pakistan,Saudi Arabia,2017-08-10,Tourist,Education
Mehwish Aslam,S/O Tahir Butt,61101-6505504-9,AB9461239,Pakistani,Mirpur,Pakistan,Canada,2023-05-14,Student,Business Meeting
Hassan Ahmed,S/O S/O Sheikh Hussain,35202-4317700-8,AB9850167,Pakistani,Muzaffarabad,Pakistan,UAE,2017-10-05,Student,Tourism
Zainab Tarar,S/O Fatima Ansari,13302-7909008-6,AB7172812,Pakistani,Bahawalpur,Pakistan,UK,2015-07-13,Visit,Employment
Mohd چودھری,S/O Syed Gilani,42101-2011048-7,AB5827962,Pakistani,Hub,Pakistan,Malaysia,2022-05-05,Visit,Employment
Mohd Sandhu,S/O Hina Malik,35202-1096313-7,AB6052138,Pakistani,Islamabad,Pakistan,Malaysia,2023-10-02,Visit,Tourism
Hamid Naqvi,S/O Raja Raza,13302-9875180-8,AB6165118,Pakistani,Rawalakot,Pakistan,Malaysia,2019-08-07,Business,Education
