canonical_name,father_name,cnic,owner_number,province,city,society_name,property_type,plot_house_no,area,purchase_year,ownership_status,market_value,phone
مریم چودھری,S/O Asma Syed,42101-9683477-3,03001231357,Gilgit-Baltistan,Chilas,Johar Town,Agricultural Land,700,16 Kanal,2013,Sold,353320360.0,0300-1231357
Hamid Iqbal,S/O Fatima Rizvi,44000-6953373-6,03006798417,ICT,Islamabad,G-9,House,219,78 Sq.Ft,2003,Rented,282657670.0,0313-5321313
Noor Ahmed,S/O Zubair Qureshi,42101-4693507-8,03311270988,Sindh,Karachi,Cavalry Ground,Apartment,108,32 Sq.Ft,2002,Owned,72853670.0,0331-1270988
Bilal Akhtar,S/O S/O Asma Malik,44000-5374141-9,03466267395,ICT,Islamabad,Model Town,House,949,42 Sq.Ft,2004,Mortgaged,76164940.0,0346-6267395
Sheikh Virk,S/O Rizwan Ali,21301-4370644-7,03468500362,KPK,Mingora,DHA,House,976,76 Kanal,2012,Mortgaged,84818790.0,0346-8500362
Hussian Syed,S/O Ayesha Naqvi,35202-7591681-4,03007716334,Sindh,Karachi,Gulshan-e-Iqbal,Residential Plot,107,96 Kanal,2014,Mortgaged,32580930.0,0300-7716334
Arif Aslam,S/O Noor Sheikh,35202-3353515-7,03116187294,ICT,Islamabad,North Nazimabad,Commercial Building,712,30 Kanal,2016,Mortgaged,116807120.0,0311-6187294
Sobia Zaidi,S/O Bilal Naqvi,13302-3283248-1,03122379624,Sindh,Nawabshah,I-8,Residential Plot,631,38 Marla,2020,Owned,98159190.0,0312-2379624
Tariq Rana,S/O Tahir Naqvi,13302-4120898-4,03014889220,Azad Kashmir,Muzaffarabad,Model Town,House,701,88 Kanal,1996,Mortgaged,13370890.0,0301-4889220
Sidra Mirza,S/O Waseem Cheema,35202-2749316-5,03314105842,Gilgit-Baltistan,Chilas,PAF Colony,House,2,69 Kanal,2006,Rented,166046470.0,0331-4105842
Ibrahim Syed,S/O Noor Rafiq,61101-6648521-8,03005100919,Punjab,Lahore,Gulshan-e-Iqbal,Apartment,572,30 Kanal,2018,Rented,56944580.0,0300-5100919
Hashmi Naqvi,S/O Baig Qureshi,35202-1822257-9,03027504497,Azad Kashmir,Mirpur,E-11,House,342,36 Kanal,2018,Owned,236309680.0,0302-7504497
Naaeem Iqbal,S/O Waseem Rafiq,21301-5585262-5,03464569422,ICT,Islamabad,Defence,Residential Plot,20,80 Sq.Ft,2020,Mortgaged,243394410.0,0346-4569422
Waseem Hameed,S/O Khalid Jafri,54000-7739464-7,03112945459,Punjab,Multan,DHA,Apartment,117,6 Marla,1998,Rented,37467990.0,0311-2945459
Sheikh Sheikh,S/O Bilal Akhtar,21301-8169423-7,03469865037,ICT,Islamabad,North Nazimabad,Residential Plot,244,26 Sq.Ft,2011,Sold,4600100.0,0346-9865037
Tariq Raja,S/O Naveed Sandhu,42101-1790971-4,03139615046,Punjab,Sargodha,Clifton,Residential Plot,541,63 Kanal,2016,Sold,87563770.0,0313-9615046
Sobia Raza,S/O Raja Tarar,42101-7885681-3,03007690564,Punjab,Lahore,North Nazimabad,House,896,98 Sq.Ft,2011,Sold,63763210.0,0300-7690564
Hashmi Rana,S/O عائشہ احمد,61101-1767428-8,03223698802,Sindh,Hyderabad,Bahria Town,House,419,76 Sq.Ft,2021,Rented,48187280.0,0322-3698802
Tahir Bukhari,S/O Aamir Rizvi,61101-7192139-2,03124055449,KPK,Peshawar,Johar Town,Apartment,655,9 Sq.Ft,2008,Rented,47733730.0,0312-4055449
Ibrahim Rizvi,S/O Ayesha Virk,13302-8479801-2,03213959043,ICT,Islamabad,G-9,Apartment,319,13 Kanal,2023,Sold,201626730.0,0321-3959043
Amna Syed,S/O Nadia Baig,35202-3850596-7,03213770261,Azad Kashmir,Rawalakot,Saddar,Residential Plot,351,22 Kanal,1996,Sold,61172830.0,0321-3770261
Raja Aslam,S/O Kamran Karim,42101-6437103-6,03011753785,Gilgit-Baltistan,Gilgit,Model Town,Residential Plot,147,56 Marla,2010,Sold,19072200.0,0301-1753785
Hamid Chattha,S/O Mirza Chaudhry,54000-5894791-3,03465064978,Balochistan,Turbat,Model Town,Residential Plot,462,75 Kanal,2016,Rented,29173340.0,0346-5064978
Chaudhry Nawaz,S/O Hassan Zaidi,13302-8468826-2,03467005668,Azad Kashmir,Muzaffarabad,Askari,Residential Plot,386,53 Sq.Ft,2007,Rented,28474580.0,0346-7005668
Qureshi Raza,,54000-5042600-8,03126901257,ICT,Islamabad,PAF Colony,Apartment,987,16 Sq.Ft,2005,Mortgaged,39612720.0,0312-6901257
Fatima Chattha,S/O مریم چودھری,61101-5491003-7,03464489954,Punjab,Gujranwala,Saddar,House,803,29 Marla,2002,Mortgaged,89265000.0,0346-4489954
محمد علی,S/O Tariq Qureshi,54000-5193608-5,03458462902,Sindh,Mirpurkhas,G-9,House,625,70 Kanal,2013,Owned,64937960.0,0345-8462902
Ali Rizvi,S/O Iqra Gujjar,42101-1458360-1,03336254291,Azad Kashmir,Rawalakot,Askari,Residential Plot,106,13 Marla,1998,Mortgaged,49653010.0,0333-6254291
Uzma Ahmed,S/O Ahmed Chattha,35202-6622871-7,03317126308,Sindh,Mirpurkhas,Gulshan-e-Iqbal,Residential Plot,240,43 Kanal,2010,Sold,15532270.0,0331-7126308
Shazia Aslam,S/O Imran Aslam,54000-1961870-9,03038944457,Gilgit-Baltistan,Skardu,Model Town,House,929,69 Marla,1995,Sold,36615440.0,0303-8944457
Naveed Naqvi,S/O Mirza Raza,61101-7596781-1,03454030944,Balochistan,Quetta,Township,Apartment,549,30 Kanal,2003,Owned,21931120.0,0345-4030944
Kashif Tarar,S/O Omar Zaidi,42101-9162450-8,03037800102,Balochistan,Gwadar,Defence,Residential Plot,889,35 Marla,2017,Rented,536746290.0,0303-7800102
Arif Gujjar,S/O Naeem Syed,42101-4639503-1,03225933824,Azad Kashmir,Muzaffarabad,PAF Colony,Apartment,406,85 Sq.Ft,2014,Rented,33383810.0,0322-4810935
Salman Qureshi,S/O Ahmed Hussain,21301-9736106-5,03131215599,Sindh,Larkana,Gulberg,Apartment,129,59 Kanal,1996,Rented,20816940.0,0322-5133249
Sobia Sheikh,S/O Waseem Zaidi,13302-2075775-9,03008199045,Punjab,Gujranwala,North Nazimabad,House,324,17 Kanal,2015,Mortgaged,10726450.0,0300-8199045
Hamid Bhatti,S/O Zubair Ansari,21301-6900429-4,03024475681,ICT,Islamabad,Scheme 33,House,899,86 Marla,2008,Rented,101757750.0,0302-4475681
Syed Tarar,S/O Usman Rana,61101-7072490-5,+923224767003,ICT,Islamabad,I-8,House,924,16 Kanal,2002,Mortgaged,69019560.0,0322-4767003
Rukhsar Ahmed,S/O Amna Mirza,35202-2719240-6,03311796771,ICT,Islamabad,Clifton,Apartment,363,55 Marla,2004,Mortgaged,64535990.0,0331-1796771
Arif Rana,S/O Waseem Abbasi,54000-6748005-5,03213764732,ICT,Islamabad,Gulberg,Apartment,280,44 Marla,2007,Owned,36993000.0,
,S/O Qureshi Gujjar,54000-4585314-9,03322422633,Gilgit-Baltistan,Skardu,Clifton,House,450,67 Marla,2014,Owned,5033160.0,0332-2422633
Amna Akhtar,S/O Syed Butt,42101-9440595-3,03335697596,Punjab,Lahore,Saddar,House,432,71 Kanal,2020,Rented,26215110.0,0333-5697596
Nadia Iqbal,S/O Uzma Ahmed,61101-7479416-5,03031073332,KPK,Mardan,G-9,Apartment,25,41 Kanal,2018,Mortgaged,64604840.0,0303-1073332
Baig Bhatti,S/O محمد علی,21301-5598386-2,03451223625,KPK,Mardan,I-8,Apartment,648,67 Sq.Ft,2001,Sold,90319490.0,0345-1223625
Asma Iqbal,S/O Mehwish Baig,54000-3190232-8,03025021865,Sindh,Larkana,F-10,Residential Plot,584,30 Marla,2017,Sold,96335000.0,0302-5021865
Mewhish Rafiq,S/O Naeem Chattha,42101-9445000-2,03006452935,Balochistan,Gwadar,North Nazimabad,Residential Plot,618,19 Sq.Ft,1997,Mortgaged,33522940.0,0300-6452935
Adnan Khan,S/O Shazia Tarar,21301-6129133-2,03468513406,Gilgit-Baltistan,Skardu,E-11,House,381,83 Sq.Ft,1998,Rented,52029100.0,0346-8513406
Hashmi Hashmi,S/O محمد علی,42101-8556961-7,03024239823,Azad Kashmir,Rawalakot,Johar Town,House,6,57 Sq.Ft,2008,Sold,27109010.0,0302-4239823
Hashmi Raza,S/O Mirza Iqbal,35202-8682643-5,03136153455,Sindh,Larkana,Askari,Apartment,741,9 Kanal,2005,Sold,26271660.0,0313-6153455
Sajid Bukhari,S/O Muhammad Rafiq,42101-3761979-3,03027449809,KPK,Mardan,PAF Colony,House,9,26 Kanal,2020,Rented,114770390.0,0302-7449809
Sheikh Chaudhry,S/O Uzma Ali,35202-3109630-9,03312377653,Punjab,Lahore,G-9,Residential Plot,661,41 Kanal,2001,Owned,147974680.0,0331-5833943
Raja Nawaz,S/O Shazia Hashmi,21301-1437371-3,03452088084,Punjab,Bahawalpur,Township,Residential Plot,26,53 Kanal,1996,Owned,170725580.0,0345-2088084
Uzma Tarar,S/O محمد حسن,,03458634413,Gilgit-Baltistan,Chilas,Cavalry Ground,Residential Plot,884,81 Sq.Ft,1996,Owned,70672470.0,0345-8634413
Amna Rafiq,S/O Tariq Gilani,42101-7960607-2,03111548888,Gilgit-Baltistan,Skardu,Gulshan-e-Iqbal,Apartment,463,56 Marla,2015,Rented,11971260.0,0311-1548888
مریم چودھری,S/O Bilal Akhtar,42101-8747979-9,03228483265,ICT,Islamabad,G-9,Apartment,845,15 Kanal,1998,Sold,21854740.0,0322-8483265
Bushra Abbasi,S/O Arif Gujjar,54000-8873233-8,03015783094,Balochistan,Khuzdar,Gulberg,Residential Plot,137,62 Marla,2007,Owned,148049620.0,0301-5783094
Riwan Virk,S/O Syed Rizvi,44000-3297699-5,03014697541,Punjab,Lahore,Clifton,House,22,89 Marla,1995,Rented,8412560.0,0301-4697541
نادیہ رضا,S/O Imran Hussain,13302-4487943-2,03038911046,Azad Kashmir,Rawalakot,Askari,Residential Plot,754,12 Sq.Ft,1999,Owned,71463260.0,0303-8911046
Hussain Khan,S/O Naeem Sheikh,13302-8694491-4,03122605097,KPK,Bannu,Gulberg,Apartment,173,23 Marla,2014,Sold,53646890.0,0312-2605097
Malik Virk,S/O Faisal Bhatti,44000-4654207-1,03219452659,Gilgit-Baltistan,Chilas,F-10,House,889,95 Marla,2005,Rented,15752630.0,0321-9452659
Syed Iqabl,S/O Asif Zaidi,54000-9925341-6,03011699763,Gilgit-Baltistan,Chilas,Model Town,Apartment,574,24 Sq.Ft,2000,Rented,17428530.0,0333-1237264
Saira Baig,S/O Zainab Bukhari,42101-3030225-1,03324297008,Balochistan,Hub,Gulberg,Residential Plot,814,35 Sq.Ft,1998,Sold,213506920.0,0332-4297008
Malik Raza,S/O Salman Tarar,61101-3400475-1,03127847411,Gilgit-Baltistan,Gilgit,PAF Colony,Residential Plot,11,13 Kanal,2021,Rented,156551200.0,0312-7847411
Raja Virk,S/O Bushra Bukhari,61101-9218260-1,03036907489,Azad Kashmir,Rawalakot,Bahria Town,Residential Plot,40,34 Kanal,1997,Sold,23567920.0,0301-8115297
Shazia Sheikh,S/O Syed Iqbal,61101-7760850-9,03463622793,Sindh,Karachi,F-10,House,147,24 Marla,2010,Owned,52706200.0,0346-3622793
Shoaib Rana,S/O Sidra Gilani,44000-7007679-2,03034084811,Gilgit-Baltistan,Chilas,G-9,House,55,53 Sq.Ft,2020,Owned,28560100.0,0303-4084811
Rukhsar Latif,S/O Aamir Rana,13302-4779679-4,03009167792,Balochistan,Gwadar,I-8,House,757,76 Sq.Ft,2003,Sold,379409020.0,0300-9167792
Asif Naqvi,S/O Sobia Sheikh,21301-5364478-6,03012732048,Sindh,Hyderabad,Township,House,970,13 Marla,2007,Owned,26174850.0,0301-2732048
Mehwish Raja,S/O Naeem Syed,21301-7342344-4,03465926534,ICT,Islamabad,I-8,House,907,50 Marla,2022,Rented,79113030.0,0346-5926534
Hussain Cheema,S/O Kamran Khan,61101-7837776-5,03113326880,Balochistan,Turbat,I-8,House,45,98 Kanal,2003,Mortgaged,19276900.0,0311-3326880
Maryam Raza,S/O Muhammad Naqvi,21301-4676232-8,03452907096,Balochistan,Khuzdar,PAF Colony,House,978,27 Marla,1998,Rented,11465640.0,
Naveed Ahmed,S/O Noor Butt,42101-8355764-9,03024523314,Gilgit-Baltistan,Chilas,Defence,Residential Plot,770,54 Kanal,2018,Rented,215013270.0,0302-4523314
Rukhsar Ali,S/O Hina Jafri,,03337145921,Sindh,Larkana,Clifton,Residential Plot,448,78 Marla,1999,Rented,54256910.0,0313-3043098
Shazia hSeikh,S/O Usman Rafiq,61101-8720096-9,03467985165,Punjab,Gujranwala,Scheme 33,Residential Plot,597,15 Sq.Ft,2000,Sold,119370690.0,0346-7985165
Tahir Hashmi,S/O Sajid Malik,44000-5476583-6,03211054447,Gilgit-Baltistan,Gilgit,Saddar,Residential Plot,773,65 Marla,2012,Sold,21634740.0,0321-1054447
Hassan Gondal,S/O Asif Syed,61101-7681153-7,03007340571,Punjab,Lahore,G-9,House,531,38 Sq.Ft,2020,Sold,21608160.0,0300-7340571
Sidra Gilani,S/O Tahir Rizvi,35202-9405163-9,03003437183,Balochistan,Quetta,Saddar,Residential Plot,517,91 Marla,2012,Mortgaged,27601450.0,0300-3437183
Raja Chattha,S/O Tariq Sandhu,35202-2685518-1,03322694511,KPK,Kohat,E-11,Residential Plot,929,22 Sq.Ft,2010,Rented,74658310.0,0332-2694511
Mohammad Ansari,S/O Imran Rizvi,54000-5333808-8,03113211404,Punjab,Faisalabad,Model Town,Apartment,33,7 Sq.Ft,2018,Owned,402369060.0,0311-3211404
فاطمہ خان,S/O Usman Ahmed,42101-2947361-3,03024152231,ICT,Islamabad,Model Town,House,362,26 Sq.Ft,2005,Mortgaged,29736990.0,0313-6730134
ابراہیم ملک,S/O Uzma Abbasi,,03002416540,Sindh,Larkana,Township,House,384,49 Marla,2013,Mortgaged,255125660.0,0302-1095766
صنا ملک,S/O Bilal Cheema,21301-9397813-8,03221196423,Balochistan,Hub,F-10,Residential Plot,25,69 Sq.Ft,2011,Sold,27861120.0,0322-1196423
Muhammad Cheema,S/O Naeem Ansari,54000-3490769-9,03321053420,Azad Kashmir,Mirpur,I-8,Apartment,628,20 Sq.Ft,2003,Owned,22571790.0,0332-1053420
Noor Hameed,S/O S/O Ayesha Iqbal,54000-5298752-2,03311763562,Punjab,Lahore,Defence,Apartment,667,46 Kanal,2004,Rented,9582130.0,0331-1763562
Adnan Cheema,S/O Adnan Karim,61101-8123479-7,03321451244,ICT,Islamabad,Bahria Town,Apartment,947,65 Kanal,2020,Sold,26072360.0,0332-1451244
Rizwan Sheikh,S/O Ayesha Karim,54000-2735780-1,03114793141,Sindh,Larkana,PAF Colony,Residential Plot,177,81 Kanal,2007,Sold,50691550.0,0311-4793141
Mehwish Baig,S/O Imran Gondal,35202-8760085-9,03029953284,Sindh,Hyderabad,Cavalry Ground,Apartment,385,68 Kanal,2000,Rented,11628400.0,0302-9953284
Ali Syed,S/O Noor Virk,61101-4954922-5,03319128011,KPK,Mingora,Clifton,House,71,35 Kanal,2022,Mortgaged,56946180.0,0321-2938571
Salman Iqbal,S/O Noor Zaidi,21301-5433694-6,03032116451,Sindh,Karachi,I-8,Apartment,187,12 Kanal,2001,Mortgaged,162493170.0,0303-2116451
Mirza Ansari,S/O Rizwan Baig,42101-5027876-7,03027517997,Azad Kashmir,Mirpur,DHA,Residential Plot,885,3 Marla,2003,Mortgaged,99331850.0,
Mehwish Baig,S/O S/O Ibrahim Virk,21301-6337250-9,03017576872,Sindh,Larkana,Clifton,House,369,73 Sq.Ft,2009,Mortgaged,11296460.0,0301-7576872
Arif Virk,S/O Rabia Rana,35202-1667591-8,03016918034,ICT,Islamabad,Saddar,Apartment,950,99 Kanal,2012,Rented,28323260.0,0301-6918034
Sobia Zaidi,S/O Bushra Rizvi,21301-9397875-7,03326232838,Gilgit-Baltistan,Skardu,Cantt,House,65,73 Sq.Ft,2020,Owned,157683120.0,0332-6232838
Muhammad Hussain,S/O Qureshi Cheema,21301-3119933-5,03213633882,Azad Kashmir,Muzaffarabad,Cantt,House,546,68 Marla,2008,Owned,284597800.0,0333-5087844
عائشہ احمد,S/O Nadia Raja,54000-3085724-9,03454006460,ICT,Islamabad,Township,Residential Plot,779,57 Marla,2019,Sold,82667180.0,0345-4006460
عائشہ احمد,S/O Shazia Bukhari,13302-3816607-3,03016488523,Balochistan,Turbat,DHA,Apartment,739,29 Kanal,2022,Sold,1071660980.0,0301-6488523
Rukhsar Ali,S/O Muhammad Syed,54000-2159340-7,03132164814,Sindh,Sukkur,Clifton,House,90,83 Sq.Ft,2009,Mortgaged,40520660.0,0313-2164814
Rukhsar Latif,S/O Zubair Gondal,61101-2696630-3,03312744116,ICT,Islamabad,Clifton,Residential Plot,514,76 Marla,2010,Owned,137207940.0,0332-7243808
Hussain Latif,S/O Hassan Rafiq,21301-6924975-6,03011806058,KPK,Abbottabad,Gulberg,House,398,67 Sq.Ft,2007,Mortgaged,20338750.0,0302-7490950
Ibrahim Sandhu,S/O Mehwish Syed,44000-3874574-8,03007739841,ICT,Islamabad,I-8,Apartment,987,11 Marla,1999,Sold,101880560.0,0312-3582744
Naveed Cheema,S/O Mehwish Akhtar,42101-3711379-7,03466288963,ICT,Islamabad,North Nazimabad,Apartment,571,94 Sq.Ft,2006,Sold,5090120.0,0346-6288963
Mehwish Rana,S/O ابراہیم ملک,54000-5345777-6,03006114026,Azad Kashmir,Rawalakot,F-10,Apartment,161,57 Marla,1997,Owned,54554070.0,0300-6114026
Sana Aslam,S/O Asif Gujjar,61101-7090779-8,03019455471,Gilgit-Baltistan,Gilgit,I-8,Residential Plot,276,84 Marla,2019,Sold,17161100.0,0301-9455471
Arif Chattha,S/O Qureshi Khan,35202-9347514-3,03215066371,Gilgit-Baltistan,Gilgit,Bahria Town,House,616,9 Sq.Ft,2009,Sold,0.0,0321-5066371
Sidra Gondal,S/O Naeem Jafri,35202-4153461-9,03006319850,Punjab,Rawalpindi,Askari,Residential Plot,691,86 Kanal,2004,Mortgaged,40964990.0,0300-6319850
Asma Latif,S/O Zainab Cheema,54000-4063816-1,03115298067,Punjab,Lahore,G-9,Apartment,507,81 Sq.Ft,2020,Sold,160008350.0,0312-3570204
Tahir Zaidi,S/O Mehwish Hussain,44000-1135004-6,03131045873,KPK,Kohat,Bahria Town,Apartment,747,83 Sq.Ft,2021,Mortgaged,48372000.0,0321-1796229
Hassan Nawaz,S/O Salman Virk,54000-6522326-1,03015181074,Punjab,Faisalabad,North Nazimabad,Residential Plot,372,76 Sq.Ft,2008,Mortgaged,551943820.0,0301-5181074
,S/O Zainab Rafiq,54000-4905004-1,03219794628,Punjab,Lahore,DHA,Commercial Building,13,96 Marla,2008,Rented,433378180.0,0321-9794628
,S/O Syed Sandhu,35202-3783829-6,03135612679,Punjab,Sialkot,Saddar,House,63,52 Marla,2022,Mortgaged,6720560.0,0313-5612679
Waseem Ali,S/O Chaudhry Rafiq,61101-6188808-1,03128258688,KPK,Bannu,E-11,House,801,24 Sq.Ft,2001,Owned,85990040.0,0312-8258688
Imran Bukhari,S/O Ahmed Gondal,61101-9797750-1,03121870268,Gilgit-Baltistan,Skardu,DHA,House,397,92 Kanal,2002,Mortgaged,91931620.0,0312-1870268
Asma Sandhu,S/O S/O Ayesha Rana,21301-2044906-3,,ICT,Islamabad,Bahria Town,Apartment,264,17 Kanal,2011,Sold,10501180.0,0313-6263895
Hussain Rizvi,S/O Mohammad Naqvi,35202-1768805-4,03462694522,Gilgit-Baltistan,Gilgit,Scheme 33,House,784,19 Sq.Ft,2004,,58585040.0,0346-2694522
Bilal Sandhu,S/O Saira Zaidi,13302-3775364-7,03327046680,Gilgit-Baltistan,Skardu,I-8,House,725,45 Marla,2005,Sold,13420940.0,0332-7046680
Hamid Virk,S/O مریم چودھری,13302-8286828-8,,Balochistan,Khuzdar,Bahria Town,Apartment,533,79 Kanal,2007,Rented,129980220.0,0302-8181112
Mirza Ansari,S/O Ahmed Hashmi,35202-6996458-6,03225125519,Azad Kashmir,Muzaffarabad,Cavalry Ground,Residential Plot,12,43 Kanal,2008,Owned,58205410.0,0322-5125519
Fatima Malik,S/O Imran Qureshi,61101-7204078-3,03314074931,Gilgit-Baltistan,Gilgit,Gulberg,House,388,99 Marla,2004,Rented,50643900.0,0301-3396953
Baig Chattha,S/O Chaudhry Bhatti,44000-1951051-7,03112124704,Balochistan,Turbat,Johar Town,Apartment,511,42 Marla,2003,Rented,63022450.0,0311-2124704
Kashif Iqbal,S/O Naeem Malik,21301-7934865-3,03227653299,Azad Kashmir,Rawalakot,Scheme 33,House,67,68 Marla,2014,Mortgaged,270454390.0,0322-7653299
Rukhsar Baig,S/O Noor Chaudhry,54000-1485989-3,03129959186,ICT,Islamabad,G-9,House,756,46 Marla,1995,Rented,0.0,0331-7766484
Usman Karim,S/O Bilal Hussain,54000-3242474-8,03323898743,ICT,Islamabad,PAF Colony,House,783,83 Kanal,2014,Owned,296350930.0,0332-3898743
Bushra Jafri,S/O Sidra Malik,61101-1007205-1,03457323223,KPK,Peshawar,Cavalry Ground,Apartment,955,78 Sq.Ft,1995,Owned,25430090.0,0345-7323223
Sana Sheikh,S/O Maryam Aslam,61101-7457573-4,03468278024,KPK,Abbottabad,Defence,Residential Plot,644,68 Sq.Ft,2021,Sold,48722730.0,0346-8278024
Hashmi Syed,S/O Rukhsar Rana,61101-7783308-3,03319961107,Balochistan,Hub,Clifton,Residential Plot,593,19 Marla,2012,Sold,37535380.0,0331-9961107
Rabia Malik,S/O زینب علی,13302-4695683-7,03315669739,Azad Kashmir,Rawalakot,Defence,Residential Plot,18,86 Kanal,1998,Mortgaged,39541730.0,0331-5669739
Salman Gilani,S/O Maryam Bhatti,35202-1690406-6,03124095339,Gilgit-Baltistan,Gilgit,F-10,Apartment,33,45 Kanal,2008,Sold,530661690.0,0312-4095339
Ibrahim Raza,S/O Hashmi Hashmi,42101-9039526-9,03468778136,ICT,Islamabad,F-10,Residential Plot,293,51 Marla,2010,Mortgaged,47991980.0,0346-8778136
Tahir Raza,S/O Omar Malik,54000-5373061-1,03325534304,Balochistan,Khuzdar,I-8,House,692,5 Sq.Ft,1997,Owned,29227790.0,0332-5534304
,S/O Mehwish Ali,21301-5868635-9,03116580192,Punjab,Bahawalpur,Scheme 33,Apartment,23,16 Kanal,2020,Rented,146824970.0,0311-6580192
,S/O Sajid Zaidi,35202-5878848-4,03037480045,Gilgit-Baltistan,Skardu,North Nazimabad,Apartment,912,90 Kanal,2009,Owned,7559240.0,0303-7480045
Mirza Ansari,S/O Naveed Zaidi,,03334074000,Azad Kashmir,Rawalakot,Scheme 33,House,827,35 Kanal,2011,Mortgaged,42773110.0,0333-4074000
Salman Ahtar,,61101-4887595-9,03461014440,Azad Kashmir,Muzaffarabad,Askari,House,595,43 Kanal,2013,,21020110.0,0346-1014440
Imran Hashmi,S/O Hashmi Rizvi,13302-7956533-5,03457911063,KPK,Mingora,Askari,Apartment,360,3 Marla,2017,Sold,93141640.0,0345-7911063
احمد خان,S/O Naeem Gujjar,42101-6790843-2,03332367132,KPK,Peshawar,Scheme 33,Residential Plot,221,89 Marla,2006,Owned,19684160.0,0333-2367132
Zainab Latif,S/O Shoaib Syed,21301-1669519-6,03133081328,Azad Kashmir,Mirpur,Gulberg,Apartment,565,48 Kanal,2020,Sold,18290020.0,0313-3081328
ابراہیم ملک,S/O Qureshi Raja,13302-7957788-4,03001260551,Azad Kashmir,Mirpur,Model Town,Commercial Building,995,7 Sq.Ft,2014,Mortgaged,875980590.0,0300-1260551
Zubair Hashmi,S/O Iqra Ali,35202-5573659-9,03012404386,Sindh,Hyderabad,Model Town,Apartment,952,91 Sq.Ft,2021,Sold,78985650.0,0301-2404386
عمر شیخ,S/O Sobia Chaudhry,54000-4470291-7,03325247900,ICT,Islamabad,Cavalry Ground,Residential Plot,668,28 Marla,2004,Mortgaged,68001490.0,0332-5247900
Mirza Raja,S/O Iqra Sandhu,42101-4609319-9,03314696679,KPK,Kohat,Askari,Commercial Plot,13,8 Sq.Ft,1999,Owned,351501740.0,0331-4696679
Rukhsar Gondal,S/O Malik Rizvi,42101-8790459-3,03227090010,Balochistan,Khuzdar,PAF Colony,Apartment,694,92 Kanal,2016,Sold,50486570.0,0322-7090010
Iqra Rana,S/O Khalid Bukhari,44000-8547255-8,03211997631,Azad Kashmir,Muzaffarabad,Gulberg,Residential Plot,848,29 Kanal,2023,Mortgaged,6951460.0,0332-6764455
Omar Mirza,S/O Malik Baig,35202-5044009-9,03126685312,Balochistan,Khuzdar,Township,Apartment,673,66 Kanal,1996,Rented,15723000.0,0312-6685312
Sana Rizvi,S/O Bushra Karim,35202-2287024-4,03119365912,Gilgit-Baltistan,Skardu,Model Town,Apartment,942,45 Sq.Ft,1999,Mortgaged,289118650.0,0311-9365912
Fatima Qureshi,S/O Adnan Bhatti,13302-2308844-3,03115841707,Sindh,Mirpurkhas,Askari,House,980,53 Kanal,2009,Sold,74859700.0,0311-5841707
Adnan Rana,S/O Chaudhry Latif,13302-9925071-5,03116524012,ICT,Islamabad,Clifton,Residential Plot,808,37 Sq.Ft,2010,Owned,34035950.0,0311-6524012
Baig Qureshi,S/O Bilal Qureshi,42101-3073320-1,03315544401,KPK,Bannu,Township,Residential Plot,284,46 Sq.Ft,2010,Rented,244145220.0,0331-5544401
Naeem Rana,S/O Saira Baig,13302-7527366-7,03001371282,Balochistan,Hub,Scheme 33,Apartment,441,5 Kanal,2010,Rented,162374370.0,0300-1371282
Sana Chaudhry,S/O Mohammad Zaidi,42101-9261250-6,03002568468,Gilgit-Baltistan,Skardu,Gulberg,House,323,68 Kanal,2004,Rented,15586600.0,0300-2568468
Syed Aslam,S/O Asif Butt,42101-9973716-8,03329253428,ICT,Islamabad,Township,House,447,17 Sq.Ft,2012,Rented,121834930.0,0332-9253428
Maryam Sheikh,S/O Sajid Gujjar,42101-7835243-4,03339762763,Balochistan,Khuzdar,Johar Town,Apartment,677,66 Kanal,2003,Mortgaged,36761110.0,0333-9762763
Hina Zaidi,S/O Shoaib Malik,42101-1786945-7,03027834853,KPK,Bannu,Scheme 33,House,725,54 Sq.Ft,2022,Sold,212228230.0,0302-7834853
Ali Qureshi,S/O Bilal Ansari,13302-9248388-2,03033106564,ICT,Islamabad,PAF Colony,Apartment,540,36 Kanal,2000,Owned,23242110.0,0303-3106564
Asma Karim,S/O Hamid Latif,21301-7814419-8,03229462475,Balochistan,Quetta,North Nazimabad,Residential Plot,362,42 Kanal,2000,Mortgaged,12361400.0,0322-9462475
Chaudhry Qureshi,S/O Noor Nawaz,54000-3751054-1,03316459171,Gilgit-Baltistan,Gilgit,Cantt,House,271,15 Kanal,2002,,9877050.0,0331-6459171
Mirza Hussain,S/O Nadia Qureshi,21301-1422616-9,03027963896,Sindh,Mirpurkhas,Clifton,Apartment,248,18 Kanal,2015,Owned,19809110.0,0302-7963896
Kamran Syed,S/O Kashif Karim,21301-7980880-2,03117695885,Gilgit-Baltistan,Gilgit,G-9,Residential Plot,809,36 Marla,1997,Sold,19039560.0,0311-7695885
Asma Naqvi,S/O Iqra Chaudhry,54000-9938707-8,03321272937,Sindh,Larkana,Gulshan-e-Iqbal,Residential Plot,701,32 Marla,2020,Sold,37295070.0,0332-1272937
Rabia Syed,S/O Sajid Karim,61101-4318209-8,03121284478,Punjab,Lahore,North Nazimabad,Residential Plot,400,60 Sq.Ft,2020,Mortgaged,107009440.0,0312-1284478
Naveed Hashmi,S/O Naeem Chattha,35202-7532030-9,03217191871,Balochistan,Gwadar,I-8,House,112,75 Sq.Ft,2001,Mortgaged,20871480.0,0321-7191871
