company_name,canonical_name,father_name,entity_type,cnic,incorporation_date,status,registered_office_address,province,city
Prime Brothers,Asma Hussain,S/O Khalid Qureshi,Sole Proprietorship,21301-4575870-4,2021-08-08,Active,"House 213, Block C, Township, Karachi",Sindh,Karachi
Al Services,Mehwish Chattha,S/O Baig Rizvi,LLP,54000-2065686-5,1999-11-22,Suspended,"House 351, Block G, Scheme 33, Gwadar",Balochistan,Gwadar
Apex Corp,Naeem Chattha,S/O Rukhsar Khan,Public Limited,61101-4619948-8,2011-05-17,Active,"House 207, Block G, Gulberg, Chilas",Gilgit-Baltistan,Chilas
Meezan Enterprises,Sobia Chattha,,Partnership,35202-5829008-8,2018-02-24,Active,"House 98, Block B, DHA, Mardan",KPK,Mardan
Al Associates,Qureshi Aslam,S/O Hamid Raja,Public Limited,44000-3870570-9,2012-12-04,Active,"House 287, Block H, DHA, Mirpur",Azad Kashmir,Mirpur
Al Group,Shoaib Hashmi,S/O Rukhsar Mirza,LLP,13302-9196287-2,1996-01-09,Active,"House 179, Block C, Cantt, Skardu",Gilgit-Baltistan,Skardu
Atlas Solutions,Gujjar Faisal,S/O Raja Mirza,Partnership,13302-3528267-9,2022-12-21,Suspended,"House 151, Block G, North Nazimabad, Larkana",Sindh,Larkana
Royal Enterprises,MirzaA nsari,S/O Rizwan Baig,Public Limited,42101-5027876-7,2002-02-27,Active,"House 23, Block G, Scheme 33, Mirpur",Azad Kashmir,Mirpur
United Associates,Rabia Tarar,S/O Bilal Gujjar,LLP,54000-1156397-6,1998-07-24,Active,"House 248, Block H, Johar Town, Skardu",Gilgit-Baltistan,Skardu
Star Corp,Omar Latif,S/O Kashif Rana,Private Limited,44000-9880529-3,1996-03-08,Active,"House 165, Block B, E-11, Islamabad",ICT,Islamabad
Atlas Enterprises,Sobia Cheema,S/O Naeem Karim,LLP,13302-9952696-7,2016-03-19,Active,"House 33, Block B, E-11, Islamabad",ICT,Islamabad
United Industries,,S/O Arif Rafiq,Sole Proprietorship,42101-8920466-5,2013-07-09,Active,"House 281, Block F, Askari, Sargodha",Punjab,Sargodha
,Bushra Gujjar,S/O Naeem Gujjar,Partnership,54000-3891398-5,2001-11-05,Active,"House 446, Block C, Defence, Skardu",Gilgit-Baltistan,Skardu
Star Solutions,Ibrahim Iqbal,S/O Sobia Rafiq,Sole Proprietorship,35202-4125422-9,2022-01-15,Dissolved,"House 161, Block G, Clifton, Multan",Punjab,Multan
Apex Associates,Ansari Hamid,S/O Ali Abbasi,Partnership,42101-9029176-4,1997-04-04,Active,"House 2, Block G, Cavalry Ground, Muzaffarabad",Azad Kashmir,Muzaffarabad
Atlas Solutions,Shoaib Jafri,S/O Usman Syed,Partnership,21301-6271120-3,2015-05-06,Suspended,"House 409, Block E, Gulshan-e-Iqbal, Kohat",KPK,Kohat
National Corp,Faisal Karim,S/O محمد حسن,Private Limited,42101-2472706-9,2008-08-06,Active,"House 203, Block D, F-10, Mirpur",Azad Kashmir,Mirpur
Royal Industries,,S/O Arif Hameed,Sole Proprietorship,54000-6509997-4,2005-05-01,Active,"House 367, Block F, Cavalry Ground, Chilas",Gilgit-Baltistan,Chilas
National Corp,Ahmed Sandhu,S/O Mehwish Malik,LLP,21301-1333528-4,2010-08-28,Active,"House 56, Block D, Askari, Hyderabad",Sindh,Hyderabad
Al Enterprises,Kashif Naqvi,S/O Faisal Hussain,Private Limited,44000-9948353-7,2000-12-09,Suspended,"House 81, Block G, I-8, Sukkur",Sindh,Sukkur
Pak Services,Rabia Sandhu,S/O Maryam Mirza,Private Limited,44000-8416795-7,2019-01-26,Active,"House 124, Block B, E-11, Islamabad",ICT,Islamabad
,Arif Bukhari,S/O Tariq Abbasi,Private Limited,35202-6302129-8,2003-02-15,Active,"House 23, Block D, PAF Colony, Islamabad",ICT,Islamabad
,Saira Baig,S/O Baig Naqvi,Sole Proprietorship,13302-3888583-2,2019-03-31,Dissolved,"House 372, Block G, F-10, Lahore",Punjab,Lahore
Atlas Brothers,Uzma Sandhu,S/O Iqra Butt,Public Limited,13302-8869378-5,2005-02-05,Active,"House 266, Block B, Cantt, Rawalpindi",Punjab,Rawalpindi
Star Enterprises,Ali Latif,S/O فاطمہ خان,Partnership,21301-8427188-5,2011-06-18,Active,"House 294, Block G, F-10, Mirpur",Azad Kashmir,Mirpur
Meezan Enterprises,Imran Hameed,S/O Naeem Qureshi,Public Limited,42101-5535270-5,2008-09-05,Active,"House 276, Block E, Model Town, Quetta",Balochistan,Quetta
Atlas Services,,S/O Ibrahim Hussain,LLP,44000-8183194-7,2013-08-21,Suspended,"House 364, Block C, F-10, Mirpur",Azad Kashmir,Mirpur
Star Associates,Hina Iqbal,S/O Zainab Gilani,Public Limited,21301-1919628-4,2002-05-10,Active,"House 157, Block E, Township, Islamabad",ICT,Islamabad
Apex Associates,,S/O Sidra Gilani,Sole Proprietorship,13302-3160312-2,2000-02-14,Active,"House 150, Block B, Gulshan-e-Iqbal, Turbat",Balochistan,Turbat
Star Group,Bushra Nawaz,S/O Omar Abbasi,Public Limited,61101-7994033-2,2016-07-29,Active,"House 47, Block A, F-10, Mirpurkhas",Sindh,Mirpurkhas
United Group,Raja Raja,S/O Usman Karim,LLP,21301-4127989-9,2007-03-14,Active,"House 311, Block G, Scheme 33, Mirpurkhas",Sindh,Mirpurkhas
National Associates,Naveed Nawaz,S/O S/O Fatima Hashmi,Partnership,,2003-07-27,Active,"House 62, Block H, F-10, Khuzdar",Balochistan,Khuzdar
Prime Solutions,Usman Jafri,S/O Hussain Aslam,Sole Proprietorship,44000-2681144-2,2016-04-21,Suspended,"House 459, Block A, I-8, Islamabad",ICT,Islamabad
Meezan Group,Kamran Chaudhry,S/O Muhammad Qureshi,Sole Proprietorship,21301-6397162-3,2014-11-25,Active,"House 53, Block A, Saddar, Skardu",Gilgit-Baltistan,Skardu
Apex Group,Faisal Tarar,S/O Rizwan Malik,Private Limited,21301-6161977-1,2001-11-07,Active,"House 181, Block G, Gulshan-e-Iqbal, Rawalakot",Azad Kashmir,Rawalakot
National Enterprises,Arif Bukhari,S/O Aamir Latif,Sole Proprietorship,44000-5893648-6,1990-07-17,Active,"House 137, Block C, F-10, Chilas",Gilgit-Baltistan,Chilas
Royal Services,Sajid Aslam,S/O Uzma Rafiq,Public Limited,13302-5364423-3,1999-06-13,Active,"House 4, Block C, Johar Town, Skardu",Gilgit-Baltistan,Skardu
Al Traders,Qureshi Chaudhry,,LLP,61101-6605238-8,2017-08-30,Active,"House 294, Block C, I-8, Islamabad",ICT,Islamabad
Royal Group,Zubair Raza,S/O Qureshi Chaudhry,Public Limited,21301-3008349-3,2017-09-23,Active,"House 376, Block B, Model Town, Islamabad",ICT,Islamabad
Pak Group,Zubair Gujjar,S/O Chaudhry Zaidi,Public Limited,61101-8780933-1,2002-11-22,Active,"House 409, Block B, Askari, Nawabshah",Sindh,Nawabshah
United Group,Saira Sandhu,S/O Zubair Naqvi,Sole Proprietorship,35202-8252205-2,2004-12-22,Active,"House 386, Block C, Bahria Town, Rawalpindi",Punjab,Rawalpindi
Apex Associates,Faisal Malik,S/O Asif Gondal,Public Limited,54000-6962643-9,1998-10-08,Suspended,"House 258, Block H, Model Town, Sukkur",Sindh,Sukkur
Pak Traders,Uzma Chattha,S/O Rabia Rafiq,Private Limited,35202-2534525-6,2012-11-08,Active,"House 449, Block C, Cavalry Ground, Chilas",Gilgit-Baltistan,Chilas
Star Associates,Asif Ahmed,S/O Arif Gujjar,LLP,44000-2335002-2,2012-04-29,Active,"House 19, Block E, Cavalry Ground, Khuzdar",Balochistan,Khuzdar
Al Group,Ahmed Cheema,S/O Tahir Sandhu,Partnership,44000-9026882-1,2002-01-28,Active,"House 499, Block F, DHA, Multan",Punjab,Multan
Star Traders,Ahmed Rana,,Private Limited,35202-3027802-6,2013-01-17,Active,"House 71, Block D, Defence, Gwadar",Balochistan,Gwadar
United Group,Hashmi Cheema,S/O Ayesha Tarar,Partnership,54000-2122405-4,2000-12-05,Active,"House 344, Block H, E-11, Turbat",Balochistan,Turbat
National Services,Bukhari Omar,S/O Raja Sandhu,Public Limited,35202-4461896-5,2010-09-30,Suspended,"House 65, Block A, G-9, Mirpur",Azad Kashmir,Mirpur
,Bilal Sandhu,S/O Saira Zaidi,Partnership,13302-3775364-7,2002-10-16,Active,"House 473, Block F, Bahria Town, Skardu",Gilgit-Baltistan,Skardu
Star Enterprises,Noor Jafri,S/O Rabia Khan,Sole Proprietorship,61101-1688764-9,2017-04-15,Active,"House 2, Block B, Clifton, Larkana",Sindh,Larkana
Pak Corp,Adnan Iqbal,S/O Fatima Rizvi,Public Limited,44000-4228588-9,2000-07-03,Active,"House 99, Block D, Defence, Multan",Punjab,Multan
Global Solutions,Cheema Mehwish,S/O Muhammad Chaudhry,Partnership,13302-7503458-6,1997-03-06,Suspended,"House 188, Block H, Township, Rawalakot",Azad Kashmir,Rawalakot
United Associates,Noor Sheikh,S/O Bilal Tarar,Private Limited,42101-3139713-5,2021-04-19,Active,"House 138, Block E, Gulshan-e-Iqbal, Sialkot",Punjab,Sialkot
Pak Industries,Rabia Bhatti,S/O S/O Usman Mirza,Private Limited,54000-6455706-7,2006-08-21,Dissolved,"House 416, Block E, Johar Town, Islamabad",ICT,Islamabad
Meezan Corp,Amna Hussain,S/O Rukhsar Malik,Public Limited,42101-3007708-9,2004-03-08,Active,"House 41, Block B, DHA, Rawalpindi",Punjab,Rawalpindi
Meezan Group,Saira Butt,S/O Omar Raja,Sole Proprietorship,35202-1859412-8,2016-11-23,Active,"House 257, Block A, DHA, Turbat",Balochistan,Turbat
Pak Brothers,Hamid Virk,S/O Maryam Sandhu,Sole Proprietorship,13302-8301766-4,1998-07-20,Active,"House 207, Block B, Johar Town, Mardan",KPK,Mardan
National Corp,Fatima Bhatti,S/O Sobia Karim,Private Limited,42101-2436347-4,2012-12-24,Active,"House 414, Block E, G-9, Mirpurkhas",Sindh,Mirpurkhas
Prime Enterprises,Bshra Sandhu,S/O Baig Mirza,Sole Proprietorship,35202-7372504-5,1995-08-28,Active,"House 268, Block C, E-11, Rawalakot",Azad Kashmir,Rawalakot
Apex Enterprises,Syed Gujjar,S/O نادیہ رضا,LLP,21301-2110878-8,1991-09-14,Active,"House 412, Block B, E-11, Mirpur",Azad Kashmir,Mirpur
Meezan Corp,Shaazia Rafiq,S/O Shoaib Chattha,LLP,,2014-07-22,Active,"House 15, Block B, Township, Quetta",Balochistan,Quetta
Pak Enterprises,Sheikh Malik,S/O S/O Salman Butt,Partnership,13302-1036553-3,1999-09-05,Dissolved,"House 187, Block H, Cantt, Rawalakot",Azad Kashmir,Rawalakot
Prime Enterprises,Mohammad Bhatti,S/O Sana Ahmed,Sole Proprietorship,35202-1986368-8,2016-12-16,Active,"House 341, Block F, Model Town, Faisalabad",Punjab,Faisalabad
Apex Solutions,Mirza Naqvi,S/O Amna Hashmi,Private Limited,21301-7298710-3,1996-08-29,Active,"House 287, Block B, Johar Town, Hub",Balochistan,Hub
United Corp,Rukhsar Hameed,S/O Asif Karim,Partnership,35202-8365343-8,2007-12-14,Active,"House 201, Block A, Model Town, Islamabad",ICT,Islamabad
United Traders,Syed Hashmi,S/O Khalid Tarar,Sole Proprietorship,42101-7166632-9,2006-06-13,Active,"House 332, Block E, Township, Chilas",Gilgit-Baltistan,Chilas
Pak Enterprises,Muhmamad Rafiq,S/O Shoaib Bhatti,Private Limited,61101-1816097-1,2017-06-07,Suspended,"House 432, Block C, Gulberg, Multan",Punjab,Multan
Al Industries,Naeem Chattha,S/O Naveed Karim,Private Limited,44000-8365488-2,2021-06-03,Active,"House 112, Block F, Bahria Town, Bahawalpur",Punjab,Bahawalpur
Star Brothers,Sheikh Khan,S/O Baig Bhatti,Partnership,42101-7930088-9,2012-01-14,Suspended,"House 27, Block E, F-10, Gilgit",Gilgit-Baltistan,Gilgit
Apex Associates,Bilal Bhatti,S/O Usman Hameed,Private Limited,13302-6485389-2,2009-09-04,Active,"House 446, Block C, Johar Town, Hyderabad",Sindh,Hyderabad
Meezan Associates,,S/O Asma Zaidi,Private Limited,13302-5151780-2,1992-11-20,Suspended,"House 269, Block A, F-10, Islamabad",ICT,Islamabad
National Brothers,Imran Akhtar,S/O Aamir Akhtar,Public Limited,61101-1604657-8,2015-11-09,Active,"House 104, Block F, Township, Skardu",Gilgit-Baltistan,Skardu
Al Corp,Uzma Hussain,S/O Nadia Chattha,Sole Proprietorship,42101-9697546-3,2004-01-06,Active,"House 62, Block F, Model Town, Rawalakot",Azad Kashmir,Rawalakot
Atlas Corp,Sobia Chaudhry,S/O Qureshi Nawaz,LLP,44000-5052194-6,2010-12-03,Suspended,"House 169, Block B, Clifton, Rawalakot",Azad Kashmir,Rawalakot
Pak Associates,Hashmi Mirza,S/O Asif Gujjar,Public Limited,35202-3207839-1,1992-06-08,Active,"House 446, Block C, I-8, Larkana",Sindh,Larkana
United Associates,Ayesha SSyed,S/O Rabia Akhtar,LLP,54000-7500351-7,1992-06-09,Active,"House 483, Block D, DHA, Mardan",KPK,Mardan
National Group,Arif Virk,S/O Tariq Syed,Private Limited,42101-4708239-2,1990-06-21,Suspended,"House 492, Block D, Johar Town, Gujranwala",Punjab,Gujranwala
United Enterprises,Shoaib Gujjar,S/O Kashif Abbasi,LLP,13302-1631480-2,1999-05-05,Active,"House 288, Block F, E-11, Sukkur",Sindh,Sukkur
United Group,عمر شیخ,S/O Bilal Gilani,Public Limited,35202-3500715-9,1992-12-17,Suspended,"House 329, Block A, Defence, Turbat",Balochistan,Turbat
Star Corp,Kashif Gondal,S/O Iqra Rafiq,LLP,42101-3059380-1,2013-03-10,Active,"House 284, Block D, Clifton, Mardan",KPK,Mardan
United Associates,Zaidi Iqra,S/O Salman Rana,Private Limited,,2021-09-24,Active,"House 259, Block E, Township, Gujranwala",Punjab,Gujranwala
Royal Corp,Khalid Baig,S/O Usman Gujjar,Public Limited,13302-4174419-2,2003-05-15,Suspended,"House 395, Block F, Gulberg, Faisalabad",Punjab,Faisalabad
Prime Group,Malik Zaidi,S/O Naveed Ahmed,Public Limited,13302-1527765-8,2020-08-11,Active,"House 376, Block C, Township, Mardan",KPK,Mardan
United Corp,Saira Tarar,S/O Bilal Cheema,Private Limited,13302-3151521-7,2019-07-27,Active,"House 281, Block B, Clifton, Chilas",Gilgit-Baltistan,Chilas
Meezan Associates,Salman Gilani,S/O Maryam Bhatti,Sole Proprietorship,35202-1690406-6,2009-12-25,Active,"House 228, Block G, Scheme 33, Gilgit",Gilgit-Baltistan,Gilgit
Royal Services,Hashmi Ali,S/O Khalid Bukhari,Private Limited,21301-6557798-2,1996-10-21,Active,"House 368, Block D, F-10, Mirpur",Azad Kashmir,Mirpur
Pak Enterprises,Amna Cheema,S/O مریم چودھری,Partnership,54000-8772927-5,1998-11-08,Dissolved,"House 273, Block H, Saddar, Abbottabad",KPK,Abbottabad
Royal Group,Mehwish Tarar,S/O Waseem Raza,Private Limited,42101-3691366-6,2004-12-16,Active,"House 490, Block C, I-8, Skardu",Gilgit-Baltistan,Skardu
Atlas Services,Faisal Chaudhry,S/O Tariq Baig,Sole Proprietorship,21301-8359688-7,2022-12-20,Suspended,"House 93, Block E, Johar Town, Gujranwala",Punjab,Gujranwala
,Qureshi Hameed,S/O Nadia Raza,Partnership,21301-9507767-2,2011-09-07,Active,"House 279, Block A, F-10, Islamabad",ICT,Islamabad
Global Enterprises,Rizwan Sheikh,S/O Saira Jafri,LLP,42101-5185975-3,1999-12-13,Active,"House 417, Block A, G-9, Sialkot",Punjab,Sialkot
Pak Associates,,S/O Maryam Bhatti,Public Limited,61101-5771138-8,2019-06-27,Active,"House 73, Block F, Bahria Town, Islamabad",ICT,Islamabad
Apex Group,Syed Latif,S/O Maryam Syed,Partnership,21301-8991958-1,1998-10-18,Suspended,"House 384, Block H, Cantt, Hub",Balochistan,Hub
Al Services,Ahmed Butt,S/O عائشہ احمد,LLP,,2007-08-01,Active,"House 37, Block D, F-10, Rawalakot",Azad Kashmir,Rawalakot
Al Associates,Mohammad Bhatti,S/O Sidra Nawaz,Public Limited,13302-1293064-6,2009-04-02,Active,"House 238, Block A, Clifton, Abbottabad",KPK,Abbottabad
Apex Group,Hussain Gonndal,S/O Iqra Jafri,LLP,21301-1961549-6,2015-04-06,Active,"House 264, Block H, I-8, Turbat",Balochistan,Turbat
Star Industries,Chaudhry Gujjar,S/O Tariq Chaudhry,Public Limited,35202-9611521-5,2004-06-08,Dissolved,"House 448, Block C, Scheme 33, Skardu",Gilgit-Baltistan,Skardu
Star Traders,Sidra Qureshi,S/O Hamid Aslam,Partnership,13302-7390162-4,1991-01-07,Active,"House 297, Block B, Cavalry Ground, Gwadar",Balochistan,Gwadar
Atlas Solutions,Fatima Chattha,S/O مریم چودھری,Public Limited,61101-5491003-7,2007-02-12,Active,"House 480, Block D, Township, Gujranwala",Punjab,Gujranwala
Al Solutions,Ali Sandhu,S/O Muhammad Syed,LLP,54000-9295548-2,2007-09-02,Dissolved,"House 165, Block D, Defence, Muzaffarabad",Azad Kashmir,Muzaffarabad
Atlas Corp,Faisal Khan,S/O Raja Cheema,Partnership,13302-8745859-8,2013-10-29,Active,"House 364, Block B, Defence, Hyderabad",Sindh,Hyderabad
National Enterprises,Nadia Bukhari,,Sole Proprietorship,13302-3610866-3,1997-08-18,Active,"House 211, Block A, Cantt, Mirpur",Azad Kashmir,Mirpur
Prime Solutions,Mirza Abbasi,S/O S/O احمد خان,Public Limited,21301-8007639-4,2013-10-11,Active,"House 265, Block E, Askari, Khuzdar",Balochistan,Khuzdar
Meezan Services,Iqra Gujjar,S/O Imran Hameed,Partnership,35202-1707131-7,2011-02-25,Suspended,"House 12, Block E, Cavalry Ground, Hyderabad",Sindh,Hyderabad
United Group,Hassan Ali,S/O Arif Baig,Sole Proprietorship,54000-1873851-6,2019-03-28,Dissolved,"House 252, Block H, Clifton, Abbottabad",KPK,Abbottabad
Pak Services,Mirza Virk,S/O Faisal Gilani,Partnership,21301-2371132-2,2004-02-19,Active,"House 489, Block E, Gulshan-e-Iqbal, Rawalakot",Azad Kashmir,Rawalakot
Star Group,احمد خان,S/O Khalid Virk,LLP,54000-3269058-3,1990-11-10,Active,"House 9, Block D, G-9, Lahore",Punjab,Lahore
Pak Group,Usman Bukhari,S/O S/O Bushra Aslam,Private Limited,54000-6956059-3,2017-10-27,Active,"House 168, Block C, DHA, Chilas",Gilgit-Baltistan,Chilas
Al Traders,Qureshi Gujjar,S/O S/O Sana Abbasi,Public Limited,42101-5273534-1,2006-07-13,Active,"House 268, Block F, PAF Colony, Skardu",Gilgit-Baltistan,Skardu
Pak Traders,Baig Bukhari,S/O Naveed Rana,LLP,42101-5445795-2,2021-09-12,Active,"House 488, Block B, I-8, Bannu",KPK,Bannu
Al Industries,Arif Ali,S/O Bilal Gondal,Sole Proprietorship,21301-7367529-7,2012-09-23,Active,"House 218, Block G, Cantt, Gilgit",Gilgit-Baltistan,Gilgit
Royal Enterprises,Omar Rana,S/O Shoaib Hashmi,Sole Proprietorship,61101-3820798-2,1990-12-12,Active,"House 163, Block G, F-10, Bahawalpur",Punjab,Bahawalpur
Star Corp,Raja Bahtti,S/O Sana Virk,Private Limited,35202-1749161-2,2017-06-13,Active,"House 4, Block A, North Nazimabad, Gwadar",Balochistan,Gwadar
Prime Solutions,Rizwan Zaidi,S/O Muhammad Gilani,Private Limited,13302-7447059-6,2016-09-19,Active,"House 104, Block F, Johar Town, Turbat",Balochistan,Turbat
Prime Group,Naveed Bukhari,S/O نادیہ رضا,Private Limited,13302-7146970-2,2015-05-30,Active,"House 403, Block H, F-10, Mirpur",Azad Kashmir,Mirpur
Atlas Brothers,Karan Jafri,S/O مریم چودھری,Private Limited,13302-1015341-2,2011-01-28,Dissolved,"House 209, Block A, Cantt, Turbat",Balochistan,Turbat
National Associates,Cheema Aamir,S/O Naveed Qureshi,Sole Proprietorship,42101-8809936-8,2013-06-18,Dissolved,"House 347, Block G, F-10, Khuzdar",Balochistan,Khuzdar
Atlas Solutions,Muhammad Sheikh,S/O Salman Rana,Private Limited,44000-8159977-4,2006-05-17,Active,"House 479, Block B, Scheme 33, Bannu",KPK,Bannu
Al Solutions,Tahir Gondal,S/O Asif Cheema,Sole Proprietorship,42101-4451578-7,2007-03-14,Active,"House 158, Block D, G-9, Mirpur",Azad Kashmir,Mirpur
Atlas Industries,Iqra Sandhu,S/O Arif Bukhari,Sole Proprietorship,13302-3190350-8,2020-11-30,Dissolved,"House 495, Block H, PAF Colony, Gilgit",Gilgit-Baltistan,Gilgit
Atlas Solutions,Asma Chaudhry,S/O Nadia Gilani,Partnership,35202-1227365-1,2001-01-25,Dissolved,"House 188, Block F, Defence, Islamabad",ICT,Islamabad
Pak Industries,Akhtar Arif,S/O Chaudhry Gujjar,LLP,35202-7065854-4,2020-07-26,Active,"House 35, Block H, I-8, Quetta",Balochistan,Quetta
Global Solutions,Amna Hashmi,S/O Maryam Bhatti,Partnership,61101-5771138-8,2003-08-19,Suspended,"House 372, Block F, Johar Town, Islamabad",ICT,Islamabad
Meezan Services,Zaidi Zubair,S/O Sobia Tarar,Public Limited,61101-3460948-6,1992-10-22,Active,"House 51, Block G, Cantt, Muzaffarabad",Azad Kashmir,Muzaffarabad
Meezan Corp,Gilani Arif,S/O Iqra Karim,Private Limited,44000-5813958-4,1995-08-04,Active,"House 298, Block E, DHA, Turbat",Balochistan,Turbat
,Syed Gujjar,S/O Iqra Tarar,Public Limited,61101-8098339-3,1999-05-03,Active,"House 79, Block B, Bahria Town, Rawalpindi",Punjab,Rawalpindi
United Services,Raja Jafri,S/O Mirza Hashmi,LLP,44000-7327602-7,2001-05-27,Active,"House 113, Block G, Clifton, Gwadar",Balochistan,Gwadar
Al Corp,Hussain Zainab,S/O Sajid Sandhu,Sole Proprietorship,54000-8156247-6,1993-02-11,Active,"House 493, Block D, Saddar, Sialkot",Punjab,Sialkot
Star Services,صنا ملک,S/O Shazia Butt,LLP,13302-5759088-9,1995-05-13,Active,"House 32, Block G, Gulberg, Skardu",Gilgit-Baltistan,Skardu
Meezan Brothers,Amna Gondal,S/O Waseem Chaudhry,Private Limited,61101-5070918-9,2021-01-25,Active,"House 193, Block G, G-9, Mirpur",Azad Kashmir,Mirpur
,Malik Fatima,S/O Rizwan Abbasi,Private Limited,,2005-12-24,Active,"House 4, Block B, Model Town, Mirpurkhas",Sindh,Mirpurkhas
Al Brothers,Bushra Syed,S/O Naeem Chattha,Private Limited,61101-9399308-7,1990-05-18,Active,"House 487, Block B, Bahria Town, Muzaffarabad",Azad Kashmir,Muzaffarabad
Atlas Industries,Asif Hussain,S/O Bilal Gilani,Private Limited,54000-3607983-5,2004-08-22,Active,"House 259, Block A, Askari, Turbat",Balochistan,Turbat
Royal Group,Shazia Aslam,S/O Imran Aslam,LLP,,1995-10-06,Suspended,"House 204, Block F, Clifton, Skardu",Gilgit-Baltistan,Skardu
Pak Traders,Syed Gujjar,S/O Iqra Tarar,Sole Proprietorship,61101-8098339-3,1996-06-06,Dissolved,"House 111, Block D, DHA, Rawalpindi",Punjab,Rawalpindi
,Ayesha Chaudhry,S/O Sheikh Ahmed,Partnership,61101-1785548-7,1993-02-16,Active,"House 360, Block H, Township, Muzaffarabad",Azad Kashmir,Muzaffarabad
Star Corp,Arif Raja,S/O Raja Zaidi,LLP,61101-7845625-6,2006-10-04,Dissolved,"House 74, Block G, Bahria Town, Gilgit",Gilgit-Baltistan,Gilgit
Al Associates,Khalid Aslam,S/O Khalid Aslam,Sole Proprietorship,44000-2028388-3,2019-10-11,Active,"House 128, Block H, Saddar, Chilas",Gilgit-Baltistan,Chilas
United Group,Fatima Qureshi,S/O Raja Ahmed,Sole Proprietorship,42101-7045102-5,2007-02-06,Active,"House 372, Block E, Township, Islamabad",ICT,Islamabad
National Enterprises,Hashmi Ali,S/O Khalid Bukhari,LLP,21301-6557798-2,2007-10-21,Dissolved,"House 104, Block D, Defence, Mirpur",Azad Kashmir,Mirpur
Star Industries,Hassan Latif,S/O Kamran Karim,Partnership,61101-2920551-1,2015-12-29,Active,"House 245, Block C, G-9, Rawalakot",Azad Kashmir,Rawalakot
Atlas Corp,Usman Gilani,S/O Bushra Raza,Partnership,35202-6621223-9,1990-01-06,Suspended,"House 30, Block E, Model Town, Gilgit",Gilgit-Baltistan,Gilgit
Atlas Industries,Hamid Ansari,S/O عمر شیخ,Private Limited,13302-4303493-2,2004-09-17,Active,"House 118, Block C, I-8, Larkana",Sindh,Larkana
Meezan Solutions,Mirza Ansari,S/O Ahmed Hashmi,Sole Proprietorship,35202-6996458-6,2002-04-27,Active,"House 41, Block F, E-11, Muzaffarabad",Azad Kashmir,Muzaffarabad
Star Industries,Naveed Hussain,S/O Khalid Jafri,LLP,44000-2067859-4,2004-06-01,Active,"House 53, Block E, G-9, Sargodha",Punjab,Sargodha
United Group,Waseem Raza,S/O S/O Waseem Hameed,Private Limited,42101-6137726-6,1998-02-28,Dissolved,"House 428, Block A, North Nazimabad, Skardu",Gilgit-Baltistan,Skardu
Apex Associates,Rizwan Qureshi,S/O Ibrahim Aslam,Partnership,35202-2511654-8,1992-04-12,Active,"House 27, Block G, Scheme 33, Islamabad",ICT,Islamabad
Prime Industries,Noor Rizvi,S/O Asma Gilani,Partnership,35202-4819578-9,2013-08-19,Active,"House 97, Block D, North Nazimabad, Chilas",Gilgit-Baltistan,Chilas
National Associates,Baig Hashmi,S/O Bilal Naqvi,Partnership,13302-4950370-5,2019-06-15,Dissolved,"House 185, Block C, G-9, Turbat",Balochistan,Turbat
Apex Services,Shazia Bukhari,S/O Mirza Qureshi,Sole Proprietorship,42101-7529877-6,2003-10-13,Active,"House 379, Block H, E-11, Mingora",KPK,Mingora
National Traders,Bushra Abbasi,S/O Saira Ansari,Public Limited,13302-4142256-8,2002-03-24,Active,"House 456, Block D, Bahria Town, Rawalakot",Azad Kashmir,Rawalakot
Atlas Associates,Hassan Raza,S/O Hamid Sheikh,Public Limited,61101-9448435-7,2013-07-06,Active,"House 115, Block D, G-9, Hub",Balochistan,Hub
Al Solutions,Kamran Tarar,S/O Nadia Abbasi,Partnership,54000-3818861-6,1992-09-15,Active,"House 211, Block H, North Nazimabad, Hyderabad",Sindh,Hyderabad
Star Corp,Sobia Zaidi,S/O Bushra Rizvi,LLP,21301-9397875-7,2006-04-19,Active,"House 32, Block A, Bahria Town, Skardu",Gilgit-Baltistan,Skardu
Global Solutions,Aamir Gondal,S/O Ayesha Jafri,Private Limited,35202-3411226-4,2007-09-03,Active,"House 387, Block B, Askari, Islamabad",ICT,Islamabad
Prime Brothers,Hamid Iqbal,S/O Amna Akhtar,Sole Proprietorship,42101-4989408-3,1998-06-09,Active,"House 101, Block G, Askari, Rawalakot",Azad Kashmir,Rawalakot
Meezan Associates,Rukhsar Latif,S/O Aamir Rana,LLP,13302-4779679-4,2022-11-19,Active,"House 375, Block B, Township, Gwadar",Balochistan,Gwadar
Star Services,Mirza Gilani,S/O Uzma Rana,Public Limited,44000-1869144-2,1993-10-12,Active,"House 471, Block H, Saddar, Rawalakot",Azad Kashmir,Rawalakot
Meezan Group,Salman Raja,S/O Qureshi Malik,Partnership,42101-3719532-5,2007-10-23,Active,"House 366, Block G, Gulberg, Rawalpindi",Punjab,Rawalpindi
Global Brothers,Sheikh Chattha,S/O Mirza Sandhu,Partnership,61101-2212136-9,2002-05-19,Suspended,"House 279, Block B, Cavalry Ground, Islamabad",ICT,Islamabad
Prime Brothers,Ansari Waseem,S/O Sajid Gilani,Sole Proprietorship,21301-5748505-2,2003-06-18,Active,"House 140, Block C, Cavalry Ground, Lahore",Punjab,Lahore
