canonical_name,father_name,cnic,car_registration_number,model_year,car_brand,car_model,engine_size_cc,province,city,market_value,phone
Chaudhry Baig,S/O S/O Maryam Ansari,54000-9333686-5,KHI-1965-X,2017,Honda,BR-V,2000,Sindh,Hyderabad,5720000.0,0300-8286660
Zubair Hussain,S/O Waseem Gondal,35202-3910682-9,LHR-792-I,2017,Honda,HR-V,2500,Punjab,Sialkot,9200000.0,0333-5675458
Khalid Naqvi,S/O Sobia Khan,61101-1847015-4,MZD-6191-C,2015,Kia,Picanto,2500,Azad Kashmir,Rawalakot,4600000.0,0345-4287909
Hina Aslam,S/O Naeem Hameed,13302-7467813-2,KHI-386-X,2012,Toyota,Camry,3000,Sindh,Hyderabad,4620000.0,0302-2468963
Mirza Bhatti,S/O Bushra Jafri,21301-1620820-6,LHR-2602-B,2010,Toyota,Fortuner,2500,Punjab,Multan,8700000.0,0303-7855353
Arif Sheikh,S/O Naveed Hameed,21301-7842439-7,GIL-5655-W,2010,Kia,Stonic,2000,Gilgit-Baltistan,Gilgit,3880000.0,0303-2346947
Arif Cheema,S/O Shazia Baig,13302-7194693-7,LHR-8458-L,2022,Honda,Civic,1200,Punjab,Faisalabad,2652000.0,0332-4660723
Fatima Chattha,S/O Rukhsar Gilani,35202-2041468-2,LHR-5999-Z,2011,Toyota,Corolla,1300,Punjab,Multan,4641000.0,
Mohammad Gondal,S/O Adnan Cheema,13302-7242491-5,KHI-3798-Q,2020,Honda,CR-V,2500,Sindh,Nawabshah,4150000.0,0345-5668383
Ahmed Gilani,S/O Ali Chattha,21301-1434060-7,LHR-9314-Z,2014,Hyundai,Sonata,800,Punjab,Faisalabad,904000.0,0333-5098257
Sajid Latif,S/O Sheikh Rizvi,42101-6535795-9,KHI-5451-H,2022,Kia,Sportage,800,Sindh,Hyderabad,2160000.0,0345-6136761
ف. خان,S/O Mehwish Chattha,35202-3390594-9,PES-7229-U,2022,Kia,Picanto,2000,KPK,Peshawar,0.0,0345-6761812
Qureshi Rafiq,S/O Kashif Ali,42101-4718900-4,ISB-9833-S,2021,Hyundai,Santa Fe,660,ICT,Islamabad,1742400.0,0312-6700102
Kamran Karim,S/O S/O Hashmi Butt,54000-3349469-5,MZD-7486-C,2014,Suzuki,Bolan,660,Azad Kashmir,Rawalakot,1399200.0,0313-8914690
Khalid Gilani,S/O Hamid Cheema,54000-4438621-5,ISB-8883-H,2010,Kia,Carnival,1200,ICT,Islamabad,2676000.0,0303-6867367
Kamran Zaidi,S/O Hashmi Baig,13302-2485555-1,QTA-6262-C,2014,Hyundai,Santa Fe,1200,Balochistan,Turbat,1740000.0,0333-7769570
Hussain Nawaz,S/O Tariq Sheikh,35202-8398616-4,ISB-7685-W,2019,Hyundai,Elantra,1800,Gilgit-Baltistan,Skardu,5940000.0,0322-1714943
Sajid Ali,S/O Ali Qureshi,44000-8447590-6,ISB-5430-S,2016,Kia,Sportage,4000,ICT,Islamabad,8360000.0,0312-9447016
Naeem Raja,S/O Arif Aslam,21301-1971581-3,PES-4996-Z,2023,Hyundai,Santa Fe,800,KPK,Mardan,0.0,0313-9554631
A. Hashmi,S/O نادیہ رضا,35202-9688409-2,GIL-2692-B,2023,Suzuki,Alto,1800,Gilgit-Baltistan,Gilgit,3222000.0,0303-3481667
Hna Sheikh,S/O Baig Sandhu,44000-6924889-2,KHI-6815-M,2021,Toyota,Camry,1600,Sindh,Nawabshah,4752000.0,0346-8041714
,S/O Noor Latif,54000-8025252-8,MZD-9067-L,2007,Suzuki,Wagon R,660,Azad Kashmir,Muzaffarabad,1768800.0,0332-7496851
A. Karim,S/O Iqra Akhtar,61101-6335944-8,LHR-6610-J,2019,Suzuki,Alto,1500,Punjab,Sialkot,5775000.0,0300-7657632
Sajid Aslam,S/O Hassan Khan,61101-2678051-8,LHR-7223-J,2023,Suzuki,Bolan,2000,Punjab,Gujranwala,6000000.0,0313-2800796
F. Mirza,S/O Sobia Tarar,35202-4228973-4,LHR-5321-P,2012,Kia,Picanto,660,Punjab,Sialkot,1630200.0,0303-8999528
Amna Gujjar,S/O Tahir Latif,42101-1264081-3,QTA-699-Q,2008,Kia,Picanto,1300,Balochistan,Turbat,1391000.0,0311-2403738
Sana Nawaz,S/O Uzma Ali,54000-6811532-8,GIL-9294-F,2016,Honda,City,1800,Gilgit-Baltistan,Skardu,3348000.0,0313-3148368
Sajid Chattha,S/O Mohammad Akhtar,35202-6504670-2,MZD-8031-L,2007,Kia,Picanto,1300,Azad Kashmir,Muzaffarabad,4576000.0,0300-7864274
Fatima Bhatit,S/O Sobia Karim,42101-2436347-4,KHI-749-P,2007,Suzuki,Bolan,1300,Sindh,Mirpurkhas,3913000.0,0345-5031966
مریم چودھری,S/O Muhammad Akhtar,44000-1176788-2,QTA-551-P,2012,Hyundai,Tucson,1800,Balochistan,Hub,5400000.0,0322-8054268
Noor Sheikh,S/O Bilal Tarar,42101-3139713-5,LHR-5564-G,2014,Hyundai,Elantra,660,Punjab,Sialkot,1927200.0,0346-3329280
Rizwan Karim,S/O Rabia Abbasi,21301-8762741-1,KHI-5996-S,2010,Suzuki,Jimny,1300,Sindh,Karachi,1495000.0,0312-5990361
Iqra Iqbal,S/O Uzma Gondal,,KHI-7038-M,2018,Suzuki,Swift,1500,Sindh,Mirpurkhas,4290000.0,0332-4719320
Rukhsar Sheikh,S/O Hussain Hameed,13302-6940889-7,GIL-2398-Q,2013,Toyota,Camry,1600,Gilgit-Baltistan,Gilgit,6096000.0,0346-8385584
Asif Bhatti,S/O Muhammad Gondal,13302-8396880-6,PES-7970-X,2019,Suzuki,Jimny,1600,KPK,Peshawar,3504000.0,0311-5967782
Omar Zaidi,S/O Tahir Malik,21301-3815529-6,PES-4681-C,2011,Suzuki,Wagon R,1000,KPK,Peshawar,2890000.0,0300-3181928
Mohammad Latif,S/O Raja Raza,42101-7857886-2,GIL-8932-X,2018,Toyota,Fortuner,1200,Gilgit-Baltistan,Skardu,2328000.0,0300-6834790
Shazia Raza,S/O Hamid Rana,35202-2516043-6,ISB-2406-O,2019,Toyota,Camry,660,ICT,Islamabad,1445400.0,0313-4629635
Bushra Chaudhry,S/O Tahir Chaudhry,,GIL-934-U,2023,Hyundai,Santa Fe,2500,Gilgit-Baltistan,Chilas,9700000.0,0312-7064624
Ayesha Ahmed,S/O Shazia Jafri,21301-8530042-1,ISB-6573-H,2022,Hyundai,Elantra,2500,ICT,Islamabad,4300000.0,0332-2984998
,S/O Rukhsar Bhatti,61101-8026283-3,GIL-1823-V,2022,Toyota,Hilux,1000,Gilgit-Baltistan,Chilas,2690000.0,0345-4587105
محمد علی,S/O Baig Hameed,21301-7673264-2,LHR-5487-W,2012,Honda,Civic,800,Punjab,Lahore,2960000.0,0311-7481628
Haashmi Naqvi,S/O Hashmi Syed,21301-7500548-2,MZD-6433-A,2016,Mercedes,S-Class,2000,Azad Kashmir,Rawalakot,3740000.0,0333-1510014
Malik Iqbal,S/O Fatima Karim,21301-9230828-8,KHI-7953-W,2016,Suzuki,Wagon R,3000,Sindh,Sukkur,3270000.0,0302-3348114
Syed Mirza,S/O Khalid Raza,44000-6665078-5,ISB-7497-A,2011,Kia,Picanto,1200,ICT,Islamabad,2292000.0,0303-2918105
ا. ملک,S/O Rabia Akhtar,54000-3520509-7,MZD-1951-J,2008,Honda,HR-V,2000,Azad Kashmir,Muzaffarabad,7740000.0,0322-4085739
Ahmed Gondal,S/O Zainab Gujjar,13302-2954313-1,LHR-2472-F,2006,Kia,Carnival,1000,Punjab,Faisalabad,3340000.0,0321-6226102
Syed Sheikh,S/O علی حسین,21301-3357609-5,LHR-8128-O,2012,Hyundai,Elantra,1600,Punjab,Sialkot,2256000.0,0333-5263959
Naeem Naqvi,S/O Shazia Rana,61101-5823279-3,MZD-7862-D,2007,Suzuki,Bolan,1600,Azad Kashmir,Rawalakot,3312000.0,0333-9633551
ابراہیم ملک,S/O Naeem Chattha,35202-6794791-4,QTA-9519-P,2005,Honda,City,1800,Balochistan,Gwadar,5148000.0,0346-5793100
Hina Mirza,S/O Hassan Gondal,42101-8773741-3,QTA-1129-R,2017,Toyota,Camry,660,Balochistan,Turbat,1947000.0,0303-7469044
عمر شیخ,S/O Sana Bhatti,44000-1111220-8,KHI-3556-I,2022,Hyundai,Santa Fe,1800,Sindh,Nawabshah,1980000.0,0301-1693359
Imran Butt,S/O Salman Ansari,13302-8060918-6,LHR-6010-N,2023,Honda,CR-V,1300,Punjab,Lahore,3354000.0,0345-2224599
Waseem Raja,S/O Zainab Ahmed,54000-1195688-1,GIL-6257-T,2014,Suzuki,Cultus,2000,Gilgit-Baltistan,Skardu,6460000.0,0313-3375870
Kamran Ansari,S/O Maryam Rafiq,21301-9673493-2,GIL-6091-Z,2014,Suzuki,Alto,800,Gilgit-Baltistan,Skardu,1344000.0,0311-5782834
Khalid Iqbal,S/O Sheikh Abbasi,13302-9999150-9,QTA-418-R,2020,Hyundai,Elantra,800,Balochistan,Hub,1216000.0,0332-5242695
Naveed Jafrri,S/O Ayesha Rana,61101-6696598-4,GIL-1731-A,2021,Toyota,Yaris,1000,Gilgit-Baltistan,Gilgit,3330000.0,0302-5387084
Chaudhry Rafiq,S/O Saira Bukhari,21301-8059548-5,ISB-7463-J,2019,Honda,HR-V,3000,ICT,Islamabad,5400000.0,
Sidra Jafri,S/O Hamid Hameed,61101-6228273-2,MZD-7365-D,2007,Toyota,Land Cruiser,1600,Azad Kashmir,Muzaffarabad,2720000.0,0345-2132956
Salman Malik,S/O Sidra Iqbal,44000-9790175-2,KHI-5716-K,2016,Hyundai,Sonata,2500,Sindh,Hyderabad,4225000.0,0303-1632630
Uzma Sheikh,S/O Nadia Abbasi,54000-8615616-1,ISB-5213-O,2017,Hyundai,Santa Fe,2500,ICT,Islamabad,8725000.0,0346-6419028
Rukhsar Aslam,S/O Saira Abbasi,35202-4499287-7,KHI-165-N,2022,Toyota,Land Cruiser,800,Sindh,Larkana,880000.0,0312-9330638
Hassan Rana,S/O Baig Hameed,54000-4159986-3,GIL-8922-H,2012,Kia,Stonic,800,Gilgit-Baltistan,Chilas,1640000.0,0313-8739424
Rukhsar Hussain,,42101-7653732-3,QTA-4633-X,2016,Suzuki,Jimny,1600,Balochistan,Gwadar,2016000.0,0345-8460813
Uzma Bukhari,S/O Baig Bhatti,61101-1733490-6,GIL-5915-R,2016,Audi,A3,3500,Gilgit-Baltistan,Gilgit,11830000.0,0311-3176277
Mehwish Rizvi,S/O Hussain Butt,13302-1318382-5,PES-9534-Y,2015,Kia,Stonic,1000,KPK,Bannu,1630000.0,0345-7312675
R. Ahmed,S/O Salman Qureshi,35202-2323225-8,QTA-2611-J,2013,Honda,BR-V,2500,Balochistan,Turbat,6125000.0,0301-2884744
Aamir Baig,S/O Iqra Bukhari,61101-3066998-3,QTA-589-A,2007,Honda,BR-V,1000,Balochistan,Hub,3100000.0,0302-1544957
Hamid Aslam,S/O Asma Abbasi,42101-2828835-7,LHR-3619-F,2008,Mercedes,S-Class,4000,Punjab,Sargodha,4240000.0,0331-2778176
Imran Rizvi,S/O Omar Raza,21301-2304723-4,ISB-5123-I,2021,Honda,City,1800,ICT,Islamabad,6192000.0,0321-1541705
Khalid Iqbal,S/O Zubair Jafri,42101-9156889-7,ISB-950-W,2015,Kia,Picanto,1500,ICT,Islamabad,2835000.0,0302-5093130
Kashif Raja,S/O Tariq Tarar,61101-7923927-9,MZD-4917-P,2020,Kia,Carnival,3000,Azad Kashmir,Muzaffarabad,11310000.0,0313-7897167
Asif Raja,S/O Naveed Zaidi,21301-5911615-3,KHI-1276-Q,2020,Honda,Civic,4000,Sindh,Mirpurkhas,5320000.0,0300-6054267
Bushra Nawaz,S/O Khalid Mirza,21301-8312627-3,QTA-9263-R,2015,Kia,Carnival,1000,Balochistan,Gwadar,1050000.0,0322-4041965
Hussain Syed,S/O Ayesha Naqvi,35202-7591681-4,KHI-6991-M,2014,Kia,Carnival,3000,Sindh,Karachi,3210000.0,0300-7716334
Imran Naqvi,S/O Rizwan Bhatti,44000-2026875-1,PES-7676-S,2015,Toyota,Land Cruiser,2500,KPK,Kohat,5300000.0,0322-5238976
,S/O Ali Naqvi,13302-2682597-8,KHI-2019-W,2014,Hyundai,Elantra,2500,Sindh,Hyderabad,7150000.0,0321-7839128
Kamran Rana,S/O Iqra Khan,21301-1227516-6,GIL-2064-R,2017,Suzuki,Cultus,1800,Gilgit-Baltistan,Chilas,4176000.0,0345-9126125
Kamran Ahmed,S/O Baig Bukhari,44000-9993522-7,GIL-2001-B,2019,Suzuki,Swift,1300,Gilgit-Baltistan,Chilas,1846000.0,0345-1569792
Sheikh Hshmi,S/O Mehwish Raza,61101-8979590-8,GIL-4440-S,2005,Toyota,Land Cruiser,1500,Gilgit-Baltistan,Skardu,3780000.0,0332-5442336
Amna Ansari,S/O Chaudhry Gilani,61101-1728065-7,QTA-9145-M,2021,Honda,BR-V,1600,Balochistan,Gwadar,1952000.0,0322-1680765
Tariq Sheikh,S/O Hamid Aslam,44000-1800429-7,ISB-4515-M,2007,Suzuki,Swift,1600,ICT,Islamabad,4960000.0,0303-5266272
Ayesha Bhatti,S/O Bushra Ali,,PES-4494-Y,2016,Hyundai,Tucson,1500,KPK,Bannu,1680000.0,0303-1664470
Hussain Ali,S/O Aamir Chaudhry,44000-6723129-5,PES-1363-H,2005,Toyota,Camry,1000,KPK,Mingora,1170000.0,0300-7822839
Maryam Raja,S/O Kashif Iqbal,13302-9547928-7,MZD-886-L,2007,Hyundai,Elantra,2500,Azad Kashmir,Muzaffarabad,8275000.0,0311-1907043
Sajid Ali,S/O Ali Qureshi,44000-8447590-6,ISB-5117-B,2017,Audi,Q5,2000,ICT,Islamabad,7440000.0,0312-9447016
Hashmi Gondal,S/O Syed Raza,54000-7569338-6,KHI-9694-U,2011,Toyota,Fortuner,2500,Sindh,Nawabshah,7625000.0,0322-5469523
Bilal Aslma,S/O Raja Hameed,13302-3682694-1,GIL-1534-E,2023,Toyota,Hilux,1500,Gilgit-Baltistan,Skardu,2295000.0,
Asma Jafri,S/O Naeem Bhatti,61101-1262268-6,KHI-2022-F,2021,BMW,3 Series,3500,Sindh,Karachi,9450000.0,0346-5390715
نادیہ رضا,S/O Imran Hussain,13302-4487943-2,MZD-8324-Y,2014,Hyundai,Sonata,2500,Azad Kashmir,Rawalakot,5075000.0,0303-8911046
Naveed Abbasi,S/O Aamir Nawaz,21301-9545295-9,PES-1110-U,2020,Suzuki,Cultus,2500,KPK,Peshawar,8075000.0,0311-3615401
Amna Raja,S/O Baig Chaudhry,13302-7858398-8,LHR-1942-P,2021,Toyota,Hilux,2000,Punjab,Bahawalpur,5520000.0,0346-3787134
Rizwan Qureshi,S/O Ibrahim Aslam,35202-2511654-8,ISB-8402-I,2013,BMW,X5,3500,ICT,Islamabad,4935000.0,0313-9906182
Usman Gujjar,S/O Sana Ali,21301-5058503-3,GIL-5706-H,2023,Hyundai,Elantra,3000,Balochistan,Khuzdar,10620000.0,0331-5188951
Ibrahim Syed,S/O Noor Rafiq,61101-6648521-8,LHR-9520-G,2014,Hyundai,Santa Fe,1000,Punjab,Lahore,2640000.0,0300-5100919
Muhammad Cheema,S/O Naeem Ansari,54000-3490769-9,MZD-2073-D,2005,Suzuki,Alto,2000,Azad Kashmir,Mirpur,2080000.0,0332-1053420
Hamid Ansari,S/O Nadia Hameed,21301-7040944-7,LHR-6560-U,2022,Suzuki,Cultus,1000,Punjab,Sialkot,1760000.0,0345-6452440
M. Latif,S/O Naeem Butt,13302-7097329-9,GIL-784-M,2022,Suzuki,Bolan,1800,Gilgit-Baltistan,Chilas,2214000.0,0321-2570802
Bushra Naqvi,S/O Khalid Gondal,35202-4292289-8,LHR-8774-S,2013,Honda,Civic,1500,Punjab,Lahore,5100000.0,0311-1505381
Aamir Gujjar,S/O Ali Gilani,42101-9798556-7,LHR-1575-U,2009,Toyota,Corolla,1600,Punjab,Bahawalpur,2688000.0,0331-3161087
Ayesha Ansari,S/O Sheikh Raja,35202-4965789-3,ISB-1490-Z,2008,Suzuki,Bolan,2500,ICT,Islamabad,4575000.0,0346-7728339
M. Hashmi,S/O Fatima Sandhu,13302-3262204-2,GIL-7964-M,2006,Toyota,Land Cruiser,1000,Gilgit-Baltistan,Skardu,3250000.0,0332-7996666
Shazia Zaidi,S/O Naveed Raza,21301-8387014-8,PES-6684-O,2022,Kia,Carnival,1600,KPK,Mingora,6032000.0,0331-1735594
Uzma Qureshi,S/O S/O Rizwan Raza,13302-3701920-9,ISB-2686-H,2005,Honda,HR-V,3000,ICT,Islamabad,7650000.0,0331-8229326
MohammadAnsari,S/O Bilal Rana,,QTA-7851-H,2012,Suzuki,Jimny,1200,Balochistan,Khuzdar,1260000.0,0301-2969102
Noor Latif,S/O Zainab Hashmi,42101-2242387-8,LHR-270-S,2014,Honda,BR-V,3000,Punjab,Faisalabad,7140000.0,0301-6361793
Zubair Hussain,S/O Muhammad Bhatti,35202-9279271-9,LHR-322-X,2021,Kia,Sportage,1300,Punjab,Lahore,1599000.0,0346-8693233
Qureshi Gondal,S/O Salman Nawaz,44000-2293403-6,LHR-1649-T,2006,Hyundai,Tucson,2500,Punjab,Sargodha,3925000.0,0303-2430427
Asif Ansari,S/O Naeem Gilani,13302-9945709-1,ISB-1256-S,2008,Suzuki,Jimny,1500,ICT,Islamabad,2115000.0,0346-8117053
Mohammad Akhtar,S/O Naveed Latif,13302-4645184-3,KHI-5381-C,2017,Hyundai,Sonata,2500,Sindh,Nawabshah,9950000.0,0302-3894805
Iqra Qureshi,S/O Rizwan Malik,13302-6688907-9,MZD-1616-I,2022,Mercedes,E-Class,3000,Azad Kashmir,Rawalakot,9330000.0,0303-9541658
Rukhsar Zaidi,S/O Rabia Bhatti,13302-5487028-1,MZD-9822-E,2006,Mercedes,C-Class,4000,Azad Kashmir,Muzaffarabad,8200000.0,0312-6889195
Rabia Mirza,S/O Sheikh Hussain,35202-5935373-9,GIL-6433-J,2020,Hyundai,Sonata,2500,Gilgit-Baltistan,Gilgit,9800000.0,0333-6458302
Hamid Ahmed,S/O Raja Zaidi,35202-7919142-7,KHI-3016-Z,2008,Hyundai,Elantra,3000,Sindh,Karachi,9690000.0,0312-9174221
Mohammad Bhatti,S/O ابراہیم ملک,35202-6624133-5,KHI-2816-Z,2019,Hyundai,Tucson,3000,Sindh,Hyderabad,10920000.0,0312-2629001
Saira Abbasi,S/O Baig Hussain,61101-6441914-4,QTA-8547-Z,2014,Kia,Sportage,2000,Balochistan,Gwadar,3720000.0,0332-3891679
احمد خان,,35202-5835315-6,KHI-626-N,2016,Kia,Stonic,3000,Sindh,Karachi,3330000.0,0301-2092233
Sobia Karim,S/O عائشہ احمد,35202-4060284-3,PES-2311-W,2012,Suzuki,Wagon R,3000,KPK,Mingora,11400000.0,0331-8596173
محمد علی,S/O صنا ملک,44000-4963753-3,LHR-8967-K,2009,Honda,BR-V,2000,Punjab,Gujranwala,2040000.0,0301-3644930
Baig Chaudhry,S/O Iqra Syed,42101-5185730-4,GIL-203-N,2011,Toyota,Fortuner,2000,Gilgit-Baltistan,Chilas,7120000.0,0303-7127432
Iqra Bukhari,S/O علی حسین,13302-9902483-5,ISB-7992-W,2021,Hyundai,Santa Fe,1200,ICT,Islamabad,2352000.0,0312-8581927
Hamid Syed,S/O Sheikh Malik,42101-2848116-1,MZD-1039-H,2012,Honda,City,3000,Azad Kashmir,Rawalakot,10260000.0,0311-8724035
Sobia Raja,S/O Shoaib Sheikh,44000-1513994-2,GIL-7059-O,2013,Suzuki,Wagon R,800,Gilgit-Baltistan,Chilas,1920000.0,0312-4308012
Arif Rizvi,S/O Ali Latif,44000-7923105-4,LHR-2528-B,2021,Suzuki,Alto,1300,Punjab,Rawalpindi,2678000.0,0301-1303197
Shazia Virk,S/O Mohammad Jafri,21301-6557043-9,QTA-7231-I,2017,Suzuki,Wagon R,2500,Balochistan,Khuzdar,7250000.0,0345-6218945
KashifK arim,S/O S/O Mehwish Naqvi,35202-5264422-7,GIL-9355-S,2009,Honda,CR-V,3000,Gilgit-Baltistan,Gilgit,4800000.0,0332-4231751
Rizwan Aslam,S/O Sajid Ahmed,44000-3673963-9,GIL-5286-W,2016,Suzuki,Swift,1500,Gilgit-Baltistan,Gilgit,5280000.0,
N. Rizvi,S/O Hussain Chattha,13302-2400250-1,PES-3791-X,2020,Toyota,Land Cruiser,1800,KPK,Kohat,6102000.0,0313-4737507
Rizwan Hussain,S/O Qureshi Syed,35202-7735271-9,MZD-2404-W,2007,Honda,City,1200,Azad Kashmir,Mirpur,2064000.0,0345-4375010
Amna Nawaz,S/O Maryam Aslam,21301-2750174-6,PES-7766-N,2023,Kia,Stonic,1800,KPK,Abbottabad,4590000.0,0311-9348587
Bushra Rafiq,S/O Asma Bhatti,42101-6570296-2,MZD-6242-T,2016,Hyundai,Santa Fe,660,Azad Kashmir,Rawalakot,1465200.0,0301-3964356
Adnan Rana,S/O Omar Mirza,,ISB-1891-K,2008,Hyundai,Elantra,1600,ICT,Islamabad,4256000.0,0333-2592507
Sajid Akhtar,S/O Shoaib Iqbal,13302-9095897-9,ISB-7442-W,2012,Toyota,Corolla,800,ICT,Islamabad,3168000.0,0321-6270869
Salman Bukhari,S/O Sidra Gilani,54000-1147701-2,GIL-1929-V,2010,Suzuki,Bolan,1800,Gilgit-Baltistan,Chilas,2484000.0,0332-5090740
Nadia Butt,S/O عائشہ احمد,61101-8091002-2,GIL-1813-T,2018,Audi,A3,3500,Gilgit-Baltistan,Chilas,6545000.0,0322-8476180
Adnan Qureshi,S/O Muhammad Khan,44000-2864814-2,PES-5474-Z,2021,Kia,Sportage,1200,Balochistan,Turbat,3444000.0,0301-3817684
Noor Chattha,S/O Fatima Iqbal,21301-2273983-4,MZD-5931-E,2009,Toyota,Camry,1800,Azad Kashmir,Muzaffarabad,5238000.0,0332-7788683
Rabia Tarar,S/O Khalid Ahmed,13302-7511257-6,PES-7122-L,2011,Suzuki,Jimny,2500,KPK,Peshawar,4050000.0,0312-5702919
زینب علی,S/O Bilal Ali,61101-6518887-4,PES-8514-Y,2009,Kia,Stonic,1800,KPK,Bannu,3780000.0,0345-4851116
Sidra Chaudhry,S/O Hassan Karim,54000-8668735-3,QTA-8589-O,2009,Kia,Stonic,1000,Balochistan,Quetta,4000000.0,0332-2765673
,S/O Sana Aslam,42101-6372329-5,QTA-3283-I,2022,Honda,HR-V,1500,Balochistan,Khuzdar,5955000.0,0345-3337973
Sajid Syed,S/O S/O Shoaib Khan,21301-3071506-3,KHI-5040-X,2007,Suzuki,Alto,3000,Sindh,Larkana,9870000.0,0332-2967833
Kashif Naqvi,S/O S/O Ibrahim Bukhari,21301-7092894-9,QTA-1716-V,2010,Honda,HR-V,1500,Balochistan,Khuzdar,1815000.0,0332-5221936
Mohammad Khan,S/O Zainab Naqvi,42101-4082659-1,KHI-6015-K,2020,Toyota,Fortuner,1500,Sindh,Karachi,5655000.0,0301-5897392
Naeem Jafri,S/O Ayesha Rana,21301-2701582-9,KHI-3534-U,2010,Toyota,Land Cruiser,800,Sindh,Nawabshah,2016000.0,0312-4382736
Sobia Raza,S/O Hina Rana,42101-9020195-6,PES-4270-E,2006,Honda,BR-V,1500,KPK,Mardan,3210000.0,0332-1286354
Hussain Khan,S/O Amna Virk,54000-7146079-7,PES-2721-P,2023,Kia,Sportage,800,KPK,Kohat,976000.0,0303-4386825
Sobia Karim,S/O Naeem Iqbal,42101-4570823-8,QTA-4250-R,2007,Honda,CR-V,660,Balochistan,Turbat,2178000.0,0311-1855586
Hussain Khan,S/O Naeem Sheikh,13302-8694491-4,PES-2927-C,2015,Honda,Civic,2000,KPK,Bannu,4400000.0,0312-2605097
Mirza Hameed,S/O Shoaib Mirza,35202-1129245-6,LHR-9166-D,2009,Kia,Sportage,1600,Punjab,Bahawalpur,4000000.0,0322-9177688
Ali Iqbal,S/O ابراہیم ملک,54000-6121679-5,PES-8668-P,2023,Toyota,Land Cruiser,1000,KPK,Peshawar,1710000.0,0332-2089011
Naveed Cheema,S/O Ayesha Syed,13302-6662421-5,ISB-3694-A,2010,Suzuki,Swift,3000,ICT,Islamabad,6480000.0,0313-5398808
Saira Abbasi,S/O Khalid Bhatti,21301-5258023-6,QTA-4144-J,2021,Honda,CR-V,660,Balochistan,Turbat,1544400.0,0333-7714470
Omar Karim,S/O Arif Mirza,21301-6256463-1,MZD-3154-S,2020,Hyundai,Sonata,1600,Gilgit-Baltistan,Gilgit,5776000.0,0311-9940578
Chaudhry Raza,S/O Bilal Chaudhry,13302-5434015-6,MZD-1636-R,2017,Kia,Picanto,3000,Azad Kashmir,Muzaffarabad,6120000.0,0301-9558134
Mirza Jafri,S/O Aamir Malik,35202-5280661-1,ISB-6780-R,2014,Toyota,Yaris,800,ICT,Islamabad,2176000.0,0302-9718787
Mehwish Hashmi,S/O Shazia Akhtar,,PES-8242-P,2022,Honda,Civic,3000,KPK,Peshawar,6000000.0,0345-8137060
Ayesha Abbasi,S/O Salman Rana,42101-8543059-6,LHR-6620-P,2020,Toyota,Camry,1300,Punjab,Multan,3523000.0,0300-7489819
Muhammad Sanhdu,S/O Salman Karim,54000-3396676-2,GIL-4470-J,2008,Honda,BR-V,1800,Gilgit-Baltistan,Gilgit,0.0,0332-3753418
B. Raja,S/O Hassan Rana,54000-6205141-7,KHI-9768-K,2020,Kia,Carnival,800,Sindh,Larkana,984000.0,0312-4289405
Rizwan Malik,S/O Chaudhry Baig,44000-7106894-1,LHR-2994-H,2015,Mercedes,S-Class,4000,Punjab,Multan,6800000.0,0300-4587064
Asif Bhatti,S/O Waseem Malik,21301-2427340-1,ISB-250-L,2007,Toyota,Hilux,660,ICT,Islamabad,1980000.0,
Noor Rizvi,S/O Mohammad Hussain,35202-2884180-1,GIL-2263-Z,2010,Toyota,Yaris,660,Gilgit-Baltistan,Chilas,2376000.0,0312-9694175
Sidra Aslam,S/O Kashif Ali,44000-8338663-8,QTA-4969-H,2014,Toyota,Land Cruiser,3000,Balochistan,Gwadar,3210000.0,0332-3311667
Sajid Latif,S/O Sheikh Rizvi,42101-6535795-9,KHI-9816-A,2006,Toyota,Fortuner,2500,Sindh,Hyderabad,7875000.0,
S. Rizvi,S/O Bushra Karim,35202-2287024-4,GIL-4737-G,2013,Honda,Civic,1300,Gilgit-Baltistan,Skardu,4719000.0,0311-9365912
Kashif Chattha,S/O Hassan Gilani,42101-5332877-3,GIL-4065-E,2011,Audi,A6,3500,Gilgit-Baltistan,Gilgit,5495000.0,0331-1312392
Sidra Butt,S/O Aamir Latif,42101-2247604-4,LHR-1504-O,2023,Suzuki,Wagon R,2000,Punjab,Lahore,5960000.0,
A. Ahmed,S/O Ayesha Malik,35202-4087165-1,KHI-7086-V,2020,Suzuki,Jimny,1300,Sindh,Nawabshah,3692000.0,0346-3331597
Uzma Bhatti,S/O صنا ملک,35202-6054911-6,QTA-8013-J,2015,Honda,CR-V,1200,Balochistan,Hub,1980000.0,0313-1188516
,S/O Tahir Latif,42101-1264081-3,QTA-8432-Y,2018,Honda,HR-V,1300,Balochistan,Turbat,2509000.0,0311-2403738
Naveed Ahmed,S/O Tariq Zaidi,13302-8627098-1,MZD-9850-M,2017,Suzuki,Wagon R,800,Azad Kashmir,Rawalakot,2632000.0,0313-6228805
S. Syed,S/O Naeem Hameed,13302-9842078-7,MZD-1746-Q,2023,Kia,Sportage,2500,Azad Kashmir,Rawalakot,5800000.0,
Syed Malik,S/O مریم چودھری,44000-1527567-9,QTA-4415-R,2022,Honda,CR-V,1200,Balochistan,Gwadar,4260000.0,
Asma Chaudhry,S/O Nadia Gilani,35202-1227365-1,ISB-7222-N,2015,Suzuki,Jimny,3000,ICT,Islamabad,5280000.0,0311-3393028
