canonical_name,father_name,cnic,annual_recharge_amount,phone,city,province
Rabia Akhtar,S/O Baig Butt,35202-6175905-2,978770.0,,Lahore,Punjab
Arif Bhatti,S/O Mirza Iqbal,54000-5336549-5,358880.0,0331-1747023,Mirpur,Azad Kashmir
Ayesa Aslam,,35202-8687077-3,2821790.0,0311-8564066,Sukkur,Sindh
Ibrahim Ansari,S/O Sidra Syed,35202-9749335-7,531070.0,0313-1939470,Mirpurkhas,Sindh
Hassan Raja,S/O Ahmed Sandhu,35202-9368971-9,48270.0,0333-5279006,Sargodha,Punjab
Arif Ansari,S/O Sobia Hussain,54000-1866695-2,121340.0,0321-9177478,Islamabad,ICT
Baig Nawaz,S/O Naveed Bukhari,54000-2235408-8,0.0,0311-9381354,Multan,Punjab
Sajid Rana,S/O فاطمہ خان,61101-2775711-7,185380.0,0313-8933671,Sukkur,Sindh
احمد خان,S/O صنا ملک,54000-5560533-3,933810.0,0322-6761660,Peshawar,KPK
Asif aKrim,S/O Arif Baig,42101-8945036-2,60290.0,0333-5299055,Abbottabad,KPK
Hina Latif,S/O Zubair Akhtar,54000-1571205-4,2255970.0,0332-2417375,Multan,Punjab
Ayesha Rizvi,S/O Tariq Sandhu,21301-2609428-5,42900.0,0300-8591255,Kohat,KPK
,,21301-7093393-7,515740.0,0300-5945680,Mirpur,Azad Kashmir
Bushra Baig,S/O Tahir Bhatti,44000-8493210-9,142860.0,0300-4836695,Chilas,Gilgit-Baltistan
Sheikh Rana,S/O Sidra Akhtar,21301-7303886-1,996060.0,0303-1229693,Peshawar,KPK
Mirza Bhatti,S/O Bushra Jafri,21301-1620820-6,239700.0,0303-7855353,Multan,Punjab
Nadia Ansari,S/O Maryam Hashmi,13302-4946131-7,0.0,0322-9204714,Larkana,Sindh
Shoaib Raja,S/O Usman Malik,61101-4863318-6,337540.0,0311-4521264,Gilgit,Gilgit-Baltistan
Sajid Sandhu,S/O Noor Sheikh,44000-1110277-4,1989200.0,0332-4483580,Karachi,Sindh
Aamir Sheikh,S/O Raja Rafiq,13302-3396950-3,1579640.0,0311-5756043,Rawalakot,Azad Kashmir
Ali Iqbal,S/O ابراہیم ملک,54000-6121679-5,242340.0,0332-2089011,Peshawar,KPK
Iqra Mirza,S/O Salman Rana,61101-7727219-5,559630.0,0312-8419185,Turbat,Balochistan
Uzma Bhatit,S/O صنا ملک,35202-6054911-6,247200.0,0313-1188516,Hub,Balochistan
Noor Rizvi,S/O Omar Karim,61101-3799030-6,88930.0,0302-5676817,Sukkur,Sindh
,S/O Kashif Ali,42101-4718900-4,878070.0,0312-6700102,Islamabad,ICT
Sidra Zaidi,S/O Shoaib Bhatti,35202-2729778-9,851300.0,0300-6236888,Islamabad,ICT
Saira Sheikh,S/O Faisal Akhtar,61101-4540934-2,85090.0,0303-9860782,Muzaffarabad,Azad Kashmir
Shazia Sheikh,S/O Arif Khan,35202-1429083-2,387050.0,0300-8562241,Nawabshah,Sindh
Salman Ali,S/O Uzma Rana,35202-5431138-7,81680.0,0302-4323742,Quetta,Balochistan
صنا ملک,S/O Naeem Iqbal,44000-6360811-2,241040.0,0333-2167675,Rawalakot,Azad Kashmir
Usmann Bukhari,S/O Kamran Raja,54000-3456466-7,95660.0,0312-1723300,Gwadar,Balochistan
Ali Chaudhyr,S/O Ahmed Sandhu,44000-4592084-5,249220.0,0313-6738129,Chilas,Gilgit-Baltistan
Rukhsar Aslam,S/O Saira Abbasi,35202-4499287-7,229740.0,0312-9330638,Larkana,Sindh
Maryam Jafri,S/O Fatima Gujjar,21301-3297477-6,42650.0,0333-1871401,Quetta,Balochistan
Maryam Bhatti,S/O Qureshi Bhatti,,100140.0,0303-4190234,Islamabad,ICT
Bushra Gujjar,S/O Khalid Virk,44000-8649014-3,370110.0,0303-5966782,Islamabad,ICT
Maryam Chattha,S/O Hashmi Ahmed,13302-4325969-7,1135070.0,0302-7705326,Chilas,Gilgit-Baltistan
Baig Butt,S/O Ali Hashmi,13302-4923546-1,262220.0,0301-6193888,Mardan,KPK
Zubair Raja,S/O Amna Ahmed,21301-4207968-5,595380.0,0331-8382285,Skardu,Gilgit-Baltistan
Sheikh Virk,S/O Rukhsar Rizvi,,15540.0,0301-4713050,Karachi,Sindh
Muhammad Baig,S/O Asif Hashmi,42101-3032166-1,154540.0,,Lahore,Punjab
Rukhsar Jafri,S/O Rabia Gondal,42101-4139613-5,35890.0,0300-5690344,Karachi,Sindh
Sajid Butt,S/O Omar Butt,54000-6674401-7,147000.0,0331-5622848,Skardu,Gilgit-Baltistan
Asma Hsahmi,S/O Ayesha Chaudhry,61101-6530256-8,421620.0,0301-8663691,Islamabad,ICT
Rabia Abbasi,S/O Asif Abbasi,54000-9953630-6,632590.0,0302-3027788,Larkana,Sindh
Noor Gilani,S/O Nadia Ali,54000-4582206-5,131100.0,0322-4438012,Multan,Punjab
Muhammad Mirza,S/O Noor Hussain,61101-1270767-4,142980.0,0333-7867523,Sialkot,Punjab
Tariq Rana,S/O Sobia Rana,42101-7241224-7,151270.0,0321-7602626,Sargodha,Punjab
Ama Tarar,S/O Sajid Ahmed,42101-4603654-8,179880.0,0331-9812447,Quetta,Balochistan
Mohammad Rizvi,S/O Muhammad Bukhari,21301-3824277-9,239210.0,0312-7944175,Islamabad,ICT
Omar Baig,S/O Fatima Zaidi,44000-9439984-5,1565270.0,0321-1109341,Muzaffarabad,Azad Kashmir
Omar Ali,S/O Arif Karim,13302-5937298-8,113630.0,0313-8605062,Skardu,Gilgit-Baltistan
Tahir Gujjar,S/O Malik Baig,13302-8516837-9,344340.0,0312-5193088,Islamabad,ICT
Bushrra Hashmi,S/O Sobia Cheema,21301-9534641-9,97040.0,0322-7938706,Turbat,Balochistan
Waseem Naqvi,S/O Rabia Chattha,21301-6132001-6,1180370.0,0303-4582498,Sargodha,Punjab
Asma Qureshi,S/O Amna Bhatti,54000-9735513-6,164390.0,0312-9586060,Multan,Punjab
Omar  Butt,S/O Iqra Gujjar,21301-3165750-1,182760.0,0345-1727321,Turbat,Balochistan
Syed Tarar,S/O عائشہ احمد,35202-1982251-7,943030.0,0346-7114567,Gilgit,Gilgit-Baltistan
Amna Rafiq,S/O Tariq Gilani,42101-7960607-2,113170.0,0311-1548888,Skardu,Gilgit-Baltistan
Zubair Latif,S/O Ayesha Rana,35202-8624054-6,78040.0,0303-5624061,Mirpur,Azad Kashmir
Raja Rizvi,S/O Fatima Iqbal,42101-5593405-1,2707740.0,0303-4788843,Muzaffarabad,Azad Kashmir
Syed Chaudhry,S/O Adnan Virk,42101-3333028-2,55610.0,0345-7220321,Rawalpindi,Punjab
Sajid Aslam,S/O Salman Sandhu,35202-6492824-3,198830.0,0301-5602792,Peshawar,KPK
Hamid Bukhari,S/O Arif Aslam,44000-5500507-6,1299450.0,0313-7219629,Islamabad,ICT
Mehwish Raja,S/O Zainab Qureshi,13302-4898454-2,295710.0,0331-7835305,Skardu,Gilgit-Baltistan
Hina Akhtar,S/O Sajid Karim,54000-6729127-5,651280.0,0311-8883813,Islamabad,ICT
Rizwan Karim,S/O Zubair Hussain,61101-6200679-9,459560.0,0301-4015276,Khuzdar,Balochistan
Rukhsar Ahmed,S/O Salman Qureshi,35202-2323225-8,625570.0,0301-2884744,Turbat,Balochistan
Khalid Rizvi,S/O Kashif Karim,35202-7087100-6,1221440.0,0311-1165479,Larkana,Sindh
محمد علی,S/O Iqra Akhtar,,5116140.0,0302-5713233,Gilgit,Gilgit-Baltistan
Raja Chaudhry,S/O Mirza Khan,13302-6829790-4,837340.0,0300-6852757,Chilas,Gilgit-Baltistan
Malik Bhatti,S/O Bilal Jafri,35202-1000896-6,332470.0,0302-9860683,Quetta,Balochistan
زینب علی,S/O Ayesha Aslam,54000-4953259-4,157800.0,0333-6198692,Hub,Balochistan
Sidra Qureshi,S/O Imran Khan,35202-3140910-9,597650.0,0345-3028653,Muzaffarabad,Azad Kashmir
Tahir Bhatti,S/O Waseem Qureshi,13302-8772326-4,164910.0,0332-5646002,Karachi,Sindh
Naeem Latif,S/O Fatima Raja,35202-7436241-8,534280.0,0321-1603663,Islamabad,ICT
Ayesha Aslam,S/O Malik Qureshi,13302-3567643-8,926800.0,0312-4310889,Muzaffarabad,Azad Kashmir
فاطمہ خان,S/O Adnan Zaidi,54000-8851786-7,819870.0,0312-2373845,Muzaffarabad,Azad Kashmir
Zainb Rana,S/O Mehwish Aslam,21301-1131307-9,1536550.0,0313-9870458,Skardu,Gilgit-Baltistan
Faisal Hussain,S/O Hina Chattha,13302-2679778-6,119050.0,0312-3075794,Nawabshah,Sindh
Aamir Zaidi,S/O Malik Malik,44000-2493479-4,920980.0,0333-1828492,Gilgit,Gilgit-Baltistan
Maryam Gujjar,S/O Khalid Malik,42101-7712272-5,1263720.0,0332-6158936,Turbat,Balochistan
Mohammad Iqbal,S/O Zainab Raza,,318270.0,0346-5449947,Sukkur,Sindh
Mohammad Aslam,S/O Hassan Akhtar,13302-9054196-8,517240.0,0302-9782090,Lahore,Punjab
عائشہ احمد,S/O Chaudhry Mirza,42101-1653993-8,1632600.0,0333-1296835,Skardu,Gilgit-Baltistan
Bushra Hussain,S/O Hashmi Nawaz,35202-3363821-4,876370.0,0345-9743967,Hub,Balochistan
Hashmi Hameed,S/O Sheikh Butt,61101-6215535-2,290440.0,0302-2963430,Bannu,KPK
Qureshi Karim,S/O Khalid Ali,42101-2927186-6,375820.0,0321-6318010,Karachi,Sindh
Iqra Hashmi,S/O Sana Bhatti,13302-8722075-2,101750.0,0303-3673316,Gujranwala,Punjab
Ali Baig,S/O Nadia Karim,21301-1116024-6,123340.0,0303-9024017,Mirpur,Azad Kashmir
Noor Chattha,S/O Fatima Iqbal,21301-2273983-4,677560.0,0332-7788683,Muzaffarabad,Azad Kashmir
Noor Jafri,S/O Rabia Khan,61101-1688764-9,727460.0,0312-1953715,Larkana,Sindh
Hashmi RRaza,S/O Rizwan Nawaz,54000-5140479-4,85330.0,0332-1474058,Abbottabad,KPK
Sana Chaudhry,S/O Mohammad Zaidi,42101-9261250-6,249290.0,0300-2568468,Skardu,Gilgit-Baltistan
Rajja Baig,S/O Qureshi Sandhu,42101-4336533-8,735800.0,0312-7394508,Islamabad,ICT
Baig Seyd,S/O Chaudhry Mirza,44000-4069064-1,0.0,0346-3365227,Rawalakot,Azad Kashmir
Tahir Sheikh,S/O Baig Qureshi,35202-4515327-6,1201100.0,0333-9020438,Islamabad,ICT
Faisal Abbasi,S/O Naveed Akhtar,21301-4090165-2,2630890.0,0303-7201470,Quetta,Balochistan
Shazia Bhatti,S/O Asma Abbasi,61101-6006996-4,101210.0,0333-9868569,Larkana,Sindh
Chaudhry Latif,S/O Omar Naqvi,35202-1782511-6,107600.0,0322-2054981,Sialkot,Punjab
Sobia Baig,S/O Zubair Zaidi,54000-4025884-2,89970.0,0312-1973306,Abbottabad,KPK
Sajid Akhtar,S/O Shoaib Iqbal,13302-9095897-9,0.0,,Islamabad,ICT
Faisa lRaja,S/O Imran Ali,35202-1388136-6,0.0,0345-1844801,Quetta,Balochistan
Saira Mirza,S/O صنا ملک,42101-8353822-9,265080.0,0331-1545746,Turbat,Balochistan
Mirza Baig,S/O Syed Sandhu,21301-2855501-3,382290.0,0322-9737359,Turbat,Balochistan
Asma Bukhari,S/O Kamran Karim,54000-8992883-6,3511670.0,0301-3919201,Rawalakot,Azad Kashmir
Sidra Rafiq,S/O Sana Iqbal,,1179510.0,0321-1622052,Skardu,Gilgit-Baltistan
Asif Bhatti,S/O Asif Tarar,44000-9769743-2,1515470.0,0321-8435451,Chilas,Gilgit-Baltistan
Zainab Tarar,S/O Fatima Ansari,13302-7909008-6,729190.0,0303-5658528,Bahawalpur,Punjab
Sajid Bukhari,S/O Saira Rafiq,54000-9497062-2,409070.0,0303-6331765,Chilas,Gilgit-Baltistan
Naveed Rafiq,S/O Shoaib Latif,42101-4616607-5,1398840.0,0302-7853897,Mirpurkhas,Sindh
Ahmed Rana,S/O Raja Rafiq,35202-3027802-6,201660.0,0302-2975386,Gwadar,Balochistan
Shazia Gujjar,S/O Zainab Latif,42101-2856159-3,20550.0,0313-8515059,Islamabad,ICT
Sidra Khan,S/O Tahir Butt,42101-4204180-7,326960.0,0303-8416881,Muzaffarabad,Azad Kashmir
Sidra Virk,S/O Tahir Ali,54000-3358208-4,15250.0,,Karachi,Sindh
Tariq Chattha,S/O Amna Ali,42101-6195544-6,327390.0,0312-9438921,Khuzdar,Balochistan
Hashmi Chaudhry,S/O زینب علی,21301-6148467-1,250240.0,0332-3585930,Mirpur,Azad Kashmir
Qureshi Rizvi,S/O Mirza Zaidi,13302-3201947-3,1461830.0,0312-6510925,Skardu,Gilgit-Baltistan
Raja Hussain,S/O Sobia Ahmed,13302-8015606-2,325220.0,0303-8765436,Karachi,Sindh
Shazia Chattha,S/O Uzma Sandhu,54000-7827850-7,682120.0,0300-1681601,Gilgit,Gilgit-Baltistan
Sobia Rizvi,S/O Amna Ahmed,44000-6873067-5,239180.0,0300-4266831,Sukkur,Sindh
Rukhsar Sandhu,S/O Hassan Gujjar,61101-5584349-6,67020.0,0313-2317757,Peshawar,KPK
Sidra Gondal,S/O Naeem Jafri,35202-4153461-9,103670.0,0300-6319850,Rawalpindi,Punjab
Noor Hussain,S/O Imran Rizvi,21301-7007853-8,206550.0,,Mirpur,Azad Kashmir
Ayesah Tarar,S/O Sana Gujjar,54000-6101462-5,416950.0,0302-1866037,Islamabad,ICT
Hussain Chaudhry,S/O Sobia Hashmi,44000-1800148-9,522420.0,0333-7556307,Chilas,Gilgit-Baltistan
Uzma Naqvi,S/O Asif Chaudhry,21301-3309811-2,174490.0,0346-7628708,Karachi,Sindh
Raja Raja,S/O Usman Karim,,306690.0,0346-1107609,Mirpurkhas,Sindh
Hamid Malik,S/O Asma Zaidi,21301-4986887-9,65810.0,0302-2866355,Bahawalpur,Punjab
Zainab Rafiq,S/O Amna Virk,21301-6493549-7,63950.0,0345-9799214,Lahore,Punjab
Khalid Bhatti,S/O Tariq Aslam,61101-4097922-8,328900.0,0313-7380445,Mirpurkhas,Sindh
Chaudhry Bhatti,S/O Hina Sandhu,61101-4042447-9,79390.0,0303-5786683,Mirpurkhas,Sindh
Ibrahim Latif,S/O S/O Sidra Khan,54000-9094028-5,27020.0,0312-2710400,Hyderabad,Sindh
Mohammad Hameed,S/O Waseem Akhtar,42101-4226049-9,1669130.0,0302-5068753,Mirpur,Azad Kashmir
Asma Hussain,S/O Sana Syed,35202-6715202-2,10290.0,0300-9226484,Chilas,Gilgit-Baltistan
Sidra Sandhu,S/O Hussain Zaidi,35202-5015621-6,170570.0,0311-1888165,Skardu,Gilgit-Baltistan
Iqra Gilani,S/O Noor Hameed,21301-5746702-5,20330.0,0322-6251441,Lahore,Punjab
Malik Raza,S/O Salman Tarar,61101-3400475-1,577040.0,0312-7847411,Gilgit,Gilgit-Baltistan
Arif Iqbal,S/O Sajid Cheema,61101-3951804-5,29970.0,0313-7144113,Peshawar,KPK
Ibrahim Gilani,S/O Sana Sheikh,21301-5032526-7,55930.0,0322-2248828,Gwadar,Balochistan
Omar Chaudhry,S/O Baig Ansari,35202-1509483-8,416960.0,0333-4939337,Hub,Balochistan
Mehwish Qureshi,S/O Mirza Hashmi,13302-9887635-4,52230.0,0311-1490031,Muzaffarabad,Azad Kashmir
Qureshi Raza,S/O Sidra Aslam,54000-5042600-8,222970.0,0312-6901257,Islamabad,ICT
Amna Naqvi,S/O Chaudhry Ahmed,35202-2111028-7,353010.0,0301-5916304,Chilas,Gilgit-Baltistan
Adnan Raja,S/O Aamir Nawaz,42101-9589677-8,0.0,0322-7334944,Hyderabad,Sindh
,S/O Uzma Rizvi,54000-7458698-5,1516370.0,0332-8071560,Gilgit,Gilgit-Baltistan
Naeem Latif,S/O Arif Rafiq,42101-8920466-5,283310.0,0313-2179885,Rawalakot,Azad Kashmir
Saira Bhatti,S/O Baig Jafri,42101-8453103-4,1309640.0,0311-1927483,Quetta,Balochistan
,S/O Ayesha Gondal,35202-3525076-8,79450.0,0301-7818036,Bannu,KPK
Ayesha Hussain,S/O Asif Karim,54000-7021076-1,5463080.0,0312-2681206,Mardan,KPK
Bilal Ansari,S/O Saira Qureshi,35202-2601359-7,615180.0,0346-9712522,Hyderabad,Sindh
Shazia Aslam,S/O Imran Aslam,54000-1961870-9,83330.0,0303-8944457,Skardu,Gilgit-Baltistan
Sajid Gondal,S/O S/O Mirza Baig,13302-1937991-4,18520.0,0302-4968669,Islamabad,ICT
Sajdi Akhtar,S/O Mehwish Sandhu,42101-6259739-9,464580.0,0313-5879088,Gilgit,Gilgit-Baltistan
Sobia Gujjar,S/O Hassan Zaidi,44000-2189717-2,782460.0,0311-2826302,Islamabad,ICT
Shazia Khan,S/O Saira Iqbal,54000-2747196-5,659230.0,0333-5511816,Mirpurkhas,Sindh
Faisal Raza,S/O Bushra Zaidi,35202-5172984-4,128560.0,0311-5239954,Lahore,Punjab
Mehwish Mirza,S/O Sajid Gujjar,35202-6257221-4,264540.0,0322-1426752,Rawalpindi,Punjab
Baig Malik,S/O Asif Zaidi,13302-9306463-6,0.0,0331-8097119,Gilgit,Gilgit-Baltistan
Mriza Jafri,S/O Baig Butt,13302-2710850-3,232110.0,0321-5284645,Islamabad,ICT
Shazia Raza,S/O Kamran Gondal,35202-7275509-4,549830.0,0301-4349758,Gujranwala,Punjab
Naveed Naqvi,S/O Hashmi Chaudhry,44000-6293899-7,8134360.0,0303-3971447,Kohat,KPK
Ayesha Abbasi,S/O Salman Rana,42101-8543059-6,532330.0,0300-7489819,Multan,Punjab
,S/O Rizwan Jafri,13302-8586250-9,81640.0,0312-8879457,Khuzdar,Balochistan
Raja Gujjar,S/O Ayesha Cheema,35202-8238061-8,373050.0,0303-4505928,Hyderabad,Sindh
Imran Hameed,S/O Malik Hashmi,21301-7736356-3,1476730.0,0313-8297775,Hub,Balochistan
Hamid Sandhu,S/O Tariq Ahmed,61101-3150815-6,3453180.0,0332-2617294,Turbat,Balochistan
Adnan Akhtar,S/O Tahir Gilani,61101-4758427-5,2516370.0,0301-7009438,Rawalakot,Azad Kashmir
Asif Abbasi,S/O Sobia Hashmi,21301-5975077-6,79830.0,0331-2826783,Gwadar,Balochistan
Sheikh Sheikh,,42101-4038433-2,32500.0,0300-2179102,Peshawar,KPK
Noor Tarar,S/O Imran Malik,35202-3426881-5,658310.0,0313-3311410,Turbat,Balochistan
Hashmi Baig,S/O احمد خان,21301-5598616-7,1958270.0,0345-1214044,Hub,Balochistan
Mehwish Malik,S/O Shoaib Syed,13302-6557607-3,4103640.0,0300-1542282,Nawabshah,Sindh
Zubair Hameed,S/O Ibrahim Naqvi,61101-1979613-8,396020.0,0303-6491125,Bahawalpur,Punjab
Amna Akhtar,S/O Malik Sandhu,61101-2398963-9,145580.0,0313-2454208,Mirpurkhas,Sindh
Chaudhry Hashmi,,35202-9388090-1,109120.0,0331-4524729,Nawabshah,Sindh
Shoaib Mirza,,42101-4496745-6,68640.0,0333-6820871,Gilgit,Gilgit-Baltistan
Aamir Nawaz,S/O Ali Raja,21301-5234273-6,93720.0,0302-7202409,Gwadar,Balochistan
Noor Qureshi,S/O Sidra Gilani,21301-1965457-6,19050.0,0301-6946051,Skardu,Gilgit-Baltistan
Faisal Tarar,S/O Sheikh Naqvi,44000-9543768-9,0.0,0333-6386017,Islamabad,ICT
Omar Gilani,S/O Zainab Hashmi,21301-9686324-7,0.0,0345-5366937,Faisalabad,Punjab
Adnan Rafiq,S/O Aamir Hashmi,61101-6003829-8,1125140.0,,Muzaffarabad,Azad Kashmir
Bilal Virk,S/O Asif Sheikh,35202-9191498-4,154910.0,0303-1197646,Mingora,KPK
Arif Ansari,,13302-3637826-6,1701370.0,0313-1326642,Islamabad,ICT
Tahir Butt,S/O Asma Syed,35202-6429229-6,485710.0,0302-6291976,Gwadar,Balochistan
Hashmi Ahmed,S/O Amna Bukhari,61101-9517441-3,44470.0,0345-3733001,Muzaffarabad,Azad Kashmir
Ahmed Cheema,S/O Tahir Sandhu,44000-9026882-1,283070.0,0312-6897140,Multan,Punjab
Faisa Chaudhry,S/O Tariq Baig,21301-8359688-7,122450.0,0311-1754659,Gujranwala,Punjab
Mirza Rafiq,S/O Sidra Sandhu,61101-9158040-2,714150.0,0303-5060497,Hub,Balochistan
Sobia Naqvi,S/O Tahir Butt,44000-2311972-4,407140.0,0333-3397195,Muzaffarabad,Azad Kashmir
Hina Cheema,S/O Ahmed Sandhu,61101-2081652-6,1750350.0,0303-8989636,Quetta,Balochistan
Hina Malik,S/O Sajid Gujjar,42101-5592330-5,620260.0,0332-7522341,Sialkot,Punjab
Malik Rafiq,S/O Tahir Mirza,35202-5957964-3,4367130.0,0332-3305951,Rawalakot,Azad Kashmir
Baig Chaudhry,S/O Iqra Syed,42101-5185730-4,783480.0,0303-7127432,Chilas,Gilgit-Baltistan
Shoaib Syed,S/O S/O Hina Latif,61101-2087378-1,13850.0,0303-3967518,Nawabshah,Sindh
Fatima Ali,S/O Nadia Ahmed,35202-9375456-6,395420.0,0322-3858903,Khuzdar,Balochistan
Kamran Gujjar,S/O Khalid Khan,42101-4114821-9,495720.0,0301-3049921,Rawalakot,Azad Kashmir
Baig Sandhu,S/O Bushra Butt,44000-2807965-7,552680.0,0345-1791753,Islamabad,ICT
Hashmi Virk,S/O Sheikh Tarar,44000-1199966-6,72260.0,0300-3025651,Peshawar,KPK
Hassan Abbasi,S/O Asma Mirza,13302-1857027-6,457280.0,0321-2952975,Khuzdar,Balochistan
Ayesha Karim,S/O Kashif Virk,35202-1115426-1,159110.0,0331-8162227,Abbottabad,KPK
Ahmed Hussain,S/O Baig Ansari,13302-1884390-5,481870.0,0331-8162264,Khuzdar,Balochistan
Sheikh Karim,S/O Maryam Akhtar,42101-3588010-1,779400.0,0321-7122318,Islamabad,ICT
Adnan Nawaz,S/O Maryam Hameed,44000-8127697-7,541260.0,0303-5597992,Islamabad,ICT
Hamid Malik,S/O Hamid Sheikh,54000-9939831-5,2117700.0,0303-8681853,Gwadar,Balochistan
Shazia Bukhari,S/O Mirza Qureshi,42101-7529877-6,354580.0,0321-9202607,Mingora,KPK
Zainab Virk,S/O Rizwan Akhtar,42101-6319616-3,43710.0,0322-7608607,Mingora,KPK
Maryam Raja,S/O Ahmed Syed,35202-6098672-2,245450.0,0301-4875838,Sargodha,Punjab
Uzma Butt,S/O Waseem Baig,13302-4762340-1,63070.0,0345-4014801,Turbat,Balochistan
Sana Baig,S/O Omar Khan,13302-2546177-5,910630.0,0311-8814591,Mirpur,Azad Kashmir
Sana Rafiq,S/O Noor Bhatti,35202-5583958-9,156980.0,0321-3780266,Mirpur,Azad Kashmir
Mirza Naqvi,S/O Amna Hashmi,21301-7298710-3,106920.0,0331-7965249,Hub,Balochistan
Asif Tarar,S/O Sheikh Rana,13302-4610673-3,414220.0,0312-5653927,Islamabad,ICT
Tahir Syed,S/O Naeem Latif,54000-7398513-5,998780.0,0332-1552862,Chilas,Gilgit-Baltistan
Raja Akhtar,S/O Waseem Akhtar,61101-8621520-1,141820.0,0300-1386023,Mingora,KPK
Sobia Chattha,S/O Rizwan Aslam,61101-8350368-8,869890.0,0345-5014745,Sialkot,Punjab
Iqra Abbasi,S/O Hashmi Mirza,21301-3805489-5,85700.0,0303-9900657,Rawalpindi,Punjab
Rabia Sandhu,S/O Fatima Syed,21301-4394250-1,222090.0,0313-6113383,Turbat,Balochistan
Asif Tarar,S/O Sheikh Rana,13302-4610673-3,479850.0,0312-5653927,Islamabad,ICT
Ayesha Gujjar,S/O نادیہ رضا,44000-4325837-3,3189660.0,0322-2972555,Skardu,Gilgit-Baltistan
Hamid Qureshi,S/O Bilal Khan,13302-4138908-9,1048110.0,0301-9429853,Peshawar,KPK
Tariq Ansari,S/O Amna Sandhu,13302-1907396-2,358610.0,0346-1633577,Nawabshah,Sindh
Mirza Hashmi,S/O ابراہیم ملک,21301-8691955-7,353820.0,0312-6504465,Gujranwala,Punjab
,S/O Malik Qureshi,21301-5176325-6,122320.0,0346-4937181,Mirpur,Azad Kashmir
Hassan Karim,S/O Chaudhry Ali,,61340.0,0332-5729035,Rawalakot,Azad Kashmir
Naveed Syed,S/O Sajid Sandhu,44000-6216787-1,391370.0,0303-6827355,Islamabad,ICT
Arif Sandhu,S/O Imran Baig,21301-2916496-6,1437000.0,0302-5990296,Gujranwala,Punjab
Arif Raza,S/O Salman Syed,21301-3278433-1,331340.0,,Kohat,KPK
Baig Qureshi,S/O Chaudhry Hussain,42101-7374377-3,733410.0,0303-3071519,Sialkot,Punjab
Shazia Gilani,S/O Adnan Mirza,44000-5268769-1,380670.0,0300-3339903,Islamabad,ICT
Aamir Bhatti,S/O Syed Ahmed,13302-5026970-8,554770.0,0321-5720983,Multan,Punjab
Mirza Khan,S/O Syed Raja,13302-9859758-8,4671270.0,0321-5520104,Islamabad,ICT
Shazia Bukhari,S/O S/O Mohammad Chattha,54000-8343784-3,72090.0,0301-3973536,Turbat,Balochistan
Mirza Butt,S/O Hashmi Cheema,54000-5737371-1,365120.0,0321-3172292,Bannu,KPK
Ali Tarar,S/O Kamran Bukhari,21301-6006299-3,387560.0,0311-8348994,Sialkot,Punjab
Usman Raja,S/O Naeem Qureshi,61101-4382805-7,152340.0,0321-3060930,Gilgit,Gilgit-Baltistan
Asma Rizvi,S/O Iqra Raja,21301-1733372-2,151790.0,0346-2605210,Larkana,Sindh
مریم چودھری,S/O Asma Hussain,61101-8185097-5,1817350.0,0301-7307818,Islamabad,ICT
,S/O Faisal Malik,42101-1506662-8,142670.0,0303-3139190,Islamabad,ICT
Tahir Qureshi,S/O Noor Hameed,42101-2504043-6,86170.0,0311-2960284,Lahore,Punjab
Kamran Sheikh,S/O Hashmi Nawaz,61101-2625688-4,77840.0,0331-9685189,Hub,Balochistan
,S/O Zubair Nawaz,13302-3295382-7,221390.0,0333-8845202,Hyderabad,Sindh
Shazia Khan,S/O Waseem Qureshi,35202-4172782-5,70040.0,0301-7090445,Sukkur,Sindh
Naveed Akhtar,S/O Ibrahim Sandhu,44000-6120290-4,495850.0,0322-1306313,Nawabshah,Sindh
عائشہ احمد,S/O Adnan Tarar,54000-7473815-9,763350.0,0312-3832054,Mardan,KPK
محمد علی,S/O Zubair Bhatti,61101-5869645-7,42510.0,0302-3034798,Multan,Punjab
Ayesha Gilani,S/O Syed Chaudhry,21301-4991669-5,152560.0,0301-5677917,Turbat,Balochistan
Naveed Khan,S/O Naeem Bhatti,54000-6512781-3,367380.0,0332-8205822,Sialkot,Punjab
Syed Iqbal,S/O فاطمہ خان,42101-7559079-4,2026470.0,0321-1600923,Mirpurkhas,Sindh
Sajid Zaidi,S/O Hamid Jafri,35202-6410982-2,403640.0,0302-5872940,Gwadar,Balochistan
Saira Raza,S/O Usman Gujjar,42101-9546326-4,367040.0,0312-5989084,Lahore,Punjab
Imran Chaudhry,S/O Ahmed Sandhu,35202-8095426-5,47630.0,0302-2161974,Chilas,Gilgit-Baltistan
Hussain Akhtar,S/O Naveed Ahmed,54000-7174996-7,13620.0,0322-7782288,Islamabad,ICT
Ibrahim Hashmi,S/O Baig Zaidi,13302-1896246-2,1001360.0,0333-8998907,Karachi,Sindh
,S/O Mehwish Iqbal,44000-2353223-2,651850.0,0346-5255103,Abbottabad,KPK
Sajid Ali,S/O Ali Qureshi,44000-8447590-6,1182820.0,0312-9447016,Islamabad,ICT
Kashif Sandhu,,21301-2390791-6,171650.0,0312-5728628,Mardan,KPK
Asif Nawaz,,44000-4088269-9,1043230.0,0331-4899961,Bannu,KPK
Moammad Latif,S/O Raja Raza,42101-7857886-2,21550.0,0300-6834790,Skardu,Gilgit-Baltistan
