Owner_Name,Father_Name,CNIC,Owner_Number,Province,City,Society_Name,Property_Type,Plot_House_No,Area,Purchase_Year,Ownership_Status,Estimated_Market_Value,Contact_No
ابراہیم ملک,S/O Sheikh Gujjar,6110171674412,03323316762,KPK,Peshawar,DHA,House,942,98 Sq.Ft,2005,Mortgaged,10457569,03323316762
Waseem Rana,S/O Faisal Karim,6110162793811,03128691364,KPK,Mardan,Model Town,Residential Plot,628,58 Marla,2001,Mortgaged,7368138,03015337228
Kamran Raja,S/O Fatima Bukhari,3520270932512,03034713450,Gilgit-Baltistan,Gilgit,Bahria Town,Residential Plot,433,29 Sq.Ft,2022,Rented,1784084,03034713450
Rizwan Malik,S/O S/O Bushra Sandhu,2130194600038,03013158613,Azad Kashmir,Rawalakot,Township,Residential Plot,476,32 Kanal,2013,Owned,287633,
Ahmed Ansari,S/O Mohammad Malik,3520232984074,03217918250,ICT,Islamabad,Clifton,Residential Plot,556,11 Marla,1998,Mortgaged,11145717,03217918250
Hassan Gilani,S/O Rabia Chattha,3520215452824,03328169593,Punjab,Multan,Defence,House,364,65 Marla,2013,Rented,14252265,03328169593
Arif Akhtar,S/O Ibrahim Virk,3520291643012,03222638360,KPK,Kohat,Cavalry Ground,Residential Plot,398,69 Kanal,2013,Owned,41368619,03222638360
Salman Rafiq,S/O Asma Baig,13302-9754480-4,03323410015,Punjab,Sialkot,I-8,House,737,27 Kanal,2023,Rented,3235831,03323410015
Hina Mirza,S/O Hassan Gondal,4210187737413,03037469044,Balochistan,Turbat,North Nazimabad,Residential Plot,193,83 Kanal,1996,Mortgaged,21349682,03037469044
Mehwish Aslam,S/O Adnan Khan,1330227832429,03026031079,Balochistan,Gwadar,Gulshan-e-Iqbal,House,956,85 Kanal,2002,Mortgaged,29644366,03026031079
Mirza Jafri,S/O Baig Butt,1330227108503,03215284645,ICT,Islamabad,Cavalry Ground,Apartment,835,76 Kanal,2010,Owned,8087386,03215284645
Imran Rizvi,,3520215319571,03005437610,Balochistan,Khuzdar,DHA,Apartment,48,23 Sq.Ft,1996,Rented,6442969,03005437610
,S/O Rizwan Aslam,3520289421675,,Balochistan,Turbat,F-10,Residential Plot,642,42 Sq.Ft,1998,Rented,,03216465406
Hashmi Chattha,S/O Rabia Ali,2130124960533,03132612275,KPK,Mardan,I-8,Apartment,941,39 Kanal,2018,Mortgaged,9292680,03132612275
Aamir Raja,S/O Shazia Raza,4210110466098,03228224494,ICT,Islamabad,Scheme 33,Residential Plot,394,92 Marla,1999,Owned,20822112,03228224494
Imran Tarar,S/O Rukhsar Raza,4400087588884,03029069444,ICT,Islamabad,Bahria Town,House,739,56 Marla,2020,Owned,928306,03029069444
Saira Bhatti,S/O Adnan Tarar,5400040632879,03214954732,KPK,Bannu,I-8,Residential Plot,106,44 Kanal,2014,,35030018,03214954732
Malik Iqbal,S/O Fatima Karim,2130192308288,,Sindh,Sukkur,Saddar,Residential Plot,611,6 Marla,2001,Mortgaged,772260,03023348114
Hashmi Gondal,S/O Asma Hashmi,1330216695044,03227699816,Gilgit-Baltistan,Skardu,Saddar,Apartment,96,95 Kanal,2000,Owned,1838110,03227699816
Sajid Abbasi,S/O Adnan Qureshi,4400075883352,03138674889,KPK,Mardan,DHA,House,862,22 Kanal,2018,Rented,3864352,03138674889
احمد خان,S/O Ali Rana,1330239333114,03467064973,ICT,Islamabad,North Nazimabad,Apartment,881,9 Kanal,2009,Mortgaged,2837111,03467064973
Adnan Gujjar,S/O Kashif Hameed,4400046983459,03321681517,Balochistan,Turbat,PAF Colony,Agricultural Land,780,83 Sq.Ft,2013,Sold,36474344,03321681517
Qureshi Naqvi,S/O Zainab Bukhari,1330214534498,03131803753,Punjab,Sargodha,Gulshan-e-Iqbal,Residential Plot,576,24 Sq.Ft,2023,Mortgaged,4339178,03131803753
Syed Rizvi,S/O Fatima Gondal,4400058299966,03463474661,Punjab,Bahawalpur,PAF Colony,House,822,9 Sq.Ft,1997,Mortgaged,4321996,03463474661
Mehwish Raja,S/O Zubair Aslam,4210183767685,03228794655,Sindh,Karachi,Gulberg,Apartment,114,21 Kanal,2006,Owned,,03228794655
Naveed Naqvi,S/O Khalid Tarar,4210144818713,03316922598,Sindh,Hyderabad,Model Town,House,412,26 Sq.Ft,2001,Rented,3380260,03316922598
Shoaib Nawaz,S/O Rukhsar Qureshi,3520252167487,03128283053,Balochistan,Gwadar,Clifton,Apartment,607,88 Marla,1995,Rented,822778,03128283053
Fatima Akhtar,S/O Faisal Malik,4400088927762,03129324479,Punjab,Bahawalpur,DHA,Apartment,896,97 Sq.Ft,2002,Owned,21627495,03129324479
Asma Malik,S/O Fatima Butt,6110116708526,03122112125,Sindh,Sukkur,DHA,Apartment,142,85 Sq.Ft,2013,Sold,12596698,03122112125
Asma Naqvi,S/O Iqra Chaudhry,,03321272937,Sindh,Larkana,G-9,Residential Plot,393,90 Marla,1999,Sold,4884293,03321272937
Tahir Gilani,S/O Rabia Ansari,5400019319387,03021796366,Gilgit-Baltistan,Chilas,I-8,Agricultural Land,266,21 Marla,2001,Rented,34880031,03021796366
Asif Rana,S/O Naveed Sandhu,2130158756972,03026729398,Punjab,Rawalpindi,E-11,House,281,95 Kanal,2012,Owned,3228210,03026729398
Sobia Chattha,S/O Hamid Sheikh,5400048778725,03229911449,KPK,Mardan,North Nazimabad,Residential Plot,124,13 Marla,1999,Rented,3637175,03229911449
Sajid Rafiq,S/O ابراہیم ملک,5400039808869,03034381812,Azad Kashmir,Mirpur,Clifton,Apartment,888,4 Kanal,2022,Rented,10952294,03034381812
Naeem Rana,S/O Saira Baig,1330275273667,03001371282,Balochistan,Hub,Saddar,House,608,76 Kanal,2013,Mortgaged,18790756,03001371282
Nadia Rizvi,S/O Amna Rafiq,2130114290747,03036513606,Sindh,Nawabshah,Gulshan-e-Iqbal,Residential Plot,242,91 Sq.Ft,1998,Owned,3716369,03036513606
Raja Khan,S/O Qureshi Gujjar,2130139196945,,Azad Kashmir,Rawalakot,Gulberg,Apartment,821,69 Kanal,1996,Mortgaged,18100114,03115813613
Ayesha Karim,S/O Faisal Khan,2130110604575,03211886805,Balochistan,Quetta,Johar Town,Residential Plot,65,89 Sq.Ft,2022,Rented,5524879,03211886805
Muhammad Rana,S/O Rabia Sheikh,3520275020471,03339293596,Balochistan,Gwadar,DHA,House,693,24 Marla,1995,Owned,40828572,03339293596
Usman Hashmi,S/O Hassan Qureshi,4400010146865,03004381382,Azad Kashmir,Mirpur,Askari,Residential Plot,512,79 Marla,1999,Owned,,03004381382
Raja Aslam,S/O Mirza Ansari,1330231501667,03453248357,Gilgit-Baltistan,Chilas,Cavalry Ground,House,646,41 Sq.Ft,2006,Rented,5929034,03453248357
Rukhsar Bhatti,S/O Mirza Rizvi,4210195062998,03018238601,Punjab,Sialkot,North Nazimabad,Agricultural Land,953,88 Sq.Ft,1997,Sold,47268710,03018238601
Hashmi Baig,S/O احمد خان,2130155986167,03111933053,Balochistan,Hub,Askari,Residential Plot,604,24 Sq.Ft,2010,Rented,78586279,03221000686
Rabia Bhatti,S/O Uzma Ansari,4400030072315,03012266047,Gilgit-Baltistan,Chilas,Gulshan-e-Iqbal,Agricultural Land,198,83 Sq.Ft,2012,Owned,21731421,03012266047
Iqra Bukhari,S/O Hussain Virk,4210134124228,03133675009,Sindh,Hyderabad,F-10,House,618,29 Sq.Ft,2023,Rented,2623706,03133675009
Malik Raza,S/O Sidra Cheema,3520240273068,03215516849,Gilgit-Baltistan,Gilgit,PAF Colony,Residential Plot,964,21 Sq.Ft,2008,Sold,1312052,03215516849
Iqra Sheikh,S/O Salman Nawaz,2130183645734,03029453969,Sindh,Mirpurkhas,Bahria Town,Apartment,276,20 Kanal,2023,Rented,10706214,03029453969
Iqra Butt,S/O Syed Sandhu,2130112237231,03463028529,Balochistan,Gwadar,Defence,Apartment,603,62 Marla,2012,Mortgaged,35666587,03463028529
Sajid Zaidi,S/O Sobia Karim,4400065497576,03114867786,Sindh,Sukkur,F-10,Agricultural Land,811,99 Sq.Ft,1999,,54134342,03114867786
Zainab Cheema,S/O Salman Khan,5400088066332,03457983679,Sindh,Hyderabad,I-8,Residential Plot,502,24 Marla,2009,Sold,2945170,03457983679
Sajid Akhtar,S/O Mehwish Sandhu,4210162597399,03135879088,KPK,Abbottabad,G-9,Residential Plot,709,99 Kanal,2010,Mortgaged,11987841,03135879088
Sajid Khan,S/O Usman Khan,1330215234481,03118466878,Balochistan,Hub,I-8,House,294,35 Marla,2010,,4987025,03118466878
Naveed Chattha,S/O Rizwan Aslam,4210186636059,03223290229,Punjab,Sialkot,Model Town,Apartment,862,19 Kanal,2010,Rented,767017,
Qureshi Aslam,S/O Qureshi Nawaz,2130155075772,,Azad Kashmir,Muzaffarabad,Gulshan-e-Iqbal,Apartment,282,68 Marla,1998,Owned,14210801,03126017911
Malik Chattha,S/O Sajid Aslam,1330296931695,03229653916,ICT,Islamabad,Askari,House,957,53 Kanal,1997,Rented,10999020,03229653916
Hassan Jafri,S/O Aamir Ansari,1330262522221,03022382766,Sindh,Sukkur,Township,Apartment,827,76 Kanal,2006,Rented,1464523,03129972000
Malik Ansari,S/O Naveed Nawaz,1330281834513,03464471922,Balochistan,Khuzdar,Scheme 33,Apartment,650,62 Sq.Ft,2006,,3258545,03464471922
Sidra Raja,S/O عمر شیخ,2130153954624,03016771909,KPK,Kohat,Defence,House,129,34 Marla,2007,Sold,16457029,03016771909
ابراہیم ملک,S/O Hashmi Qureshi,4400051125463,03004909053,Azad Kashmir,Rawalakot,Askari,Apartment,107,32 Sq.Ft,2011,Rented,46162235,03004909053
Usman Abbasi,S/O Asif Gilani,4400061463654,03033924425,KPK,Abbottabad,Gulshan-e-Iqbal,House,358,21 Marla,2015,Owned,2693329,03033924425
Hamid Rafiq,S/O S/O Asma Bhatti,1330282240696,03335262908,ICT,Islamabad,Defence,House,718,88 Kanal,2011,Owned,529555,03335262908
Waseem Latif,S/O Ibrahim Mirza,6110176812224,03134086060,KPK,Bannu,DHA,House,173,78 Marla,2015,Owned,6593239,03134086060
Waseem Tarar,S/O Rizwan Aslam,4400054824131,03319214801,Punjab,Sialkot,Cavalry Ground,Residential Plot,687,16 Kanal,2002,Mortgaged,14167216,03319214801
Zainab Baig,S/O احمد خان,4400014737179,03215609391,Gilgit-Baltistan,Chilas,F-10,Apartment,536,14 Kanal,2013,,7305765,03215609391
Ibrahim Baig,S/O Sajid Aslam,4400058751146,03226408662,Azad Kashmir,Muzaffarabad,Bahria Town,Residential Plot,87,91 Marla,2023,Rented,15429315,03226408662
Nadia Abbasi,S/O S/O Saira Rizvi,5400039448852,03225602459,ICT,Islamabad,DHA,Apartment,623,82 Sq.Ft,1996,Sold,1126047,03225602459
Naeem Nawaz,S/O Noor Virk,6110147548452,03328331010,Azad Kashmir,Muzaffarabad,North Nazimabad,Apartment,593,46 Marla,2002,Rented,1053323,03328331010
Asif Hussain,S/O Bilal Gilani,5400036079835,03035428914,Balochistan,Turbat,E-11,Apartment,427,70 Sq.Ft,2011,Mortgaged,5391313,03035428914
Hamid Jafri,S/O Rukhsar Bhatti,6110180262833,03021310536,Gilgit-Baltistan,Chilas,E-11,House,220,47 Marla,2005,Mortgaged,5879334,03021310536
Adnan Rizvi,,35202-6013718-9,03321343860,ICT,Islamabad,Model Town,Apartment,630,82 Kanal,1996,Mortgaged,3806318,03321343860
مریم چودھری,S/O Shoaib Iqbal,4400018378324,03002729886,Balochistan,Hub,Johar Town,Residential Plot,696,53 Kanal,2011,Sold,7952318,03002729886
Waseem Ansari,,2130157485052,03115510604,Punjab,Lahore,Askari,Apartment,353,8 Marla,2005,Mortgaged,9462741,03115510604
Noor Rizvi,S/O Adnan Bhatti,1330266159136,03005665748,Sindh,Larkana,Gulshan-e-Iqbal,House,180,5 Sq.Ft,2016,Mortgaged,834184,03005665748
Hamid Ansari,S/O Noor Akhtar,4400030614164,03017263627,Sindh,Sukkur,Township,Apartment,987,93 Sq.Ft,2004,Mortgaged,,03017263627
Nadia Karim,S/O Noor Sheikh,3520258016448,03463293199,Sindh,Mirpurkhas,DHA,House,996,53 Marla,2014,Sold,36174685,03002663419
Mehwish Ansari,S/O Shazia Ansari,4210163843697,03018420036,Sindh,Hyderabad,Johar Town,Residential Plot,51,33 Kanal,2010,Sold,4074145,03018420036
Sajid Sandhu,S/O Noor Sheikh,4400011102774,,Sindh,Karachi,Askari,Apartment,606,72 Sq.Ft,2010,Owned,46642151,03324483580
Naeem Virk,S/O Uzma Rafiq,1330290998579,03313863119,Balochistan,Hub,Cantt,Residential Plot,287,3 Marla,2009,Mortgaged,4875822,03313863119
Asma Iqbal,S/O Sheikh Hashmi,5400053052565,03008559612,Balochistan,Turbat,Bahria Town,Apartment,338,55 Marla,2009,Owned,4023210,03008559612
Sana Sheikh,S/O Asma Zaidi,3520281084626,03018920040,Balochistan,Gwadar,Gulshan-e-Iqbal,Apartment,885,28 Marla,1995,Rented,5379208,03018920040
علی حسین,S/O Asif Karim,2130177302325,03459505390,Balochistan,Turbat,Johar Town,Commercial Building,103,4 Kanal,2014,Rented,48357910,03459505390
Syed Chaudhry,S/O Adnan Virk,4210133330282,03457220321,Punjab,Rawalpindi,PAF Colony,House,711,21 Marla,2023,Owned,924332,
Asma Chattha,S/O Shoaib Malik,3520288926067,03018905709,Gilgit-Baltistan,Gilgit,Clifton,House,316,30 Kanal,2015,Mortgaged,16904795,03018905709
Sana Chattha,S/O Salman Latif,4210151152278,03127741049,Azad Kashmir,Rawalakot,DHA,House,233,27 Marla,2011,Rented,9724151,03127741049
Sobia Tarar,S/O Rukhsar Baig,5400035944101,03127856227,Sindh,Mirpurkhas,Clifton,Residential Plot,181,82 Marla,2013,Owned,4225439,
,S/O Sheikh Tarar,4400039747909,03463679963,Balochistan,Quetta,Gulshan-e-Iqbal,Apartment,543,44 Marla,2008,Mortgaged,1268213,03463679963
Rizwan Syed,S/O Imran Baig,,03026277776,Punjab,Gujranwala,E-11,Residential Plot,8,13 Sq.Ft,1995,Sold,1503039,03026277776
Raja Akhtar,S/O Iqra Bukhari,5400072654861,03128441169,Sindh,Karachi,Bahria Town,Residential Plot,507,93 Kanal,1997,Rented,1789881,
Fatima Qureshi,S/O Adnan Bhatti,1330223088443,03115841707,Sindh,Mirpurkhas,PAF Colony,Residential Plot,264,95 Kanal,2013,Sold,3252232,03115841707
Ayesha Gondal,S/O Naeem Ahmed,2130166894709,03136912574,Sindh,Mirpurkhas,I-8,Residential Plot,772,73 Sq.Ft,1998,Owned,3058855,03136912574
Adnan Akhtar,S/O Tahir Gilani,6110147584275,03017009438,Azad Kashmir,Rawalakot,Bahria Town,House,42,39 Sq.Ft,1995,,25877563,03017009438
ابراہیم ملک,S/O Sidra Raja,35202-5853247-3,03211615190,Punjab,Sialkot,I-8,Apartment,279,58 Kanal,2001,Owned,7431979,03211615190
Rizwan Hameed,S/O Baig Chaudhry,3520280101859,03023959522,KPK,Bannu,Cantt,Residential Plot,825,16 Marla,2002,Mortgaged,13096353,03023959522
Ibrahim Jafri,S/O Malik Qureshi,,03467153328,Gilgit-Baltistan,Chilas,Cavalry Ground,House,476,40 Kanal,2004,Rented,2097634,03467153328
,S/O Sobia Raza,6110151399982,03451020311,KPK,Mingora,Bahria Town,Residential Plot,272,70 Marla,2016,Mortgaged,12785996,
Hussain Bukhari,S/O Salman Gujjar,4400043507269,,Balochistan,Khuzdar,Gulshan-e-Iqbal,Residential Plot,19,47 Sq.Ft,1995,Mortgaged,8037572,03126856884
Sobia Chattha,S/O Khalid Bukhari,6110116231908,03464953153,Balochistan,Hub,G-9,House,466,61 Sq.Ft,2014,Owned,16646208,03464953153
Baig Rafiq,S/O Naveed Syed,1330234414671,03136089336,Balochistan,Gwadar,Clifton,House,59,19 Kanal,1995,Owned,815401,03136089336
Asif Latif,S/O Amna Syed,4400035966061,03005795040,KPK,Mingora,DHA,House,60,28 Kanal,2005,Mortgaged,12897048,03005795040
Naeem Naqvvi,S/O Shoaib Rizvi,2130143416831,03318157573,ICT,Islamabad,G-9,House,684,71 Kanal,1999,Rented,3693405,03318157573
Sana Sandhu,S/O Hassan Gondal,5400088399145,03468276689,Punjab,Multan,Defence,House,902,82 Marla,2020,Mortgaged,38006880,03468276689
,S/O Kamran Bukhari,5400011408231,03326811782,Gilgit-Baltistan,Skardu,PAF Colony,Apartment,693,11 Sq.Ft,2002,Owned,9745803,03326811782
Maryam Abbasi,S/O Malik Latif,2130139293903,03033309974,Sindh,Larkana,Cantt,Residential Plot,650,73 Marla,2010,Owned,7198841,
Shazia Zaidi,S/O Salman Ansari,4400057801771,03039686388,Azad Kashmir,Muzaffarabad,Gulberg,House,331,52 Kanal,2023,Owned,3851595,03039686388
Ali  Tarar,S/O Ali Jafri,5400063187139,03131600628,Punjab,Sialkot,Cantt,Commercial Building,754,14 Sq.Ft,1997,Mortgaged,25891817,03215877518
Hussain Nawaz,S/O Tariq Sheikh,3520283986164,03221714943,ICT,Islamabad,Clifton,Residential Plot,723,80 Kanal,2017,Owned,17688867,03138257399
Ibrahim Iqbal,S/O Sobia Rafiq,3520241254229,03113799425,Punjab,Multan,Cavalry Ground,Apartment,257,24 Marla,2003,Owned,5659271,03113799425
Baig Bhatti,S/O S/O Zubair Iqbal,2130131720555,03139012674,Gilgit-Baltistan,Gilgit,Defence,Apartment,538,6 Sq.Ft,2004,Sold,1214144,03139012674
Raja Rafiq,S/O S/O Hamid Rana,3520225476741,03139706452,Balochistan,Gwadar,I-8,Residential Plot,895,6 Kanal,2014,Rented,949698,03139706452
Shoaib Latif,S/O Bilal Zaidi,4400070325083,03006687506,Punjab,Sialkot,E-11,Residential Plot,771,30 Sq.Ft,2006,Rented,6411563,03006687506
Tahir Malik,S/O Aamir Jafri,1330275491711,03111608334,ICT,Islamabad,Cavalry Ground,House,722,21 Sq.Ft,2021,Owned,4233346,03111608334
Faisal Bhatti,S/O Khalid Karim,5400030879454,03005466716,Balochistan,Khuzdar,I-8,Residential Plot,163,82 Kanal,2021,Sold,8129506,03032931443
Hina Nawaz,S/O Uzma Abbasi,5400031578833,03214659474,Balochistan,Quetta,Cantt,House,180,89 Kanal,2016,Owned,23583333,03214659474
Ali Raja,S/O Mirza Baig,1330280251906,03136603625,ICT,Islamabad,I-8,Apartment,254,59 Kanal,2022,Rented,13671173,03136603625
Iqra Raja,S/O Ali Mirza,1330297346496,03462882691,KPK,Bannu,E-11,Apartment,626,13 Kanal,2023,Mortgaged,1990553,03462882691
Saira Ali,S/O Sheikh Butt,3520266365726,03035451598,Punjab,Gujranwala,Cantt,Residential Plot,7,9 Kanal,2008,Rented,13456340,03035451598
Hamid Malik,S/O Asma Zaidi,2130149868879,03022866355,Punjab,Bahawalpur,Johar Town,Residential Plot,680,57 Marla,2022,Owned,4629972,03022866355
Zubair Virk,S/O Ibrahim Gondal,2130177292181,03126295785,Gilgit-Baltistan,Gilgit,G-9,House,146,90 Kanal,2008,Sold,4481600,03126295785
Tariq Ahmed,S/O Sidra Naqvi,4210124933731,03329538335,KPK,Peshawar,North Nazimabad,House,136,71 Sq.Ft,2019,Mortgaged,,03329538335
Qureshi Hashmi,S/O عمر شیخ,4400054032745,03334790478,Azad Kashmir,Rawalakot,Cantt,House,14,44 Sq.Ft,2020,Mortgaged,12876225,03334790478
Mohammad Baig,S/O Fatima Raja,5400018867162,03136485409,ICT,Islamabad,Saddar,Residential Plot,905,63 Marla,2003,Sold,2045177,03136485409
Zainab Mirza,S/O Baig Raza,2130124635196,03322254349,Punjab,Bahawalpur,Gulberg,House,33,6 Kanal,2015,Owned,13530366,03322254349
Asif Abbasi,S/O Chaudhry Aslam,4210132811355,03121146799,ICT,Islamabad,Bahria Town,Apartment,329,83 Sq.Ft,2020,Mortgaged,2160565,03121146799
Uzma Rafiq,S/O Sajid Sandhu,3520288809853,03122229072,KPK,Kohat,Gulberg,Residential Plot,666,28 Sq.Ft,2008,Rented,1032230,03122229072
Asif Chattha,S/O Baig Karim,4210132346218,03134139132,Punjab,Sialkot,Township,Apartment,871,91 Kanal,1999,Mortgaged,5163464,03134139132
Rizwan Chaudhry,S/O Qureshi Rizvi,,03323947966,Balochistan,Khuzdar,PAF Colony,Apartment,605,93 Sq.Ft,2003,Owned,11674020,03323947966
Malik Rana,S/O ابراہیم ملک,1330225489637,03325289540,KPK,Bannu,Scheme 33,House,89,66 Marla,2022,Owned,12310248,03325289540
Arif Ansari,S/O ابراہیم ملک,1330236378266,03131326642,ICT,Islamabad,I-8,Residential Plot,665,75 Kanal,2007,Owned,12063300,
Omar Ahmed,S/O Sana Rizvi,6110115956553,03116802008,KPK,Kohat,Defence,Residential Plot,208,5 Marla,2021,Mortgaged,1547313,03028346258
Imran Virk,S/O Waseem Sandhu,13302-7080042-5,03217520197,Balochistan,Turbat,I-8,Apartment,768,34 Marla,2007,Mortgaged,12931614,03339995534
Ahmed Syed,S/O Sobia Aslam,3520210700883,03035814557,Punjab,Sialkot,Saddar,House,536,24 Marla,2001,Mortgaged,,03035814557
Amna Ali,S/O Mehwish Iqbal,5400017292979,03137439687,Gilgit-Baltistan,Gilgit,G-9,House,707,67 Kanal,2011,Mortgaged,6252802,03019014012
Amna kAhtar,S/O Malik Nawaz,1330255938406,03466399970,Azad Kashmir,Muzaffarabad,Gulshan-e-Iqbal,Residential Plot,690,75 Marla,2022,Rented,10313894,03117759673
Tahir Jafri,S/O صنا ملک,2130161095705,03311915141,Balochistan,Hub,Cavalry Ground,House,487,35 Sq.Ft,2008,Sold,2188659,03311915141
Rukhsar Ahmed,S/O Salman Qureshi,3520223232258,03012884744,Balochistan,Turbat,Model Town,Residential Plot,438,48 Kanal,2000,Rented,9599050,03012884744
Hashmi Khan,S/O Sheikh Tarar,3520219239974,03227995438,Punjab,Multan,Gulberg,Residential Plot,803,87 Kanal,1995,,25118049,03227995438
Arif Mirza,S/O Rabia Cheema,1330212866982,03025621484,Sindh,Larkana,G-9,Apartment,229,38 Marla,2007,Rented,1683995,03025621484
Waseem Karim,S/O Hina Jafri,4400025774399,03128087865,Punjab,Bahawalpur,Defence,Residential Plot,135,70 Sq.Ft,2002,Mortgaged,8484882,03128087865
Waseem Qureshi,S/O Sana Karim,3520272978812,03462944254,Punjab,Sialkot,DHA,Apartment,829,89 Sq.Ft,2016,Mortgaged,13372851,03462944254
Ahmed Ansari,S/O Rabia Zaidi,4210144832235,03338478794,Punjab,Multan,I-8,Residential Plot,627,77 Kanal,2023,Rented,3461598,03338478794
Arif Qureshi,S/O مریم چودھری,3520237958463,03008962478,KPK,Peshawar,I-8,House,43,77 Sq.Ft,2015,Sold,580385,03008962478
Maryam Ahmed,S/O Bilal Akhtar,4400064205778,03339940614,Gilgit-Baltistan,Skardu,PAF Colony,Residential Plot,390,3 Sq.Ft,2016,Mortgaged,5900750,03339940614
Naveed Ahmed,S/O Tariq Zaidi,1330286270981,03138135863,Azad Kashmir,Rawalakot,Cantt,Residential Plot,945,5 Kanal,2002,Owned,789332,03323983811
Bushra Butt,S/O Mehwish Iqbal,2130122297742,03035723979,Gilgit-Baltistan,Gilgit,Township,House,832,16 Marla,2009,Rented,14945306,03035723979
Maryam Syed,S/O Baig Naqvi,6110144121109,03138497265,Balochistan,Hub,F-10,Residential Plot,831,72 Marla,2010,Owned,8798192,03138497265
,S/O Fatima Rafiq,2130162412569,03035189693,Punjab,Faisalabad,Askari,Apartment,606,33 Sq.Ft,2016,Owned,14392308,03035189693
Saira Abbasi,S/O Khalid Bhatti,2130152580236,03337714470,Balochistan,Turbat,Clifton,House,101,44 Kanal,2010,Sold,4308616,03337714470
Naeem Cheema,S/O S/O Ayesha Bhatti,1330228351258,,Gilgit-Baltistan,Chilas,Gulshan-e-Iqbal,Residential Plot,737,3 Sq.Ft,2023,Mortgaged,,03463622462
Ali Malik,S/O Faisal Qureshi,1330219064328,03127034887,ICT,Islamabad,Gulshan-e-Iqbal,Residential Plot,59,92 Sq.Ft,2016,,11679558,03127034887
Saira Cheema,S/O Rizwan Syed,3520239103063,03455140773,ICT,Islamabad,Johar Town,House,516,20 Sq.Ft,1999,Mortgaged,4856724,03455140773
عمر شیخ,S/O Shoaib Hashmi,6110187467538,03465816353,Azad Kashmir,Muzaffarabad,Saddar,Residential Plot,134,85 Marla,2017,Rented,6086906,03465816353
Hashmi Rafiq,S/O Hassan Hameed,2130189132985,03319163182,Punjab,Sargodha,Township,Residential Plot,433,82 Marla,1995,Mortgaged,7169852,03319163182
Omar Gonddal,S/O Sobia Butt,1330251044132,03005555954,Balochistan,Khuzdar,Johar Town,House,125,13 Sq.Ft,2011,Owned,12911680,03005555954
Hina Ali,S/O Nadia Bhatti,4210161213531,03131014479,Balochistan,Khuzdar,F-10,Residential Plot,955,91 Sq.Ft,2006,Owned,10501143,03131014479
Noor Cheeema,S/O Mirza Rana,4400074268077,03029381636,Azad Kashmir,Rawalakot,Bahria Town,Apartment,816,4 Sq.Ft,2006,Sold,25914289,03029381636
Noor Tarar,S/O Asma Zaidi,4400084128542,03212525747,KPK,Kohat,Gulshan-e-Iqbal,Apartment,235,50 Marla,1997,Owned,125271422,03212525747
Arif Rafiq,S/O Sana Raza,4400028131358,03039594068,KPK,Kohat,PAF Colony,Apartment,84,73 Kanal,2017,Owned,1621696,03039594068
Tahir Zaidi,S/O Ibrahim Iqbal,2130163093854,03112070991,Punjab,Gujranwala,Johar Town,Apartment,537,72 Marla,2019,Owned,14197467,
Zainab Hussain,S/O Kashif Akhtar,1330233584535,03039093231,Gilgit-Baltistan,Gilgit,Gulshan-e-Iqbal,Apartment,371,80 Kanal,2010,Rented,5131270,03039093231
Zainab Abbasi,S/O Bushra Sandhu,1330257685317,03459456863,Azad Kashmir,Mirpur,Bahria Town,House,180,52 Sq.Ft,1995,Sold,5012651,03459456863
Tariq Gondal,S/O Saira Malik,4210186597555,03454506248,Gilgit-Baltistan,Chilas,Clifton,House,877,7 Kanal,2008,Owned,2522279,03454506248
Adnan Jafri,S/O Nadia Latif,6110185321488,03021970164,Gilgit-Baltistan,Skardu,Askari,House,396,50 Kanal,2008,Sold,2793098,03021970164
Khalid Naqvi,S/O Ibrahim Syed,1330247934941,03339207371,Balochistan,Turbat,Cantt,Apartment,836,93 Marla,2009,Mortgaged,,03339207371
Imran Ali,S/O Hussain Gilani,6110165713089,03139229364,Azad Kashmir,Muzaffarabad,PAF Colony,Residential Plot,224,63 Sq.Ft,1995,Rented,1114253,03139229364
Naeem Naqvi,S/O Shazia Rana,6110158232793,03339633551,Azad Kashmir,Rawalakot,DHA,Residential Plot,97,91 Kanal,2020,Mortgaged,9959635,03339633551
Noor Cheema,S/O S/O Rabia Raja,4400073052529,03312592385,Azad Kashmir,Rawalakot,Cavalry Ground,House,489,44 Sq.Ft,1997,Rented,899461,03312592385
Adnan Akhtar,S/O Tahir Gilani,6110147584275,03017009438,Azad Kashmir,Rawalakot,Township,Apartment,348,28 Kanal,2020,Sold,47578598,03017009438
Rizwan Sheikh,S/O Ayesha Latif,4210129047687,03452324256,Azad Kashmir,Mirpur,Defence,Apartment,826,37 Marla,2014,Sold,16895620,03452324256
Ayesha Chattha,S/O Hamid Abbasi,2130115230671,,Punjab,Rawalpindi,Defence,Apartment,448,52 Sq.Ft,2001,Mortgaged,8593345,03121503737
Sobia Raja,S/O Ali Aslam,4210138841915,03016810441,Azad Kashmir,Mirpur,Model Town,House,526,60 Kanal,2022,Sold,1442616,03016810441
Aamir Jafri,S/O Hina Zaidi,4400029119573,03001994195,ICT,Islamabad,Defence,Apartment,997,91 Marla,2005,Sold,17027300,03009477873
Kashif Iqbal,S/O Arif Bukhari,4400049010156,03025022273,ICT,Islamabad,Cavalry Ground,House,823,88 Sq.Ft,2008,Sold,10302976,03025022273
