Owner_Name,Father_Name,CNIC,Car_Registration_Number,Model_Year,Car_Brand,Car_Model,Engine_Size_CC,Province,City,Estimated_Market_Value,Contact_No
Sheikh Hshmi,S/O Mehwish Raza,6110189795908,GIL-4440-S,2005,Toyota,Land Cruiser,1500,Gilgit-Baltistan,Skardu,378000,03325442336
Amna Ansari,S/O Chaudhry Gilani,6110117280657,QTA-9145-M,2021,Honda,BR-V,1600,Balochistan,Gwadar,195200,03221680765
Tariq Sheikh,S/O Hamid Aslam,4400018004297,ISB-4515-M,2007,Suzuki,Swift,1600,ICT,Islamabad,496000,03035266272
Ayesha Bhatti,S/O Bushra Ali,,PES-4494-Y,2016,Hyundai,Tucson,1500,KPK,Bannu,168000,03031664470
Hussain Ali,S/O Aamir Chaudhry,4400067231295,PES-1363-H,2005,Toyota,Camry,1000,KPK,Mingora,117000,03007822839
Maryam Raja,S/O Kashif Iqbal,1330295479287,MZD-886-L,2007,Hyundai,Elantra,2500,Azad Kashmir,Muzaffarabad,827500,03111907043
Sajid Ali,S/O Ali Qureshi,4400084475906,ISB-5117-B,2017,Audi,Q5,2000,ICT,Islamabad,744000,03129447016
Hashmi Gondal,S/O Syed Raza,5400075693386,KHI-9694-U,2011,Toyota,Fortuner,2500,Sindh,Nawabshah,762500,03225469523
Bilal Aslma,S/O Raja Hameed,1330236826941,GIL-1534-E,2023,Toyota,Hilux,1500,Gilgit-Baltistan,Skardu,229500,
Asma Jafri,S/O Naeem Bhatti,6110112622686,KHI-2022-F,2021,BMW,3 Series,3500,Sindh,Karachi,945000,03465390715
نادیہ رضا,S/O Imran Hussain,1330244879432,MZD-8324-Y,2014,Hyundai,Sonata,2500,Azad Kashmir,Rawalakot,507500,03038911046
Naveed Abbasi,S/O Aamir Nawaz,2130195452959,PES-1110-U,2020,Suzuki,Cultus,2500,KPK,Peshawar,807500,03113615401
Amna Raja,S/O Baig Chaudhry,1330278583988,LHR-1942-P,2021,Toyota,Hilux,2000,Punjab,Bahawalpur,552000,03463787134
Rizwan Qureshi,S/O Ibrahim Aslam,3520225116548,ISB-8402-I,2013,BMW,X5,3500,ICT,Islamabad,493500,03139906182
Usman Gujjar,S/O Sana Ali,2130150585033,GIL-5706-H,2023,Hyundai,Elantra,3000,Balochistan,Khuzdar,1062000,03315188951
Ibrahim Syed,S/O Noor Rafiq,6110166485218,LHR-9520-G,2014,Hyundai,Santa Fe,1000,Punjab,Lahore,264000,03005100919
Muhammad Cheema,S/O Naeem Ansari,5400034907699,MZD-2073-D,2005,Suzuki,Alto,2000,Azad Kashmir,Mirpur,208000,03321053420
Hamid Ansari,S/O Nadia Hameed,2130170409447,LHR-6560-U,2022,Suzuki,Cultus,1000,Punjab,Sialkot,176000,03456452440
M. Latif,S/O Naeem Butt,1330270973299,GIL-784-M,2022,Suzuki,Bolan,1800,Gilgit-Baltistan,Chilas,221400,03212570802
Bushra Naqvi,S/O Khalid Gondal,3520242922898,LHR-8774-S,2013,Honda,Civic,1500,Punjab,Lahore,510000,03111505381
Aamir Gujjar,S/O Ali Gilani,4210197985567,LHR-1575-U,2009,Toyota,Corolla,1600,Punjab,Bahawalpur,268800,03313161087
Ayesha Ansari,S/O Sheikh Raja,3520249657893,ISB-1490-Z,2008,Suzuki,Bolan,2500,ICT,Islamabad,457500,03467728339
M. Hashmi,S/O Fatima Sandhu,1330232622042,GIL-7964-M,2006,Toyota,Land Cruiser,1000,Gilgit-Baltistan,Skardu,325000,03327996666
Shazia Zaidi,S/O Naveed Raza,2130183870148,PES-6684-O,2022,Kia,Carnival,1600,KPK,Mingora,603200,03311735594
Uzma Qureshi,S/O S/O Rizwan Raza,1330237019209,ISB-2686-H,2005,Honda,HR-V,3000,ICT,Islamabad,765000,03318229326
MohammadAnsari,S/O Bilal Rana,,QTA-7851-H,2012,Suzuki,Jimny,1200,Balochistan,Khuzdar,126000,03012969102
Noor Latif,S/O Zainab Hashmi,4210122423878,LHR-270-S,2014,Honda,BR-V,3000,Punjab,Faisalabad,714000,03016361793
Zubair Hussain,S/O Muhammad Bhatti,3520292792719,LHR-322-X,2021,Kia,Sportage,1300,Punjab,Lahore,159900,03468693233
Qureshi Gondal,S/O Salman Nawaz,4400022934036,LHR-1649-T,2006,Hyundai,Tucson,2500,Punjab,Sargodha,392500,03032430427
Asif Ansari,S/O Naeem Gilani,1330299457091,ISB-1256-S,2008,Suzuki,Jimny,1500,ICT,Islamabad,211500,03468117053
Mohammad Akhtar,S/O Naveed Latif,1330246451843,KHI-5381-C,2017,Hyundai,Sonata,2500,Sindh,Nawabshah,995000,03023894805
Iqra Qureshi,S/O Rizwan Malik,1330266889079,MZD-1616-I,2022,Mercedes,E-Class,3000,Azad Kashmir,Rawalakot,933000,03039541658
Rukhsar Zaidi,S/O Rabia Bhatti,1330254870281,MZD-9822-E,2006,Mercedes,C-Class,4000,Azad Kashmir,Muzaffarabad,820000,03126889195
Rabia Mirza,S/O Sheikh Hussain,3520259353739,GIL-6433-J,2020,Hyundai,Sonata,2500,Gilgit-Baltistan,Gilgit,980000,03336458302
Hamid Ahmed,S/O Raja Zaidi,3520279191427,KHI-3016-Z,2008,Hyundai,Elantra,3000,Sindh,Karachi,969000,03129174221
Mohammad Bhatti,S/O ابراہیم ملک,3520266241335,KHI-2816-Z,2019,Hyundai,Tucson,3000,Sindh,Hyderabad,1092000,03122629001
Saira Abbasi,S/O Baig Hussain,6110164419144,QTA-8547-Z,2014,Kia,Sportage,2000,Balochistan,Gwadar,372000,03323891679
احمد خان,,3520258353156,KHI-626-N,2016,Kia,Stonic,3000,Sindh,Karachi,333000,03012092233
Sobia Karim,S/O عائشہ احمد,3520240602843,PES-2311-W,2012,Suzuki,Wagon R,3000,KPK,Mingora,1140000,03318596173
محمد علی,S/O صنا ملک,4400049637533,LHR-8967-K,2009,Honda,BR-V,2000,Punjab,Gujranwala,204000,03013644930
Baig Chaudhry,S/O Iqra Syed,4210151857304,GIL-203-N,2011,Toyota,Fortuner,2000,Gilgit-Baltistan,Chilas,712000,03037127432
Iqra Bukhari,S/O علی حسین,1330299024835,ISB-7992-W,2021,Hyundai,Santa Fe,1200,ICT,Islamabad,235200,03128581927
Hamid Syed,S/O Sheikh Malik,4210128481161,MZD-1039-H,2012,Honda,City,3000,Azad Kashmir,Rawalakot,1026000,03118724035
Sobia Raja,S/O Shoaib Sheikh,4400015139942,GIL-7059-O,2013,Suzuki,Wagon R,800,Gilgit-Baltistan,Chilas,192000,03124308012
Arif Rizvi,S/O Ali Latif,4400079231054,LHR-2528-B,2021,Suzuki,Alto,1300,Punjab,Rawalpindi,267800,03011303197
Shazia Virk,S/O Mohammad Jafri,2130165570439,QTA-7231-I,2017,Suzuki,Wagon R,2500,Balochistan,Khuzdar,725000,03456218945
KashifK arim,S/O S/O Mehwish Naqvi,3520252644227,GIL-9355-S,2009,Honda,CR-V,3000,Gilgit-Baltistan,Gilgit,480000,03324231751
Rizwan Aslam,S/O Sajid Ahmed,4400036739639,GIL-5286-W,2016,Suzuki,Swift,1500,Gilgit-Baltistan,Gilgit,528000,
N. Rizvi,S/O Hussain Chattha,1330224002501,PES-3791-X,2020,Toyota,Land Cruiser,1800,KPK,Kohat,610200,03134737507
Rizwan Hussain,S/O Qureshi Syed,3520277352719,MZD-2404-W,2007,Honda,City,1200,Azad Kashmir,Mirpur,206400,03454375010
Amna Nawaz,S/O Maryam Aslam,2130127501746,PES-7766-N,2023,Kia,Stonic,1800,KPK,Abbottabad,459000,03119348587
Bushra Rafiq,S/O Asma Bhatti,4210165702962,MZD-6242-T,2016,Hyundai,Santa Fe,660,Azad Kashmir,Rawalakot,146520,03013964356
Adnan Rana,S/O Omar Mirza,,ISB-1891-K,2008,Hyundai,Elantra,1600,ICT,Islamabad,425600,03332592507
Sajid Akhtar,S/O Shoaib Iqbal,1330290958979,ISB-7442-W,2012,Toyota,Corolla,800,ICT,Islamabad,316800,03216270869
Salman Bukhari,S/O Sidra Gilani,5400011477012,GIL-1929-V,2010,Suzuki,Bolan,1800,Gilgit-Baltistan,Chilas,248400,03325090740
Nadia Butt,S/O عائشہ احمد,6110180910022,GIL-1813-T,2018,Audi,A3,3500,Gilgit-Baltistan,Chilas,654500,03228476180
Adnan Qureshi,S/O Muhammad Khan,4400028648142,PES-5474-Z,2021,Kia,Sportage,1200,Balochistan,Turbat,344400,03013817684
Noor Chattha,S/O Fatima Iqbal,21301-2273983-4,MZD-5931-E,2009,Toyota,Camry,1800,Azad Kashmir,Muzaffarabad,523800,03327788683
Rabia Tarar,S/O Khalid Ahmed,1330275112576,PES-7122-L,2011,Suzuki,Jimny,2500,KPK,Peshawar,405000,03125702919
زینب علی,S/O Bilal Ali,6110165188874,PES-8514-Y,2009,Kia,Stonic,1800,KPK,Bannu,378000,03454851116
Sidra Chaudhry,S/O Hassan Karim,5400086687353,QTA-8589-O,2009,Kia,Stonic,1000,Balochistan,Quetta,400000,03322765673
,S/O Sana Aslam,4210163723295,QTA-3283-I,2022,Honda,HR-V,1500,Balochistan,Khuzdar,595500,03453337973
Sajid Syed,S/O S/O Shoaib Khan,2130130715063,KHI-5040-X,2007,Suzuki,Alto,3000,Sindh,Larkana,987000,03322967833
Kashif Naqvi,S/O S/O Ibrahim Bukhari,2130170928949,QTA-1716-V,2010,Honda,HR-V,1500,Balochistan,Khuzdar,181500,03325221936
Mohammad Khan,S/O Zainab Naqvi,4210140826591,KHI-6015-K,2020,Toyota,Fortuner,1500,Sindh,Karachi,565500,03015897392
Naeem Jafri,S/O Ayesha Rana,2130127015829,KHI-3534-U,2010,Toyota,Land Cruiser,800,Sindh,Nawabshah,201600,03124382736
Sobia Raza,S/O Hina Rana,4210190201956,PES-4270-E,2006,Honda,BR-V,1500,KPK,Mardan,321000,03321286354
Hussain Khan,S/O Amna Virk,5400071460797,PES-2721-P,2023,Kia,Sportage,800,KPK,Kohat,97600,03034386825
Sobia Karim,S/O Naeem Iqbal,4210145708238,QTA-4250-R,2007,Honda,CR-V,660,Balochistan,Turbat,217800,03111855586
Hussain Khan,S/O Naeem Sheikh,1330286944914,PES-2927-C,2015,Honda,Civic,2000,KPK,Bannu,440000,03122605097
Mirza Hameed,S/O Shoaib Mirza,3520211292456,LHR-9166-D,2009,Kia,Sportage,1600,Punjab,Bahawalpur,400000,03229177688
Ali Iqbal,S/O ابراہیم ملک,5400061216795,PES-8668-P,2023,Toyota,Land Cruiser,1000,KPK,Peshawar,171000,03322089011
Naveed Cheema,S/O Ayesha Syed,1330266624215,ISB-3694-A,2010,Suzuki,Swift,3000,ICT,Islamabad,648000,03135398808
Saira Abbasi,S/O Khalid Bhatti,2130152580236,QTA-4144-J,2021,Honda,CR-V,660,Balochistan,Turbat,154440,03337714470
Omar Karim,S/O Arif Mirza,2130162564631,MZD-3154-S,2020,Hyundai,Sonata,1600,Gilgit-Baltistan,Gilgit,577600,03119940578
Chaudhry Raza,S/O Bilal Chaudhry,1330254340156,MZD-1636-R,2017,Kia,Picanto,3000,Azad Kashmir,Muzaffarabad,612000,03019558134
Mirza Jafri,S/O Aamir Malik,3520252806611,ISB-6780-R,2014,Toyota,Yaris,800,ICT,Islamabad,217600,03029718787
Mehwish Hashmi,S/O Shazia Akhtar,,PES-8242-P,2022,Honda,Civic,3000,KPK,Peshawar,600000,03458137060
Ayesha Abbasi,S/O Salman Rana,4210185430596,LHR-6620-P,2020,Toyota,Camry,1300,Punjab,Multan,352300,03007489819
Muhammad Sanhdu,S/O Salman Karim,5400033966762,GIL-4470-J,2008,Honda,BR-V,1800,Gilgit-Baltistan,Gilgit,,03323753418
B. Raja,S/O Hassan Rana,5400062051417,KHI-9768-K,2020,Kia,Carnival,800,Sindh,Larkana,98400,03124289405
Rizwan Malik,S/O Chaudhry Baig,4400071068941,LHR-2994-H,2015,Mercedes,S-Class,4000,Punjab,Multan,680000,03004587064
Asif Bhatti,S/O Waseem Malik,2130124273401,ISB-250-L,2007,Toyota,Hilux,660,ICT,Islamabad,198000,
Noor Rizvi,S/O Mohammad Hussain,3520228841801,GIL-2263-Z,2010,Toyota,Yaris,660,Gilgit-Baltistan,Chilas,237600,03129694175
Sidra Aslam,S/O Kashif Ali,4400083386638,QTA-4969-H,2014,Toyota,Land Cruiser,3000,Balochistan,Gwadar,321000,03323311667
Sajid Latif,S/O Sheikh Rizvi,4210165357959,KHI-9816-A,2006,Toyota,Fortuner,2500,Sindh,Hyderabad,787500,
S. Rizvi,S/O Bushra Karim,3520222870244,GIL-4737-G,2013,Honda,Civic,1300,Gilgit-Baltistan,Skardu,471900,03119365912
Kashif Chattha,S/O Hassan Gilani,4210153328773,GIL-4065-E,2011,Audi,A6,3500,Gilgit-Baltistan,Gilgit,549500,03311312392
Sidra Butt,S/O Aamir Latif,4210122476044,LHR-1504-O,2023,Suzuki,Wagon R,2000,Punjab,Lahore,596000,
A. Ahmed,S/O Ayesha Malik,3520240871651,KHI-7086-V,2020,Suzuki,Jimny,1300,Sindh,Nawabshah,369200,03463331597
Uzma Bhatti,S/O صنا ملک,3520260549116,QTA-8013-J,2015,Honda,CR-V,1200,Balochistan,Hub,198000,03131188516
,S/O Tahir Latif,4210112640813,QTA-8432-Y,2018,Honda,HR-V,1300,Balochistan,Turbat,250900,03112403738
Naveed Ahmed,S/O Tariq Zaidi,1330286270981,MZD-9850-M,2017,Suzuki,Wagon R,800,Azad Kashmir,Rawalakot,263200,03136228805
S. Syed,S/O Naeem Hameed,1330298420787,MZD-1746-Q,2023,Kia,Sportage,2500,Azad Kashmir,Rawalakot,580000,
Syed Malik,S/O مریم چودھری,4400015275679,QTA-4415-R,2022,Honda,CR-V,1200,Balochistan,Gwadar,426000,
Asma Chaudhry,S/O Nadia Gilani,3520212273651,ISB-7222-N,2015,Suzuki,Jimny,3000,ICT,Islamabad,528000,03113393028
Rukhsar Rana,S/O S/O Shazia Rana,2130118425249,KHI-2413-U,2020,Suzuki,Wagon R,800,Sindh,Karachi,297600,03226323376
Sana Bukhari,S/O Salman Sandhu,61101-7489772-4,KHI-7836-B,2014,Kia,Stonic,2000,Sindh,Hyderabad,404000,03008462069
Sidra Rafiq,S/O Sana Iqbal,3520263647998,GIL-3701-P,2015,Suzuki,Wagon R,2000,Gilgit-Baltistan,Skardu,518000,
Asma Ali,S/O Zainab Qureshi,3520217880398,PES-1120-Y,2021,Suzuki,Alto,1600,KPK,Kohat,240000,03127098200
Ayesha Gujjar,S/O نادیہ رضا,4400043258373,GIL-3011-A,2011,BMW,X6,3000,Gilgit-Baltistan,Skardu,1086000,03222972555
Sidra Raza,S/O Syed Khan,5400091198378,LHR-2858-U,2011,Honda,City,1600,Punjab,Bahawalpur,396800,03014704833
Noor Rizvi,S/O Kamran Sheikh,2130178311416,MZD-8676-Y,2023,Toyota,Fortuner,800,Azad Kashmir,Muzaffarabad,209600,03127639054
Raja Raja,S/O Mirza Nawaz,42101-3732023-6,ISB-3154-Y,2011,Honda,Civic,660,ICT,Islamabad,180840,03321030749
Ibrahim Kairm,S/O Saira Sheikh,1330234467511,ISB-3713-C,2014,Honda,Civic,1200,ICT,Islamabad,180000,03036981675
Tahir Chaudhry,S/O Sidra Zaidi,1330271779753,GIL-2020-C,2022,Suzuki,Alto,1600,Gilgit-Baltistan,Gilgit,486400,03009612440
Rukhsar Zaidi,,4210118663949,ISB-148-Q,2013,Hyundai,Santa Fe,2500,ICT,Islamabad,495000,03139442235
Hashmi Gilani,S/O Naveed Virk,2130193127267,GIL-5046-L,2022,Kia,Picanto,3500,Gilgit-Baltistan,Gilgit,1162000,03112105745
Qureshi Karim,S/O Saira Latif,5400019031474,KHI-8443-Z,2016,Hyundai,Tucson,660,Sindh,Hyderabad,149820,03339281598
Sajid Latif,S/O Sana Sandhu,3520233639655,KHI-3129-L,2013,Hyundai,Santa Fe,3000,Sindh,Mirpurkhas,1062000,03214839530
Iqra Hashmi,S/O Asma Ali,2130136635648,QTA-7268-T,2022,Hyundai,Santa Fe,3000,Azad Kashmir,Muzaffarabad,1041000,03118369126
S. Bhatti,S/O Usman Aslam,4400052489485,MZD-3638-U,2005,Kia,Stonic,1500,Azad Kashmir,Rawalakot,253500,03027608383
Sobia Mirza,S/O Raja Baig,3520224538445,ISB-6064-B,2013,Kia,Sportage,660,ICT,Islamabad,201300,03312394468
محمد احمد,S/O Bilal Ansari,5400060659088,PES-7666-Q,2008,Hyundai,Tucson,1300,KPK,Mingora,517400,03212707282
Hashmi Raza,S/O Qureshi Ali,2130163310919,LHR-8715-Q,2005,Hyundai,Elantra,1000,Punjab,Bahawalpur,354000,03133482120
S. Aslam,S/O Naveed Gujjar,35202-7579467-7,GIL-7734-O,2016,Kia,Picanto,1000,Gilgit-Baltistan,Chilas,257000,03229906237
Mohammad Rana,S/O Rabia Rizvi,2130110971231,QTA-8686-D,2019,Toyota,Hilux,1600,Balochistan,Quetta,467200,03028741067
Naveed Syed,S/O Tariq Baig,5400018601776,KHI-3312-J,2022,Hyundai,Santa Fe,660,Sindh,Larkana,117480,03339726969
Noor Rana,S/O مریم چودھری,4400014125128,LHR-4078-A,2020,Toyota,Land Cruiser,660,Punjab,Bahawalpur,255420,03226931535
Arif Baig,S/O S/O Baig Nawaz,3520253646987,PES-4127-X,2015,Suzuki,Bolan,1500,KPK,Abbottabad,222000,03118072684
W. Chaudhry,,6110133263565,ISB-6103-S,2016,Kia,Sportage,1800,ICT,Islamabad,693000,03459320312
Fatima Mirza,S/O Nadia Karim,3520295807183,MZD-7887-R,2009,Hyundai,Elantra,1200,Azad Kashmir,Muzaffarabad,382800,03459483674
Hussain Raja,S/O Raja Khan,4400096490397,ISB-1684-W,2015,Honda,City,2000,ICT,Islamabad,,03027162862
Rukhsar Gujjar,S/O Salman Nawaz,5400038248704,GIL-7530-E,2013,Kia,Stonic,1600,Azad Kashmir,Rawalakot,275200,03229087098
Baig Bhatti,S/O Sobia Baig,,LHR-6109-J,2008,Kia,Sportage,3000,Punjab,Sargodha,837000,03138381308
Sajid Akhtar,S/O Shoaib Iqbal,1330290958979,ISB-6181-U,2015,Hyundai,Elantra,3000,ICT,Islamabad,711000,03216270869
Baig Iqbal,S/O Kamran Qureshi,1330297152078,KHI-1055-C,2010,Hyundai,Santa Fe,2500,Sindh,Sukkur,547500,03459685662
Sajid Virk,S/O Hussain Chaudhry,21301-9223750-9,LHR-5587-A,2019,Hyundai,Santa Fe,1200,Punjab,Multan,166800,03006375125
Maryam Cheema,S/O Tahir Gilani,1330248537652,LHR-3491-T,2015,Suzuki,Bolan,2500,Punjab,Lahore,447500,03464631304
Rizwan Syed,S/O Tahir Gondal,2130124627083,KHI-8204-Q,2017,Honda,BR-V,1800,Sindh,Karachi,520200,03012954499
Aamir Baig,S/O Ahmed Ansari,4400036084792,MZD-1763-T,2015,Kia,Sportage,3000,Azad Kashmir,Muzaffarabad,459000,03006361147
Sajid Rana,S/O Ahmed Rafiq,4210175679255,PES-4499-U,2010,Toyota,Camry,1200,KPK,Abbottabad,463200,03212004893
Hamid Cheema,S/O Faisal Hashmi,3520262133876,PES-9553-Q,2010,Suzuki,Bolan,1300,KPK,Kohat,237900,03458433918
Mohamad Latif,S/O Qureshi Rizvi,3520296152332,MZD-8034-G,2009,Kia,Picanto,3000,Azad Kashmir,Rawalakot,627000,03328534739
Mohammad Mirza,,6110152758442,KHI-2406-B,2013,Honda,HR-V,3000,Sindh,Larkana,513000,03338765820
Mehwihs Butt,S/O Muhammad Gujjar,3520220571365,LHR-2861-V,2015,Toyota,Yaris,1500,Punjab,Multan,213000,03035484288
Maryam Rizvi,S/O Asma Hussain,1330286180035,ISB-2680-D,2007,Suzuki,Wagon R,2500,ICT,Islamabad,580000,03318129463
Baig Malik,S/O Asif Zaidi,1330293064636,GIL-3518-E,2022,Suzuki,Swift,1200,Gilgit-Baltistan,Gilgit,196800,03318097119
Tahir Bhatti,S/O ابراہیم ملک,2130112189121,ISB-4460-Y,2018,Hyundai,Santa Fe,1800,ICT,Islamabad,360000,03002236275
Ali Rafiq,S/O Nadia Tarar,5400083464262,ISB-5510-U,2023,Kia,Stonic,1200,ICT,Islamabad,132000,03455955582
مریم ودھری,S/O Usman Virk,1330271583043,ISB-3479-Z,2016,Kia,Picanto,1600,ICT,Islamabad,361600,03025034253
Salman Hussain,,4400021711984,GIL-6067-X,2017,Suzuki,Wagon R,1500,Gilgit-Baltistan,Skardu,477000,03316128383
Kashif Ahmed,S/O Qureshi Naqvi,2130110692542,QTA-1908-Z,2007,Hyundai,Sonata,1300,Balochistan,Gwadar,178100,03334245188
Imran Jafri,S/O Asif Nawaz,6110152799323,ISB-5419-W,2006,Toyota,Land Cruiser,1200,ICT,Islamabad,154800,03018707092
Mehwish Akhtar,S/O Hamid Ansari,3520223331181,PES-1451-D,2013,Hyundai,Elantra,1600,KPK,Mingora,614400,03226069116
Sheikh Butt,S/O Ayesha Butt,6110117287739,ISB-339-P,2017,BMW,7 Series,2000,ICT,Islamabad,300000,03457396087
S. Mirza,S/O Asif Bukhari,6110165281351,QTA-242-E,2020,Kia,Carnival,3000,Balochistan,Turbat,1101000,03219284783
Fatima Hameed,S/O S/O Tahir Abbasi,2130181091325,MZD-2306-M,2009,Toyota,Fortuner,1800,Azad Kashmir,Mirpur,635400,03316920939
عمر شیخ,S/O علی حسین,4210110524976,ISB-1583-J,2021,Suzuki,Wagon R,3500,ICT,Islamabad,483000,03461767629
Sana Chattha,S/O Salman Latif,4210151152278,MZD-7656-K,2014,Kia,Sportage,1800,Azad Kashmir,Rawalakot,180000,03127741049
Ali Chaudhry,S/O Ahmed Sandhu,4400045920845,GIL-505-L,2013,Suzuki,Jimny,2500,Gilgit-Baltistan,Chilas,377500,03136738129
Aamir Rizvi,S/O Ahmed Zaidi,5400039813843,QTA-559-H,2012,Hyundai,Sonata,2000,Balochistan,Quetta,240000,03466030577
Tariq Raja,S/O Zubair Bhatti,3520240355444,LHR-317-Z,2006,Hyundai,Tucson,3000,Punjab,Sialkot,699000,
Syed Ansari,S/O Aamir Zaidi,6110143340296,QTA-3110-N,2019,Honda,City,1200,Balochistan,Quetta,432000,03014958849
H. Butt,S/O Arif Karim,1330282463409,QTA-9870-V,2005,Honda,Civic,1800,Balochistan,Gwadar,412200,03139946235
Maryam Raja,S/O Kashif Iqbal,1330295479287,MZD-2005-A,2023,Toyota,Yaris,1500,Azad Kashmir,Muzaffarabad,526500,03111907043
Imran Nawaz,S/O Raja Iqbal,4400037490132,MZD-8401-X,2014,Honda,Civic,1600,Azad Kashmir,Muzaffarabad,491200,03035164045
Sana Nawaz,S/O Bushra Gilani,6110161725668,GIL-4203-J,2020,Hyundai,Santa Fe,2000,KPK,Abbottabad,256000,03315975665
Hamid Syed,S/O Shazia Butt,4210189869645,GIL-1972-B,2016,Hyundai,Tucson,800,Gilgit-Baltistan,Gilgit,165600,03018766806
M Karim,S/O Zubair Malik,2130166696216,QTA-3882-P,2012,Hyundai,Sonata,800,Balochistan,Khuzdar,93600,03035992057
Hussain Virk,S/O S/O Mohammad Abbasi,4210176699189,KHI-2117-G,2013,Honda,City,1000,Sindh,Hyderabad,299000,03336938069
Hassan Hameed,S/O Mehwish Chattha,1330294354127,KHI-482-Q,2015,Suzuki,Jimny,2000,Sindh,Karachi,434000,
Fatima Chattha,S/O Rukhsar Gilani,3520220414682,LHR-189-N,2018,Toyota,Corolla,1300,Punjab,Multan,474500,03031632454
Ayesha Raja,S/O Aamir Akhtar,2130155955958,PES-2291-W,2005,Kia,Sportage,2000,KPK,Kohat,724000,03462388945
صنا ملک,S/O Fatima Tarar,6110166684923,QTA-7826-Y,2012,Suzuki,Bolan,1200,Balochistan,Hub,366000,03317820513
Asma Qureshi,S/O Mohammad Ahmed,5400080703082,ISB-2115-E,2016,Toyota,Hilux,1200,ICT,Islamabad,142800,03217409222
Ali Rana,S/O Omar Hameed,1330241172693,QTA-2025-D,2006,Kia,Stonic,660,Balochistan,Quetta,242880,03004508790
Syed Sandhu,S/O Noor Baig,3520214115307,QTA-6245-A,2011,Suzuki,Bolan,2500,Balochistan,Hub,602500,03454744008
Omar Bhatti,S/O Sheikh Ahmed,4400027908976,LHR-5273-D,2005,Honda,Civic,1600,Punjab,Gujranwala,235200,03029789075
Asa Latif,S/O Zainab Cheema,5400040638161,LHR-4793-U,2010,Hyundai,Elantra,1200,Punjab,Lahore,120000,03123570204
Tariq Raza,S/O S/O Mirza Sandhu,4400037683438,KHI-5246-T,2014,Suzuki,Wagon R,2500,Sindh,Nawabshah,605000,03133646667
Iqra Cheema,S/O Rizwan Raza,3520296737792,LHR-324-G,2020,Toyota,Corolla,1500,Punjab,Rawalpindi,339000,03139623013
مریم چودھری,S/O Asif Naqvi,1330298180907,MZD-8466-R,2013,Kia,Carnival,2000,Azad Kashmir,Rawalakot,312000,03018628687
Sheikh Chattha,S/O Mohammad Khan,1330250315991,ISB-8803-T,2023,Honda,CR-V,660,ICT,Islamabad,257400,03136361758
احمد خان,S/O Mohammad Cheema,4210160118254,KHI-7273-S,2005,Toyota,Hilux,1600,Balochistan,Turbat,512000,03228675078
Baig Rafiq,S/O Naveed Syed,1330234414671,QTA-9025-A,2009,Suzuki,Swift,3000,Balochistan,Gwadar,639000,03136089336
Shoaib Jafri,S/O Usman Syed,2130162711203,PES-9559-E,2020,Kia,Picanto,800,KPK,Kohat,232800,03339237735
Omar Rizvi,S/O Baig Mirza,4400032899413,GIL-7603-N,2022,Kia,Sportage,1600,Gilgit-Baltistan,Chilas,417600,03124512030
Mehwish Raja,S/O Naeem Syed,2130173423444,ISB-5003-B,2017,Toyota,Fortuner,1000,ICT,Islamabad,382000,03465926534
Raja Ahmed,S/O Naveed Jafri,6110160674228,MZD-3998-R,2019,Toyota,Land Cruiser,1500,Azad Kashmir,Rawalakot,333000,03119425574
S. Chaudhry,S/O Sajid Gondal,4400091408187,PES-2100-M,2020,Hyundai,Sonata,800,KPK,Kohat,154400,03228024192
Sidra Naqvi,S/O Imran Nawaz,3520244740152,QTA-6555-A,2019,Suzuki,Swift,3000,Balochistan,Gwadar,909000,03027481529
Hina Khan,S/O نادیہ رضا,3520270729921,QTA-6824-B,2009,Suzuki,Swift,1600,Balochistan,Khuzdar,,03006582025
O. Bukhari,S/O Raja Sandhu,3520244618965,MZD-9810-A,2018,Honda,Civic,2500,Azad Kashmir,Mirpur,820000,03016969048
Mehwish Iqbal,S/O Ahmed Hashmi,1330296938237,GIL-1723-W,2014,Hyundai,Santa Fe,1300,Gilgit-Baltistan,Chilas,344500,03037118669
Khalid hBatti,S/O Tariq Aslam,6110140979228,KHI-1785-O,2009,Kia,Sportage,800,Sindh,Mirpurkhas,304000,03137380445
I. Hashmi,S/O Hashmi Rizvi,1330279565335,PES-7883-J,2006,Hyundai,Sonata,1300,KPK,Mingora,405600,03457911063
Sana Hameed,S/O Shoaib Cheema,6110131604732,ISB-9623-Z,2011,Toyota,Yaris,3000,ICT,Islamabad,870000,03126948153
Shoaib Hashmi,S/O صنا ملک,4400043878568,GIL-8437-L,2015,Hyundai,Sonata,1000,Gilgit-Baltistan,Skardu,230000,03333072728
Bushra Ahmed,S/O Rukhsar Rizvi,3520225961503,PES-5763-W,2020,Audi,Q5,3500,KPK,Kohat,1172500,03468490037
,S/O Raja Rafiq,3520288306898,ISB-9481-N,2005,Honda,HR-V,1800,ICT,Islamabad,617400,03469603212
Arif Cheema,S/O Tariq Sandhu,1330276734675,PES-1465-G,2010,Toyota,Yaris,3000,KPK,Peshawar,567000,03464025771
Naveed Ahmed,S/O Zainab Mirza,4400020173864,PES-393-W,2022,Kia,Sportage,4000,ICT,Islamabad,1552000,03032775245
Asif Raza,S/O Sidra Sheikh,1330260408819,MZD-376-L,2007,Suzuki,Cultus,2000,Azad Kashmir,Rawalakot,326000,03454278458
