Name,Father_Name,CNIC,Annual_Recharge_Amount,Phone_Number,City,Province
Bilal Ahmed,S/O Kashif Virk,5400043006528,32294,03214493339,Gwadar,Balochistan
Amna Cheema,S/O Muhammad Zaidi,1330237798447,117981,03316991311,Lahore,Punjab
علی حسین,S/O Nadia Ahmed,3520247835958,107596,03454903481,Hyderabad,Sindh
Muhammad Raja,S/O Sobia Tarar,2130195458433,11421,03455541309,Rawalpindi,Punjab
Omar Latif,S/O Kashif Rana,4400098805293,6574,03038275996,Islamabad,ICT
Adnan Naqvi,S/O Maryam Sandhu,5400071297984,54066,,Islamabad,ICT
ابراہیم ملک,S/O Rukhsar Bukhari,1330220419068,119410,03125233280,Islamabad,ICT
Tahir Zaidi,S/O Kashif Rafiq,3520255804452,53357,03031963308,Nawabshah,Sindh
Hamid Ansari,S/O عمر شیخ,1330243034932,13874,03021733340,Larkana,Sindh
Fatima Karim,S/O Mirza Nawaz,6110134276765,29579,,Chilas,Gilgit-Baltistan
Bushra Ahmed,S/O Asif Hussain,4400014688887,29613,03455886670,Muzaffarabad,Azad Kashmir
Rabia Raza,S/O Malik Ahmed,2130176751113,7099,03458899687,Islamabad,ICT
Mohammad Jafri,S/O Chaudhry Baig,2130192069847,20913,03119514225,Mirpur,Azad Kashmir
Sidra Raza,S/O Syed Khan,5400091198378,8044,03014704833,Bahawalpur,Punjab
,S/O Muhammad Raza,1330243115932,12437,03006749846,Sargodha,Punjab
Khalid Virk,S/O Hussain Gilani,2130184329174,44147,03229016225,Quetta,Balochistan
احمد خان,S/O Zainab Butt,3520217407611,40236,03023144606,Sialkot,Punjab
Rabia Sandhu,S/O Maryam Mirza,4400084167957,16957,03008111802,Islamabad,ICT
Baig Malik,S/O Asif Zaidi,1330293064636,42005,03318097119,Gilgit,Gilgit-Baltistan
,S/O Malik Mirza,3520238325315,76033,03029570854,Rawalakot,Azad Kashmir
Hussain Raana,S/O Omar Butt,2130170481669,98981,03113124568,Muzaffarabad,Azad Kashmir
Naveed Hameed,S/O Hashmi Hussain,6110130442434,22202,03137034034,Gilgit,Gilgit-Baltistan
Hussain Rana,S/O Naveed Rizvi,3520294658406,12377,03326056012,Larkana,Sindh
Zainab Rafiq,S/O Salman Raza,5400069933236,45246,03226432017,Hub,Balochistan
Ibrahim Raja,S/O Raja Bhatti,4400044698729,21878,03318603793,Peshawar,KPK
Mehwish Raja,S/O Nadia Sheikh,2130186184375,111276,03455731957,Islamabad,ICT
Uzma Bhatti,S/O Shoaib Ahmed,4400061153132,79790,03023607555,Mirpur,Azad Kashmir
Salman Malik,S/O Sidra Iqbal,4400097901752,9430,03031632630,Hyderabad,Sindh
Omar Karim,S/O Shoaib Sandhu,1330296586268,98870,03128473910,Rawalakot,Azad Kashmir
مریم چودھری,S/O Ahmed Latif,42101-1062440-6,472283,03126682872,Quetta,Balochistan
Rizwan Hussain,S/O Arif Bukhari,4210143596939,89569,03123309314,Hub,Balochistan
فاطمہ خان,S/O Shoaib Gilani,4400016871488,13007,03032973996,Bannu,KPK
Bushra Mirza,S/O Kashif Nawaz,3520297744322,15394,03016759222,Skardu,Gilgit-Baltistan
Rabia Ali,S/O Hashmi Latif,6110176179875,119830,03316341250,Sialkot,Punjab
Asif Rizvi,S/O Hussain Sheikh,3520222921182,64637,03331384720,Bahawalpur,Punjab
Rukhsar Rizvi,S/O Iqra Chaudhry,5400019292428,59546,03325991806,Mirpur,Azad Kashmir
Sidra Bhatti,S/O Rizwan Raza,5400073176999,19558,03028286401,Gilgit,Gilgit-Baltistan
Rukhsar Hussain,S/O Mirza Malik,2130122144535,4762,03327135510,Khuzdar,Balochistan
Bushra Chaudhry,S/O Bushra Sandhu,1330265540875,17852,03338176372,Rawalpindi,Punjab
Sajid Ansari,S/O Fatima Jafri,3520274287747,50415,03007338242,Multan,Punjab
Aamir Jafri,S/O Ayesha Syed,4210143836292,28221,03453587987,Faisalabad,Punjab
Rukhsar Sandhu,S/O Hassan Gujjar,6110155843496,16704,03132317757,Quetta,Balochistan
Ali Chattha,S/O Kashif Hameed,5400050445182,16322,03116604835,Karachi,Sindh
Usman Syed,S/O Hassan Rana,4210139003429,1649,03032055548,Hyderabad,Sindh
Salman Naqvi,S/O Usman Tarar,3520295983143,15398,03128593694,Mardan,KPK
Amna Zaidi,,5400064302752,60930,03333049585,Islamabad,ICT
Khalid Malik,S/O Imran Rizvi,4210123526164,90291,03213739161,Islamabad,ICT
Arif Baig,S/O Shazia Hashmi,3520235990592,8417,03136274064,Muzaffarabad,Azad Kashmir
Sobia Gilani,S/O Ibrahim Raja,3520271503831,29491,03459971338,Karachi,Sindh
Mehwish Naqvi,S/O Waseem Rafiq,4400037790938,126997,03213966811,Mirpurkhas,Sindh
Aamir Malik,S/O Naeem Gondal,4400030282118,18620,03028628605,Islamabad,ICT
Zainab Rizvi,S/O Bilal Sheikh,44000-3754303-3,5491,03456190067,Larkana,Sindh
Sidra Raza,S/O نادیہ رضا,4400050426616,105658,03129433156,Gilgit,Gilgit-Baltistan
Sidra Rafiq,S/O Sana Iqbal,3520263647998,105997,03211622052,Skardu,Gilgit-Baltistan
Mirza Karim,S/O Mehwish Virk,1330252885162,8180,03134102146,Lahore,Punjab
Iqra Cheema,S/O Mehwish Tarar,4400059012393,22547,03011205779,Gujranwala,Punjab
صنا ملک,S/O Naeem Khan,1330234356446,2697,03333576306,Quetta,Balochistan
Raja Zaidi,S/O Zainab Syed,4210133354846,11891,03226385396,Gilgit,Gilgit-Baltistan
Hussain Bhatti,S/O Tariq Malik,1330244386691,2743,,Islamabad,ICT
Faisal Mirza,S/O Chaudhry Aslam,42101-5878667-9,8090,03466930723,Khuzdar,Balochistan
Shazia Gondal,S/O محمد علی,6110122553028,19881,03459466235,Gwadar,Balochistan
Asma Zaiid,S/O S/O Ayesha Qureshi,5400029699095,,03217268384,Kohat,KPK
Ahmed Iqbal,S/O Chaudhry Hussain,4400077237673,8332,03215286441,Mardan,KPK
Imran Qureshi,S/O Mehwish Qureshi,2130112914533,67184,03008451141,Mardan,KPK
Kashif Sheikh,S/O Noor Cheema,,81951,03322552036,Mirpur,Azad Kashmir
Usman Gondal,S/O Hina Gilani,2130149093406,89657,03218659143,Hub,Balochistan
Ali Ali,S/O Syed Latif,21301-8987722-6,10503,03033951202,Mirpurkhas,Sindh
عمر شیخ,S/O علی حسین,4210110524976,139205,03461767629,Islamabad,ICT
Mehwish Raja,S/O Iqra Cheema,4400065467444,6234,03013386328,Mirpurkhas,Sindh
Hashmi Ali,S/O زینب علی,1330269835109,104221,03452829215,Bannu,KPK
ابراہیم ملک,S/O Hussain Hussain,4210156302355,126458,03002289828,Mirpur,Azad Kashmir
Imran Bukhari,S/O Ahmed Gondal,61101-9797750-1,12291,03121870268,Skardu,Gilgit-Baltistan
Faisal Aslam,S/O Saira Nawaz,6110149541683,33353,03317482587,Kohat,KPK
Arif Rafiq,,4400091586139,205344,,Chilas,Gilgit-Baltistan
Sidra Raza,,1330224321762,14990,03453182975,Islamabad,ICT
Maryam Ansari,,3520256039796,8313,03334507293,Skardu,Gilgit-Baltistan
Ibrahim Chattha,S/O Zainab Hameed,4210174432792,3752,03011688519,Multan,Punjab
Ahmed Gondal,S/O Zainab Gujjar,1330229543131,12499,03216226102,Faisalabad,Punjab
Aamir Tarar,,4400099787145,9644,03002698935,Khuzdar,Balochistan
Rizwan Rafiq,S/O Usman Bukhari,,20203,03012947320,Chilas,Gilgit-Baltistan
Waseem Raja,,2130183920428,69721,03005226632,Nawabshah,Sindh
Asma Bhatti,S/O Syed Baig,6110197444512,108687,03217599302,Gwadar,Balochistan
Rabia Ahmed,S/O Asma Raza,4400089255789,26804,03322004963,Lahore,Punjab
Amna Gilani,S/O Ayesha Raza,3520298384077,11875,03331625496,Islamabad,ICT
Asif Rafiq,S/O Kashif Syed,5400099048499,31075,03038255176,Islamabad,ICT
Noor Gondal,S/O Waseem Rizvi,6110160587998,11046,03336971763,Rawalakot,Azad Kashmir
Iqra Syed,S/O زینب علی,4210133345886,24834,03228648146,Gujranwala,Punjab
Kashif Raja,S/O Tahir Naqvi,4400061963242,43867,03117458007,Nawabshah,Sindh
Asif Raza,S/O Sidra Sheikh,1330260408819,135711,03454278458,Rawalakot,Azad Kashmir
Naeem Rizvi,S/O Salman Nawaz,6110187679169,149169,03038728009,Mirpurkhas,Sindh
Sidra Bhatti,S/O Rizwan Raza,5400073176999,31464,03028286401,Gilgit,Gilgit-Baltistan
Noor Jafri,S/O Bilal Jafri,6110180658484,46534,03467350865,Bannu,KPK
Zainab Malik,,5400063563744,25983,03016543619,Turbat,Balochistan
Hashmi Iqbal,S/O Sheikh Qureshi,5400012995532,99662,03016296223,Islamabad,ICT
صنا ملک,S/O Shoaib Virk,5400026320658,,03034954599,Peshawar,KPK
Hussain Bukhari,S/O Sana Virk,5400080704164,57138,03218927894,Lahore,Punjab
Kamran Raja,S/O Fatima Bukhari,3520270932512,4689,03034713450,Gilgit,Gilgit-Baltistan
Khalid Ali,S/O Iqra Iqbal,4210185643137,127743,03022480720,Karachi,Sindh
مریم چودھری,S/O Sheikh Qureshi,4210153907648,1662,03222590151,Rawalpindi,Punjab
Khalid Sheikh,S/O Rizwan Gondal,4210148359163,25870,03112487812,Mardan,KPK
Hassan Sandhu,S/O Imran Rizvi,1330228495788,62876,03337833627,Islamabad,ICT
Malik Zaidi,S/O Uzma Naqvi,5400055470345,29129,03226096354,Islamabad,ICT
Sheikh Iqbal,S/O Uzma Sandhu,6110165828891,66595,03111545899,Mirpur,Azad Kashmir
Zainab Gondal,S/O Rizwan Malik,5400060203196,15693,03216029651,Rawalakot,Azad Kashmir
Naveed Iqbal,S/O Iqra Cheema,3520247448835,6541,03337291299,Sukkur,Sindh
Syed Rizvi,S/O Malik Qureshi,2130151763256,13469,03464937181,Mirpur,Azad Kashmir
علی حسین,S/O Hassan Rizvi,1330270829119,223233,03034967420,Sialkot,Punjab
Syed Chattha,S/O Mehwish Iqbal,4210127050243,17311,03001055772,Gilgit,Gilgit-Baltistan
Zubair Rafiq,S/O Kamran Chattha,3520236708158,9854,03334101578,Mingora,KPK
Hassan Sheikh,S/O Mohammad Gilani,4210175858474,129559,03027771181,Bannu,KPK
,,35202-3502367-8,148037,03312845435,Multan,Punjab
Qureshi Sheikh,S/O Faisal Karim,1330237365229,18489,03216328540,Gujranwala,Punjab
Hina Malik,S/O Arif Chattha,1330252145848,40642,03338204386,Mirpurkhas,Sindh
Raja Raja,S/O Mirza Nawaz,4210137320236,30122,03321030749,Islamabad,ICT
Iqra Raja,S/O Ali Mirza,1330297346496,17065,03462882691,Bannu,KPK
Malik Virk,,4400080628603,47421,03212721466,Lahore,Punjab
Sheikh Sheikh,S/O Malik Raja,5400052524317,35936,03452719405,Quetta,Balochistan
Mohammad Butt,S/O Muhammad Akhtar,6110150434364,2599,03454974956,Khuzdar,Balochistan
Asif Rana,S/O Naveed Sandhu,2130158756972,8927,03026729398,Rawalpindi,Punjab
Tahr Zaidi,S/O Kashif Rafiq,3520255804452,81385,03031963308,Nawabshah,Sindh
Ahmed Sandhu,S/O Iqra Ali,3520260543237,14838,03324833760,Khuzdar,Balochistan
Ibrahim Rizvi,S/O Naeem Chattha,3520229867861,4731,03213461797,Islamabad,ICT
Naveed Syed,S/O Tariq Baig,5400018601776,10176,03339726969,Larkana,Sindh
Imran Miraz,S/O Raja Raza,4400056854918,27808,03335164353,Mirpurkhas,Sindh
Asma Syed,S/O Hashmi Khan,3520231476734,102364,03321963952,Faisalabad,Punjab
Shazia Chaudhry,S/O Ahmed Raja,6110187590604,9425,03323842390,Rawalakot,Azad Kashmir
Mehwish Sheikh,S/O Ali Aslam,3520294723148,83253,03322350095,Islamabad,ICT
Asma Nawaz,S/O Ahmed Sandhu,4210163718401,28286,03007064842,Chilas,Gilgit-Baltistan
Khalid Rana,S/O Tahir Gujjar,5400018193815,6990,03318199955,Bahawalpur,Punjab
Imran Chaudhry,S/O Ahmed Sandhu,3520280954265,1536,03022161974,Chilas,Gilgit-Baltistan
Khalid Butt,S/O Naveed Raja,2130176579678,49486,03451010029,Quetta,Balochistan
Mirza Chaudhry,S/O Shazia Jafri,1330289331049,32737,03038256873,Quetta,Balochistan
Bilal Aslam,S/O Raja Hameed,1330236826941,26476,03039528809,Skardu,Gilgit-Baltistan
Saira slam,S/O Aamir Baig,4400028975078,94115,03116040161,Bahawalpur,Punjab
Ali Syed,S/O Rabia Rafiq,5400028862561,5153,03025346558,Rawalpindi,Punjab
Asif Mirza,S/O Raja Mirza,6110179661659,65180,03321696128,Sukkur,Sindh
,S/O Adnan Iqbal,1330250032685,17329,03466363949,Gilgit,Gilgit-Baltistan
Rukhsar Malik,S/O Imran Mirza,2130136591246,80270,03227909745,Khuzdar,Balochistan
Sheikh Rizvi,S/O Zainab Ahmed,4210157677574,5241,03334609423,Skardu,Gilgit-Baltistan
Aamir Hameed,S/O Baig Rafiq,6110160848246,,03036124211,Mardan,KPK
Naeem Mirza,S/O Ibrahim Raja,3520218092492,66606,03225240244,Karachi,Sindh
Hassan Akhtar,S/O Sidra Qureshi,4400016619043,106563,03466290464,Mirpurkhas,Sindh
Iqra Cheema,S/O Rizwan Raza,,37384,03139623013,Rawalpindi,Punjab
Sidra Cheema,S/O Ayesha Abbasi,5400014378041,41537,03459665768,Bahawalpur,Punjab
Ibrahim Akhtar,S/O Bushra Cheema,4210188028291,79518,03002084573,Islamabad,ICT
Tahir Hashmi,S/O Saira Iqbal,,85029,03221108843,Gwadar,Balochistan
Faisal Ansari,S/O Zubair Raja,4210143954495,63989,03129741787,Rawalakot,Azad Kashmir
Sana Hameed,S/O Adnan Butt,3520281154286,2610,03459513459,Gwadar,Balochistan
Fatima Qureshi,S/O Sheikh Abbasi,4210112247616,20583,03034626686,Hub,Balochistan
Sana hCaudhry,S/O Zainab Raza,4210154885047,14191,03124523842,Islamabad,ICT
Naveed Hussain,S/O Salman Virk,35202-9829517-8,61292,03039695105,Nawabshah,Sindh
Ibrahim Hashmi,S/O Baig Zaidi,1330218962462,92897,03338998907,Karachi,Sindh
Amna Hussain,S/O Rukhsar Malik,4210130077089,14415,03128506310,Rawalpindi,Punjab
Ahmed Qureshi,S/O Sheikh Malik,1330212595486,46073,03017179064,Bahawalpur,Punjab
Aamir Hussain,S/O Noor Bukhari,3520270451146,54850,03452167300,Khuzdar,Balochistan
Muhammad Khan,S/O Asma Bhatti,4400012266321,13875,03124273522,Hub,Balochistan
Saira Nawaz,S/O Ibrahim Rafiq,4210151640576,42122,03007095197,Karachi,Sindh
Asma Abbasi,S/O Sheikh Rafiq,4400079743272,75892,03016534739,Muzaffarabad,Azad Kashmir
Mehwish Karim,S/O Zubair Malik,2130166696216,169181,03035992057,Khuzdar,Balochistan
Uzma Hameed,S/O صنا ملک,4400012367555,6188,03125573194,Rawalpindi,Punjab
Maryam Gondal,S/O Waseem Malik,4210145946426,20139,03311028039,Chilas,Gilgit-Baltistan
Waseem Chattha,S/O Imran Ali,6110194194111,243529,03469336696,Hub,Balochistan
Omar Cheema,S/O Naeem Ahmed,2130168180427,277187,03454658049,Gwadar,Balochistan
Raja Karim,S/O Asif Bhatti,6110181555258,16015,03112839032,Lahore,Punjab
Muhammad Rana,S/O Rabia Sheikh,3520275020471,131635,03339293596,Gwadar,Balochistan
Mehwish Gilani,S/O Hussain Zaidi,6110197745739,198740,03027238933,Mirpur,Azad Kashmir
Maryam Bhatti,S/O Rukhsar Gujjar,1330234083341,48434,03227076665,Sargodha,Punjab
Rizwan Latif,S/O Hamid Hashmi,54000-7741951-5,55021,03228776950,Bahawalpur,Punjab
,S/O Asma Bhatti,4210165702962,20389,03013964356,Rawalakot,Azad Kashmir
محمد حسن,S/O محمد احمد,4210158340192,42880,03017205029,Sargodha,Punjab
Noor Raja,S/O زینب علی,4210122208001,45317,03214786479,Bannu,KPK
Raja Sandhu,S/O Chaudhry Bukhari,6110185652423,278241,03211477989,Lahore,Punjab
Noor Syed,S/O Mohammad Tarar,4400052689426,158492,03459185843,Karachi,Sindh
Qureshi Raja,S/O Kashif Mirza,3520233149699,33040,03019219270,Multan,Punjab
Naeem Virk,S/O Kamran Ansari,1330288964862,27194,03129364914,Mardan,KPK
Nadia Cheema,S/O Imran Gilani,6110140357879,68876,03128768782,Gujranwala,Punjab
Aamir Aslam,S/O Salman Karim,1330222721048,27391,03227500931,Hub,Balochistan
Ahmed Chaudhry,S/O Hashmi Aslam,4210190713322,9972,03128433281,Gilgit,Gilgit-Baltistan
Kamran Gujjar,S/O صنا ملک,2130138977698,88675,03123082280,Abbottabad,KPK
Malik Karim,S/O Aamir Cheema,5400079322708,2631,03215029352,Mirpur,Azad Kashmir
Imran Gondal,S/O Syed Rizvi,13302-5077356-2,35293,03326342564,Quetta,Balochistan
Maryam Rafiq,S/O S/O Bushra Bukhari,4400040208533,10734,03213401116,Karachi,Sindh
Raja Rafiq,S/O S/O Hamid Rana,3520225476741,4844,03139706452,Gwadar,Balochistan
Zainab Ansari,S/O Hassan Khan,4210170020099,79837,03129808972,Gujranwala,Punjab
SheikhV irk,S/O Rukhsar Rizvi,6110186617114,3172,,Karachi,Sindh
Syed Latif,S/O Maryam Syed,2130189919581,114169,03218654021,Hub,Balochistan
Raja Khan,S/O Qureshi Gujjar,2130139196945,39442,03115813613,Rawalakot,Azad Kashmir
Bilal Jafri,S/O Faisal Aslam,5400054462856,11657,03219551602,Abbottabad,KPK
Naveed Nawaz,S/O S/O Fatima Hashmi,4400094798428,885,03011517756,Khuzdar,Balochistan
Sobia Raza,S/O Ayesha Cheema,2130125933641,9014,03463802602,Rawalpindi,Punjab
Shoaib Jafri,S/O Hina Jafri,3520243732709,116831,03137078282,Turbat,Balochistan
Nadia Tarar,S/O Saira Naqvi,4400069316084,31515,03124688845,Larkana,Sindh
Maryam Syed,S/O Ayesha Aslam,2130132218351,4580,03461280902,Nawabshah,Sindh
Shoaib Akhtar,S/O Aamir Naqvi,6110193762309,51915,03457014194,Turbat,Balochistan
Sajid Rizvi,S/O محمد علی,3520249577276,22738,03012955879,Lahore,Punjab
Fatima Malik,S/O Rizwan Abbasi,3520213054416,125381,03321758131,Mirpurkhas,Sindh
Arif Ahmed,S/O Adnan Rana,4210123042215,15395,03333115310,Sargodha,Punjab
Omar Bukhari,S/O Aamir Zaidi,1330251956377,35454,03138431651,Gujranwala,Punjab
Shekih Ali,S/O Sajid Cheema,2130168724441,20435,03036156163,Abbottabad,KPK
Rizwan Malik,S/O Chaudhry Baig,4400071068941,42334,03004587064,Multan,Punjab
Waseem Rafiq,S/O Faisal Iqbal,3520272968792,40692,03322562205,Mirpur,Azad Kashmir
Bushra Bhatti,S/O Waseem Naqvi,4210137952731,23428,03121681025,Hub,Balochistan
Syed Raza,S/O Sajid Gondal,4400033765372,781977,03017267813,Islamabad,ICT
Khalid Ali,S/O Sidra Gilani,6110110947096,4956,03026412833,Chilas,Gilgit-Baltistan
Sidra Sandhu,S/O Faisal Virk,5400026788867,2115,03227174780,Karachi,Sindh
Amna Hashmi,S/O Maryam Bhatti,6110157711388,,03339981123,Islamabad,ICT
Hassan Nawaz,S/O Sana Nawaz,4400016921689,10633,,Karachi,Sindh
Ayesha Raja,S/O Aamir Akhtar,2130155955958,73214,,Kohat,KPK
Adnan Rana,S/O Chaudhry Latif,1330299250715,33517,03116524012,Islamabad,ICT
Faisal Gondal,S/O Sajid Virk,4400060141037,116291,03023864291,Hyderabad,Sindh
Airf Latif,S/O Aamir Hussain,5400034761144,49671,03028213778,Turbat,Balochistan
مریم چودھری,S/O Asma Syed,4210196834773,346675,03001231357,Chilas,Gilgit-Baltistan
Nadia Raja,S/O Zubair Syed,6110118754318,115119,03339655523,Muzaffarabad,Azad Kashmir
Imran Abbasi,S/O Asif Chaudhry,5400034749356,10920,03123539593,Bannu,KPK
Maryam Rizvi,S/O محمد احمد,4400078421763,54194,03126495874,Skardu,Gilgit-Baltistan
Naeem Rizvi,S/O عائشہ احمد,4400063622422,197304,03452808399,Islamabad,ICT
Tahir Hussain,S/O عائشہ احمد,1330270528136,51515,03214569527,Mirpur,Azad Kashmir
Adnan Akhtar,S/O Asif Hashmi,1330269776836,10054,03039424216,Sukkur,Sindh
Mohammad Ansari,S/O Bilal Rana,5400093088474,10693,03012969102,Khuzdar,Balochistan
Maryam Zaidi,S/O Salman Chaudhry,2130112414026,,03116515198,Muzaffarabad,Azad Kashmir
Ali Navi,S/O ابراہیم ملک,6110162417055,7321,03035847434,Chilas,Gilgit-Baltistan
Faisal Sandhu,S/O Chaudhry Baig,5400039882741,,03134937877,Hyderabad,Sindh
Shoaib Nawaz,S/O Rukhsar Qureshi,3520252167487,5524,03128283053,Gwadar,Balochistan
Kamran Raja,S/O Fatima Bukhari,3520270932512,4512,03034713450,Gilgit,Gilgit-Baltistan
محمد احمد,S/O Faisal Nawaz,1330211341338,63317,03015933512,Rawalakot,Azad Kashmir
Omar Ansai,S/O Uzma Akhtar,4210195075829,14103,03028172263,Hub,Balochistan
Faisal Ahmed,S/O Naeem Raja,1330215254464,6296,03128887673,Larkana,Sindh
Amna Cheema,S/O Qureshi Tarar,4210137536644,23472,03339465634,Islamabad,ICT
Hussain Latif,S/O Hassan Rafiq,2130169249756,27114,03027490950,Abbottabad,KPK
Iqra Hussain,S/O Mohammad Naqvi,6110156619073,86347,03012556017,Gilgit,Gilgit-Baltistan
Hussain Baig,S/O Tahir Hashmi,4210150264097,5063,03216711907,Sukkur,Sindh
Rizwan Qureshi,S/O Saira Hussain,5400094043138,16317,03217884260,Islamabad,ICT
Imran Hameed,S/O Hussain Karim,2130155446819,16267,03113684354,Rawalakot,Azad Kashmir
Mirza Tarar,S/O Iqra Chattha,4210151398093,7742,03328811985,Faisalabad,Punjab
Ayesha Sandhu,S/O Syed Naqvi,5400085870418,,03213585615,Islamabad,ICT
Aamir Gujjar,S/O نادیہ رضا,4210159679372,52258,03464745704,Mirpur,Azad Kashmir
فاطمہ خان,S/O Bilal Ali,3520234789958,9450,03457095481,Gilgit,Gilgit-Baltistan
Shoaib Nawaz,S/O Saira Ahmed,5400043743999,64192,03339415659,Faisalabad,Punjab
Hina Iqbal,S/O Zainab Gilani,2130119196284,17373,03016669692,Islamabad,ICT
Bushra Raja,S/O Uzma Raja,2130144035471,61975,03452171120,Nawabshah,Sindh
Tariq Ahmed,S/O Qureshi Raja,4400044496393,26674,03457566873,Sialkot,Punjab
Amna ameed,S/O Shazia Butt,1330285000078,19026,03018964761,Bahawalpur,Punjab
Sana Bhatti,S/O Zainab Hussain,,2096,03132178164,Gwadar,Balochistan
Uzma Malik,S/O Ali Gondal,2130178634947,32447,03452254669,Islamabad,ICT
Mirza Mirza,S/O Rukhsar Sheikh,3520213187356,6239,03227395704,Mirpurkhas,Sindh
Rizwan Malik,S/O Sheikh Syed,6110156390563,,03139922954,Islamabad,ICT
Ayesha Hashmi,S/O S/O Rizwan Qureshi,4400046887343,52629,03117260091,Skardu,Gilgit-Baltistan
Qureshi Rafiq,S/O Kashif Ali,4210147189004,25299,03126700102,Islamabad,ICT
Bushra Bhatti,S/O Naveed Akhtar,,32486,03454130061,Islamabad,ICT
Sheikh Sandhu,S/O Rukhsar Akhtar,2130119218087,50666,03003615226,Hyderabad,Sindh
Ali Sandhu,S/O Fatima Karim,3520246695079,47832,03329106820,Sukkur,Sindh
Mirz Virk,S/O Syed Mirza,1330280392127,35847,03322619858,Karachi,Sindh
Hamid Khan,S/O Ali Iqbal,4400019898862,,03313986348,Mirpur,Azad Kashmir
Mehwish Tarar,S/O S/O Sheikh Latif,4210192079607,495,03001621473,Multan,Punjab
Amna Virk,S/O Saira Raja,4210164303288,36616,03313726425,Mardan,KPK
مریم چودھری,S/O Qureshi Bhatti,2130179446189,2755,03121683432,Lahore,Punjab
,S/O Aamir Naqvi,6110193245891,43777,03217637290,Mirpur,Azad Kashmir
Khalid Tarar,S/O Sajid Chattha,3520278594797,32105,03111359675,Gwadar,Balochistan
Hamid Aslam,S/O Asma Abbasi,4210128288357,294050,03312778176,Sargodha,Punjab
Asma Butt,S/O Naveed Syed,5400014376256,8406,03029427608,Gwadar,Balochistan
Sobia Aslam,S/O زینب علی,5400066179542,,03008496999,Larkana,Sindh
Arif Raza,S/O Aamir Hussain,3520226328719,33840,03218062924,Gilgit,Gilgit-Baltistan
Mehwihs Sheikh,S/O Hina Karim,5400015015988,7232,03218414949,Gilgit,Gilgit-Baltistan
Sheikh Ahmed,S/O Uzma Bukhari,13302-3148182-1,231968,03121960095,Mirpur,Azad Kashmir
Aamir Gondal,S/O Tariq Ahmed,3520228859368,27586,03213254948,Turbat,Balochistan
Mohammad Hussain,S/O Bushra Qureshi,2130138794454,174555,03335931000,Hyderabad,Sindh
Sajid Rizvi,S/O Sajid Virk,5400070406073,16100,03325711754,Mirpur,Azad Kashmir
Mohammad Malik,S/O محمد حسن,5400098392108,22011,03122042114,Islamabad,ICT
Rukhar Nawaz,S/O Ali Gujjar,6110122367133,15293,03006535803,Bahawalpur,Punjab
Malik Sheikh,S/O Omar Abbasi,3520218013656,2413,03462984214,Islamabad,ICT
,S/O Ibrahim Virk,2130174393712,27556,,Kohat,KPK
Sobia Chattha,S/O Aamir Ansari,3520258290088,6418,03127526999,Mardan,KPK
Naia Gujjar,S/O Bushra Khan,3520250565876,31046,03222337092,Chilas,Gilgit-Baltistan
BaigRaja,S/O Bushra Iqbal,5400045920935,14495,03008747697,Abbottabad,KPK
Mehwish Tarar,S/O Hassan Bukhari,4210133430788,13642,03005282536,Rawalakot,Azad Kashmir
Amna Nawaz,S/O Hassan Ahmed,5400089931397,27116,03214987424,Skardu,Gilgit-Baltistan
Mohamad Ansari,S/O Bilal Rana,5400093088474,38840,03012969102,Khuzdar,Balochistan
Rabia Tarar,S/O Hashmi Nawaz,4400024057543,6617,03128608923,Hub,Balochistan
زینب علی,S/O Shoaib Rizvi,2130183775963,46953,03216934384,Bahawalpur,Punjab
Muhammad Baig,S/O Hina Qureshi,2130161287213,5837,03038362911,Muzaffarabad,Azad Kashmir
Bushra Nawaz,S/O Asma Chattha,,7380,03451080505,Rawalakot,Azad Kashmir
Naeem Nawaz,S/O Hassan Gilani,1330254177109,28432,03122305896,Gilgit,Gilgit-Baltistan
Sidra Qureshi,S/O Imran Khan,3520231409109,115569,03036096567,Muzaffarabad,Azad Kashmir
Chaudhry Tarar,S/O Ibrahim Virk,2130174393712,30829,03138304023,Kohat,KPK
,S/O Rukhsar Baig,5400064394701,60925,03333612428,Gilgit,Gilgit-Baltistan
Nadia Cheema,S/O Mohammad Jafri,2130136300831,27096,03036114979,Hyderabad,Sindh
Muhammad Hameed,S/O علی حسین,2130174662667,8014,03033549031,Islamabad,ICT
Bilal Ahmed,S/O Malik Baig,6110188894587,9867,03454278016,Islamabad,ICT
Noor Rizvi,S/O Mohammad Hussain,3520228841801,63015,03129694175,Chilas,Gilgit-Baltistan
Bushra Akhtar,S/O Raja Khan,3520270015887,10855,03135216559,Islamabad,ICT
Khalid Ali,S/O Mohammad Gilani,2130115139235,46332,03328109901,Mirpur,Azad Kashmir
Hamid Raza,S/O Hashmi Butt,4400052013723,36370,03218328302,Bahawalpur,Punjab
Sana Gondal,S/O Asma Mirza,6110195130362,68883,03462332904,Khuzdar,Balochistan
Waseem Gilani,S/O Iqra Syed,6110198637567,30549,03018750491,Muzaffarabad,Azad Kashmir
Adnan Raja,S/O Aamir Nawaz,4210195896778,16072,03227334944,Hyderabad,Sindh
Muhammad Rafiq,S/O Shoaib Bhatti,6110118160971,19852,03026556214,Skardu,Gilgit-Baltistan
Noor Sandhu,S/O Malik Tarar,4400045513673,6722,03327715012,Skardu,Gilgit-Baltistan
