Person_Name,Father_Name,CNIC,Consumer_ID,Meter_No,Address,City,Province
Adnan Sheikh,S/O Rabia Sheikh,4400059370752,CON-93673352,MTR-6310586,"House 210, Block A, Askari, Gwadar",Gwadar,Balochistan
Muhammad Rizvi,S/O Hina Qureshi,6110112986218,CON-51945197,MTR-6226394,"House 434, Block D, I-8, Turbat",Turbat,Balochistan
,S/O Iqra Rafiq,35202-9022880-7,CON-27508685,MTR-4410912,"House 500, Block G, E-11, Gwadar",Gwadar,Balochistan
Bilal Akhtar,S/O S/O Asma Malik,4400053741419,CON-58812336,MTR-2792464,"House 491, Block F, Township, Islamabad",Islamabad,ICT
Ayesha oGndal,S/O Muhammad Gujjar,6110175759573,CON-53223533,MTR-9197807,"House 335, Block C, Township, Gwadar",Gwadar,Balochistan
Raja Baig,S/O Qureshi Sandhu,4210143365338,CON-26199568,MTR-8763635,"House 498, Block F, DHA, Islamabad",Islamabad,ICT
Chaudhry Rana,S/O Muhammad Ansari,4210171065481,CON-89264667,MTR-2300208,"House 145, Block D, Model Town, Muzaffarabad",Muzaffarabad,Azad Kashmir
Shoaib Hameed,S/O محمد علی,1330228637121,CON-47859641,MTR-3551964,"House 99, Block E, Saddar, Sargodha",Sargodha,Punjab
Ayesha Raja,S/O Saira Virk,2130154187189,CON-27170186,MTR-5874535,"House 13, Block C, Gulberg, Gilgit",Gilgit,Gilgit-Baltistan
Mohammad Aslam,S/O Hassan Akhtar,1330290541968,CON-97853517,MTR-3232181,"House 289, Block H, I-8, Lahore",Lahore,Punjab
Naveed Chaudhry,S/O Ahmed Latif,1330260605478,CON-70994458,MTR-2201678,"House 98, Block F, PAF Colony, Khuzdar",Khuzdar,Balochistan
Saira Butt,S/O Chaudhry Nawaz,4210126723395,CON-51655994,MTR-1235226,"House 114, Block G, North Nazimabad, Rawalakot",Rawalakot,Azad Kashmir
Saira Chaudhry,S/O Sajid Tarar,2130184107858,CON-98881491,MTR-4991469,"House 210, Block F, Township, Gilgit",Gilgit,Gilgit-Baltistan
Imran Cheema,S/O Noor Tarar,6110154722858,CON-35123787,MTR-9237953,"House 342, Block H, E-11, Mardan",Gujranwala,Punjab
Rabia Karim,S/O Rukhsar Bukhari,6110128883316,CON-30770879,MTR-4421465,"House 57, Block B, G-9, Lahore",Lahore,Punjab
Shazia Zaidi,S/O S/O Tahir Raza,6110187535769,CON-88769209,MTR-1743761,"House 297, Block A, E-11, Islamabad",Islamabad,ICT
Bushra Hameed,S/O Sana Chattha,5400089508851,CON-83256885,MTR-5891510,"House 72, Block A, Cantt, Skardu",Skardu,Gilgit-Baltistan
Fatima Syed,S/O Asma Bhatti,3520259959213,CON-53069953,MTR-3606832,"House 348, Block H, E-11, Islamabad",Islamabad,ICT
Sana Sandhu,S/O Iqra Gilani,5400055086586,CON-26879316,MTR-5341266,"House 31, Block C, Gulberg, Rawalakot",Rawalakot,Azad Kashmir
Nadia Ansari,S/O Sobia Gilani,5400072690027,CON-50465959,MTR-3485965,"House 32, Block H, F-10, Mingora",Mingora,KPK
Adnan Syed,S/O Mohammad Rafiq,4210114077875,CON-51188223,MTR-6066613,"House 46, Block B, DHA, Larkana",Larkana,Sindh
Faisal Raja,S/O Imran Ali,3520213881366,CON-49327554,MTR-6028749,"House 234, Block B, Cantt, Quetta",Quetta,Balochistan
Adnan Qureshi,S/O Imran Cheema,6110199814361,CON-35414536,MTR-9066448,"House 443, Block G, Scheme 33, Khuzdar",Khuzdar,Balochistan
Salman Akhtar,S/O Faisal Gujjar,2130196315056,CON-12016621,MTR-1434192,"House 75, Block G, E-11, Muzaffarabad",Muzaffarabad,Azad Kashmir
Baig Abbasi,S/O Kashif Butt,6110152320416,CON-69724735,MTR-8342766,"House 469, Block F, DHA, Mirpurkhas",Mirpurkhas,Sindh
Sidra Jafri,S/O Raja Sheikh,4210189896733,CON-80422965,MTR-5154262,"House 258, Block D, G-9, Mirpur",Mirpur,Azad Kashmir
Ibrahim Iqbal,S/O Muhammad Akhtar,5400084141628,CON-33447136,MTR-9885457,"House 169, Block B, DHA, Faisalabad",Faisalabad,Punjab
Asfi Hussain,S/O Mirza Latif,2130116132181,CON-28722660,MTR-5461619,"House 241, Block D, Bahria Town, Chilas",Chilas,Gilgit-Baltistan
Ibrahim Qureshi,S/O Sheikh Iqbal,1330275385085,CON-96521641,MTR-6150638,"House 308, Block E, Bahria Town, Skardu",Skardu,Gilgit-Baltistan
Shoaib Chattha,S/O Kamran Ansari,4210199347857,CON-93524351,MTR-9604412,"House 391, Block D, North Nazimabad, Mardan",Mardan,KPK
Mirza Bukhari,S/O Zainab Ali,2130196716812,CON-72413667,MTR-1865452,"House 367, Block D, F-10, Sialkot",Sialkot,Punjab
عمر شیخ,S/O Tahir Raja,4210123981742,CON-45389395,MTR-8860526,"House 445, Block B, Bahria Town, Khuzdar",Khuzdar,Balochistan
Hassan Butt,S/O Sheikh Hussain,1330229264257,CON-26210391,MTR-5993138,"House 127, Block F, Johar Town, Quetta",Quetta,Balochistan
Muhammad Gilani,S/O محمد احمد,1330228411344,CON-57291520,MTR-3944167,"House 251, Block B, DHA, Islamabad",Islamabad,ICT
Rukhssar Khan,S/O Arif Cheema,5400063720667,CON-80944136,MTR-5597343,"House 336, Block B, Township, Gilgit",Gilgit,Gilgit-Baltistan
Ibrahim Ansari,S/O Sidra Syed,,CON-84561585,MTR-7677608,"House 500, Block B, Township, Mirpurkhas",Mirpurkhas,Sindh
Shazia Hashmi,S/O Ali Sheikh,6110152539454,CON-42685561,MTR-2043509,"House 148, Block H, Defence, Skardu",Skardu,Gilgit-Baltistan
Salman Sandhu,S/O Sidra Zaidi,6110162671458,CON-82312987,MTR-2655002,"House 471, Block C, Askari, Gilgit",Gilgit,Gilgit-Baltistan
Nadia Ali,S/O Sheikh Latif,6110149215532,CON-56199821,MTR-8154794,"House 45, Block A, Gulberg, Gwadar",Gwadar,Balochistan
Qureshi Iqbal,S/O Hassan Virk,1330213103567,CON-50633081,MTR-5544054,"House 60, Block H, Askari, Skardu",Skardu,Gilgit-Baltistan
Khaldi Malik,S/O Naeem Karim,3520234185267,CON-32504465,MTR-4225296,"House 355, Block G, Gulberg, Islamabad",Islamabad,ICT
Kamran Akhtar,S/O Sobia Raza,6110151399982,CON-79078430,MTR-3311179,,Mingora,KPK
Iqra Nawaz,S/O Tahir Jafri,4210195298585,CON-82036359,MTR-4387669,"House 207, Block B, Clifton, Faisalabad",Faisalabad,Punjab
Syed Bhatti,S/O Amna Karim,4400013549621,CON-65449240,MTR-4042953,"House 115, Block A, Gulshan-e-Iqbal, Muzaffarabad",Muzaffarabad,Azad Kashmir
Syed Ansari,S/O Amna Chaudhry,4400021795987,CON-46398143,MTR-1974531,"House 19, Block E, Township, Muzaffarabad",Muzaffarabad,Azad Kashmir
,S/O Shazia Nawaz,4210198546985,CON-72546963,MTR-6609739,"House 316, Block B, Cantt, Abbottabad",Abbottabad,KPK
Waseem Chattha,S/O Imran Ali,6110194194111,CON-10107152,MTR-1864474,"House 271, Block H, PAF Colony, Hub",Hub,Balochistan
Sobia Hashmi,S/O Nadia Zaidi,4400062387269,CON-46101106,MTR-7603922,"House 277, Block E, PAF Colony, Multan",Multan,Punjab
Ibrahim Seyd,S/O Noor Rafiq,6110166485218,CON-83169909,MTR-6205118,"House 155, Block E, Gulshan-e-Iqbal, Lahore",Lahore,Punjab
Raja Baig,S/O Qureshi Sandhu,4210143365338,CON-96410072,MTR-6644083,"House 68, Block B, Defence, Islamabad",Islamabad,ICT
Hina Qureshi,S/O محمد علی,1330253556296,CON-38296755,MTR-3590376,"House 39, Block E, North Nazimabad, Khuzdar",Khuzdar,Balochistan
Muhammad Ansari,S/O Ali Abbasi,4210190291764,CON-26611925,MTR-5421443,"House 65, Block B, G-9, Muzaffarabad",Muzaffarabad,Azad Kashmir
Iqra Raja,S/O Baig Chaudhry,4400049389568,CON-27531994,MTR-3293016,"House 490, Block A, Gulshan-e-Iqbal, Bannu",Bannu,KPK
Mohammad Tarar,S/O Baig Jafri,1330260464303,CON-18004336,MTR-6427258,"House 139, Block B, Cavalry Ground, Mardan",Mardan,KPK
Tariq Rana,S/O Sobia Rana,4210172412247,CON-53631115,MTR-2511469,"House 366, Block G, North Nazimabad, Sargodha",Sargodha,Punjab
,,6110132883289,CON-28340130,MTR-4079361,"House 413, Block A, Saddar, Islamabad",Islamabad,ICT
Mohammad Ahmed,S/O Sobia Sandhu,3520294216645,CON-60563359,MTR-3017609,"House 449, Block B, PAF Colony, Lahore",Lahore,Punjab
Mirza Ansari,S/O Ahmed Hashmi,3520269964586,CON-10132697,MTR-6745354,"House 345, Block H, Township, Muzaffarabad",Muzaffarabad,Azad Kashmir
Faisal Ahmed,S/O Naeem Raja,1330215254464,CON-16027617,MTR-4936446,"House 278, Block B, Bahria Town, Larkana",Larkana,Sindh
Naveed Hussain,S/O Tahir Gilani,5400042573796,CON-67903981,MTR-1523469,"House 31, Block E, Johar Town, Lahore",Lahore,Punjab
محمد احمد,S/O Imran Latif,4400058690984,CON-10485811,MTR-7077342,"House 216, Block E, Cantt, Islamabad",Islamabad,ICT
Muhammad Tarar,S/O Naveed Jafri,6110155466896,CON-69048972,MTR-3190498,"House 153, Block C, Gulberg, Khuzdar",Khuzdar,Balochistan
Naeem Gujjar,S/O Malik Naqvi,,CON-46335212,MTR-7703195,"House 449, Block F, Township, Lahore",Lahore,Punjab
Chaudhry Malik,S/O Ayesha Ansari,4400098295729,CON-58913944,MTR-7689837,"House 70, Block E, Askari, Karachi",Bannu,KPK
Asif Karim,S/O Saira Gondal,4400094682123,CON-28265660,MTR-1409914,"House 276, Block G, Cavalry Ground, Islamabad",Islamabad,ICT
Mirza Gondal,S/O Muhammad Butt,4210191929453,CON-19913700,MTR-1615884,"House 297, Block F, Cavalry Ground, Skardu",Skardu,Gilgit-Baltistan
Sidra Naqvi,S/O Tariq Syed,2130166688629,CON-61742114,MTR-7635033,"House 217, Block F, G-9, Chilas",Chilas,Gilgit-Baltistan
Naeem Hameed,,6110140334334,CON-18598779,MTR-8379767,"House 335, Block E, Defence, Sargodha",Sargodha,Punjab
Kashif Tarar,S/O Hina Rizvi,13302-8381477-8,CON-21592481,MTR-5662305,"House 351, Block A, Cavalry Ground, Karachi",Karachi,Sindh
Muhammad Raza,S/O Adnan Bukhari,6110110538847,CON-71438761,MTR-9230580,"House 376, Block E, Scheme 33, Gilgit",Gilgit,Gilgit-Baltistan
Faisal Chattha,S/O Qureshi Hashmi,4210194776411,CON-88776040,MTR-6513195,"House 263, Block A, G-9, Abbottabad",Abbottabad,KPK
Muhammad Malik,S/O Mirza Hameed,5400046156093,CON-73793595,MTR-8512043,"House 283, Block E, Gulshan-e-Iqbal, Chilas",Chilas,Gilgit-Baltistan
Ali Bhatti,,6110155165091,CON-10445637,MTR-4529906,"House 366, Block B, Johar Town, Kohat",Kohat,KPK
علی حسین,S/O Baig Bukhari,2130111199458,CON-81042109,MTR-8382164,"House 120, Block B, DHA, Peshawar",Peshawar,KPK
Mirza Rana,S/O Mehwish Baig,6110145981697,CON-53412429,MTR-4288581,"House 230, Block F, Bahria Town, Mirpur",Mirpur,Azad Kashmir
صنا ملک,S/O Hina Ansari,3520295805747,CON-25988171,MTR-3521207,"House 404, Block B, Saddar, Rawalakot",Rawalakot,Azad Kashmir
Naveed Ahmed,S/O Zainab Mirza,4400020173864,CON-36404598,MTR-1634406,"House 144, Block B, Township, Kohat",Kohat,KPK
Mirza Qureshi,S/O Waseem Ali,2130186084082,CON-47695054,MTR-6467483,"House 126, Block F, Gulberg, Mardan",Mardan,KPK
Iqra Gujjar,S/O Imran Hameed,3520217071317,CON-97143151,MTR-8141925,"House 267, Block E, Askari, Hyderabad",Hyderabad,Sindh
Tariq Latif,S/O Faisal Iqbal,4210161226498,CON-92749534,MTR-7041371,"House 374, Block C, Bahria Town, Abbottabad",Abbottabad,KPK
Zainab Virk,S/O Rizwan Akhtar,4210163196163,CON-38742095,MTR-9045692,"House 163, Block A, North Nazimabad, Mingora",Mingora,KPK
Syed Latif,S/O Bushra Hussain,5400048599037,CON-56296449,MTR-8437582,"House 178, Block C, E-11, Abbottabad",Abbottabad,KPK
Hussain Bukhari,S/O Usman Mirza,1330253514517,CON-26951086,MTR-9782436,"House 109, Block G, Askari, Karachi",Karachi,Sindh
Malik Ansari,S/O Mehwish Tarar,5400033040056,CON-76824062,MTR-1082849,"House 172, Block B, Model Town, Multan",Multan,Punjab
Nadia Nawaz,S/O Omar Nawaz,1330246628405,CON-49490784,MTR-9846967,"House 13, Block B, Bahria Town, Rawalakot",Karachi,Sindh
Aamir Baig,S/O Iqra Bukhari,6110130669983,CON-69503728,MTR-2075722,"House 496, Block C, F-10, Hub",Hub,Balochistan
,S/O Tariq Jafri,3520286561258,CON-59301469,MTR-4849871,"House 136, Block A, Scheme 33, Islamabad",Islamabad,ICT
Muhammad Sandhu,S/O Usman Bhatti,3520255723991,CON-61325057,MTR-6294850,"House 409, Block E, Model Town, Peshawar",Peshawar,KPK
Rizwan Sandhu,S/O Zainab Naqvi,1330252148549,CON-34666333,MTR-6098692,"House 102, Block C, Johar Town, Gwadar",Gwadar,Balochistan
Amna Hashmi,S/O Uzma Bukhari,2130186022359,CON-76244426,MTR-6217431,"House 21, Block A, Township, Rawalpindi",Rawalpindi,Punjab
Muhammad Chaudhry,S/O Rabia Malik,1330211703557,CON-10233834,MTR-7512280,"House 151, Block B, Gulshan-e-Iqbal, Sukkur",Sukkur,Sindh
,S/O Noor Sheikh,3520256039796,CON-35039952,MTR-7567716,"House 56, Block B, Clifton, Skardu",Skardu,Gilgit-Baltistan
Kashif Gujjar,S/O Muhammad Butt,5400083253808,CON-30584949,MTR-6782798,"House 487, Block B, Gulshan-e-Iqbal, Chilas",Chilas,Gilgit-Baltistan
Chaudhry Latif,S/O Mirza Hussain,2130161242229,CON-33810042,MTR-9048899,"House 212, Block E, North Nazimabad, Abbottabad",Abbottabad,KPK
Moohammad Aslam,S/O Hassan Akhtar,1330290541968,CON-65169976,MTR-2830825,"House 289, Block H, I-8, Lahore",Lahore,Punjab
Baig Gondal,S/O Raja Raja,2130170824775,CON-98602626,MTR-7404910,"House 202, Block B, Defence, Chilas",Sargodha,Punjab
Muhammad Raza,S/O Syed Latif,4210115342324,CON-57161983,MTR-9149402,"House 402, Block H, Saddar, Islamabad",Islamabad,ICT
Naveed Syed,S/O Tariq Baig,5400018601776,CON-20089667,MTR-7989425,"House 33, Block F, Defence, Larkana",Larkana,Sindh
Bushra Karim,S/O Asma Sheikh,6110111427544,CON-12374470,MTR-8115758,"House 36, Block C, PAF Colony, Bannu",Bannu,KPK
Muhammad ملک,S/O Fatima Khan,5400075022145,CON-44786060,MTR-9746220,"House 476, Block B, G-9, Hyderabad",Hyderabad,Sindh
Saira Nawaz,S/O Waseem Gilani,5400054905142,CON-53233702,MTR-5882999,"House 295, Block G, Cavalry Ground, Bannu",Bannu,KPK
Sana Chattha,S/O Salman Latif,4210151152278,CON-69810815,MTR-6815799,"House 252, Block A, G-9, Rawalakot",Rawalakot,Azad Kashmir
Hamid Ahmed,S/O Adnan Latif,1330288529171,CON-29313361,MTR-2764278,"House 493, Block E, Saddar, Mardan",Mardan,KPK
Tahir Butt,S/O Asma Syed,3520264292296,CON-83748617,MTR-1041773,"House 95, Block C, Model Town, Gwadar",Gwadar,Balochistan
Sana Aslam,S/O Asif Gujjar,6110170907798,CON-54230149,MTR-3662943,"House 353, Block F, Defence, Gilgit",Gilgit,Gilgit-Baltistan
Shazia Aslam,S/O Imran Aslam,5400019618709,CON-94715061,MTR-4611761,"House 198, Block B, G-9, Skardu",Skardu,Gilgit-Baltistan
Muhammad Mirza,S/O Chaudhry Aslam,4210158786679,CON-77682345,MTR-6675518,"House 341, Block B, North Nazimabad, Khuzdar",Khuzdar,Balochistan
Waseem Qureshi,S/O Faisal Sandhu,2130114298495,CON-22018750,MTR-7430552,"House 288, Block F, Model Town, Faisalabad",Faisalabad,Punjab
Iqra Karim,S/O Shoaib Latif,6110143243579,CON-22061640,MTR-4653880,"House 240, Block B, Township, Rawalakot",Rawalakot,Azad Kashmir
Naveed Hameed,S/O Hashmi Hussain,6110130442434,CON-67692146,MTR-1830800,"House 72, Block F, Scheme 33, Gilgit",Gilgit,Gilgit-Baltistan
صنا ملک,S/O Rukhsar Aslam,5400092749677,CON-62038821,MTR-7946319,"House 333, Block A, G-9, Lahore",Lahore,Punjab
Muhammad Rizvi,S/O Kamran Gondal,4210196442969,CON-55891397,MTR-9913520,"House 128, Block C, I-8, Kohat",Kohat,KPK
Ibarhim Raza,S/O Zainab Sandhu,2130194227873,CON-23817526,MTR-3230804,"House 67, Block D, North Nazimabad, Kohat",Kohat,KPK
Rizwan Mirza,S/O Naveed Raja,2130168546785,CON-31429042,MTR-7812817,"House 238, Block H, E-11, Gwadar",Gwadar,Balochistan
Naeem Nawaz,,5400061159543,CON-56117912,MTR-4303276,,Islamabad,ICT
Hashmi Bhatti,S/O Waseem Rafiq,4210151131279,CON-59532689,MTR-5924643,"House 149, Block C, DHA, Hub",Hub,Balochistan
Faisal Chaudhry,S/O Rabia Akhtar,5400012467231,CON-40480096,MTR-1782247,"House 358, Block E, PAF Colony, Islamabad",Islamabad,ICT
Sheikh Rana,S/O S/O Uzma Mirza,2130120725959,CON-86535362,MTR-9312815,"House 495, Block B, Cavalry Ground, Rawalakot",Rawalakot,Azad Kashmir
Syed Malik,S/O Aamir Hashmi,4210135688921,CON-56548801,MTR-3470383,"House 122, Block A, I-8, Karachi",Karachi,Sindh
,S/O Salman Ansari,3520224592395,CON-20867660,MTR-4667397,"House 346, Block E, PAF Colony, Hub",Hub,Balochistan
Tariq Ansari,S/O Maryam Akhtar,1330235529967,CON-37616808,MTR-9058993,"House 435, Block F, Clifton, Hub",Larkana,Sindh
Sobia Raza,S/O Uzma Nawaz,1330255322071,CON-88362485,MTR-5399356,"House 52, Block F, I-8, Islamabad",Islamabad,ICT
Aamir Akhtar,S/O Rabia Abbasi,4400030299945,CON-89038443,MTR-8762050,"House 421, Block A, Model Town, Faisalabad",Faisalabad,Punjab
Rukhsar Latif,S/O Zubair Gondal,6110126966303,CON-40023774,MTR-6334999,"House 295, Block D, Model Town, Islamabad",Islamabad,ICT
Muhammad Nawaz,S/O Saira Ahmed,5400043743999,CON-45561289,MTR-6241218,"House 286, Block E, Saddar, Faisalabad",Faisalabad,Punjab
Muhammad چودھری,S/O Syed Gilani,4210120110487,CON-32000677,MTR-4234733,"House 394, Block H, Cantt, Hub",Hub,Balochistan
Syed Ansri,S/O Mirza Abbasi,5400021536517,CON-94447417,MTR-6499533,"House 419, Block H, Cavalry Ground, Khuzdar",Khuzdar,Balochistan
Ali Bhatti,S/O Omar Butt,4400036770877,CON-21900539,MTR-9868325,"House 158, Block D, Saddar, Skardu",Skardu,Gilgit-Baltistan
Mohammad Hussain,S/O S/O Syed Rizvi,1330260844185,CON-66773017,MTR-5295443,"House 499, Block H, G-9, Mingora",Mingora,KPK
Maryam Raja,S/O Tariq Raza,4400049533664,CON-70713085,MTR-4322886,"House 277, Block D, Township, Nawabshah",Nawabshah,Sindh
Mohammad Iqbal,S/O Sheikh Sandhu,6110155475771,CON-51163383,MTR-3033411,"House 357, Block E, I-8, Sukkur",Sukkur,Sindh
Bilal Hashmi,,4210170817856,CON-31477068,MTR-6684537,"House 259, Block D, Scheme 33, Peshawar",Peshawar,KPK
Khalid Akhtar,S/O Tariq Hussain,1330263939209,CON-74848647,MTR-2626640,"House 109, Block A, Cavalry Ground, Karachi",Karachi,Sindh
Ali sAlam,S/O Sheikh Rana,,CON-53978439,MTR-9619347,"House 12, Block C, F-10, Skardu",Skardu,Gilgit-Baltistan
Zainab Baig,S/O Baig Malik,35202-7538552-5,CON-51600410,MTR-6467629,"House 131, Block B, Johar Town, Chilas",Chilas,Gilgit-Baltistan
Hina Khan,S/O Uzma Rizvi,5400074586985,CON-74514799,MTR-7459540,"House 8, Block G, Bahria Town, Gilgit",Gilgit,Gilgit-Baltistan
Faisal Aslam,S/O Saira Nawaz,6110149541683,CON-41329208,MTR-1253980,"House 415, Block B, G-9, Karachi",Karachi,Sindh
Chaudhry Rana,S/O Imran Iqbal,2130160406875,CON-67472595,MTR-1919717,"House 72, Block G, Scheme 33, Mirpur",Mirpur,Azad Kashmir
Noor Bukhari,S/O Usman Hashmi,6110114620422,CON-47337824,MTR-8460563,"House 18, Block B, Askari, Chilas",Chilas,Gilgit-Baltistan
Sajid Latif,S/O Ayesha Qureshi,1330226190077,CON-15833638,MTR-6941739,"House 221, Block E, Clifton, Sukkur",Sukkur,Sindh
Bilal Aslam,S/O Sana Bhatti,6110158736886,CON-14660255,MTR-4215515,"House 218, Block G, I-8, Mirpur",Mirpur,Azad Kashmir
Naeem Jafri,,2130127015829,CON-61176023,MTR-3686862,"House 103, Block H, PAF Colony, Nawabshah",Nawabshah,Sindh
Chaudhry Baig,S/O Naeem Qureshi,2130171355961,CON-16338263,MTR-5573709,"House 9, Block G, Clifton, Karachi",Karachi,Sindh
Tahir Naqvi,S/O محمد حسن,6110198184059,CON-54253391,MTR-6646690,"House 123, Block G, Scheme 33, Chilas",Chilas,Gilgit-Baltistan
Hassan Rana,S/O Baig Hameed,5400041599863,CON-89242105,MTR-1325821,"House 267, Block B, Gulberg, Chilas",Chilas,Gilgit-Baltistan
Sajid Aslam,S/O Baig Akhtar,4400046077128,CON-50107234,MTR-9745413,"House 157, Block H, Township, Bannu",Bannu,KPK
Muhammad Cheema,S/O Mehwish Akhtar,,CON-75311249,MTR-5183146,"House 447, Block C, North Nazimabad, Islamabad",Islamabad,ICT
Sheikh Rana,S/O Hashmi Qureshi,3520294228491,CON-23161204,MTR-5810185,"House 397, Block E, G-9, Turbat",Turbat,Balochistan
Kamran Jafri,S/O Ali Zaidi,2130178101566,CON-85550440,MTR-7592745,"House 461, Block C, Scheme 33, Sialkot",Sialkot,Punjab
Uzma Gujjar,S/O Sobia Naqvi,2130123298217,CON-14825773,MTR-8437552,"House 253, Block F, E-11, Quetta",Quetta,Balochistan
Sajid Malik,S/O Muhammad Raza,1330243115932,CON-46218761,MTR-1827778,"House 166, Block F, DHA, Sargodha",Sargodha,Punjab
Naeem Chattha,S/O Bilal Ahmed,1330284604268,CON-52863524,MTR-9470506,"House 143, Block F, Defence, Gwadar",Gwadar,Balochistan
Kashif Sandhu,S/O Sheikh Abbasi,2130123907916,CON-93806104,MTR-7548070,"House 80, Block A, Johar Town, Mardan",Mardan,KPK
Khalid Hashmi,S/O Chaudhry Mirza,2130165740143,CON-25625962,MTR-7743005,"House 169, Block G, Clifton, Faisalabad",Faisalabad,Punjab
Sana Hussain,S/O Nadia Zaidi,1330243100735,CON-51211983,MTR-1116512,"House 277, Block E, Askari, Multan",Multan,Punjab
Bilal Aslam,,2130175014342,CON-15351785,MTR-1390910,"House 458, Block H, Cavalry Ground, Gwadar",Gwadar,Balochistan
Shazia Akhtar,S/O Faisal Rafiq,5400081184199,CON-97187096,MTR-5972953,"House 40, Block D, I-8, Muzaffarabad",Muzaffarabad,Azad Kashmir
Shazia Bukhari,S/O Mirza Qureshi,4210175298776,CON-48511880,MTR-5240665,"House 26, Block E, DHA, Mingora",Mingora,KPK
Rabia Tarar,S/O Bilal Gujjar,5400011563976,CON-90659267,MTR-5393138,"House 338, Block F, Clifton, Skardu",Skardu,Gilgit-Baltistan
Bushra Sandhu,S/O Baig Mirza,3520273725045,CON-46023861,MTR-2023315,"House 467, Block D, Clifton, Rawalakot",Rawalakot,Azad Kashmir
Baig Qureshi,S/O Ibrahim Abbasi,2130142491477,CON-90044697,MTR-6618841,"House 34, Block C, Bahria Town, Karachi",Karachi,Sindh
صنا ملک,S/O Shoaib Latif,3520242493895,CON-18846125,MTR-5678197,,Turbat,Balochistan
Saira Baig,S/O Baig Naqvi,13302-3888583-2,CON-93808594,MTR-6924207,"House 451, Block E, Saddar, Lahore",Lahore,Punjab
Tariq Rana,S/O Fatima Tarar,3520273029663,CON-37991624,MTR-1679559,"House 20, Block G, Clifton, Quetta",Quetta,Balochistan
Muhammad Tarar,S/O Ahmed Tarar,4400018959924,CON-81589851,MTR-4760656,"House 29, Block H, E-11, Gilgit",Gilgit,Gilgit-Baltistan
Sajid Latif,S/O Ayesha Qureshi,1330226190077,CON-84907223,MTR-8907105,"House 221, Block E, Clifton, Sukkur",Sukkur,Sindh
Muhammad Chaudhry,S/O Shoaib Hameed,,CON-68715085,MTR-1971262,"House 83, Block G, E-11, Mirpur",Mirpur,Azad Kashmir
Hina Akhtar,S/O Rukhsar Akhtar,5400072521717,CON-20498104,MTR-9486996,"House 289, Block G, Cavalry Ground, Islamabad",Islamabad,ICT
Zainab Qureshi,S/O Hamid Chaudhry,5400016280471,CON-20961139,MTR-4994416,"House 13, Block B, Township, Skardu",Skardu,Gilgit-Baltistan
Amna Ali,S/O Muhammad Ahmed,6110196183244,CON-59904379,MTR-1514451,,Bannu,KPK
Khalid Mirza,S/O Hassan Qureshi,5400085269947,CON-96607920,MTR-8360260,"House 324, Block F, E-11, Mardan",Mardan,KPK
Rizwan Karim,S/O Zubair Hussain,6110162006799,CON-94169527,MTR-4423936,"House 220, Block B, G-9, Khuzdar",Khuzdar,Balochistan
Arif Gondal,S/O Malik Jafri,5400032775728,CON-74347559,MTR-7994067,"House 212, Block A, Defence, Islamabad",Islamabad,ICT
Maryam Chattha,S/O Khalid Mirza,1330277576817,CON-88926548,MTR-8780649,"House 222, Block H, Gulshan-e-Iqbal, Chilas",Chilas,Gilgit-Baltistan
Zubair hCattha,S/O Rizwan Akhtar,6110191536871,CON-98403769,MTR-6718203,"House 68, Block H, Model Town, Bannu",Bannu,KPK
Sidra Hussain,S/O Sobia Qureshi,3520286634614,CON-19020657,MTR-8426329,"House 311, Block A, E-11, Gwadar",Gwadar,Balochistan
Amna Naqvi,S/O Chaudhry Ahmed,3520221110287,CON-35411529,MTR-8625489,"House 38, Block F, Bahria Town, Chilas",Chilas,Gilgit-Baltistan
Tahir Ansari,S/O Aamir Abbasi,4210179048953,CON-79581747,MTR-2714411,"House 369, Block A, Askari, Mirpur",Mirpur,Azad Kashmir
,S/O Ali Gujjar,6110122367133,CON-92644534,MTR-5110981,"House 130, Block D, North Nazimabad, Bahawalpur",Bahawalpur,Punjab
Rabia Hashmi,S/O Maryam Cheema,4400032676009,CON-26214038,MTR-5456380,"House 258, Block B, Gulberg, Hyderabad",Hyderabad,Sindh
Sidra Gilani,S/O Tahir Rizvi,3520294051639,CON-73812138,MTR-3365289,"House 424, Block A, Model Town, Quetta",Quetta,Balochistan
Hussain Gilani,S/O Ali Rana,1330217912746,CON-83862482,MTR-3189451,"House 242, Block D, I-8, Mardan",Mardan,KPK
Hassan Abbasi,S/O Asma Mirza,1330218570276,CON-89526085,MTR-1922975,"House 244, Block D, Model Town, Khuzdar",Khuzdar,Balochistan
Aamir Hussaain,S/O Aamir Gilani,4210162028075,CON-89748282,MTR-8820932,"House 469, Block F, Bahria Town, Chilas",Chilas,Gilgit-Baltistan
Salman Khan,S/O Rizwan Aslam,4210123645442,CON-13967786,MTR-1424076,"House 23, Block C, Model Town, Gwadar",Gwadar,Balochistan
Qureshi Naqvi,S/O Faisal Naqvi,5400058602262,CON-21950479,MTR-7812856,"House 393, Block C, E-11, Islamabad",Islamabad,ICT
Muhammad Raja,S/O Hassan Rana,5400062051417,CON-21578064,MTR-9499907,"House 484, Block F, Scheme 33, Larkana",Larkana,Sindh
Muhammad Butt,S/O Aamir Chaudhry,2130142522817,CON-95627228,MTR-7873741,"House 163, Block C, Scheme 33, Skardu",Skardu,Gilgit-Baltistan
