Traveler_Name,Father_Name,CNIC,Passport_No,Nationality,Home_City,Travelling_From,Travelling_To,Travel_Date,Visa_Type,Reason_To_Travel
Mehwish Gujjar,,4400051335334,AB5008282,Pakistani,Hyderabad,Pakistan,Malaysia,2018-03-04,Work,Education
Mohd Rana,S/O Baig Gilani,1330285164409,AB7124540,Pakistani,Karachi,Pakistan,UK,2016-04-09,Visit,Business Meeting
Aamir Bhatti,S/O عائشہ احمد,,AB1597722,Pakistani,Chilas,Pakistan,USA,2021-09-12,Visit,Education
Maryam Rana,S/O Mirza Rana,3520299774595,AB4463458,Pakistani,Rawalakot,Pakistan,France,2015-11-19,Student,Medical Treatment
Uzma Qureshi,S/O Mirza Raza,4210152930103,AB9400589,Pakistani,Islamabad,Pakistan,Germany,2015-01-20,Visit,Education
Shazia Zaidi,S/O Naveed Raza,2130183870148,AB1938716,Pakistani,Mingora,Pakistan,UK,2020-02-16,Visit,Employment
Hashmi Rafiq,S/O Rukhsar Cheema,6110157588432,AB2582202,Pakistani,Turbat,Pakistan,Saudi Arabia,2023-08-08,Visit,Education
Mohd Rizvi,S/O محمد علی,3520249577276,AB7604693,Pakistani,Lahore,Pakistan,Malaysia,2017-04-30,Student,Education
Nadia Khan,S/O Waseem Malik,1330283462857,AB7768512,Pakistani,Bannu,Pakistan,Canada,2021-07-28,Work,Business Meeting
Syed Hameed,S/O Sidra Syed,4210156066985,AB5945942,Pakistani,Sialkot,Pakistan,Canada,2019-12-29,Work,Medical Treatment
Amna Bhatti,S/O Muhammad Butt,3520251487177,AB8814676,Pakistani,Islamabad,Pakistan,USA,2020-12-28,Student,Family Visit
Muhammad Ansari,S/O Hussain Akhtar,1330227158221,AB9498937,Pakistani,Chilas,Pakistan,Saudi Arabia,2023-10-18,Work,Employment
Noor Malik,S/O Asif Naqvi,1330238945385,AB3517663,Pakistani,Mingora,Pakistan,China,2022-05-19,Visit,Employment
Hamid Ansari,S/O Nadia Hameed,2130170409447,AB4444687,Pakistani,Sialkot,Pakistan,Saudi Arabia,2021-04-07,Student,Medical Treatment
مریم چودھری,S/O Ahmed Latif,4210110624406,AB6004888,Pakistani,Quetta,Pakistan,Malaysia,2023-11-26,Work,Tourism
Mirza Rafiq,S/O Naeem Ahmed,5400040212419,AB5895849,Pakistani,Islamabad,Pakistan,China,2015-03-16,Business,Business Meeting
Mohd Bukhari,S/O Asma Ali,4210187987964,AB8711532,Pakistani,Faisalabad,Pakistan,China,2017-01-22,Visit,Employment
Nadia Nawaz,S/O Naeem Hussain,5400071502442,AB2638241,Pakistani,Rawalpindi,Pakistan,USA,2023-10-23,Tourist,Medical Treatment
Mohd Cheema,S/O Syed Syed,1330267916858,AB8080048,Pakistani,Mardan,Pakistan,China,2023-12-29,Student,Tourism
Syed Khan,S/O Malik Malik,2130128731097,AB6798084,Pakistani,Skardu,Pakistan,Malaysia,2019-04-27,Work,Family Visit
Bushra Gujjar,S/O Sheikh Ahmed,1330213168763,AB5618853,Pakistani,Islamabad,Pakistan,Malaysia,2017-04-18,Visit,Tourism
Naeem Naqvi,S/O Syed Butt,1330283325639,AB6050935,Pakistani,Mardan,Pakistan,Germany,2015-02-25,Student,Medical Treatment
Sidra Gondal,S/O Kashif Karim,1330275357883,AB6918289,Pakistani,Gilgit,Pakistan,UAE,2021-08-19,Business,Tourism
Hassan Sheikh,S/O Fatima Karim,3520297903281,AB1854940,Pakistani,Sukkur,Pakistan,China,2022-12-01,Work,Medical Treatment
Aamir Jafri,S/O Ali Zaidi,6110132883289,AB4237011,Pakistani,Islamabad,Pakistan,UAE,2023-03-05,Work,Medical Treatment
Mohd Bhatti,S/O Sidra Ali,1330264002395,AB9926755,Pakistani,Khuzdar,Pakistan,Turkey,2019-11-12,Work,Family Visit
ابراہیم ملک,S/O Hashmi Qureshi,4400051125463,AB8333462,Pakistani,Rawalakot,Pakistan,Canada,2023-07-20,Tourist,Family Visit
Asif Nawaz,S/O Qureshi Raja,3520240968078,AB8311669,Pakistani,Sargodha,Pakistan,UAE,2016-09-27,Business,Employment
Rukhsar Zaidi,S/O Rabia Bhatti,1330254870281,AB8521034,Pakistani,Muzaffarabad,Pakistan,Malaysia,2016-12-16,Student,Medical Treatment
Ali Malik,S/O Faisal Qureshi,1330219064328,AB7753184,Pakistani,Islamabad,Pakistan,Germany,2023-07-13,Visit,Medical Treatment
Haashmi Iqbal,S/O Sheikh Qureshi,5400012995532,AB4298415,Pakistani,Islamabad,Pakistan,USA,2016-03-23,Student,Family Visit
Ali Syed,S/O Noor Virk,6110149549225,AB9316729,Pakistani,Sialkot,Pakistan,China,2021-06-06,Business,Business Meeting
Kashif Khan,S/O Sobia Aslam,5400033244366,AB3443129,Pakistani,Bahawalpur,Pakistan,Germany,2015-01-13,Tourist,Medical Treatment
Maryam Rana,S/O Mirza Rana,3520299774595,AB2640542,Pakistani,Rawalakot,Pakistan,China,2016-11-29,Student,Tourism
Mohd Rizvi,S/O Imran Raja,1330292212395,AB2650159,Pakistani,Multan,Pakistan,Canada,2016-09-01,Student,Family Visit
Kamran Bukhari,S/O Noor Qureshi,4210168551809,AB4517695,Pakistani,Mirpur,Pakistan,Canada,2017-07-05,Student,Medical Treatment
Hassan Virk,S/O Mohammad Mirza,3520235153326,AB1249269,Pakistani,Turbat,Pakistan,Canada,2021-09-22,Student,Tourism
Aamir Sheikh,S/O Usman Abbasi,5400068169987,AB6964477,Pakistani,Muzaffarabad,Pakistan,Germany,2021-05-10,Visit,Tourism
Asma aRja,S/O Hussain Zaidi,4400037998056,AB4151915,Pakistani,Islamabad,Pakistan,UAE,2022-11-25,Work,Medical Treatment
Noor Rizvi,S/O Kamran Sheikh,2130178311416,AB7770515,Pakistani,Muzaffarabad,Pakistan,Malaysia,2016-12-14,Work,Medical Treatment
Mohd Rana,S/O Chaudhry Latif,1330299250715,AB4697203,Pakistani,Islamabad,Pakistan,USA,2019-10-23,Business,Medical Treatment
Nadia Cheema,S/O Sheikh Malik,6110133189684,AB6814236,Pakistani,Rawalakot,Pakistan,France,2021-08-03,Work,Business Meeting
Mohd Baig,S/O Tariq Jafri,4400051997053,AB7794842,Pakistani,Sialkot,Pakistan,Turkey,2023-08-01,Visit,Employment
Zainab Aslam,S/O Mirza Naqvi,2130163435753,AB5133426,Pakistani,Faisalabad,Pakistan,France,2018-04-28,Student,Family Visit
,S/O Hashmi Rizvi,4400011675362,AB2980134,Pakistani,Islamabad,Pakistan,Germany,2020-10-29,Work,Employment
Omar Gondal,S/O Usman Baig,5400041519297,AB8067119,Pakistani,Islamabad,Pakistan,Turkey,2019-09-10,Tourist,Business Meeting
Waseem Aslam,S/O Amna Ahmed,3520283534829,AB7559782,Pakistani,Hub,Pakistan,UAE,2022-08-17,Visit,Business Meeting
Shazia Gilani,S/O Adnan Mirza,4400052687691,AB1178180,Pakistani,Islamabad,Pakistan,Saudi Arabia,2019-02-02,Student,Employment
Arif Bhatti,S/O Saira Baig,5400049360741,AB6407323,Pakistani,Bannu,Pakistan,Turkey,2015-10-30,Tourist,Business Meeting
San aKarim,S/O Faisal Jafri,1330214202074,AB6962889,Pakistani,Gwadar,Pakistan,UK,2018-10-29,Tourist,Education
Fatima Virk,S/O Uzma Malik,6110115195719,AB9711780,Pakistani,Gilgit,Pakistan,Germany,2021-09-01,Visit,Employment
Sheikh Butt,S/O Faisal Karim,5400082558517,AB9166519,Pakistani,Turbat,Pakistan,France,2023-04-30,Visit,Education
Mehwish Mirza,S/O Naeem Butt,5400015686266,AB4158958,Pakistani,Rawalakot,Pakistan,UAE,2017-10-08,Visit,Employment
Tariq Virk,S/O Asif Gujjar,,AB8713979,Pakistani,Mirpur,Pakistan,China,2015-12-20,Tourist,Education
Malik Virk,S/O Muhammad Nawaz,4400080628603,AB2720132,Pakistani,Lahore,Pakistan,Saudi Arabia,2017-04-17,Business,Business Meeting
Kashif Tarar,S/O Hina Rizvi,1330283814778,AB6290851,Pakistani,Karachi,Pakistan,Malaysia,2022-11-02,Student,Medical Treatment
Sidra Zaidi,S/O Shoaib Bhatti,35202-2729778-9,AB3995766,Pakistani,Islamabad,Pakistan,USA,2019-12-11,Student,Employment
Ayesha Abbasi,S/O Asma Mirza,2130124779179,AB1549999,Pakistani,Rawalakot,Pakistan,France,2016-02-08,Tourist,Family Visit
Asma Hussain,S/O Mirza Ali,2130183784808,AB2791641,Pakistani,Islamabad,Pakistan,Turkey,2022-07-27,Tourist,Employment
Sana Jafri,,5400091047181,AB2784184,Pakistani,Islamabad,Pakistan,Saudi Arabia,2015-08-12,Student,Education
Uzma Abbasi,S/O Hashmi Chaudhry,5400051394785,AB2502036,Pakistani,Kohat,Pakistan,China,2020-09-07,Work,Medical Treatment
Naveed Qureshi,S/O Zainab Malik,1330273039392,AB1453635,Pakistani,Abbottabad,Pakistan,China,2016-07-30,Tourist,Medical Treatment
Shoaib Akhtar,S/O Tahir Sandhu,1330211611809,AB3600036,Pakistani,Bahawalpur,Pakistan,Turkey,2015-08-22,Business,Family Visit
Asma Malik,S/O Fatima Butt,6110116708526,AB9244323,Pakistani,Sukkur,Pakistan,China,2023-01-04,Visit,Education
Chaudhry Rafiq,S/O Saira Bukhari,2130180595485,AB5007858,Pakistani,Islamabad,Pakistan,Germany,2016-12-26,Visit,Education
Zubair Virk,,4210131536643,AB2652094,Pakistani,Islamabad,Pakistan,UK,2021-06-15,Student,Family Visit
Mirza Sheikh,S/O صنا ملک,4400026637263,AB7807052,Pakistani,Mirpurkhas,Pakistan,Turkey,2020-02-25,Tourist,Medical Treatment
Uzma aTrar,S/O Omar Hussain,4210140717876,AB9257294,Pakistani,Chilas,Pakistan,Saudi Arabia,2016-05-01,Work,Business Meeting
Raja Rafiq,S/O Rukhsar Rana,6110160098887,AB1900089,Pakistani,Karachi,Pakistan,Canada,2017-09-14,Tourist,Business Meeting
Uzma Rana,S/O Sana Virk,5400020361429,AB9918421,Pakistani,Gwadar,Pakistan,UAE,2021-01-05,Work,Medical Treatment
عائشہ احمد,S/O Shazia Gondal,3520283675211,AB4502137,Pakistani,Larkana,Pakistan,Malaysia,2020-09-13,Business,Education
Mohd Karim,S/O Sheikh Hameed,4400066801849,AB3696392,Pakistani,Islamabad,Pakistan,Saudi Arabia,2022-01-09,Business,Employment
Faisal Malik,S/O Asif Gondal,5400069626439,AB4599727,Pakistani,Sukkur,Pakistan,USA,2020-03-22,Business,Medical Treatment
Sheikh Zaidi,S/O Faisal Latif,5400020371976,AB3826455,Pakistani,Muzaffarabad,Pakistan,China,2021-01-30,Work,Tourism
محمد حسن,S/O Bilal Nawaz,3520292924161,AB5811529,Pakistani,Bannu,Pakistan,UAE,2018-05-18,Student,Business Meeting
Mirz aNawaz,S/O Imran Aslam,4400047877601,AB2898814,Pakistani,Abbottabad,Pakistan,Malaysia,2018-08-10,Student,Education
Arif Qureshi,S/O Hussain Virk,3520245600713,AB3162040,Pakistani,Islamabad,Pakistan,France,2021-10-01,Business,Employment
Bushra Cheema,S/O Sana Hameed,4400097248062,AB4050253,Pakistani,Peshawar,Pakistan,Turkey,2021-03-01,Student,Business Meeting
Baig Malik,S/O Hina Akhtar,6110119711639,AB2902726,Pakistani,Mardan,Pakistan,China,2018-10-09,Work,Employment
Qureshi Raja,S/O Sheikh Gilani,6110121523937,,Pakistani,Bannu,Pakistan,UAE,2020-12-03,Work,Employment
Sajid Jafri,S/O Adnan Sheikh,3520299735211,AB2070257,Pakistani,Khuzdar,Pakistan,Germany,2022-01-09,Tourist,Employment
Sidra Bhatti,S/O Faisal Naqvi,5400032995221,AB4267827,Pakistani,Skardu,Pakistan,Germany,2016-01-10,Work,Tourism
نادیہ رضا,S/O Salman Qureshi,5400074504287,AB5953938,Pakistani,Skardu,Pakistan,Turkey,2023-12-11,Student,Tourism
Ibrahim Karim,S/O مریم چودھری,,AB6311152,Pakistani,Gilgit,Pakistan,UK,2018-11-29,Work,Medical Treatment
Maryam Cheema,S/O Tahir Gilani,1330248537652,AB6825837,Pakistani,Lahore,Pakistan,Turkey,2017-05-05,Student,Employment
Waseem Khan,S/O Fatima Virk,3520215480336,AB7633215,Pakistani,Mirpur,Pakistan,China,2021-08-21,Work,Business Meeting
Nadia Nawaz,S/O Asma Khan,2130152428187,AB7857990,Pakistani,Islamabad,Pakistan,Turkey,2021-12-03,Visit,Business Meeting
Noor Nawaz,S/O Sidra Cheema,4400071746755,AB9662139,Pakistani,Faisalabad,Pakistan,China,2015-04-05,Visit,Business Meeting
Bilal Naqvi,S/O Noor Cheema,5400067721966,AB8836106,Pakistani,Rawalakot,Pakistan,USA,2017-03-27,Student,Tourism
Arif Malik,S/O Maryam Butt,1330240129139,AB4323342,Pakistani,Abbottabad,Pakistan,Canada,2017-04-20,Business,Family Visit
Zubair Raza,S/O Kashif Khan,5400051192867,AB1608983,Pakistani,Islamabad,Pakistan,France,2023-11-12,Visit,Education
Rukhsar Rana,S/O Salman Abbasi,3520245855107,,Pakistani,Nawabshah,Pakistan,Turkey,2017-04-26,Visit,Tourism
Hina Butt,S/O Zainab Syed,2130169642319,AB5231402,Pakistani,Muzaffarabad,Pakistan,Germany,2015-04-28,Tourist,Employment
Ayesha Abbasi,S/O Maryam Gilani,4400087424148,AB6844236,Pakistani,Karachi,Pakistan,Saudi Arabia,2016-02-09,Tourist,Family Visit
Sajid Chattha,S/O Bushra Sandhu,4400068328456,AB4179291,Pakistani,Larkana,Pakistan,UK,2016-07-12,Student,Employment
Hashmi Hashmi,S/O Omar Butt,1330225610375,AB8028153,Pakistani,Islamabad,Pakistan,UK,2020-05-27,Business,Tourism
Iqra Hameed,S/O Hassan Chaudhry,,AB6362905,Pakistani,Bahawalpur,Pakistan,Germany,2021-08-14,Business,Tourism
Mohd Gujjar,S/O Sobia Syed,1330210251938,AB6114118,Pakistani,Hyderabad,Pakistan,China,2016-10-04,Tourist,Employment
Hashmi Gilani,S/O Adnan Iqbal,1330250032685,,Pakistani,Gilgit,Pakistan,UAE,2019-10-29,Work,Family Visit
Hamid Ahmed,S/O Adnan Latif,1330288529171,AB1224802,Pakistani,Mardan,Pakistan,Turkey,2020-04-03,Work,Medical Treatment
Khalid Latif,S/O Hamid Sandhu,6110145770474,AB4633318,Pakistani,Islamabad,Pakistan,UK,2021-02-08,Visit,Business Meeting
Mohd چودھری,S/O Hussain Chattha,2130116680114,AB9494408,Pakistani,Sargodha,Pakistan,France,2020-04-15,Student,Employment
Kashif Sheikh,S/O Noor Cheema,3520241650585,AB1112116,Pakistani,Mirpur,Pakistan,Turkey,2019-06-18,Business,Tourism
Sobia Butt,S/O Aamir Naqvi,4400090612157,AB7900183,Pakistani,Hub,Pakistan,UAE,2015-06-01,Business,Education
Usman Hashmi,S/O Raja Karim,6110119124299,AB6340422,Pakistani,Kohat,Pakistan,France,2019-08-25,Tourist,Medical Treatment
Chaudhry Zaidi,S/O Rukhsar Bhatti,3520275727009,AB1966848,Pakistani,Islamabad,Pakistan,USA,2023-05-07,Work,Education
Raja Iqbal,S/O Sajid Virk,4210111783424,AB8902266,Pakistani,Turbat,Pakistan,France,2019-12-17,Student,Family Visit
Zainab Nawaz,S/O Rabia Hashmi,4400046749484,AB9916249,Pakistani,Mardan,Pakistan,UK,2022-03-14,Tourist,Medical Treatment
Fatima Tarar,S/O Mehwish Malik,6110185131165,AB9563680,Pakistani,Islamabad,Pakistan,France,2016-06-28,Work,Medical Treatment
Naveed Chattha,S/O Naeem Rana,5400017187765,AB5175224,Pakistani,Islamabad,Pakistan,Turkey,2017-02-13,Visit,Tourism
Sidra Iqbal,S/O Ayesha Jafri,3520259241427,AB2348973,Pakistani,Islamabad,Pakistan,Saudi Arabia,2018-12-01,Business,Education
Tariq Hameed,S/O Omar Jafri,3520288094959,AB9848726,Pakistani,Rawalpindi,Pakistan,USA,2020-08-06,Business,Tourism
Kashif Raza,S/O Asma Chaudhry,6110139790237,AB6119494,Pakistani,Islamabad,Pakistan,Saudi Arabia,2021-08-14,Work,Business Meeting
Mohammadd Hussain,S/O Bushra Qureshi,21301-3879445-4,AB5474409,Pakistani,Hyderabad,Pakistan,Canada,2020-09-05,Student,Employment
Amna Virk,S/O Saira Raja,4210164303288,AB7215707,Pakistani,Mardan,Pakistan,USA,2021-08-21,Business,Family Visit
Mirza Butt,S/O Omar Bhatti,1330215527612,AB1124878,Pakistani,Nawabshah,Pakistan,Germany,2020-03-10,Business,Tourism
Tahir Chaudhry,S/O Bilal Ansari,1330290866301,AB3229695,Pakistani,Rawalakot,Pakistan,Germany,2018-07-26,Work,Family Visit
Asma Syed,S/O Naveed Ali,2130179693878,AB7851802,Pakistani,Mingora,Pakistan,USA,2016-09-05,Business,Business Meeting
Salman Khan,S/O Sidra Syed,6110188883867,AB4161251,Pakistani,Gilgit,Pakistan,Canada,2021-11-29,Business,Business Meeting
Bushra Butt,S/O Mehwish Iqbal,2130122297742,AB4668411,Pakistani,Gilgit,Pakistan,UK,2018-09-07,Work,Medical Treatment
Fatima Ahmed,S/O ابراہیم ملک,5400088386943,AB5619869,Pakistani,Hub,Pakistan,Canada,2022-03-06,Business,Education
Raja Chaudhry,S/O Mirza Khan,1330268297904,AB9320830,Pakistani,Chilas,Pakistan,USA,2015-11-04,Work,Business Meeting
Fatima Hashmi,S/O Naeem Cheema,5400048597148,AB8543387,Pakistani,Gwadar,Pakistan,USA,2023-03-15,Tourist,Medical Treatment
Hassan Qureshi,S/O Rabia Ansari,3520223961923,AB2225250,Pakistani,Sukkur,Pakistan,Germany,2015-12-03,Business,Business Meeting
Ali Tarar,S/O Ali Jafri,5400063187139,AB5616002,Pakistani,Sargodha,Pakistan,UK,2017-11-06,Business,Education
Mirza Chaudhry,S/O Shazia Jafri,1330289331049,AB7503322,Pakistani,Quetta,Pakistan,France,2020-01-20,Business,Business Meeting
Mohd Abbasi,S/O Salman Gilani,4400032651903,AB6096658,Pakistani,Turbat,Pakistan,Canada,2021-03-03,Tourist,Medical Treatment
Ayesha Syed,S/O Raja Gondal,4210163794297,AB7096200,Pakistani,Multan,Pakistan,Turkey,2016-01-20,Tourist,Employment
Tahir Sandhu,S/O Imran Latif,4210186936513,AB9448820,Pakistani,Islamabad,Pakistan,France,2019-08-03,Work,Employment
Fatima Sandhu,S/O Aamir Latif,6110127779246,AB3830822,Pakistani,Bannu,Pakistan,USA,2018-09-16,Tourist,Tourism
Sheikh Iqbal,S/O Uzma Sandhu,6110165828891,AB5258020,Pakistani,Mirpur,Pakistan,Germany,2020-06-30,Tourist,Education
Mehwish Mirza,S/O Fatima Malik,1330270387698,AB4744841,Pakistani,Larkana,Pakistan,Malaysia,2017-08-16,Business,Medical Treatment
Maryam Gondal,S/O Waseem Malik,4210145946426,AB9723156,Pakistani,Chilas,Pakistan,Canada,2019-10-08,Visit,Employment
Nadia Cheema,S/O Tariq Ansari,3520269545801,AB1952695,Pakistani,Mirpur,Pakistan,UK,2015-02-28,Visit,Family Visit
Rabia Zaidi,,1330234185212,AB6377317,Pakistani,Gilgit,Pakistan,Canada,2022-09-20,Work,Education
Naeem Ali,S/O Ali Gilani,1330244819593,AB2172405,Pakistani,Mingora,Pakistan,Canada,2018-03-27,Business,Tourism
زینب علی,S/O Bilal Ali,6110165188874,AB6027922,Pakistani,Bannu,Pakistan,Germany,2016-06-12,Student,Employment
Nadia Butt,S/O عائشہ احمد,6110180910022,AB4354764,Pakistani,Chilas,Pakistan,USA,2017-03-26,Visit,Medical Treatment
Zainab Ansari,S/O Hassan Khan,4210170020099,AB8073792,Pakistani,Gujranwala,Pakistan,UAE,2017-03-27,Work,Education
Adnan Karim,S/O عمر شیخ,4210131291902,AB1551471,Pakistani,Islamabad,Pakistan,Saudi Arabia,2018-04-28,Work,Education
Waseem Akhtar,S/O نادیہ رضا,2130169680447,AB6269271,Pakistani,Skardu,Pakistan,Malaysia,2022-10-11,Visit,Employment
Mehwish Iqbal,S/O Imran Syed,4210184475466,AB2939412,Pakistani,Abbottabad,Pakistan,France,2022-07-24,Business,Business Meeting
Mohd Ali,S/O Sheikh Gujjar,1330276455414,AB7422201,Pakistani,Multan,Pakistan,USA,2020-11-06,Tourist,Business Meeting
Omar Ansari,S/O Syed Rafiq,2130119079699,AB8578022,Pakistani,Chilas,Pakistan,UK,2019-03-05,Business,Business Meeting
Mohammad Bhatti,S/O Sidra Nawaz,1330212930646,AB6301621,Pakistani,Abbottabad,Pakistan,UAE,2022-04-08,Business,Tourism
Bushra Chattha,S/O Sheikh Sandhu,4210162903327,AB9020526,Pakistani,Skardu,Pakistan,USA,2017-11-04,Work,Family Visit
Chaudhry Hussain,S/O Zainab Bukhari,4400090315708,AB4086014,Pakistani,Hyderabad,Pakistan,Germany,2019-11-19,Visit,Family Visit
Mohammad Bhatti,S/O ابراہیم ملک,3520266241335,AB1073171,Pakistani,Hyderabad,Pakistan,France,2022-07-06,Student,Medical Treatment
Mohd Malik,S/O Noor Zaidi,1330293203823,AB9881390,Pakistani,Rawalakot,Pakistan,Malaysia,2017-04-23,Business,Education
Nadia Bukhari,S/O Qureshi Hussain,5400090249039,AB2905930,Pakistani,Gilgit,Pakistan,UK,2017-02-18,Business,Medical Treatment
Saira Abbasi,S/O زینب علی,3520255871714,AB3243988,Pakistani,Sargodha,Pakistan,France,2015-06-27,Tourist,Business Meeting
Uzma Zaidi,S/O Kamran Gujjar,6110124710169,AB1798397,Pakistani,Turbat,Pakistan,Germany,2016-04-15,Business,Education
Rukhsar Mirza,S/O S/O Chaudhry Rizvi,6110110795034,AB5545881,Pakistani,Skardu,Pakistan,UAE,2016-09-16,Work,Education
محمد حسن,S/O Nadia Ansari,4210152320519,AB6851855,Pakistani,Islamabad,Pakistan,Canada,2020-10-27,Business,Business Meeting
Zainab Mirza,S/O فاطمہ خان,4400065599962,AB4295989,Pakistani,Mirpur,Pakistan,Turkey,2019-09-27,Work,Employment
Ali Tarar,S/O Ali Jafri,5400063187139,AB3897648,Pakistani,Sargodha,Pakistan,USA,2022-07-11,Student,Business Meeting
Qureshi Butt,S/O Noor Chattha,3520262322462,AB8370521,Pakistani,Gilgit,Pakistan,UAE,2017-05-21,Business,Employment
Salman Karim,S/O Ayesha Mirza,1330296467662,AB5431947,Pakistani,Skardu,Pakistan,France,2015-06-16,Tourist,Medical Treatment
Mirza Qureshi,S/O Mirza Sandhu,4400083226609,AB6214365,Pakistani,Kohat,Pakistan,Turkey,2016-12-25,Business,Business Meeting
Maryam Jafri,S/O Iqra Cheema,3520219524526,AB6970341,Pakistani,Muzaffarabad,Pakistan,France,2016-01-02,Tourist,Business Meeting
Waseem Gujjar,S/O Ayesha Ahmed,5400031287927,AB7228744,Pakistani,Islamabad,Pakistan,USA,2016-08-05,Work,Tourism
Iqra Sheikh,S/O Waseem Cheema,2130123191177,AB8375489,Pakistani,Islamabad,Pakistan,Saudi Arabia,2022-05-13,Work,Employment
Mirza Aslam,S/O Rukhsar Raza,5400025595506,AB3624674,Pakistani,Muzaffarabad,Pakistan,Saudi Arabia,2017-03-28,Visit,Education
Arif Sandhu,S/O Sobia Akhtar,2130168849807,AB7560675,Pakistani,Mirpur,Pakistan,France,2022-10-23,Work,Medical Treatment
Naveed Karim,,4400054005346,AB3775116,Pakistani,Islamabad,Pakistan,China,2018-09-10,Student,Education
Iqra Raza,S/O Rabia Raja,1330290904349,AB7585930,Pakistani,Quetta,Pakistan,USA,2022-03-04,Work,Business Meeting
Adnan Iqbal,S/O Imran Tarar,4400054209593,AB2366108,Pakistani,Muzaffarabad,Pakistan,Malaysia,2020-04-18,Visit,Family Visit
ابراہیم ملک,S/O Rukhsar Bukhari,1330220419068,AB5614338,Pakistani,Islamabad,Pakistan,USA,2016-01-09,Student,Tourism
Zainab Sandhu,S/O Sajid Iqbal,4210115273534,AB2972431,Pakistani,Rawalpindi,Pakistan,USA,2017-12-12,Business,Business Meeting
Tariq Virk,S/O Raja Aslam,1330252182929,AB3454942,Pakistani,Karachi,Pakistan,Turkey,2020-06-01,Student,Family Visit
Baig Chattha,S/O Hassan Gilani,1330267886818,AB3402189,Pakistani,Gilgit,Pakistan,China,2018-03-15,Student,Employment
Mohd Gilani,S/O محمد احمد,,AB7977529,Pakistani,Islamabad,Pakistan,France,2021-10-09,Visit,Employment
Baig Iqbal,S/O Kamran Qureshi,1330297152078,AB1178242,Pakistani,Sukkur,Pakistan,Germany,2017-07-04,Student,Business Meeting
Naveed Hussain,S/O Salman Virk,3520298295178,AB3418192,Pakistani,Skardu,Pakistan,Canada,2017-05-11,Visit,Family Visit
Kamran Ahmed,S/O Bilal Bhatti,4210174377373,AB7299734,Pakistani,Sukkur,Pakistan,UK,2016-12-31,Work,Medical Treatment
Salman Iqbal,S/O Faisal Tarar,2130126391139,AB5758732,Pakistani,Chilas,Pakistan,Germany,2021-12-08,Tourist,Employment
Rukhsar Nawaz,S/O Hamid Latif,4210128914605,AB4961657,Pakistani,Hub,Pakistan,UK,2016-07-27,Visit,Family Visit
Ali Hameed,S/O Aamir Naqvi,1330227004947,AB8563753,Pakistani,Mirpurkhas,Pakistan,Malaysia,2021-02-19,Work,Tourism
Hassan Abbasi,S/O Hassan Ansari,3520298169575,AB6846326,Pakistani,Gilgit,Pakistan,Saudi Arabia,2022-08-18,Student,Medical Treatment
Baig Nawaz,S/O Tahir Gujjar,1330248800295,AB8471377,Pakistani,Quetta,Pakistan,France,2020-09-29,Business,Education
,S/O Malik Rana,6110199931608,AB4579213,Pakistani,Islamabad,Pakistan,USA,2023-01-21,Student,Family Visit
Bilal Gilani,S/O S/O Asma Raja,,AB9800395,Pakistani,Muzaffarabad,Pakistan,Canada,2015-09-16,Business,Medical Treatment
Mohd Hashmi,S/O Fatima Sandhu,1330232622042,AB9423138,Pakistani,Skardu,Pakistan,USA,2018-03-05,Business,Business Meeting
Mohd Ahmed,S/O Malik Jafri,5400039312641,AB2723782,Pakistani,Hub,Pakistan,Turkey,2016-12-19,Student,Education
Mehwish Zaidi,S/O Qureshi Gondal,2130112741969,AB7084444,Pakistani,Hub,Pakistan,USA,2023-02-22,Visit,Employment
Ali Nawaz,S/O ابراہیم ملک,2130112963084,AB2938547,Pakistani,Mirpurkhas,Pakistan,France,2016-07-25,Visit,Business Meeting
Zubair Gondal,S/O Noor Rafiq,6110180149387,AB6370436,Pakistani,Mingora,Pakistan,Turkey,2015-01-09,Business,Tourism
Mohd Raza,S/O Syed Latif,4210115342324,AB9270839,Pakistani,Islamabad,Pakistan,Turkey,2015-09-29,Student,Tourism
Mehwish Ali,S/O Hassan Baig,4210111157008,AB8533903,Pakistani,Bannu,Pakistan,Canada,2020-12-11,Student,Business Meeting
Hamid Hussain,S/O Bilal Akhtar,4210163899688,AB1987224,Pakistani,Islamabad,Pakistan,France,2020-08-02,Business,Family Visit
Chaudhry Ali,S/O Sidra Hussain,4400054871779,AB6724881,Pakistani,Mirpur,Pakistan,Germany,2015-06-21,Student,Tourism
Raja Gujjar,S/O Ayesha Cheema,3520282380618,,Pakistani,Hyderabad,Pakistan,China,2020-11-23,Business,Tourism
ابراہیم ملک,S/O Uzma Abbasi,5400045931007,AB3771773,Pakistani,Larkana,Pakistan,Malaysia,2020-05-10,Tourist,Employment
Omar Latif,S/O نادیہ رضا,4400054990129,AB2762378,Pakistani,Nawabshah,Pakistan,USA,2017-11-18,Tourist,Family Visit
Shazia Baig,S/O Tariq Akhtar,1330227038403,AB1512723,Pakistani,Bahawalpur,Pakistan,Malaysia,2017-04-24,Visit,Employment
Waseem Butt,S/O Zainab Hameed,3520222562719,AB8258651,Pakistani,Multan,Pakistan,Canada,2022-12-09,Student,Tourism
Kashif Akhtar,S/O Usman Aslam,3520281026816,AB1688457,Pakistani,Peshawar,Pakistan,Canada,2020-05-02,Business,Tourism
