record_id,owner_name,cnic,phone_number,operator,registration_date
MOB-001317,Fatima Shaikh,41325-6318940-2,0317-4410532,Zong,2026-01-07
MOB-001318,Basit Kayani,18186-0328843-5,0304-3326656,Jazz,2024-11-24
MOB-001319,Danish Junejo,33954-5937609-1,0345-9669123,Telenor,2022-04-20
MOB-001320,Rasheid Butt,39600-3526532-7,0342-8771582,Telenor,2018-10-25
MOB-001321,Wardah Hussain,37702-2777499-4,0333-1146046,Ufone,2019-05-03
MOB-001322,Wardah Hussain,37702-2777499-4,0314-2883784,Zong,2024-09-29
MOB-001323,Kamran Abbasi,38810-5883588-7,0315-8791560,Zong,2018-11-22
MOB-001324,Kamran Abbasi,38810-5883588-7,0345-9116282,Telenor,2026-04-25
MOB-001325,Rubina Mughal,66331-5416252-0,0340-7432340,Telenor,2023-01-07
MOB-001326,Rubina Mughal,66331-5416252-0,0302-1177644,Jazz,2019-12-11
MOB-001327,Rubina Mughal,66331-5416252-0,0318-5936234,Zong,2019-10-17
MOB-001328,Qudsia Afridi,37718-6805974-8,0337-3930069,Ufone,2025-02-16
MOB-001329,Qudsia Afridi,37718-6805974-8,0308-0477529,Jazz,2018-09-11
MOB-001330,Zeeshan Chandio,18890-7042315-3,0337-7757342,Ufone,2022-07-29
MOB-001331,Zeeshan Chandio,18890-7042315-3,0346-0595405,Telenor,2022-10-29
MOB-001332,Ghulam Baig,13788-8939229-7,0340-1246132,Telenor,
MOB-001333,Ghulam Baig,13788-8939229-7,0310-3344508,Zong,2019-01-19
MOB-001334,,13788-8939229-7,0319-4334695,Zong,2026-01-22
MOB-001335,Daniyal Baig,38524-9215777-5,0332-9804880,Ufone,2020-06-13
MOB-001336,Daniyal Baig,38524-9215777-5,0342-0118345,Telenor,
MOB-001337,Talha Soomro,66436-0791204-1,0311-1534384,Zong,2022-03-26
MOB-001338,Zubair Junejo,37184-8621334-9,0318-8922563,Zong,2023-06-28
MOB-001339,Fatimah Qureshi,31500-3714309-2,0344-3874843,Telenor,2023-05-19
MOB-001340,Fatima Qureshi,31500-3714309-2,0308-1189793,Jazz,2021-03-21
MOB-001341,Umar Shaikh,34837-7346428-3,0300-7499451,Jazz,2022-01-04
MOB-001342,Ehsan Junejo,55496-2564783-9,0300-8392431,Jazz,2020-02-20
MOB-001343,Aneela Jatoi,34001-4684163-8,0316-0964863,Zong,2024-10-20
MOB-001344,Aneela Jatoi,34001-4684163-8,0337-8203284,Ufone,
MOB-001345,Talha Laghari,15159-9980886-1,0319-0147642,Zong,2026-02-02
MOB-001346,Rubina Aslam,12885-1165561-8,0332-8865069,Ufone,2021-03-20
MOB-001347,Bushra Aslam,36188-6446831-6,0313-6249109,Zong,2020-05-27
MOB-001348,Bushra Aslam,36188-6446831-6,0345-0428655,Telenor,2025-01-27
MOB-001349,Habib Brohi,30225-4000264-5,0343-8029830,Telenor,2019-05-21
MOB-001350,Habib Memon,30772-8996129-1,0313-5492247,Zong,2021-03-22
MOB-001351,Habib Memon,30772-8996129-1,0301-3783977,Jazz,2020-05-20
MOB-001352,Iram Junejo,38651-6296928-2,0317-6415873,Zong,2019-04-13
MOB-001353,Amir Memon,37171-3723026-1,0318-1092908,Zong,2020-06-18
MOB-001354,Sunna Aslam,34487-3609124-6,0305-0254113,Jazz,2024-09-21
MOB-001355,Jaweria Shaikh,38768-7614631-8,0332-8250279,Ufone,2021-12-15
MOB-001356,Azhar Hashmi,74265-1812330-1,0306-6931464,Jazz,2025-11-05
MOB-001357,Azhar Hashmi,74265-1812330-1,0311-7805425,Zong,2020-02-24
MOB-001358,Azhar Hashmi,74265-1812330-1,0334-1840978,Ufone,2021-08-22
MOB-001359,Atif Tahir,18059-6621662-5,0346-7962281,Telenor,2026-01-11
MOB-001360,Atif Tahir,18059-6621662-5,0337-5481845,Ufone,2020-04-28
MOB-001361,Zubayr Raza,38045-5887893-3,0313-9783482,Zong,2019-01-27
MOB-001362,Zubair Raza,38045-5887893-3,0303-0584015,Jazz,2022-06-15
MOB-001363,Rabia Gondal,58341-9429612-2,0315-3097040,Zong,2023-06-04
MOB-001364,Rabia Gondal,58341-9429612-2,0307-9807327,Jazz,2022-07-27
MOB-001365,Rabia Gondal,58341-9429612-2,0339-1811613,Ufone,2018-11-28
MOB-001366,Atif Mirza,31804-0013538-7,0332-5900569,Ufone,2026-01-08
MOB-001367,Ayesha Minhas,35102-7787545-8,0314-8324646,Zong,2022-02-26
MOB-001368,Tanzeela Abbasi,35194-5356990-4,0308-8442897,Jazz,2019-09-06
MOB-001369,Tanzeela Abbasi,35194-5356990-4,0330-3286164,Ufone,2020-04-14
MOB-001370,Bushra Sethi,39168-4643242-0,0310-7650532,Zong,2026-05-04
MOB-001371,Nadia Rajput,46240-3204574-0,0330-8647271,Ufone,2023-08-19
MOB-001372,Riffat Rajput,36349-2759629-0,0313-7976348,Zong,2022-04-26
MOB-001373,Naveed Bugti,35178-1241816-3,0346-0927220,Telenor,2019-12-18
MOB-001374,Nasreen Laghari,37655-2844543-0,0317-2586222,Zong,2021-09-28
MOB-001375,Nasreen Laghari,37655-2844543-0,0307-4432416,Jazz,2021-08-16
MOB-001376,Hamza Ahmed,10213-9949245-7,0307-9497633,Jazz,2019-08-10
MOB-001377,Hamza Ahmed,10213-9949245-7,0335-9549587,Ufone,2022-05-05
MOB-001378,Amir Khoso,37134-3401029-1,0346-7956899,Telenor,2024-07-27
MOB-001379,Amir Khoso,37134-3401029-1,0307-6814264,Jazz,2020-02-06
MOB-001380,Amir Khoso,37134-3401029-1,0302-4264430,Jazz,2023-10-28
MOB-001381,Ahmed Shah,34051-1545746-9,0307-3608290,Jazz,2021-07-01
MOB-001382,Ahmd Shah,34051-1545746-9,0349-1678413,Telenor,2020-09-27
MOB-001383,Ghazala Aslam,,0347-9841593,Telenor,2020-03-02
MOB-001384,Bilal Abbasi,33512-1764304-1,0340-1545789,Telenor,2021-04-21
MOB-001385,Rasheed Khattak,35729-2007518-9,0341-9628652,Telenor,2019-07-13
MOB-001386,Rashid Khattak,35729-2007518-9,0348-5422397,Telenor,2018-09-20
MOB-001387,Adnan Gill,34503-0307789-7,0340-0027221,Telenor,2024-05-02
MOB-001388,Shahid Rajput,39249-1395742-3,0307-5422202,Jazz,2023-04-14
MOB-001389,Fateema Mirza,,0301-1176945,Jazz,2018-12-15
MOB-001390,Zahid Durrani,60809-6627120-5,0330-6831869,Ufone,2020-10-31
MOB-001391,Bano Baloch,38280-0870049-2,0332-0852013,Ufone,2019-08-11
MOB-001392,Bano Baloch,38280-0870049-2,0343-3024080,Telenor,2019-05-24
MOB-001393,Junaid Sheikh,44578-9209229-5,0346-9427036,Telenor,2025-09-09
MOB-001394,Tanzeela Gondal,33151-7022209-0,0332-0294034,Ufone,2022-05-29
MOB-001395,Tanzeela Gondal,33151-7022209-0,0330-6404695,Ufone,2022-05-07
MOB-001396,Tanzeela Gondal,33151-7022209-0,0302-5119550,Jazz,2022-01-02
MOB-001397,Uzma Baloch,49876-1571978-4,0346-2711923,Telenor,2019-11-26
MOB-001398,Owais Sheikh,44640-0364236-1,0347-4184374,Telenor,2024-11-30
MOB-001399,Owais Sheikh,44640-0364236-1,0341-0091207,Telenor,2021-05-15
MOB-001400,Basit Durrani,34855-0966348-3,0342-2376823,Telenor,2020-04-26
MOB-001401,Basit Durrani,34855-0966348-3,0305-9306954,Jazz,2025-12-26
MOB-001402,Salman Minhas,39318-6361906-1,0300-4589547,Jazz,2020-12-16
MOB-001403,,37976-0980651-3,0341-8908067,Telenor,2023-08-01
MOB-001404,Ehsan Shah,42216-9466493-5,0302-6904696,Jazz,2019-10-13
MOB-001405,Nasreen Mengal,40692-0121664-2,0306-2512490,Jazz,
MOB-001406,Azhar Butt,41888-9182566-5,0336-1544867,Ufone,2025-03-16
MOB-001407,Azhar Butt,41888-9182566-5,0335-6073977,Ufone,2023-11-16
MOB-001408,Asma Warraich,32987-4755880-2,0304-8298355,Jazz,
MOB-001409,Fahad Jamali,35909-5607994-1,0338-7974565,Ufone,2026-02-24
MOB-001410,Fahad Jamali,35909-5607994-1,0338-5266430,Ufone,2019-11-22
MOB-001411,Fahad Jamali,35909-5607994-1,0338-9193509,Ufone,2023-05-14
MOB-001412,Danish Laghari,30713-6594249-9,0344-9716034,Telenor,2023-02-24
MOB-001413,Asad Mengal,42390-7493681-3,0306-2153675,Jazz,2025-09-20
MOB-001414,Hassan Durrani,30965-1261498-3,0337-4245113,Ufone,2020-05-26
MOB-001415,Hassan Durrani,30965-1261498-3,0314-7390858,Zong,2019-03-08
MOB-001416,,31040-2526474-6,0301-2606187,Jazz,2021-12-13
MOB-001417,Bilal Jatoi,36771-8202041-5,0303-5497265,Jazz,2025-09-26
MOB-001418,Tariq Jamali,31906-8724843-9,0336-8949338,Ufone,2022-11-20
MOB-001419,Farzana Shah,33424-0527507-0,0302-2429765,Jazz,2022-08-10
MOB-001420,Zubair Iqbal,33306-8694771-3,0349-5074203,Telenor,2025-10-12
MOB-001421,Zubair Iqbal,33306-8694771-3,0340-5348462,Telenor,2020-04-15
MOB-001422,Umair Baloch,44332-0674497-3,0331-9212971,Ufone,2023-06-24
MOB-001423,Sohail Raza,39259-0939857-9,0313-0862365,Zong,2022-06-23
MOB-001424,Sohail Raza,39259-0939857-9,0344-5630083,Telenor,2025-07-26
MOB-001425,Nasreen Memon,30734-3468114-8,0317-8246912,Zong,2022-05-20
MOB-001426,Junaid Tahir,48190-5835497-1,0314-4657582,Zong,2020-10-27
MOB-001427,Junaid Tahir,48190-5835497-1,0331-9477392,Ufone,2018-07-28
MOB-001428,Daniyal Malik,39146-0668570-7,0335-3992644,Ufone,2024-08-28
MOB-001429,Humaira Baloch,46969-9825455-4,0314-5482989,Zong,2022-02-02
MOB-001430,Aneela Brohi,47794-6095644-4,0319-2522399,Zong,2024-09-16
MOB-001431,Aneela Brohi,47794-6095644-4,0315-2614894,Zong,2025-11-14
MOB-001432,Farzana Ali,44914-3736243-8,0306-9082779,Jazz,2020-07-18
MOB-001433,Farzana Ali,44914-3736243-8,0339-5809975,Ufone,2020-07-21
MOB-001434,Rafiq Mughal,38479-4495359-3,0349-8861819,Telenor,2021-03-25
MOB-001435,Sadia Warraich,64386-8306453-2,0347-0110839,Telenor,2022-02-21
MOB-001436,Sadia Warraich,64386-8306453-2,0314-3588695,Zong,
MOB-001437,Tanveer Butt,33772-7996314-5,0306-6589679,Jazz,2020-05-03
MOB-001438,Qasim Jatoi,38573-3499101-5,0307-1969245,Jazz,2026-01-12
MOB-001439,Kasim Jatoi,38573-3499101-5,0336-1408613,Ufone,2026-05-03
MOB-001440,Qasim Jatoi,38573-3499101-5,0342-6763894,Telenor,2023-06-25
MOB-001441,Kamran Mengal,37783-4491196-1,0319-3619962,Zong,2019-09-18
MOB-001442,Kamran Mengal,37783-4491196-1,0347-0740914,Telenor,2026-03-21
MOB-001443,Tanveer Randhawa,34445-8372149-9,0312-2971467,Zong,2023-04-30
MOB-001444,Khaleed Junejo,37989-4909104-5,0311-2254182,Zong,2026-02-01
MOB-001445,Hamza Chandio,32645-8937512-3,0330-1211914,Ufone,2018-06-28
MOB-001446,Sadia Sheikh,48241-9005856-6,0348-7286118,Telenor,2021-12-31
MOB-001447,Zubaida Awan,39011-6870094-8,0342-7160302,Telenor,2018-10-28
MOB-001448,Zeynab Bugti,40588-6894628-4,0348-7769485,Telenor,2018-10-15
MOB-001449,Zainab Bugti,40588-6894628-4,0302-9643024,Jazz,2022-06-14
MOB-001450,Ghazala Khan,30664-4489095-8,0316-7553232,Zong,2024-09-07
MOB-001451,Kashif Warraich,30631-0380543-7,0315-9518612,Zong,2024-12-25
MOB-001452,Kashif Warraich,30631-0380543-7,0303-6656739,Jazz,
MOB-001453,Waqas Kayani,,0344-8542630,Telenor,2018-09-25
MOB-001454,Waqas Kayani,39162-3603050-9,0340-6913852,Telenor,2022-01-25
MOB-001455,Atif Ali,34194-2229575-7,0305-2735384,Jazz,2022-12-19
MOB-001456,Atif Ali,34194-2229575-7,0313-9847489,Zong,2021-10-20
MOB-001457,Bilal Malik,34847-0131651-3,0334-0351505,Ufone,2022-07-11
MOB-001458,Bilal Malik,34847-0131651-3,0342-6841063,Telenor,2025-05-02
MOB-001459,Maheen Shaikh,34669-6845743-2,0344-1343963,Telenor,2025-03-27
MOB-001460,Junaid Ali,38081-4762447-9,0337-9873062,Ufone,
MOB-001461,Junaid Ali,38081-4762447-9,0315-7590986,Zong,2025-06-07
MOB-001462,Fatima Niazi,47845-0327502-8,0340-8357443,Telenor,2019-04-13
MOB-001463,Fathima Niazi,47845-0327502-8,0343-8066220,Telenor,2022-04-18
MOB-001464,Noor Baig,37397-1909958-0,0309-9244063,Jazz,2022-08-29
MOB-001465,,37397-1909958-0,0337-8972071,Ufone,2020-06-29
MOB-001466,Rabia Malik,34666-8078182-4,0309-6372872,Jazz,2019-02-26
MOB-001467,Rabia Malik,,0337-2926782,Ufone,2023-03-14
MOB-001468,Rabia Malik,34666-8078182-4,0314-9104364,Zong,2024-11-07
MOB-001469,Nasreen Junejo,38995-1698846-8,0315-1343653,Zong,2018-07-21
MOB-001470,Nasreen Junejo,38995-1698846-8,0330-4320247,Ufone,2024-05-05
MOB-001471,Noman Mengal,35247-1201302-3,0343-4677565,Telenor,2024-09-02
MOB-001472,Jaweria Mengal,12324-2021697-8,0331-3847270,Ufone,2021-11-27
MOB-001473,Liaquat Mirza,46188-5742764-1,0314-1252005,Zong,2020-04-20
MOB-001474,Hamza Ahmed,34658-9107492-1,0315-8878598,Zong,
MOB-001475,Lubna Qureshi,47162-6485470-6,0346-5612726,Telenor,2021-06-30
MOB-001476,Lubna Qureshi,47162-6485470-6,0349-2707824,Telenor,2020-12-17
MOB-001477,Arif Niazi,40167-3593925-9,0338-8953078,Ufone,2020-06-24
MOB-001478,Arif Niazi,40167-3593925-9,0306-3977028,Jazz,2023-12-16
MOB-001479,Arif Niazi,40167-3593925-9,0314-5640079,Zong,2019-03-21
MOB-001480,Shazia Niazi,50026-8584771-2,0307-1941115,Jazz,2018-08-01
MOB-001481,Zenab Minhas,35197-7114302-0,0317-4800679,Zong,2022-07-12
MOB-001482,Zenab Minhas,35197-7114302-0,0334-4555444,Ufone,2024-02-20
MOB-001483,Naila Kayani,49632-8191884-0,0334-1846018,Ufone,2021-01-15
MOB-001484,Hamza Jamali,32681-3949312-3,0302-4639644,Jazz,2019-10-28
MOB-001485,Nadiya Khattak,79593-5683623-4,0331-3839761,Ufone,2024-06-06
MOB-001486,Tanzeela Bugti,32118-9153594-0,0344-9800033,Telenor,2022-05-09
MOB-001487,Tanzeela Bugti,32118-9153594-0,0314-9587519,Zong,2025-09-29
MOB-001488,Tanzeela Bugti,32118-9153594-0,0349-4342484,Telenor,2023-04-20
MOB-001489,Jaweria Awan,42405-3017295-0,0317-2583495,Zong,2024-10-20
MOB-001490,Jaweria Awan,42405-3017295-0,0333-1139217,Ufone,2023-05-31
MOB-001491,Bilal Sheikh,48228-3416454-5,0339-5779311,Ufone,2018-08-27
MOB-001492,Maheen Niazi,38261-7015892-0,0304-0034902,Jazz,2022-04-26
MOB-001493,Maheen Niazi,38261-7015892-0,0309-3192152,Jazz,2022-05-23
MOB-001494,Asad Cheema,60061-2947302-3,0312-4865899,Zong,2025-01-05
MOB-001495,,33819-7729075-7,0341-9603964,Telenor,2019-08-17
MOB-001496,,33819-7729075-7,0304-9614888,Jazz,
MOB-001497,Kamran Mughal,38143-5728621-3,0319-5156093,Zong,2024-06-05
MOB-001498,Kamran Mughal,38143-5728621-3,0300-6454887,Jazz,2021-11-23
MOB-001499,Tareq Aslam,39925-3027668-7,0309-0762302,Jazz,2020-01-08
MOB-001500,Hassaan Hashmi,,0304-2905193,Jazz,2025-03-02
MOB-001501,Naveed Chaudhry,37864-9976040-3,0311-0274059,Zong,2025-11-10
MOB-001502,Naveed Chaudhry,37864-9976040-3,0335-8756515,Ufone,
MOB-001503,Naveed Chaudhry,37864-9976040-3,0319-9108649,Zong,2023-10-12
MOB-001504,Nasreen Tahir,31770-8292304-4,0310-2243947,Zong,2022-05-25
MOB-001505,Nasreen Tahir,31770-8292304-4,0311-2047814,Zong,2024-06-07
MOB-001506,Daniyal Sheikh,40146-7096907-7,0315-2937607,Zong,2023-11-01
MOB-001507,Parveen Durrani,36817-2401650-0,0308-8782775,Jazz,2018-06-17
MOB-001508,Khaled Bhatti,42073-5426656-3,0338-2776585,Ufone,2025-10-07
MOB-001509,Durr-e-Shahwar Warraich,45323-8278979-4,0336-2394859,Ufone,2023-10-13
MOB-001510,Javed Ali,46445-4824470-3,0308-1274932,Jazz,2019-01-18
MOB-001511,Javed Ali,46445-4824470-3,0344-0720908,Telenor,2021-09-20
MOB-001512,Bushra Mengal,30250-1727311-4,0333-0213335,Ufone,2026-01-17
MOB-001513,Shahid Abbasi,38805-1703363-5,0331-1904892,Ufone,2024-04-28
MOB-001514,Shahid Abbasi,38805-1703363-5,0304-0392313,Jazz,2021-04-12
MOB-001515,Shahid Abbasi,38805-1703363-5,0313-0312599,Zong,2022-12-18
MOB-001516,Samina Yousafzai,69818-6639834-6,0310-1806951,Zong,2018-09-22
MOB-001517,Sadia Chaudhry,37993-5966677-2,0335-5220450,Ufone,2020-12-20
MOB-001518,Sadia Chaudhry,37993-5966677-2,0346-9878944,Telenor,2022-01-26
MOB-001519,Ayesha Khattak,69350-4628702-8,0332-3236663,Ufone,2024-11-07
MOB-001520,Rabia Siddiqui,59263-5289746-4,0312-1567801,Zong,
MOB-001521,Rabia Siddiqui,59263-5289746-4,0317-3959418,Zong,2024-05-20
MOB-001522,Noor Aslam,55763-1314221-4,0305-9861709,Jazz,2023-08-28
MOB-001523,Husain Yousafzai,34916-6634070-5,0315-6730300,Zong,2023-01-23
MOB-001524,Farah Tahir,,0300-3389995,Jazz,2023-05-05
MOB-001525,Nighat Gill,39483-5870594-0,0336-1646911,Ufone,2025-03-16
MOB-001526,Nighat Gill,39483-5870594-0,0349-3411973,Telenor,2020-03-17
MOB-001527,Waseem Sheikh,31342-7015505-5,0309-2889092,Jazz,2025-02-23
MOB-001528,Waseem Sheikh,31342-7015505-5,0306-3217061,Jazz,2024-04-09
MOB-001529,Farah Bugti,16958-7405863-2,0349-8390324,Telenor,2019-02-19
MOB-001530,Farah Bugti,16958-7405863-2,0316-6797252,Zong,2023-09-22
MOB-001531,Adnan Durrani,45566-4053729-9,0306-3384011,Jazz,2025-12-09
MOB-001532,Shaheed Khan,36707-5948475-9,0333-6529723,Ufone,2021-04-20
MOB-001533,Arif Bugti,17585-2216475-7,0340-4539270,Telenor,2024-09-14
MOB-001534,Maheen Hussain,35119-2438813-2,0333-4573458,Ufone,2026-05-18
MOB-001535,Maheen Hussain,35119-2438813-2,0342-9776652,Telenor,2018-11-30
MOB-001536,Maheen Hussain,35119-2438813-2,0335-1202865,Ufone,2022-10-29
MOB-001537,Bushra Yousafzai,42670-9787033-6,0345-0383679,Telenor,2026-03-10
MOB-001538,Bushra Yousafzai,42670-9787033-6,0333-7003245,Ufone,2024-03-09
MOB-001539,Hamza Bhatti,17762-1422196-3,0331-9638172,Ufone,2021-07-17
MOB-001540,Zeeshan Siddiqui,37208-7877055-3,0334-5472415,Ufone,2025-12-31
MOB-001541,Iqbal Warraich,36582-2370345-1,0344-5191301,Telenor,2018-11-20
MOB-001542,Iqbal Warraich,36582-2370345-1,0336-9713483,Ufone,2019-05-23
MOB-001543,Wardah Mengal,35309-6283381-4,0314-6434256,Zong,2021-09-14
MOB-001544,Wardah Mengal,35309-6283381-4,0310-1125132,Zong,2021-07-22
MOB-001545,Nasreen Tahir,37646-9653271-8,0312-6932553,Zong,2022-05-28
MOB-001546,,40320-5784330-0,0303-6470175,Jazz,2023-09-18
MOB-001547,Wardah Warraich,40320-5784330-0,0344-0813520,Telenor,2018-10-17
MOB-001548,Qudsia Hussain,38552-5368051-2,0309-1735305,Jazz,2021-07-22
MOB-001549,Uzma Hashmi,35926-6922537-6,0331-1060775,Ufone,2021-07-25
MOB-001550,Uzma Hashmi,35926-6922537-6,0344-5126534,Telenor,2019-12-09
MOB-001551,Uzma Hashmi,35926-6922537-6,0338-1483556,Ufone,2023-12-17
MOB-001552,Noor Malik,37067-9933693-6,0301-8436319,Jazz,2023-03-15
MOB-001553,Noor Malik,37067-9933693-6,0308-9261871,Jazz,2024-06-10
MOB-001554,Naveed Ali,30547-7728139-7,0307-6539309,Jazz,2019-01-07
MOB-001555,Naveed Ali,30547-7728139-7,0339-2653736,Ufone,2023-03-21
MOB-001556,Madiha Gill,40977-6010497-4,0334-2665195,Ufone,2024-06-24
MOB-001557,Nadeem Afridi,38242-9245078-5,0340-3043544,Telenor,2025-01-10
MOB-001558,Danish Brohi,37459-5242208-9,0334-6204621,Ufone,2020-03-10
MOB-001559,Danish Brohi,37459-5242208-9,0304-0020116,Jazz,2019-08-17
MOB-001560,Komal Baig,12835-5118638-8,0340-8569967,Telenor,2021-04-18
MOB-001561,Parveen Yousafzai,44756-8411392-8,0331-7284809,Ufone,2020-06-23
MOB-001562,Parveen Yousafzai,44756-8411392-8,0347-1781043,Telenor,2023-01-14
MOB-001563,Hassan Aslam,33623-8474123-1,0306-3398554,Jazz,2019-05-31
MOB-001564,Shaheed Shah,18880-5953985-9,0300-4608767,Jazz,2023-12-20
MOB-001565,Khadeeja Niazi,35675-8550460-0,0337-7295026,Ufone,2022-07-08
MOB-001566,Khadija Niazi,35675-8550460-0,0341-2400653,Telenor,2024-09-19
MOB-001567,Atif Bugti,31415-2172390-5,0339-0532480,Ufone,2026-06-08
MOB-001568,Asma Abbasi,31689-9777699-8,0316-7188117,Zong,2024-11-05
MOB-001569,Tareq Soomro,30658-6166268-3,0331-7505705,Ufone,2023-05-20
MOB-001570,Tariq Soomro,30658-6166268-3,0308-3466332,Jazz,2025-11-09
MOB-001571,Jaweria Malik,17278-3465681-0,0343-9212782,Telenor,2024-06-04
MOB-001572,Pervaiz Ahmed,41078-7017798-1,0335-7083652,Ufone,2020-03-25
MOB-001573,Zeeshan Baig,18524-3280458-5,0344-3091300,Telenor,2024-11-08
MOB-001574,,19016-0648691-3,0319-3214571,Zong,2024-10-13
MOB-001575,Zubaida Khoso,34427-8391761-6,0303-0927910,Jazz,2024-12-01
MOB-001576,Zubaida Khoso,34427-8391761-6,0300-3631385,Jazz,2020-05-13
MOB-001577,Ghazala Mengal,30338-7821884-2,0340-2097997,Telenor,2021-03-04
MOB-001578,Yasir Niazi,33057-5668419-1,0342-5174299,Telenor,2021-06-12
MOB-001579,Saima Qureshi,51290-6826217-0,0333-0757964,Ufone,2026-01-31
MOB-001580,Samina Shaikh,,0345-1901789,Telenor,2020-09-20
MOB-001581,Rizwan Sheikh,39104-9895569-9,0332-6126295,Ufone,2022-09-24
MOB-001582,Noor Mughal,34978-8473551-6,0339-8623077,Ufone,2024-03-26
MOB-001583,Saima Sheikh,48967-5392355-8,0342-6705147,Telenor,2022-01-16
MOB-001584,Aneela Hussain,46042-6873313-2,0311-9156245,Zong,2020-10-21
MOB-001585,Fahad Shaikh,33583-3739256-7,0309-1344930,Jazz,2018-11-29
MOB-001586,Kamran Kayani,37732-5475354-1,0346-3302813,Telenor,2018-12-26
MOB-001587,Kamran Kayani,37732-5475354-1,0304-8128326,Jazz,2021-08-14
MOB-001588,Kamran Kayani,37732-5475354-1,0308-1731458,Jazz,2021-05-20
MOB-001589,,34954-2892112-9,0333-8931997,Ufone,2022-04-18
MOB-001590,,38575-3482423-5,0342-5795031,Telenor,2022-08-01
MOB-001591,Waqas Sethi,38575-3482423-5,0301-8112887,Jazz,2022-09-17
MOB-001592,Waqas Warraich,65182-8491524-7,0301-6415832,Jazz,2022-12-05
MOB-001593,Sohail Virk,30232-1292382-9,0310-7182231,Zong,2025-07-03
MOB-001594,Sohail Virk,30232-1292382-9,0304-1927405,Jazz,2019-06-29
MOB-001595,Sohail Virk,30232-1292382-9,0347-1093082,Telenor,2022-06-12
MOB-001596,Ghazala Mengal,17379-7290675-4,0301-0618722,Jazz,2024-06-26
MOB-001597,Bushra Jatoi,44792-8163444-8,0344-1684324,Telenor,2022-12-21
MOB-001598,Furhan Hussain,32552-8596717-3,0310-9083516,Zong,2024-03-20
MOB-001599,Atif Ali,10213-9311941-1,0302-8361351,Jazz,2025-06-20
MOB-001600,Naadia Jamali,38708-9650945-0,0315-8179434,Zong,2022-12-24
MOB-001601,Noman Afridi,32137-5412391-5,0300-0993712,Jazz,2026-02-05
MOB-001602,Noman Afridi,32137-5412391-5,0341-4423664,Telenor,2020-12-07
MOB-001603,Noman Afridi,32137-5412391-5,0336-8344122,Ufone,2022-04-17
MOB-001604,Fathima Sheikh,33609-6287809-6,0341-3399776,Telenor,2023-09-24
MOB-001605,Sanaa Kayani,43623-3988822-2,0331-8447396,Ufone,2021-07-30
MOB-001606,Rizwan Durrani,36873-3823473-5,0343-9650717,Telenor,2025-04-02
MOB-001607,Rizwan Durrani,36873-3823473-5,0304-3155274,Jazz,2024-03-04
MOB-001608,,46710-3416528-9,0332-2599940,Ufone,2024-05-05
MOB-001609,Javed Rajput,45974-0227341-9,0302-9178584,Jazz,2025-04-29
MOB-001610,Aysha Raza,62980-0828783-0,0308-3103147,Jazz,2025-12-16
MOB-001611,Farzana Afridi,50281-4854157-8,0315-3676537,Zong,2019-01-02
MOB-001612,Farzana Afridi,50281-4854157-8,0334-9412148,Ufone,2020-01-19
MOB-001613,Riffat Mengal,,0316-5130579,Zong,2026-01-13
MOB-001614,Riffat Mengal,31833-9284621-2,0306-3439447,Jazz,2025-12-19
MOB-001615,Riffat Mengal,31833-9284621-2,0343-2256709,Telenor,2022-05-05
MOB-001616,Ayesha Virk,37641-4784444-8,0349-0789526,Telenor,2019-03-11
MOB-001617,Ayesha Virk,37641-4784444-8,0306-2878019,Jazz,2019-02-17
MOB-001618,Nadeea Junejo,31425-5991729-6,0309-6313076,Jazz,2021-10-08
MOB-001619,Nadiya Junejo,31425-5991729-6,0300-1099864,Jazz,2026-01-31
MOB-001620,Rabia Afridi,10042-5647510-4,0303-7173909,Jazz,2019-12-20
MOB-001621,Wardah Hashmi,36456-1858263-4,0317-7839900,Zong,2020-11-24
MOB-001622,Wardah Hashmi,36456-1858263-4,0312-1192451,Zong,2019-02-07
MOB-001623,Jaweria Ahmed,59906-3073460-4,0301-4705127,Jazz,
MOB-001624,Amir Rajput,49905-5827014-3,0343-0820471,Telenor,2019-11-06
MOB-001625,Fatima Hashmi,42656-7635805-0,0318-1208934,Zong,
MOB-001626,Rubina Randhawa,62548-6855727-4,0339-6679558,Ufone,2019-05-27
MOB-001627,Rubina Randhawa,62548-6855727-4,0333-2002142,Ufone,2024-05-17
MOB-001628,Rubina Randhawa,62548-6855727-4,0339-2013506,Ufone,2019-09-15
MOB-001629,Danish Afridi,38580-3834455-1,0339-8686149,Ufone,2022-09-02
MOB-001630,Nighat Warraich,10725-5173056-4,0334-1765496,Ufone,2019-09-23
MOB-001631,Basit Laghari,40071-1434869-5,0342-6094460,Telenor,2025-11-21
MOB-001632,Amna Minhas,48256-0023395-4,0313-7108617,Zong,2020-03-08
MOB-001633,Irfan Butt,36348-1353014-7,0307-1763092,Jazz,2022-11-16
MOB-001634,Waseem Warraich,33102-3162498-1,0313-8188264,Zong,2023-10-13
MOB-001635,Madiha Mughal,38945-9239668-6,0330-9933898,Ufone,2018-08-22
MOB-001636,Madiha Mughal,38945-9239668-6,0307-9330545,Jazz,2020-12-09
MOB-001637,Jaweria Ahmed,44720-0965707-6,0314-2447734,Zong,2021-12-28
MOB-001638,Umar Ali,55955-3690371-1,0346-4949248,Telenor,2024-04-02
MOB-001639,Umar Ali,55955-3690371-1,0338-8126668,Ufone,2023-01-20
